name,trade_date,pe,pb,float_mv,total_mv
专用设备,20240102,26.44,2.14,43705992.0,95881850.296942
专用设备,20240103,26.27,2.13,43321850.0,95198929.206472
专用设备,20240104,26.13,2.13,43438561.0,94897011.899493
专用设备,20240105,25.66,2.1,42620869.0,93189674.360631
专用设备,20240108,25.23,2.06,41853554.0,91473849.597792
专用设备,20240109,25.59,2.09,42345685.0,92525865.901684
专用设备,20240110,25.41,2.08,41973103.0,91714074.830374
专用设备,20240111,25.78,2.11,42617863.0,93054889.085885
专用设备,20240112,25.55,2.09,42226279.0,92283282.480675
专用设备,20240115,25.49,2.08,42103635.0,92051536.739484
专用设备,20240116,25.41,2.08,41948680.0,91651520.678636
专用设备,20240117,24.9,2.03,40978497.0,89833198.391702
专用设备,20240118,24.66,2.01,40634864.0,88971826.908577
专用设备,20240119,24.31,1.98,40051020.0,87729844.598126
专用设备,20240122,22.93,1.87,37736630.0,82657335.165566
专用设备,20240123,23.06,1.88,37980346.0,82980689.527634
专用设备,20240124,23.43,1.91,38461854.0,84143860.20437
专用设备,20240125,24.27,1.98,39865253.0,87349643.907447
专用设备,20240126,24.21,1.97,39581890.0,86782997.966948
专用设备,20240129,23.54,1.92,38433114.0,84428212.944464
专用设备,20240130,22.84,1.86,37297602.0,81895823.396271
专用设备,20240131,21.85,1.78,35626125.0,78311792.829924
专用设备,20240201,21.57,1.76,35185093.0,77363093.940122
专用设备,20240202,20.79,1.69,33797456.0,74463690.08538
专用设备,20240205,19.44,1.58,31460143.0,69541219.296433
专用设备,20240206,20.24,1.65,32897290.0,72727416.287274
专用设备,20240207,20.59,1.68,33354109.0,73786259.456692
专用设备,20240208,21.59,1.76,35208952.0,77610790.637038
专用设备,20240219,21.97,1.79,35825378.0,78840471.576945
专用设备,20240220,22.21,1.81,36252566.0,79731847.435411
专用设备,20240221,22.54,1.84,36757121.0,80796775.600624
专用设备,20240222,23.07,1.88,37598165.0,82506782.687996
专用设备,20240223,23.46,1.91,38356993.0,84162741.035478
专用设备,20240226,24.2,1.98,39624456.0,87066821.888844
专用设备,20240227,24.67,2.01,40494809.0,88784824.68661
专用设备,20240228,23.5,1.92,38399579.0,84346233.386436
专用设备,20240229,24.48,2.0,40061570.0,87848149.078298
专用设备,20240301,24.71,2.02,40446848.0,88525305.3152
专用设备,20240304,24.81,2.03,40591987.0,88671982.091098
专用设备,20240305,24.58,2.01,40137008.0,87650273.578171
专用设备,20240306,24.97,2.04,40691771.0,88813628.817916
专用设备,20240307,25.15,2.05,40837815.0,89138160.698937
专用设备,20240308,25.38,2.07,41238477.0,89915435.68316
专用设备,20240311,25.56,2.09,41670079.0,90738049.556467
专用设备,20240312,25.68,2.09,41870944.0,91032980.987147
专用设备,20240313,25.68,2.09,41884341.0,91035216.818699
专用设备,20240314,25.63,2.09,41687663.0,90571860.967702
专用设备,20240315,26.05,2.12,42393297.0,91894874.086757
专用设备,20240318,26.29,2.16,43252105.0,93704174.398739
专用设备,20240319,26.03,2.14,42850270.0,92868226.982046
专用设备,20240320,26.2,2.15,43148420.0,93542425.682317
专用设备,20240321,26.17,2.15,43161547.0,93457249.409971
专用设备,20240322,25.75,2.11,42505843.0,92034724.042148
专用设备,20240325,25.21,2.07,41510736.0,89946122.105947
专用设备,20240326,25.65,2.05,41235690.0,89430088.062995
专用设备,20240327,24.81,1.99,40067883.0,86720228.492163
专用设备,20240328,25.29,2.04,41109508.0,88874331.348266
专用设备,20240329,25.45,2.07,41855220.0,90589053.222364
专用设备,20240401,25.96,2.11,42919260.0,92492435.577172
专用设备,20240402,25.95,2.11,42756527.0,92185860.030066
专用设备,20240403,25.5,2.08,42320088.0,91308309.900249
专用设备,20240408,25.03,2.04,41498435.0,89578561.606815
专用设备,20240409,25.08,2.06,41851812.0,90251732.645894
专用设备,20240410,24.81,2.04,41276088.0,89201853.761624
专用设备,20240411,25.16,2.07,41762153.0,90373219.758315
专用设备,20240412,25.2,2.07,41837523.0,90526061.31525
专用设备,20240415,24.78,2.03,41085529.0,89009178.651584
专用设备,20240416,23.39,1.92,38798082.0,84192262.104257
专用设备,20240417,24.65,2.02,40890466.0,88670213.463518
专用设备,20240418,24.77,2.03,40940435.0,88741378.14112
专用设备,20240419,24.82,2.04,40992457.0,88825939.818552
专用设备,20240422,24.45,2.01,40565681.0,87948769.038045
专用设备,20240423,24.27,2.01,40579076.0,87790739.81606
