name,trade_date,pe,pb,float_mv,total_mv
个护用品,20240102,20.69,2.18,3011545.0,8505888.323386
个护用品,20240103,20.6,2.18,3000184.0,8460400.174844
个护用品,20240104,20.63,2.18,3004617.0,8479126.909365
个护用品,20240105,20.34,2.15,2963615.0,8353526.0875
个护用品,20240108,19.94,2.11,2905012.0,8182384.453842
个护用品,20240109,20.0,2.11,2914929.0,8211697.55411
个护用品,20240110,20.36,2.15,2965796.0,8375524.821734
个护用品,20240111,20.53,2.17,2989336.0,8444430.749737
个护用品,20240112,20.44,2.16,2975300.0,8409577.692819
个护用品,20240115,20.9,2.21,3038762.0,8596572.90633
个护用品,20240116,20.72,2.19,3015531.0,8523907.982872
个护用品,20240117,20.25,2.14,2951466.0,8349720.09483
个护用品,20240118,20.14,2.13,2929410.0,8288741.270339
个护用品,20240119,19.94,2.11,2905656.0,8194570.312617
个护用品,20240122,18.75,1.98,2731002.0,7689633.845611
个护用品,20240123,18.56,1.96,2700069.0,7613372.010307
个护用品,20240124,18.94,2.0,2756673.0,7765087.859027
个护用品,20240125,19.54,2.06,2842744.0,8030479.276809
个护用品,20240126,19.37,2.05,2815958.0,7946457.281456
个护用品,20240129,19.01,2.01,2758513.0,7789755.400855
个护用品,20240130,18.43,1.95,2672509.0,7552536.817464
个护用品,20240131,17.47,1.85,2535238.0,7160209.780237
个护用品,20240201,17.37,1.83,2521552.0,7134313.099496
个护用品,20240202,16.75,1.77,2428482.0,6868374.999324
个护用品,20240205,16.18,1.71,2340008.0,6614820.259667
个护用品,20240206,17.13,1.81,2470251.0,6997179.897643
个护用品,20240207,17.94,1.89,2576156.0,7274099.503116
个护用品,20240208,18.51,1.95,2663606.0,7523004.794697
个护用品,20240219,18.36,1.94,2645294.0,7465203.455735
个护用品,20240220,18.15,1.92,2619044.0,7394841.427684
个护用品,20240221,18.35,1.94,2649073.0,7493982.255663
个护用品,20240222,18.48,1.95,2669620.0,7550211.767794
个护用品,20240223,18.67,1.97,2697337.0,7640013.815886
个护用品,20240226,18.67,1.97,2701317.0,7645938.919067
个护用品,20240227,19.06,2.01,2757594.0,7802442.020464
个护用品,20240228,18.37,1.94,2651233.0,7503045.655084
个护用品,20240229,18.93,2.0,2731030.0,7732754.853784
个护用品,20240301,18.88,1.99,2725476.0,7738647.04437
个护用品,20240304,18.81,1.99,2718936.0,7729674.545336
个护用品,20240305,18.55,1.96,2678314.0,7605812.05747
个护用品,20240306,18.7,1.97,2699337.0,7659703.083648
个护用品,20240307,18.5,1.95,2671519.0,7573166.745591
