name,trade_date,pe,pb,float_mv,total_mv
中间产品及消费品供应链服务,20240102,47.94,1.7,1959824.0,3614944.351357
中间产品及消费品供应链服务,20240103,47.68,1.7,1949300.0,3603813.849886
中间产品及消费品供应链服务,20240104,47.38,1.68,1937015.0,3570301.69392
中间产品及消费品供应链服务,20240105,46.3,1.65,1892902.0,3483056.149108
中间产品及消费品供应链服务,20240108,45.43,1.61,1857231.0,3412767.528335
中间产品及消费品供应链服务,20240109,45.87,1.63,1875299.0,3446663.727952
中间产品及消费品供应链服务,20240110,45.41,1.61,1856613.0,3402987.410686
中间产品及消费品供应链服务,20240111,46.31,1.65,1893367.0,3468599.134244
中间产品及消费品供应链服务,20240112,45.77,1.63,1871193.0,3420863.430119
中间产品及消费品供应链服务,20240115,45.63,1.62,1865577.0,3408804.908906
中间产品及消费品供应链服务,20240116,45.49,1.62,1859722.0,3398766.793648
中间产品及消费品供应链服务,20240117,44.92,1.6,1836402.0,3344292.410156
中间产品及消费品供应链服务,20240118,44.5,1.58,1819242.0,3312460.508518
中间产品及消费品供应链服务,20240119,43.96,1.56,1797092.0,3273658.892552
中间产品及消费品供应链服务,20240122,42.03,1.5,1718293.0,3115127.606665
中间产品及消费品供应链服务,20240123,42.53,1.52,1738755.0,3155462.830532
中间产品及消费品供应链服务,20240124,44.23,1.58,1808358.0,3276700.665185
中间产品及消费品供应链服务,20240125,45.89,1.63,1876077.0,3405328.554535
中间产品及消费品供应链服务,20240126,46.27,1.65,1891739.0,3444922.707826
中间产品及消费品供应链服务,20240129,44.89,1.6,1835231.0,3356568.120511
中间产品及消费品供应链服务,20240130,42.71,1.52,1746116.0,3191308.244474
中间产品及消费品供应链服务,20240131,39.05,1.4,1596393.0,2931163.00575
中间产品及消费品供应链服务,20240201,38.16,1.38,1560206.0,2857398.403547
中间产品及消费品供应链服务,20240202,36.26,1.3,1482519.0,2709706.663457
中间产品及消费品供应链服务,20240205,32.45,1.17,1326745.0,2432332.110537
中间产品及消费品供应链服务,20240206,33.68,1.22,1376995.0,2499952.170953
中间产品及消费品供应链服务,20240207,33.38,1.21,1364516.0,2463177.916481
中间产品及消费品供应链服务,20240208,35.53,1.29,1452720.0,2634150.487386
中间产品及消费品供应链服务,20240219,36.38,1.32,1487453.0,2708721.27476
中间产品及消费品供应链服务,20240220,36.98,1.33,1511753.0,2751210.014208
中间产品及消费品供应链服务,20240221,37.79,1.36,1544827.0,2812760.510832
中间产品及消费品供应链服务,20240222,38.43,1.39,1571127.0,2867830.723152
中间产品及消费品供应链服务,20240223,39.21,1.41,1603186.0,2925132.810271
中间产品及消费品供应链服务,20240226,40.36,1.45,1650157.0,3020550.452202
中间产品及消费品供应链服务,20240227,42.38,1.51,1732616.0,3185350.907533
中间产品及消费品供应链服务,20240228,38.78,1.39,1585488.0,2908047.685584
中间产品及消费品供应链服务,20240229,40.11,1.44,1639776.0,3011051.262284
中间产品及消费品供应链服务,20240301,40.04,1.44,1637189.0,3006955.3736
中间产品及消费品供应链服务,20240304,40.67,1.44,1662556.0,3039922.868385
中间产品及消费品供应链服务,20240305,39.44,1.4,1612585.0,2946201.975695
中间产品及消费品供应链服务,20240306,39.66,1.41,1622662.0,2963725.590507
中间产品及消费品供应链服务,20240307,39.16,1.39,1602112.0,2929353.525288
中间产品及消费品供应链服务,20240308,39.41,1.4,1612293.0,2948921.157044
中间产品及消费品供应链服务,20240311,40.34,1.44,1650560.0,3007004.345112
中间产品及消费品供应链服务,20240312,40.87,1.45,1672092.0,3050457.494183
中间产品及消费品供应链服务,20240313,40.96,1.46,1675642.0,3062486.943734
中间产品及消费品供应链服务,20240314,40.41,1.44,1653289.0,3019323.303774
中间产品及消费品供应链服务,20240315,40.83,1.46,1670530.0,3052258.135385
中间产品及消费品供应链服务,20240318,41.86,1.5,1712612.0,3143897.530058
中间产品及消费品供应链服务,20240319,41.48,1.48,1697199.0,3129094.384852
中间产品及消费品供应链服务,20240320,42.09,1.5,1721909.0,3157803.679019
中间产品及消费品供应链服务,20240321,42.78,1.52,1750275.0,3086170.62643
中间产品及消费品供应链服务,20240322,42.17,1.51,1725194.0,3056097.150103
中间产品及消费品供应链服务,20240325,40.94,1.46,1674804.0,2992177.272126
中间产品及消费品供应链服务,20240326,41.11,1.47,1682059.0,3015128.807637
中间产品及消费品供应链服务,20240327,39.98,1.44,1635606.0,2912976.909747
中间产品及消费品供应链服务,20240328,41.3,1.48,1689564.0,2998024.892354
中间产品及消费品供应链服务,20240329,42.24,1.52,1728152.0,3062781.84332
中间产品及消费品供应链服务,20240401,43.35,1.56,1773526.0,3151384.05668
中间产品及消费品供应链服务,20240402,43.54,1.57,1781315.0,3164659.221206
中间产品及消费品供应链服务,20240403,42.55,1.53,1740590.0,3085140.853172
中间产品及消费品供应链服务,20240408,41.72,1.5,1706987.0,3043612.130709
中间产品及消费品供应链服务,20240409,41.63,1.5,1703242.0,3028027.394079
中间产品及消费品供应链服务,20240410,40.31,1.45,1648934.0,2934118.137219
中间产品及消费品供应链服务,20240411,40.03,1.44,1637698.0,2918990.447359
中间产品及消费品供应链服务,20240412,40.03,1.41,1599864.0,2855108.86298
中间产品及消费品供应链服务,20240415,37.96,1.34,1516874.0,2706780.394586
中间产品及消费品供应链服务,20240416,35.37,1.25,1413427.0,2544682.248178
中间产品及消费品供应链服务,20240417,37.88,1.34,1513698.0,2714877.937086
中间产品及消费品供应链服务,20240418,37.47,1.33,1497586.0,2690811.205031
中间产品及消费品供应链服务,20240419,37.5,1.33,1498521.0,2697520.716251
中间产品及消费品供应链服务,20240422,36.85,1.31,1481617.0,2651272.17308
中间产品及消费品供应链服务,20240423,36.42,1.34,1502658.0,2684209.516227
中间产品及消费品供应链服务,20240424,36.9,1.36,1522568.0,2716543.780602
中间产品及消费品供应链服务,20240425,38.11,1.4,1572562.0,2788114.285193
中间产品及消费品供应链服务,20240426,38.49,1.39,1567018.0,2787351.529065
中间产品及消费品供应链服务,20240429,39.48,1.42,1607010.0,2868167.894841
中间产品及消费品供应链服务,20240430,39.03,1.41,1588891.0,2908031.295312
中间产品及消费品供应链服务,20240506,37.14,1.43,1613150.0,2959211.753586
中间产品及消费品供应链服务,20240507,37.16,1.43,1613801.0,2962106.473074
中间产品及消费品供应链服务,20240508,36.63,1.41,1590632.0,2916191.892536
中间产品及消费品供应链服务,20240509,37.28,1.44,1618999.0,2975613.392678
中间产品及消费品供应链服务,20240510,36.41,1.4,1581174.0,2906297.14191
中间产品及消费品供应链服务,20240513,35.54,1.37,1543519.0,2837231.789737
中间产品及消费品供应链服务,20240514,36.14,1.39,1569543.0,2882968.918527
中间产品及消费品供应链服务,20240515,35.84,1.38,1556448.0,2857271.348273
中间产品及消费品供应链服务,20240516,36.03,1.39,1564525.0,2866608.444468
中间产品及消费品供应链服务,20240517,36.38,1.4,1579767.0,2881119.598018
中间产品及消费品供应链服务,20240520,36.1,1.39,1567990.0,2865494.429789
中间产品及消费品供应链服务,20240521,35.53,1.37,1543095.0,2826539.965824
中间产品及消费品供应链服务,20240522,35.53,1.37,1543137.0,2827871.290113
中间产品及消费品供应链服务,20240523,34.71,1.34,1507251.0,2762301.179478
中间产品及消费品供应链服务,20240524,34.14,1.31,1482103.0,2720950.91326
中间产品及消费品供应链服务,20240527,35.27,1.36,1530919.0,2833311.440657
中间产品及消费品供应链服务,20240528,34.48,1.33,1496745.0,2781580.460847
中间产品及消费品供应链服务,20240529,34.54,1.33,1499254.0,2793862.489502
中间产品及消费品供应链服务,20240530,34.2,1.32,1484771.0,2768631.198407
中间产品及消费品供应链服务,20240531,34.55,1.33,1499764.0,2786524.494838
中间产品及消费品供应链服务,20240603,33.55,1.29,1456444.0,2723246.317113
中间产品及消费品供应链服务,20240604,33.19,1.29,1440819.0,2711971.822245
中间产品及消费品供应链服务,20240605,32.41,1.26,1407032.0,2634789.26252
中间产品及消费品供应链服务,20240606,31.13,1.21,1351484.0,2527575.129221
中间产品及消费品供应链服务,20240607,32.09,1.24,1392931.0,2603720.659978
中间产品及消费品供应链服务,20240611,32.35,1.25,1404353.0,2643708.174384
中间产品及消费品供应链服务,20240612,33.09,1.28,1436507.0,2721711.972147
中间产品及消费品供应链服务,20240613,32.31,1.25,1402554.0,2651761.239625
中间产品及消费品供应链服务,20240614,32.5,1.25,1410635.0,2670540.079673
中间产品及消费品供应链服务,20240617,32.03,1.23,1390329.0,2641636.007723
中间产品及消费品供应链服务,20240618,32.49,1.25,1410408.0,2665225.30508
中间产品及消费品供应链服务,20240619,32.67,1.26,1418019.0,2694134.249365
中间产品及消费品供应链服务,20240620,108.5,1.23,739154.0,2638039.403984
中间产品及消费品供应链服务,20240621,31.9,1.23,1384865.0,2656989.284133
中间产品及消费品供应链服务,20240624,30.4,1.18,1319538.0,2523392.105862
中间产品及消费品供应链服务,20240625,30.04,1.16,1303883.0,2471993.683349
中间产品及消费品供应链服务,20240626,31.11,1.2,1350513.0,2556419.876799
中间产品及消费品供应链服务,20240627,30.99,1.2,1345113.0,2535572.103857
中间产品及消费品供应链服务,20240628,31.1,1.2,1349854.0,2540745.512756
中间产品及消费品供应链服务,20240701,31.35,1.21,1360877.0,2564357.185665
中间产品及消费品供应链服务,20240702,31.81,1.23,1380737.0,2589688.216658
中间产品及消费品供应链服务,20240703,31.95,1.23,1386808.0,2604228.614313
中间产品及消费品供应链服务,20240704,30.57,1.18,1326983.0,2487463.906264
中间产品及消费品供应链服务,20240705,30.74,1.18,1334276.0,2493999.151528
中间产品及消费品供应链服务,20240708,29.56,1.14,1283138.0,2398992.266614
中间产品及消费品供应链服务,20240709,30.41,1.17,1320190.0,2472114.979963
中间产品及消费品供应链服务,20240710,30.3,1.17,1315294.0,2461768.726857
中间产品及消费品供应链服务,20240711,31.51,1.22,1367868.0,2558580.948499
中间产品及消费品供应链服务,20240712,31.15,1.2,1357871.0,2531868.341382
中间产品及消费品供应链服务,20240715,31.07,1.2,1354123.0,2523511.382238
中间产品及消费品供应链服务,20240716,30.86,1.19,1345177.0,2504276.447667
中间产品及消费品供应链服务,20240717,30.49,1.18,1329025.0,2477300.02174
中间产品及消费品供应链服务,20240718,30.7,1.19,1338150.0,2513446.274061
中间产品及消费品供应链服务,20240719,31.1,1.2,1355433.0,2543126.058685
中间产品及消费品供应链服务,20240722,32.01,1.24,1395320.0,2619928.189832
中间产品及消费品供应链服务,20240723,32.69,1.26,1424788.0,2667947.658609
中间产品及消费品供应链服务,20240724,32.37,1.25,1410794.0,2634745.338541
中间产品及消费品供应链服务,20240725,32.66,1.26,1423411.0,2650623.015671
中间产品及消费品供应链服务,20240726,32.77,1.27,1428125.0,2661010.55871
中间产品及消费品供应链服务,20240729,32.62,1.26,1421673.0,2653353.794317
中间产品及消费品供应链服务,20240730,32.98,1.28,1437392.0,2677307.659046
中间产品及消费品供应链服务,20240731,26.89,1.81,940438.0,1928238.306123
中间产品及消费品供应链服务,20240801,26.88,1.81,940113.0,1929791.339911
中间产品及消费品供应链服务,20240802,25.91,1.74,906185.0,1862944.268198
中间产品及消费品供应链服务,20240805,25.1,1.68,877784.0,1801326.149078
中间产品及消费品供应链服务,20240806,25.58,1.71,894423.0,1833291.011266
中间产品及消费品供应链服务,20240807,25.46,1.7,890398.0,1825270.478389
中间产品及消费品供应链服务,20240808,25.24,1.68,882595.0,1808851.411429
中间产品及消费品供应链服务,20240809,25.28,1.67,884181.0,1809121.674713
中间产品及消费品供应链服务,20240812,25.36,1.65,886714.0,1795582.265415
中间产品及消费品供应链服务,20240813,25.3,1.66,884609.0,1799217.843684
中间产品及消费品供应链服务,20240814,25.17,1.66,880076.0,1794147.874623
中间产品及消费品供应链服务,20240815,25.51,1.67,891899.0,1813506.665998
中间产品及消费品供应链服务,20240816,25.13,1.65,878598.0,1791590.272693
中间产品及消费品供应链服务,20240819,25.12,1.64,878399.0,1789855.541272
中间产品及消费品供应链服务,20240820,24.66,1.6,862408.0,1753851.342933
中间产品及消费品供应链服务,20240821,24.95,1.61,872382.0,1771414.347736
中间产品及消费品供应链服务,20240822,24.45,1.58,854889.0,1734429.132195
中间产品及消费品供应链服务,20240823,23.92,1.57,836543.0,1704889.417672
中间产品及消费品供应链服务,20240826,24.09,1.59,842460.0,1720443.298555
中间产品及消费品供应链服务,20240827,23.65,1.54,826878.0,1686186.919468
中间产品及消费品供应链服务,20240828,23.88,1.56,835177.0,1699003.43778
中间产品及消费品供应链服务,20240829,24.21,1.59,846456.0,1722165.821008
中间产品及消费品供应链服务,20240830,24.95,1.64,872456.0,1788244.522355
中间产品及消费品供应链服务,20240902,25.89,1.63,870573.0,1783077.823099
中间产品及消费品供应链服务,20240903,26.29,1.64,883927.0,1806437.016808
中间产品及消费品供应链服务,20240904,25.92,1.63,871248.0,1777610.537253
中间产品及消费品供应链服务,20240905,26.3,1.65,884299.0,1799089.077151
中间产品及消费品供应链服务,20240906,26.18,1.63,880038.0,1782490.934703
中间产品及消费品供应链服务,20240909,26.06,1.63,876094.0,1784555.83087
中间产品及消费品供应链服务,20240910,26.21,1.64,881004.0,1796146.094588
中间产品及消费品供应链服务,20240911,25.85,1.61,869054.0,1768096.81936
中间产品及消费品供应链服务,20240912,25.47,1.59,856388.0,1740945.751096
中间产品及消费品供应链服务,20240913,25.2,1.58,847271.0,1723334.573033
中间产品及消费品供应链服务,20240918,25.16,1.59,845955.0,1734637.129863
中间产品及消费品供应链服务,20240919,25.66,1.62,862657.0,1761952.622147
中间产品及消费品供应链服务,20240920,25.61,1.62,865200.0,1766830.55917
中间产品及消费品供应链服务,20240923,25.97,1.63,877212.0,1791003.637451
中间产品及消费品供应链服务,20240924,26.64,1.68,899663.0,1836042.933796
