name,trade_date,pe,pb,float_mv,total_mv
乳品,20240102,17.75,2.95,18532463.0,25783934.20358
乳品,20240103,17.62,2.93,18391162.0,25615079.510356
乳品,20240104,17.53,2.91,18304839.0,25447808.153854
乳品,20240105,17.57,2.92,18337457.0,25403008.435465
乳品,20240108,17.51,2.91,18284215.0,25244831.270566
乳品,20240109,17.62,2.93,18395266.0,25377829.330883
乳品,20240110,17.83,2.96,18617298.0,25734323.679137
乳品,20240111,17.88,2.97,18667299.0,25819817.54114
乳品,20240112,17.96,2.98,18750951.0,25902762.810121
乳品,20240115,17.92,2.98,18708425.0,25844029.347461
乳品,20240116,18.1,3.01,18897864.0,26153696.975615
乳品,20240117,17.73,2.94,18509241.0,25554478.898794
乳品,20240118,17.83,2.96,18615195.0,25528007.356948
乳品,20240119,17.84,2.96,18628619.0,25455312.906512
乳品,20240122,17.54,2.91,18305773.0,24765815.568691
乳品,20240123,17.41,2.89,18174577.0,24606251.427098
乳品,20240124,17.71,2.94,18496724.0,25126910.286122
乳品,20240125,17.93,2.98,18720528.0,25486047.081115
乳品,20240126,17.98,2.99,18779818.0,25529984.24219
乳品,20240129,18.08,3.0,18881168.0,25536102.628982
乳品,20240130,17.87,2.97,18660940.0,25134481.953767
乳品,20240131,17.68,2.94,18463338.0,24733559.354396
乳品,20240201,17.57,2.92,18349038.0,24562615.789372
乳品,20240202,17.51,2.91,18285543.0,24406204.704068
乳品,20240205,17.68,2.94,18466809.0,24254533.222253
乳品,20240206,18.02,2.99,18821126.0,24754960.099415
乳品,20240207,18.06,3.0,18864460.0,24711749.920147
乳品,20240208,18.14,3.01,18945055.0,25041394.344129
乳品,20240219,18.26,3.03,19074955.0,25266153.553799
乳品,20240220,18.47,3.07,19286923.0,25520302.111053
乳品,20240221,18.61,3.09,19435268.0,25779618.078051
乳品,20240222,18.75,3.11,19587066.0,26000653.255129
乳品,20240223,18.74,3.11,19571472.0,26035082.316233
乳品,20240226,18.6,3.09,19424740.0,25894922.093132
乳品,20240227,18.5,3.07,19324537.0,25875068.347374
乳品,20240228,18.25,3.03,19061384.0,25369282.624312
乳品,20240229,18.39,3.05,19208144.0,25628071.291045
乳品,20240301,18.35,3.05,19161199.0,25581217.359355
乳品,20240304,18.28,3.04,19089383.0,25484442.925757
乳品,20240305,18.61,3.09,19439315.0,25785009.848664
乳品,20240306,18.43,3.06,19248063.0,25591514.041157
乳品,20240307,18.44,3.06,19259732.0,25578123.314498
乳品,20240308,18.29,3.04,19105695.0,25405013.636055
