name,trade_date,pe,pb,float_mv,total_mv
互联网电商,20240102,33.71,2.53,6188450.0,13205143.074025
互联网电商,20240103,33.82,2.54,6205437.0,13219445.191981
互联网电商,20240104,34.31,2.58,6291850.0,13420685.002655
互联网电商,20240105,33.35,2.5,6122325.0,13068293.620752
互联网电商,20240108,32.77,2.46,6009801.0,12798081.942079
互联网电商,20240109,32.86,2.47,6022673.0,12832772.836486
互联网电商,20240110,32.54,2.44,5966402.0,12733158.953798
互联网电商,20240111,33.04,2.48,6062414.0,12954517.953348
互联网电商,20240112,32.38,2.43,5939266.0,12690422.448506
互联网电商,20240115,32.2,2.42,5914261.0,12692093.832867
互联网电商,20240116,31.5,2.37,5801620.0,12505530.421755
互联网电商,20240117,30.64,2.3,5650043.0,12237240.993258
互联网电商,20240118,30.67,2.3,5661300.0,12307772.207074
互联网电商,20240119,30.62,2.3,5648828.0,12282818.587486
互联网电商,20240122,28.88,2.17,5322050.0,11555444.630459
互联网电商,20240123,29.31,2.2,5393079.0,11671236.198497
互联网电商,20240124,29.74,2.23,5492807.0,11944526.199265
互联网电商,20240125,30.37,2.28,5609534.0,12170142.055462
互联网电商,20240126,30.0,2.25,5535234.0,11996703.983697
互联网电商,20240129,28.78,2.16,5306281.0,11506093.168474
互联网电商,20240130,27.72,2.08,5104082.0,11037627.643259
互联网电商,20240131,26.72,2.01,4908054.0,10589762.525548
互联网电商,20240201,26.26,1.97,4830338.0,10466163.192152
互联网电商,20240202,24.9,1.87,4578687.0,9918049.480436
互联网电商,20240205,22.85,1.72,4188257.0,9074008.947021
互联网电商,20240206,23.68,1.78,4341481.0,9428344.234312
互联网电商,20240207,23.6,1.77,4315180.0,9368556.37894
互联网电商,20240208,25.15,1.89,4604070.0,9965859.32984
互联网电商,20240219,26.28,1.97,4817276.0,10418327.099244
互联网电商,20240220,26.37,1.98,4838974.0,10468403.081012
互联网电商,20240221,26.91,2.02,4936359.0,10646055.646545
互联网电商,20240222,27.64,2.08,5072779.0,10908836.070448
互联网电商,20240223,28.66,2.15,5260135.0,11305608.333451
互联网电商,20240226,28.79,2.17,5311793.0,11426079.889015
互联网电商,20240227,29.95,2.26,5417339.0,11776318.614724
互联网电商,20240228,27.76,2.1,5011748.0,10893604.82799
互联网电商,20240229,29.14,2.2,5265473.0,11370225.486668
互联网电商,20240301,30.23,2.28,5457313.0,11727079.265904
互联网电商,20240304,29.76,2.25,5376441.0,11585663.20887
互联网电商,20240305,29.09,2.2,5252427.0,11322892.899961
互联网电商,20240306,29.14,2.2,5263376.0,11360492.411193
互联网电商,20240307,28.51,2.15,5155102.0,11146792.782515
互联网电商,20240308,28.68,2.17,5184035.0,11210199.014531
互联网电商,20240311,29.34,2.22,5303789.0,11443284.691826
互联网电商,20240312,29.74,2.25,5405533.0,11618000.742887
互联网电商,20240313,29.9,2.26,5434148.0,11662449.103028
互联网电商,20240314,29.39,2.22,5339189.0,11456011.928085
互联网电商,20240315,29.6,2.24,5378092.0,11544229.400329
互联网电商,20240318,30.22,2.28,5493410.0,11776029.720039
互联网电商,20240319,30.2,2.28,5499808.0,11826569.157151
互联网电商,20240320,30.73,2.32,5596261.0,12020524.570956
互联网电商,20240321,30.63,2.31,5572518.0,11945162.213466
互联网电商,20240322,31.14,2.34,5592193.0,11961806.969631
互联网电商,20240325,30.18,2.27,5414278.0,11576431.552735
互联网电商,20240326,30.39,2.28,5447088.0,11596255.224456
互联网电商,20240327,28.83,2.16,5172672.0,11049658.149821
互联网电商,20240328,29.66,2.23,5322728.0,11352230.338993
互联网电商,20240329,29.33,2.21,5310166.0,11356608.599191
互联网电商,20240401,29.74,2.34,5456378.0,11659241.916681
互联网电商,20240402,29.74,2.34,5455252.0,11655252.169833
互联网电商,20240403,29.52,2.32,5417870.0,11564389.474294
互联网电商,20240408,28.36,2.23,5204485.0,11112134.247249
互联网电商,20240409,28.68,2.26,5271068.0,11264677.478596
互联网电商,20240410,27.74,2.18,5095532.0,10923111.238622
互联网电商,20240411,27.65,2.17,5084184.0,10913304.914129
互联网电商,20240412,27.49,2.16,5055302.0,10900756.406379
互联网电商,20240415,26.18,2.02,4805093.0,10275338.16075
互联网电商,20240416,24.8,1.92,4536399.0,9674740.137386
互联网电商,20240417,26.27,2.03,4815954.0,10290817.515017
互联网电商,20240418,25.95,2.0,4769245.0,10213656.504912
互联网电商,20240419,26.02,1.99,4739884.0,10149068.012674
互联网电商,20240422,25.07,1.98,4729591.0,10120796.057954
互联网电商,20240423,25.6,2.02,4830219.0,10326731.8526
互联网电商,20240424,26.2,2.07,4938184.0,10554545.511094
互联网电商,20240425,26.23,2.08,4943803.0,10595351.677038
互联网电商,20240426,26.83,2.11,5000381.0,10738946.888466
互联网电商,20240429,28.12,2.18,5211406.0,11157865.820373
互联网电商,20240430,28.93,2.24,5282294.0,11235997.587528
互联网电商,20240506,27.97,2.26,5338904.0,11379596.571357
