name,trade_date,pe,pb,float_mv,total_mv
人工景区,20240102,54.59,2.41,2504997.0,4586521.109907
人工景区,20240103,55.63,2.46,2552992.0,4679010.27577
人工景区,20240104,55.77,2.46,2559490.0,4695232.109334
人工景区,20240105,55.39,2.44,2541943.0,4670743.25516
人工景区,20240108,55.12,2.43,2529354.0,4652154.566138
人工景区,20240109,57.25,2.53,2627035.0,4836332.683364
人工景区,20240110,56.26,2.48,2581579.0,4748795.473767
人工景区,20240111,56.34,2.49,2585666.0,4753784.699
人工景区,20240112,55.23,2.44,2534611.0,4653811.469172
人工景区,20240115,57.52,2.54,2639652.0,4851202.310055
人工景区,20240116,58.36,2.58,2678134.0,4929784.475768
人工景区,20240117,56.44,2.49,2590234.0,4770201.466257
人工景区,20240118,55.36,2.44,2540465.0,4671183.254902
人工景区,20240119,56.64,2.5,2599284.0,4784923.005042
人工景区,20240122,53.38,2.36,2449648.0,4510220.470039
人工景区,20240123,53.29,2.35,2445367.0,4495652.966574
人工景区,20240124,54.05,2.39,2480442.0,4560326.234317
人工景区,20240125,56.19,2.48,2578426.0,4715137.159347
人工景区,20240126,55.89,2.47,2564606.0,4692384.111942
人工景区,20240129,54.72,2.42,2511197.0,4582656.163288
人工景区,20240130,53.68,2.37,2463538.0,4491654.110939
人工景区,20240131,49.6,2.19,2275993.0,4145440.15419
人工景区,20240201,49.35,2.18,2264857.0,4123161.031774
人工景区,20240202,48.63,2.15,2231400.0,4061570.884712
人工景区,20240205,46.88,2.07,2151523.0,3917279.348551
人工景区,20240206,49.64,2.19,2278064.0,4141728.794721
人工景区,20240207,52.17,2.3,2394218.0,4343988.152053
人工景区,20240208,53.05,2.34,2434246.0,4419913.29847
人工景区,20240219,53.72,2.37,2465203.0,4485048.112184
人工景区,20240220,53.65,2.37,2461863.0,4484804.699173
人工景区,20240221,53.88,2.38,2472466.0,4505542.499726
人工景区,20240222,54.01,2.38,2478357.0,4521010.604354
人工景区,20240223,53.61,2.37,2460303.0,4486922.923698
人工景区,20240226,53.61,2.37,2460023.0,4485464.968025
人工景区,20240227,54.42,2.4,2497295.0,4551080.404637
人工景区,20240228,53.98,2.38,2477314.0,4512916.290459
人工景区,20240229,55.29,2.44,2537242.0,4620898.781895
人工景区,20240301,55.9,2.47,2565059.0,4674828.862978
人工景区,20240304,55.71,2.46,2556549.0,4663526.827463
人工景区,20240305,55.9,2.47,2565180.0,4681673.837418
人工景区,20240306,55.81,2.46,2561180.0,4680575.542312
人工景区,20240307,56.47,2.49,2591401.0,4739919.74728
人工景区,20240308,55.52,2.45,2547669.0,4650895.414145
人工景区,20240311,56.13,2.48,2575808.0,4700468.903624
人工景区,20240312,57.33,2.53,2630748.0,4799575.769084
人工景区,20240313,56.72,2.5,2602823.0,4747108.235017
人工景区,20240314,56.73,2.5,2603297.0,4750231.71796
人工景区,20240315,56.91,2.51,2611551.0,4762137.98091
人工景区,20240318,57.36,2.53,2632357.0,4805145.442272
人工景区,20240319,57.47,2.54,2637226.0,4822658.065155
人工景区,20240320,58.1,2.56,2666266.0,4875161.800518
人工景区,20240321,58.52,2.58,2685325.0,4914515.471606
人工景区,20240322,57.12,2.52,2621110.0,4796719.718496
人工景区,20240325,56.12,2.48,2575268.0,4713929.551378
人工景区,20240326,55.69,2.46,2555502.0,4672623.036856
人工景区,20240327,55.0,2.43,2523857.0,4618043.398197
人工景区,20240328,55.5,2.45,2546833.0,4659284.041101
人工景区,20240329,56.6,2.5,2597231.0,4756935.301856
人工景区,20240401,58.82,2.62,2699117.0,4941938.184651
人工景区,20240402,58.74,2.62,2695448.0,4939421.194204
人工景区,20240403,47.02,2.61,2682935.0,4914698.246548
人工景区,20240408,45.7,2.54,2607821.0,4777541.438035
人工景区,20240409,47.06,2.61,2685100.0,4915464.452477
人工景区,20240410,46.63,2.59,2661092.0,4865382.596502
人工景区,20240411,47.8,2.65,2727440.0,4984081.232807
人工景区,20240412,47.79,2.65,2726979.0,5004231.862953
人工景区,20240415,46.78,2.6,2669577.0,4908163.919079
人工景区,20240416,44.71,2.48,2551219.0,4662509.409091
人工景区,20240417,45.82,2.54,2614365.0,4753909.132613
人工景区,20240418,45.7,2.54,2607714.0,4747007.198866
人工景区,20240419,44.41,2.46,2534111.0,4596083.776259
人工景区,20240422,45.63,2.53,2603923.0,4728187.685995
人工景区,20240423,44.46,2.47,2537034.0,4618805.355145
人工景区,20240424,47.33,2.53,2597127.0,4727326.907283
人工景区,20240425,46.89,2.51,2572531.0,4684687.299784
人工景区,20240426,160.41,2.61,2568297.0,4675074.842263
人工景区,20240429,165.37,2.73,2647755.0,4821538.456521
人工景区,20240430,161.76,2.68,2589919.0,4724576.169593
人工景区,20240506,137.62,2.64,2556526.0,4660540.715865
人工景区,20240507,137.69,2.64,2557826.0,4668006.892107
人工景区,20240508,135.25,2.6,2512525.0,4587099.543923
人工景区,20240509,136.5,2.62,2535747.0,4628718.723817
人工景区,20240510,137.96,2.65,2562962.0,4683280.089979
人工景区,20240513,135.17,2.59,2511078.0,4588935.381909
人工景区,20240514,134.22,2.58,2493514.0,4557016.970776
人工景区,20240515,133.37,2.56,2477617.0,4527662.228128
人工景区,20240516,134.24,2.58,2493906.0,4560802.17438
人工景区,20240517,135.79,2.61,2522604.0,4609480.729639
人工景区,20240520,137.81,2.64,2560194.0,4683020.402045
人工景区,20240521,138.02,2.65,2564005.0,4691636.062766
人工景区,20240522,136.45,2.62,2534839.0,4631990.743021
人工景区,20240523,132.15,2.54,2455070.0,4485475.087366
人工景区,20240524,131.09,2.52,2435223.0,4449361.528471
人工景区,20240527,131.87,2.53,2449840.0,4474734.271764
人工景区,20240528,130.67,2.51,2427479.0,4435873.048311
人工景区,20240529,132.98,2.55,2470342.0,4517184.620694
人工景区,20240530,131.7,2.53,2446585.0,4468842.977468
人工景区,20240531,132.51,2.54,2461720.0,4496578.874099
人工景区,20240603,129.23,2.48,2400842.0,4386067.08069
人工景区,20240604,130.14,2.5,2417630.0,4414475.701207
人工景区,20240605,128.65,2.47,2389953.0,4364044.130288
人工景区,20240606,122.69,2.39,2239512.0,4263735.387388
人工景区,20240607,123.86,2.41,2260846.0,4304864.646499
人工景区,20240611,121.92,2.37,2225439.0,4235167.198438
人工景区,20240612,120.68,2.35,2202923.0,4189670.406031
人工景区,20240613,119.38,2.32,2157824.0,4116915.324584
人工景区,20240614,119.37,2.32,2157745.0,4116346.191788
人工景区,20240617,119.2,2.31,2154548.0,4110108.670052
人工景区,20240618,118.74,2.3,2146248.0,4091212.504337
人工景区,20240619,117.07,2.27,2116124.0,4032971.420962
人工景区,20240620,,2.2,172232.0,3896772.503269
人工景区,20240621,112.79,2.19,2038781.0,3881963.091006
人工景区,20240624,108.69,2.11,1964614.0,3740987.927946
人工景区,20240625,110.65,2.15,1999989.0,3813228.285873
人工景区,20240626,111.77,2.17,2020243.0,3850432.754394
人工景区,20240627,110.5,2.14,1997324.0,3806186.72301
人工景区,20240628,109.8,2.13,1984790.0,3781003.946578
人工景区,20240701,111.84,2.17,2021546.0,3851329.153502
人工景区,20240702,111.59,2.16,2017120.0,3843852.457348
人工景区,20240703,111.97,2.17,2024020.0,3855992.280606
人工景区,20240704,108.13,2.1,1954592.0,3722091.137848
人工景区,20240705,109.17,2.12,1973307.0,3756630.093875
人工景区,20240708,106.95,2.07,1933214.0,3679645.212334
人工景区,20240709,108.07,2.1,1953431.0,3717760.693619
人工景区,20240710,106.73,2.07,1929196.0,3669613.395341
人工景区,20240711,110.58,2.15,1998840.0,3802689.987472
人工景区,20240712,111.3,2.16,2011810.0,3828981.695492
人工景区,20240715,108.59,2.11,1962889.0,3730588.043457
人工景区,20240716,107.91,2.09,1950526.0,3707424.955766
人工景区,20240717,108.38,2.1,1959078.0,3721674.006053
人工景区,20240718,109.79,2.13,1984473.0,3769064.490016
人工景区,20240719,108.81,2.11,1966799.0,3734400.990323
人工景区,20240722,107.69,2.09,1946570.0,3693892.227476
人工景区,20240723,105.16,2.04,1900901.0,3605791.50919
人工景区,20240724,104.95,2.04,1897091.0,3600590.675089
人工景区,20240725,105.12,2.04,1900043.0,3607180.749886
人工景区,20240726,105.96,2.06,1915308.0,3635352.682073
