name,trade_date,pe,pb,float_mv,total_mv
休闲食品,20240102,30.62,2.66,6186935.0,15925635.242244
休闲食品,20240103,30.45,2.64,6153120.0,15838258.761601
休闲食品,20240104,29.91,2.6,6045027.0,15580154.921844
休闲食品,20240105,29.51,2.56,5964154.0,15389521.521377
休闲食品,20240108,29.02,2.52,5865210.0,15088280.704146
休闲食品,20240109,29.14,2.53,5888393.0,15142434.733329
休闲食品,20240110,30.01,2.6,6064893.0,15653834.013624
休闲食品,20240111,30.26,2.63,6115621.0,15765975.533652
休闲食品,20240112,30.71,2.67,6206919.0,16001437.794379
休闲食品,20240115,30.89,2.68,6242890.0,16100100.625299
休闲食品,20240116,31.11,2.7,6287362.0,16215823.410911
休闲食品,20240117,30.38,2.64,6143942.0,15841027.069266
休闲食品,20240118,30.06,2.61,6079276.0,15676809.984008
休闲食品,20240119,29.81,2.59,6028824.0,15543971.275509
休闲食品,20240122,27.9,2.42,5643411.0,14545802.329923
休闲食品,20240123,27.64,2.4,5590918.0,14430201.849964
休闲食品,20240124,28.03,2.43,5669666.0,14663985.334353
休闲食品,20240125,28.69,2.49,5803087.0,14988118.030423
休闲食品,20240126,28.42,2.47,5746935.0,14828202.250475
休闲食品,20240129,27.97,2.43,5656655.0,14563363.480033
休闲食品,20240130,26.93,2.34,5445779.0,13996296.444229
休闲食品,20240131,25.99,2.26,5264081.0,13523898.553361
休闲食品,20240201,25.93,2.25,5251570.0,13509044.982852
休闲食品,20240202,25.33,2.2,5129737.0,13189239.969721
休闲食品,20240205,24.09,2.09,4880011.0,12486314.652915
休闲食品,20240206,25.5,2.21,5165156.0,13199056.650457
休闲食品,20240207,26.17,2.27,5301088.0,13528555.539927
休闲食品,20240208,26.8,2.33,5428857.0,13903201.294733
休闲食品,20240219,26.78,2.33,5413383.0,13929188.407719
休闲食品,20240220,26.73,2.32,5403759.0,13893767.137422
休闲食品,20240221,27.36,2.38,5531749.0,14241004.288701
休闲食品,20240222,27.36,2.38,5530599.0,14244816.804479
休闲食品,20240223,27.47,2.39,5552712.0,14295445.940446
休闲食品,20240226,27.39,2.38,5536507.0,14274753.891502
休闲食品,20240227,27.89,2.42,5638847.0,14521993.036514
休闲食品,20240228,26.88,2.34,5434501.0,13972774.997548
休闲食品,20240229,27.43,2.38,5544705.0,14250578.696763
休闲食品,20240301,27.41,2.38,5541825.0,14260623.054114
休闲食品,20240304,27.57,2.4,5574327.0,14352263.242761
休闲食品,20240305,27.22,2.37,5503738.0,14178258.301714
休闲食品,20240306,27.02,2.35,5463009.0,14072300.042948
休闲食品,20240307,26.78,2.33,5420360.0,13949019.820646
休闲食品,20240308,26.72,2.32,5407996.0,13924652.969199
休闲食品,20240311,27.58,2.4,5582569.0,14365957.195441
休闲食品,20240312,28.07,2.46,5717366.0,14700125.371659
休闲食品,20240313,27.88,2.44,5678633.0,14632482.649336
休闲食品,20240314,27.66,2.42,5633793.0,14507626.693054
休闲食品,20240315,27.84,2.44,5669929.0,14617727.312511
休闲食品,20240318,28.07,2.44,5683050.0,14629577.027168
休闲食品,20240319,28.07,2.44,5683210.0,14635030.131689
休闲食品,20240320,27.96,2.43,5661473.0,14577354.918056
休闲食品,20240321,28.09,2.42,5649898.0,14568584.884319
休闲食品,20240322,27.32,2.35,5503131.0,14170638.02402
休闲食品,20240325,27.03,2.33,5445391.0,13981403.621132
休闲食品,20240326,27.26,2.36,5510619.0,14181580.309452
休闲食品,20240327,27.58,2.39,5597386.0,14434020.391327
休闲食品,20240328,27.45,2.4,5616210.0,14468013.111755
休闲食品,20240329,27.69,2.42,5671889.0,14574622.680813
休闲食品,20240401,28.1,2.47,5778243.0,14857595.052116
休闲食品,20240402,27.93,2.45,5742997.0,14775800.796645
休闲食品,20240403,28.05,2.46,5767443.0,14858157.541828
休闲食品,20240408,27.68,2.43,5691302.0,14640902.698462
休闲食品,20240409,27.66,2.45,5729524.0,14746772.264569
休闲食品,20240410,27.2,2.4,5626719.0,14508254.752814
休闲食品,20240411,27.36,2.41,5658222.0,14595359.271807
休闲食品,20240412,27.05,2.39,5594776.0,14441140.058072
休闲食品,20240415,26.48,2.34,5477116.0,14154649.706237
休闲食品,20240416,25.6,2.26,5295129.0,13700117.242806
休闲食品,20240417,26.25,2.31,5429991.0,14032791.653614
休闲食品,20240418,26.69,2.34,5575057.0,14314992.291908
休闲食品,20240419,26.43,2.32,5521623.0,14173793.384186
休闲食品,20240422,26.53,2.35,5608462.0,14376718.62292
休闲食品,20240423,26.76,2.37,5657227.0,14465963.37745
休闲食品,20240424,26.28,2.34,5600610.0,14337896.083287
休闲食品,20240425,26.02,2.32,5545857.0,14203335.096812
休闲食品,20240426,26.88,2.32,5593055.0,14308998.123378
休闲食品,20240429,27.98,2.36,5691765.0,14568369.123603
休闲食品,20240430,28.85,2.39,5785492.0,14751719.866951
休闲食品,20240506,27.99,2.43,5879641.0,15023655.806227
休闲食品,20240507,28.14,2.45,5911594.0,15100056.738185
休闲食品,20240508,27.78,2.41,5835418.0,14899976.09055
休闲食品,20240509,27.97,2.43,5876358.0,14998429.490312
休闲食品,20240510,27.79,2.42,5837916.0,14876066.763723
休闲食品,20240513,27.33,2.38,5741548.0,14657770.147163
休闲食品,20240514,27.63,2.4,5805205.0,14835656.265957
休闲食品,20240515,27.15,2.36,5702524.0,14571739.767288
休闲食品,20240516,27.05,2.35,5682190.0,14514026.686998
休闲食品,20240517,27.47,2.39,5771572.0,14726669.716662
休闲食品,20240520,27.49,2.39,5787098.0,14771093.209273
休闲食品,20240521,27.45,2.39,5779217.0,14743631.098082
休闲食品,20240522,27.15,2.36,5716015.0,14571375.863311
休闲食品,20240523,26.37,2.31,5622380.0,14160364.282229
休闲食品,20240524,26.03,2.28,5548237.0,13959218.83424
休闲食品,20240527,26.05,2.28,5552420.0,14000202.327662
休闲食品,20240528,25.72,2.25,5482128.0,13815450.077733
休闲食品,20240529,25.57,2.24,5451089.0,13752465.641872
休闲食品,20240530,25.38,2.22,5409893.0,13656509.428105
休闲食品,20240531,25.36,2.22,5406268.0,13634264.327108
休闲食品,20240603,25.07,2.2,5344250.0,13487712.184678
休闲食品,20240604,25.32,2.22,5397615.0,13612018.53039
休闲食品,20240605,24.77,2.17,5281361.0,13318126.835739
休闲食品,20240606,24.11,2.11,5139837.0,12963861.02557
休闲食品,20240607,24.21,2.12,5160749.0,13022271.308445
休闲食品,20240611,24.2,2.12,5158550.0,13028245.609049
休闲食品,20240612,24.3,2.13,5179643.0,13075474.133486
