name,trade_date,pe,pb,float_mv,total_mv
低市净率指数,20240102,6.52,0.54,436479238.0,1430885038.09914
低市净率指数,20240103,6.56,0.54,439135102.0,1444771246.14571
低市净率指数,20240104,6.55,0.54,438008877.0,1449074588.40992
低市净率指数,20240105,6.57,0.54,439450482.0,1451906471.16226
低市净率指数,20240108,6.49,0.54,434216212.0,1438434634.87295
低市净率指数,20240109,6.51,0.54,435345896.0,1441112678.6965
低市净率指数,20240110,6.47,0.54,432598324.0,1431879268.33899
低市净率指数,20240111,6.48,0.54,433230474.0,1424003269.21505
低市净率指数,20240112,6.49,0.54,434295828.0,1429866394.39957
低市净率指数,20240115,6.52,0.54,436085893.0,1438266546.58702
低市净率指数,20240116,6.56,0.54,438657447.0,1446457401.84323
低市净率指数,20240117,6.47,0.54,432662863.0,1427429711.82356
低市净率指数,20240118,6.47,0.54,432697364.0,1424664395.25587
低市净率指数,20240119,6.46,0.54,431983718.0,1421937089.03234
低市净率指数,20240122,6.36,0.53,424998388.0,1403239010.17384
低市净率指数,20240123,6.37,0.53,426245305.0,1406521222.75944
低市净率指数,20240124,6.54,0.54,437376461.0,1444484170.20496
低市净率指数,20240125,6.74,0.56,450880580.0,1495589946.551
低市净率指数,20240126,6.87,0.57,452490864.0,1521755534.13588
低市净率指数,20240129,6.87,0.57,453005743.0,1527868831.42838
低市净率指数,20240130,6.78,0.56,446834777.0,1511742608.99705
低市净率指数,20240131,6.73,0.55,443588024.0,1506221246.38496
低市净率指数,20240201,6.66,0.55,438348058.0,1487666075.09911
低市净率指数,20240202,6.62,0.55,435869393.0,1485190842.24405
低市净率指数,20240205,6.57,0.54,432781255.0,1489097286.11046
低市净率指数,20240206,6.72,0.55,442767805.0,1512561522.65493
低市净率指数,20240207,6.77,0.56,445812938.0,1515788607.53107
低市净率指数,20240208,6.82,0.56,448997748.0,1517271182.01809
低市净率指数,20240219,6.89,0.57,453831350.0,1547115917.32702
低市净率指数,20240220,6.93,0.57,456149532.0,1556245967.63504
低市净率指数,20240221,7.06,0.58,464694159.0,1579471720.24794
低市净率指数,20240222,7.09,0.58,466943268.0,1594495265.30499
低市净率指数,20240223,7.12,0.59,469178855.0,1600448975.32818
低市净率指数,20240226,6.98,0.58,459996026.0,1564871452.53203
低市净率指数,20240227,7.02,0.58,462476244.0,1571333473.789
低市净率指数,20240228,6.96,0.57,458413900.0,1562852325.84332
低市净率指数,20240229,7.02,0.58,462859794.0,1574618327.26891
低市净率指数,20240301,7.02,0.58,462335933.0,1572859019.39577
低市净率指数,20240304,6.95,0.57,458219193.0,1569973550.84238
低市净率指数,20240305,7.01,0.58,461928048.0,1585862048.68875
低市净率指数,20240306,6.98,0.58,459758629.0,1573852693.54381
低市净率指数,20240307,6.99,0.58,460814676.0,1579040089.01398
低市净率指数,20240308,7.0,0.58,461487742.0,1582710547.98731
低市净率指数,20240311,7.02,0.58,462617854.0,1579063603.64754
低市净率指数,20240312,6.99,0.58,461190413.0,1558597117.19129
低市净率指数,20240313,6.92,0.57,456078504.0,1545852903.76206
低市净率指数,20240314,6.92,0.57,456456872.0,1551268437.58177
低市净率指数,20240315,6.98,0.57,458900414.0,1558162556.77849
低市净率指数,20240318,7.0,0.58,460418536.0,1561481425.33701
低市净率指数,20240319,6.93,0.57,456109844.0,1548978971.38178
低市净率指数,20240320,6.98,0.57,458631299.0,1563415252.07018
低市净率指数,20240321,6.99,0.58,460178246.0,1567957604.50794
低市净率指数,20240322,6.98,0.57,454927532.0,1556509271.67245
低市净率指数,20240325,6.98,0.57,454742329.0,1562012333.70091
低市净率指数,20240326,7.04,0.57,459136838.0,1573464105.46352
低市净率指数,20240327,7.0,0.57,456731917.0,1570909964.52545
低市净率指数,20240328,7.0,0.57,455167895.0,1560699432.48887
低市净率指数,20240329,7.18,0.57,457457779.0,1580220116.9708
低市净率指数,20240401,7.26,0.57,462195107.0,1589931269.10533
低市净率指数,20240402,7.27,0.57,462720853.0,1602099685.87111
低市净率指数,20240403,7.24,0.57,461249352.0,1603181632.49724
低市净率指数,20240408,7.23,0.57,460595201.0,1608463283.14354
低市净率指数,20240409,7.21,0.57,459069911.0,1596725581.48602
低市净率指数,20240410,7.16,0.57,456009388.0,1594133994.438
低市净率指数,20240411,7.17,0.57,456695799.0,1594896124.55706
低市净率指数,20240412,7.09,0.56,451815674.0,1584803232.74868
低市净率指数,20240415,7.21,0.57,459436621.0,1620395136.06127
低市净率指数,20240416,7.17,0.56,455990082.0,1619336752.45744
低市净率指数,20240417,7.31,0.58,465174244.0,1644302384.60609
低市净率指数,20240418,7.35,0.58,467328191.0,1647074872.11285
低市净率指数,20240419,7.34,0.58,467187749.0,1652428771.59309
