name,trade_date,pe,pb,float_mv,total_mv
住宅开发,20240102,11.11,0.65,38506041.0,78424609.842565
住宅开发,20240103,11.16,0.66,38678432.0,78822231.767788
住宅开发,20240104,11.01,0.65,38183603.0,77850661.055844
住宅开发,20240105,11.01,0.65,38175242.0,77775705.139562
住宅开发,20240108,10.71,0.63,37023401.0,76415461.119827
住宅开发,20240109,10.77,0.64,37224623.0,76878681.20365
住宅开发,20240110,10.74,0.63,37096586.0,76645018.264344
住宅开发,20240111,10.82,0.64,37393552.0,77295293.434565
住宅开发,20240112,10.8,0.64,37314989.0,77138200.344161
住宅开发,20240115,10.83,0.64,37442434.0,77440114.655017
住宅开发,20240116,10.72,0.63,37052970.0,76675114.896503
住宅开发,20240117,10.43,0.62,36053550.0,74646776.952938
住宅开发,20240118,10.43,0.61,36042243.0,74533747.055843
住宅开发,20240119,10.41,0.61,35963792.0,74547890.180882
住宅开发,20240122,9.94,0.59,34359456.0,71163600.110122
住宅开发,20240123,10.08,0.6,34818954.0,72331536.410703
住宅开发,20240124,10.42,0.62,35976331.0,74859972.69387
住宅开发,20240125,10.96,0.65,37862646.0,78815029.570023
住宅开发,20240126,11.29,0.67,38977770.0,81299238.077027
住宅开发,20240129,11.12,0.66,38380514.0,80171037.768741
住宅开发,20240130,10.74,0.64,37075191.0,77308044.838956
住宅开发,20240131,10.35,0.61,35721507.0,74226391.282039
住宅开发,20240201,10.09,0.6,34834380.0,72337209.478568
住宅开发,20240202,10.03,0.59,34635322.0,71872266.431865
住宅开发,20240205,9.49,0.56,32768603.0,67885635.697374
住宅开发,20240206,9.59,0.57,33063845.0,68310861.636261
住宅开发,20240207,9.53,0.56,32869484.0,67943645.347157
住宅开发,20240208,10.02,0.59,34566732.0,71430735.620955
住宅开发,20240219,10.07,0.6,34742596.0,71867633.352862
住宅开发,20240220,10.15,0.6,35004093.0,72454588.633364
住宅开发,20240221,10.36,0.61,35690134.0,73937073.776292
住宅开发,20240222,10.36,0.61,35681458.0,73934632.525474
住宅开发,20240223,10.44,0.62,35970699.0,74549101.520699
住宅开发,20240226,10.36,0.61,35688198.0,74012395.36566
住宅开发,20240227,10.54,0.63,36301942.0,75337712.32178
住宅开发,20240228,10.22,0.61,35205780.0,73056582.31334
住宅开发,20240229,10.39,0.62,35763593.0,74242195.173749
住宅开发,20240301,10.29,0.61,35440350.0,73584402.944899
住宅开发,20240304,9.98,0.59,34353754.0,71493195.549819
住宅开发,20240305,9.95,0.59,34254992.0,71202432.967033
住宅开发,20240306,9.89,0.59,34074406.0,70828339.804544
住宅开发,20240307,9.82,0.58,33805031.0,70254723.698729
住宅开发,20240308,9.77,0.58,33645747.0,69940695.049226
住宅开发,20240311,10.03,0.59,34536164.0,71742081.376483
住宅开发,20240312,10.44,0.62,35968260.0,74737630.113195
住宅开发,20240313,10.19,0.6,35077869.0,72880867.221784
住宅开发,20240314,10.25,0.61,35279741.0,73299039.636916
