name,trade_date,pe,pb,float_mv,total_mv
体外诊断,20240102,28.13,1.99,14738950.0,32241564.351529
体外诊断,20240103,28.06,1.99,14705084.0,32127568.34122
体外诊断,20240104,28.38,2.01,14882825.0,32349933.056863
体外诊断,20240105,28.07,1.99,14674536.0,31835634.81593
体外诊断,20240108,27.47,1.94,14359731.0,31250000.464311
体外诊断,20240109,27.45,1.94,14373650.0,31308207.740147
体外诊断,20240110,27.28,1.93,14287349.0,31115941.303099
体外诊断,20240111,27.43,1.94,14390979.0,31309314.121806
体外诊断,20240112,27.08,1.92,14207321.0,31017403.709023
体外诊断,20240115,27.0,1.91,14187785.0,30885867.117426
体外诊断,20240116,26.77,1.89,14077024.0,30742619.7751
体外诊断,20240117,26.17,1.85,13758426.0,30056606.792914
体外诊断,20240118,25.97,1.84,13636251.0,29791982.259295
体外诊断,20240119,25.8,1.83,13566272.0,29636697.123617
体外诊断,20240122,24.44,1.73,12846314.0,28083096.075066
体外诊断,20240123,24.66,1.74,12943117.0,28362916.745404
体外诊断,20240124,25.06,1.77,13117012.0,28805645.68085
体外诊断,20240125,25.63,1.81,13493368.0,29516025.181894
体外诊断,20240126,25.29,1.79,13319637.0,29076692.216969
体外诊断,20240129,24.7,1.75,13030760.0,28476810.521011
体外诊断,20240130,24.23,1.71,12738196.0,27897755.759889
体外诊断,20240131,23.12,1.63,12160532.0,26798603.080183
体外诊断,20240201,23.28,1.65,12225339.0,26948592.930084
体外诊断,20240202,22.6,1.6,11871456.0,26384367.372357
体外诊断,20240205,21.69,1.53,11407474.0,25572516.705834
体外诊断,20240206,23.51,1.67,12286960.0,27405170.876284
体外诊断,20240207,24.24,1.72,12601200.0,27941474.704652
体外诊断,20240208,24.8,1.76,13043190.0,28689520.311917
体外诊断,20240219,25.02,1.77,13134896.0,28996707.226545
体外诊断,20240220,25.29,1.79,13257861.0,29328279.207277
体外诊断,20240221,25.19,1.78,13221675.0,29175069.339077
体外诊断,20240222,25.18,1.79,13254888.0,29346119.782554
体外诊断,20240223,25.3,1.8,13341784.0,29486593.074322
体外诊断,20240226,25.76,1.83,13602677.0,30203023.900181
体外诊断,20240227,26.1,1.85,13800896.0,30611920.24193
体外诊断,20240228,25.52,1.81,13420047.0,29914452.151484
体外诊断,20240229,26.4,1.88,13863339.0,30975716.741849
体外诊断,20240301,26.45,1.88,13879418.0,30918241.020053
体外诊断,20240304,26.74,1.9,14013234.0,31159611.782555
体外诊断,20240305,26.44,1.88,13821331.0,30806061.772661
体外诊断,20240306,26.4,1.88,13770537.0,30710105.702183
体外诊断,20240307,25.89,1.84,13484348.0,30069333.286965
体外诊断,20240308,26.03,1.85,13626464.0,30231737.806723
体外诊断,20240311,26.4,1.88,13884997.0,30738816.41365
体外诊断,20240312,26.5,1.88,13950941.0,30801366.604091
体外诊断,20240313,26.54,1.89,13963557.0,30821275.952418
体外诊断,20240314,26.53,1.89,13936616.0,30807902.87442
体外诊断,20240315,26.75,1.9,14042453.0,30981592.742847
体外诊断,20240318,26.91,1.91,14262552.0,31382104.207462
体外诊断,20240319,26.71,1.9,14140031.0,31046426.609771
体外诊断,20240320,27.19,1.93,14383894.0,31303119.371221
体外诊断,20240321,27.26,1.94,14360659.0,31065541.19358
体外诊断,20240322,27.13,1.93,14283756.0,30928720.275496
体外诊断,20240325,26.31,1.88,13838279.0,30115262.049579
体外诊断,20240326,25.83,1.84,13624170.0,29746641.685128
体外诊断,20240327,25.44,1.82,13397633.0,29310202.862545
体外诊断,20240328,25.14,1.8,13320073.0,28784432.933721
体外诊断,20240329,25.18,1.8,13413966.0,28927024.010853
体外诊断,20240401,29.2,1.83,13574773.0,29326974.172025
体外诊断,20240402,28.7,1.79,13400817.0,28954741.81889
体外诊断,20240403,28.4,1.77,13315932.0,28741585.321827
体外诊断,20240408,27.83,1.74,13005441.0,28264056.257696
体外诊断,20240409,28.65,1.79,13378169.0,29071902.119765
体外诊断,20240410,27.97,1.75,13064988.0,28386574.3481
体外诊断,20240411,27.72,1.73,12946591.0,28111713.935371
体外诊断,20240412,27.33,1.71,12791726.0,27786421.698214
体外诊断,20240415,27.06,1.69,12638959.0,27482259.161836
