name,trade_date,pe,pb,float_mv,total_mv
光伏设备,20240102,11.8,2.51,76426793.0,153910006.042784
光伏设备,20240103,11.79,2.51,76395170.0,153977845.579746
光伏设备,20240104,11.55,2.46,74941465.0,151300763.99278
光伏设备,20240105,11.28,2.4,73144838.0,147792510.990925
光伏设备,20240108,11.28,2.4,73022844.0,147416502.193044
光伏设备,20240109,11.57,2.46,74824760.0,150774591.712131
光伏设备,20240110,11.8,2.51,76541605.0,155580226.518455
光伏设备,20240111,11.96,2.54,77732380.0,158419179.57576
光伏设备,20240112,12.01,2.55,78159575.0,159240227.464004
光伏设备,20240115,11.86,2.52,77177640.0,157548020.122502
光伏设备,20240116,12.08,2.57,78550799.0,160283449.71298
光伏设备,20240117,11.65,2.48,75791931.0,154705379.055121
光伏设备,20240118,12.3,2.62,79564503.0,161782033.490058
光伏设备,20240119,11.93,2.54,77213576.0,156981817.36947
光伏设备,20240122,11.65,2.48,75189215.0,152697588.323968
光伏设备,20240123,11.9,2.53,76869478.0,156335402.989603
光伏设备,20240124,11.72,2.49,75481975.0,153534261.340122
光伏设备,20240125,11.83,2.52,76350932.0,154456199.916227
光伏设备,20240126,11.59,2.46,74771838.0,151250893.276348
光伏设备,20240129,10.72,2.28,69125726.0,139907431.666111
光伏设备,20240130,10.41,2.22,67225988.0,136247744.617685
光伏设备,20240131,10.09,2.15,65205870.0,132465149.350481
光伏设备,20240201,10.37,2.2,66973194.0,135445955.517907
光伏设备,20240202,9.81,2.08,63405097.0,129555097.539062
光伏设备,20240205,9.46,2.01,61211752.0,125172370.550187
光伏设备,20240206,10.1,2.15,65492486.0,133663846.328249
光伏设备,20240207,10.31,2.19,66798647.0,136027215.18383
光伏设备,20240208,10.56,2.25,68474933.0,139745968.256681
光伏设备,20240219,10.58,2.25,68413588.0,139709524.848201
光伏设备,20240220,10.47,2.23,67689264.0,138244393.349852
光伏设备,20240221,10.63,2.26,68840499.0,140794647.115032
光伏设备,20240222,10.79,2.3,69858452.0,142936800.419253
光伏设备,20240223,10.97,2.34,71101915.0,145637911.753368
光伏设备,20240226,10.89,2.32,70544862.0,144555049.499493
光伏设备,20240227,11.11,2.37,71996262.0,147570598.404551
光伏设备,20240228,10.91,2.32,70593904.0,144455604.693312
光伏设备,20240229,11.25,2.4,72930999.0,149332575.296471
光伏设备,20240301,11.36,2.42,73558265.0,150373738.849908
光伏设备,20240304,11.44,2.44,73993490.0,151083742.858467
光伏设备,20240305,11.24,2.4,72670845.0,148432338.859226
光伏设备,20240306,11.58,2.47,74915748.0,153060394.515153
光伏设备,20240307,11.25,2.4,72751915.0,148737830.427508
光伏设备,20240308,11.8,2.51,76287822.0,155869304.376174
光伏设备,20240311,12.36,2.63,79716973.0,162762345.619653
光伏设备,20240312,12.34,2.62,79457622.0,162051294.462945
光伏设备,20240313,12.33,2.59,78508345.0,160036791.041631
光伏设备,20240314,12.15,2.55,77352624.0,157562941.131429
光伏设备,20240315,12.01,2.52,76646944.0,156326018.403129
光伏设备,20240318,12.25,2.57,78174074.0,159424399.088765
光伏设备,20240319,12.07,2.54,76991181.0,157253883.711845
光伏设备,20240320,12.09,2.54,77048744.0,157255846.950571
光伏设备,20240321,11.89,2.5,75671091.0,154368014.463601
光伏设备,20240322,11.56,2.43,73432660.0,149814915.295519
光伏设备,20240325,11.42,2.4,72555105.0,148078069.511909
光伏设备,20240326,11.55,2.43,73436367.0,149879274.19784
光伏设备,20240327,11.16,2.35,70899596.0,144670756.471146
光伏设备,20240328,11.22,2.36,71368634.0,145608461.395201
光伏设备,20240329,11.23,2.36,71383075.0,145595671.619466
光伏设备,20240401,11.62,2.45,73909516.0,150632716.403481
光伏设备,20240402,11.54,2.43,73446711.0,149663391.379129
光伏设备,20240403,11.41,2.4,72599551.0,147883124.456506
光伏设备,20240408,11.05,2.33,70280140.0,143035712.766237
光伏设备,20240409,11.24,2.36,71530370.0,145764800.923363
光伏设备,20240410,10.96,2.31,69849692.0,142288676.837607
光伏设备,20240411,10.92,2.3,69601554.0,141801501.355511
光伏设备,20240412,10.62,2.24,67729485.0,138094860.167991
光伏设备,20240415,10.72,2.25,68235874.0,138994346.236043
光伏设备,20240416,10.37,2.18,66104832.0,134663231.381416
光伏设备,20240417,10.62,2.23,67726999.0,138095741.068715
光伏设备,20240418,10.55,2.22,67289585.0,137230576.639536
光伏设备,20240419,10.22,2.15,65243005.0,133156853.565709
光伏设备,20240422,10.32,2.17,65813348.0,134132424.529058
光伏设备,20240423,10.14,2.13,65202900.0,132805602.085412
光伏设备,20240424,10.0,2.1,64201807.0,130888063.653727
光伏设备,20240425,10.05,2.1,64303243.0,131108846.554894
光伏设备,20240426,11.06,2.18,65943005.0,134449987.051497
光伏设备,20240429,11.99,2.27,68772516.0,140160523.470241
光伏设备,20240430,14.03,2.24,66911883.0,136651356.071599
光伏设备,20240506,28.13,2.21,67935767.0,138881553.874816
光伏设备,20240507,28.38,2.23,68552159.0,140168855.726648
光伏设备,20240508,27.83,2.19,67231708.0,137444660.02783
光伏设备,20240509,28.69,2.26,69303855.0,141571645.504524
光伏设备,20240510,28.33,2.23,68437143.0,139883122.928147
光伏设备,20240513,28.25,2.22,68233273.0,139373701.514434
光伏设备,20240514,27.94,2.2,67491044.0,138001884.861218
光伏设备,20240515,27.76,2.18,67053833.0,136973604.695967
光伏设备,20240516,27.68,2.18,66843060.0,136481047.992902
光伏设备,20240517,27.48,2.16,66377070.0,135643372.360394
光伏设备,20240520,27.53,2.17,66482792.0,136119782.592336
光伏设备,20240521,27.11,2.13,65487507.0,134090612.318948
光伏设备,20240522,29.19,2.3,71144780.0,143844096.877201
光伏设备,20240523,28.49,2.25,69434355.0,140352140.792362
光伏设备,20240524,28.06,2.21,68382771.0,138323898.520465
光伏设备,20240527,27.69,2.19,67481688.0,136609956.263803
光伏设备,20240528,27.47,2.17,66946016.0,135578263.406589
