name,trade_date,pe,pb,float_mv,total_mv
光学元件,20240102,89.35,4.07,9596680.0,17897970.762734
光学元件,20240103,88.2,4.02,9421736.0,17529369.577589
光学元件,20240104,88.02,4.01,9368601.0,17364831.757681
光学元件,20240105,85.72,3.9,9108732.0,16865480.426757
光学元件,20240108,82.7,3.77,8774971.0,16239531.902867
光学元件,20240109,82.0,3.73,8745873.0,16212939.926898
光学元件,20240110,80.06,3.65,8539054.0,15811908.249801
光学元件,20240111,81.9,3.73,8731319.0,16167865.401485
光学元件,20240112,80.65,3.67,8543026.0,15781932.827456
光学元件,20240115,80.44,3.66,8526980.0,15737876.965771
光学元件,20240116,79.82,3.64,8476543.0,15646669.824732
光学元件,20240117,76.92,3.5,8159239.0,15052941.958508
光学元件,20240118,77.24,3.52,8234333.0,15195342.437444
光学元件,20240119,75.44,3.44,8044958.0,14836633.318215
光学元件,20240122,71.21,3.25,7595622.0,14003165.088329
光学元件,20240123,73.02,3.33,7776669.0,14290269.602894
光学元件,20240124,73.33,3.35,7782582.0,14278854.49458
光学元件,20240125,75.68,3.45,8033487.0,14747841.00895
光学元件,20240126,74.13,3.38,7845961.0,14391600.453166
光学元件,20240129,71.27,3.25,7532351.0,13847814.772766
光学元件,20240130,69.1,3.15,7288261.0,13370724.426913
光学元件,20240131,64.99,2.97,6857757.0,12578377.008396
光学元件,20240201,65.32,2.98,6882643.0,12592962.847216
光学元件,20240202,62.34,2.85,6551991.0,11976001.743125
光学元件,20240205,57.28,2.61,5971970.0,10850899.322321
光学元件,20240206,60.35,2.75,6305117.0,11465290.865405
光学元件,20240207,62.91,2.87,6543376.0,11792819.671313
光学元件,20240208,65.2,2.98,6844315.0,12466720.207736
光学元件,20240219,66.78,3.05,7045247.0,12828691.952388
光学元件,20240220,67.02,3.06,7076810.0,12902475.308513
光学元件,20240221,67.84,3.1,7156870.0,13063547.827445
光学元件,20240222,69.97,3.19,7411801.0,13575520.735549
光学元件,20240223,71.41,3.26,7579369.0,13886584.844916
光学元件,20240226,72.53,3.31,7745363.0,14209498.113803
光学元件,20240227,74.89,3.42,8008879.0,14699008.080866
光学元件,20240228,69.59,3.18,7396805.0,13508308.20405
光学元件,20240229,74.39,3.4,7903600.0,14420844.411685
光学元件,20240301,77.18,3.52,8203403.0,14967535.163715
光学元件,20240304,78.62,3.59,8342032.0,15180837.00986
光学元件,20240305,80.19,3.66,8422612.0,15246108.634321
光学元件,20240306,80.95,3.69,8511806.0,15404460.437811
光学元件,20240307,77.59,3.54,8203509.0,14901588.210346
光学元件,20240308,79.72,3.64,8403079.0,15226723.606324
光学元件,20240311,82.09,3.75,8658824.0,15596375.544145
光学元件,20240312,82.7,3.77,8735605.0,15772474.066878
光学元件,20240313,82.76,3.78,8763941.0,15865705.55327
光学元件,20240314,82.18,3.75,8727676.0,15783832.259594
光学元件,20240315,84.34,3.85,9009268.0,16310166.210895
光学元件,20240318,88.64,4.05,9384847.0,16884043.853387
光学元件,20240319,89.43,4.08,9443470.0,16952306.688822
光学元件,20240320,89.91,4.1,9456950.0,16969185.735157
光学元件,20240321,88.85,4.05,9322643.0,16717882.965162
光学元件,20240322,83.92,4.04,9324398.0,16641896.175003
光学元件,20240325,80.38,3.87,8955911.0,16052299.536043
光学元件,20240326,79.48,3.83,8862624.0,15889270.495668
光学元件,20240327,75.9,3.66,8418996.0,15048376.082378
光学元件,20240328,78.99,3.82,8845031.0,15679543.112603
光学元件,20240329,81.67,3.95,9095891.0,16046206.876895
光学元件,20240401,83.16,4.02,9281005.0,16410607.785301
光学元件,20240402,81.43,3.94,9092310.0,16104126.606411
光学元件,20240403,80.81,3.91,8981548.0,15870836.770099
光学元件,20240408,78.45,3.8,8701483.0,15359961.754953
光学元件,20240409,79.74,3.86,8824219.0,15542052.479818
光学元件,20240410,76.42,3.7,8462044.0,14957050.499003
光学元件,20240411,75.56,3.66,8375913.0,14783096.693586
光学元件,20240412,74.73,3.62,8307183.0,14650447.730416
光学元件,20240415,73.3,3.55,8128086.0,14221020.096875
光学元件,20240416,69.83,3.36,7668555.0,13358344.191559
光学元件,20240417,74.06,3.57,8176923.0,14277108.176931
光学元件,20240418,73.53,3.54,8132557.0,14214213.449527
光学元件,20240419,71.18,3.43,7881840.0,13811209.116915
光学元件,20240422,64.92,3.33,7801630.0,13667379.911991
光学元件,20240423,64.14,3.29,7765630.0,13661065.017794
光学元件,20240424,65.8,3.37,7974046.0,14035653.857776
光学元件,20240425,66.24,3.39,8000284.0,14064448.778861
光学元件,20240426,68.67,3.52,8318707.0,14604571.436824
光学元件,20240429,70.97,3.6,8559944.0,15035032.797207
光学元件,20240430,70.12,3.61,8419542.0,14759718.26793
光学元件,20240506,65.56,3.69,8605066.0,15069532.84397
光学元件,20240507,64.83,3.65,8510336.0,14932554.722422
光学元件,20240508,63.15,3.55,8295950.0,14568446.932827
光学元件,20240509,63.81,3.59,8382139.0,14729575.565016
光学元件,20240510,62.4,3.51,8188422.0,14338098.062736
光学元件,20240513,61.47,3.46,8057194.0,14041671.396139
光学元件,20240514,61.98,3.48,8124330.0,14170863.347877
光学元件,20240515,61.83,3.48,8106091.0,14165528.847604
光学元件,20240516,61.81,3.48,8107805.0,14159424.52372
光学元件,20240517,63.5,3.57,8332476.0,14587292.24568
光学元件,20240520,63.88,3.59,8383973.0,14673719.058844
光学元件,20240521,63.92,3.59,8388944.0,14680012.109101
光学元件,20240522,64.31,3.61,8440814.0,14760037.570556
光学元件,20240523,62.74,3.52,8238341.0,14421811.348196
光学元件,20240524,60.95,3.42,7999425.0,13991470.524045
光学元件,20240527,62.02,3.48,8151297.0,14291829.975307
光学元件,20240528,61.52,3.43,8081753.0,14116269.120208
光学元件,20240529,61.55,3.43,8092622.0,14154005.15583
光学元件,20240530,62.54,3.49,8222840.0,14400109.529211
光学元件,20240531,63.29,3.53,8323132.0,14588945.62431
光学元件,20240603,62.81,3.5,8267739.0,14489413.879364
光学元件,20240604,63.03,3.51,8276238.0,14425153.226976
光学元件,20240605,62.51,3.47,8227872.0,14339401.415053
光学元件,20240606,61.59,3.42,8110498.0,14053409.021049
光学元件,20240607,61.4,3.41,8090573.0,14070875.105821
光学元件,20240611,62.96,3.5,8301111.0,14475100.84712
光学元件,20240612,64.53,3.59,8501652.0,14769305.21095
光学元件,20240613,64.47,3.58,8487909.0,14759584.722142
光学元件,20240614,64.9,3.61,8566445.0,14873345.324046
光学元件,20240617,66.1,3.67,8730885.0,15142614.512641
光学元件,20240618,66.79,3.71,8815858.0,15287812.241919
光学元件,20240619,65.97,3.67,8709895.0,15138259.402875
光学元件,20240620,78.4,3.6,5450529.0,14859478.318363
光学元件,20240621,59.1,3.62,8580053.0,14902794.862377
光学元件,20240624,54.91,3.47,8461674.0,14192432.994563
光学元件,20240625,53.65,3.41,8352327.0,13806802.340328
光学元件,20240626,56.14,3.56,8741369.0,14438431.202385
光学元件,20240627,54.72,3.47,8512638.0,14045370.962216
光学元件,20240628,56.11,3.56,8727790.0,14384523.765726
光学元件,20240701,56.86,3.61,8842705.0,14481112.542275
光学元件,20240702,55.61,3.53,8647642.0,14176874.830926
光学元件,20240703,55.23,3.51,8581254.0,14068608.654045
光学元件,20240704,54.25,3.44,8422402.0,13777089.33614
光学元件,20240705,54.39,3.45,8443595.0,13804340.254804
光学元件,20240708,53.94,3.41,8373556.0,13615092.844958
光学元件,20240709,57.23,3.62,8883114.0,14424965.551682
光学元件,20240710,58.04,3.67,9003730.0,14595448.774123
光学元件,20240711,60.7,3.84,9415195.0,15237260.357814
光学元件,20240712,59.49,3.76,9230617.0,14974151.482786
光学元件,20240715,59.46,3.76,9217731.0,14921674.656204
光学元件,20240716,61.03,3.86,9457765.0,15311102.132591
光学元件,20240717,58.54,3.7,9072151.0,14721113.910305
光学元件,20240718,57.65,3.65,8942626.0,14553522.378674
光学元件,20240719,58.22,3.68,9037609.0,14721137.016624
光学元件,20240722,58.7,3.71,9108144.0,14817812.346625
光学元件,20240723,56.4,3.57,8750346.0,14217205.841088
