name,trade_date,pe,pb,float_mv,total_mv
公交,20240102,30.18,1.34,1388259.0,2719866.020764
公交,20240103,30.33,1.34,1395173.0,2732020.762283
公交,20240104,30.59,1.35,1407258.0,2754376.898925
公交,20240105,30.17,1.33,1387560.0,2713734.253428
公交,20240108,29.83,1.32,1372040.0,2685087.76054
公交,20240109,30.23,1.34,1390679.0,2722672.529055
公交,20240110,30.04,1.33,1381783.0,2708357.547971
公交,20240111,30.39,1.34,1397691.0,2737530.096003
公交,20240112,30.39,1.34,1397853.0,2737881.557581
公交,20240115,30.69,1.36,1411807.0,2761674.276586
公交,20240116,30.5,1.35,1402820.0,2745976.513223
公交,20240117,30.4,1.34,1398326.0,2730362.157491
公交,20240118,29.57,1.31,1360077.0,2660315.323881
公交,20240119,28.97,1.28,1332777.0,2613479.783051
公交,20240122,27.24,1.2,1252773.0,2461384.4892
公交,20240123,27.01,1.19,1242332.0,2443416.234023
公交,20240124,28.32,1.25,1302489.0,2563431.884186
公交,20240125,29.72,1.31,1366897.0,2693824.036735
公交,20240126,30.68,1.36,1411134.0,2784178.895652
公交,20240129,29.79,1.32,1370388.0,2704571.117518
公交,20240130,29.04,1.28,1335991.0,2642003.755566
公交,20240131,27.4,1.21,1260263.0,2495959.04256
公交,20240201,26.25,1.16,1207445.0,2391440.778222
公交,20240202,25.19,1.11,1158486.0,2296184.699903
公交,20240205,22.8,1.01,1048777.0,2085222.951418
公交,20240206,22.91,1.01,1053922.0,2097133.065578
公交,20240207,22.26,0.98,1019409.0,2050208.374587
公交,20240208,23.72,1.05,1086196.0,2180366.206599
公交,20240219,24.44,1.08,1119071.0,2242152.481461
公交,20240220,24.62,1.09,1127118.0,2260973.466806
公交,20240221,25.13,1.11,1150717.0,2303734.823851
公交,20240222,25.36,1.12,1160094.0,2324230.516675
公交,20240223,25.79,1.14,1180108.0,2365317.245222
公交,20240226,26.03,1.15,1191072.0,2385913.581955
公交,20240227,26.62,1.17,1217656.0,2437513.273075
公交,20240228,25.44,1.12,1163677.0,2334171.730663
公交,20240229,25.92,1.14,1185936.0,2375698.396999
公交,20240301,26.0,1.15,1189558.0,2382395.778037
公交,20240304,25.9,1.14,1185003.0,2373813.801936
公交,20240305,25.6,1.13,1171287.0,2347574.009416
公交,20240306,26.24,1.16,1200595.0,2412970.317883
公交,20240307,26.94,1.19,1232557.0,2483664.255252
公交,20240308,26.79,1.18,1225725.0,2467838.625887
公交,20240311,26.82,1.18,1226826.0,2465406.050893
公交,20240312,27.04,1.19,1236951.0,2483531.945352
公交,20240313,26.68,1.18,1220416.0,2448982.578819
公交,20240314,26.64,1.18,1218969.0,2443626.006728
公交,20240315,26.92,1.19,1231664.0,2468041.05299
公交,20240318,27.21,1.2,1244699.0,2492328.809811
公交,20240319,27.31,1.21,1249265.0,2504510.936642
公交,20240320,27.4,1.21,1253366.0,2509630.903635
公交,20240321,27.65,1.22,1265160.0,2532154.01476
公交,20240322,27.36,1.21,1251927.0,2505780.388288
公交,20240325,26.71,1.18,1222101.0,2445171.08731
公交,20240326,26.73,1.18,1223104.0,2447138.129105
公交,20240327,26.33,1.16,1204464.0,2411817.239061
公交,20240328,26.7,1.18,1221356.0,2444249.179414
公交,20240329,28.02,1.18,1237431.0,2473390.538591
公交,20240401,28.35,1.2,1251752.0,2498808.509744
公交,20240402,28.7,1.21,1267297.0,2530262.187259
公交,20240403,28.87,1.22,1274604.0,2545381.933259
公交,20240408,30.04,1.27,1326392.0,2638256.929898
公交,20240409,29.92,1.26,1321068.0,2617861.083802
公交,20240410,29.06,1.23,1283024.0,2550342.102309
公交,20240411,29.04,1.23,1282103.0,2550056.41366
公交,20240412,29.0,1.23,1280391.0,2546734.437012
公交,20240415,27.99,1.18,1235767.0,2453983.912375
公交,20240416,25.96,1.1,1146287.0,2286510.471634
公交,20240417,30.54,1.17,1219793.0,2428850.208208
公交,20240418,29.04,1.14,1193401.0,2380969.643935
公交,20240419,28.56,1.13,1173790.0,2341447.612028
公交,20240422,28.21,1.11,1159345.0,2313030.784354
公交,20240423,28.34,1.12,1164940.0,2316316.709211
公交,20240424,29.0,1.14,1191758.0,2364588.013977
公交,20240425,29.06,1.15,1192804.0,2372323.494282
公交,20240426,29.3,1.15,1205250.0,2394427.026122
公交,20240429,29.93,1.18,1231213.0,2443491.816754
公交,20240430,29.43,1.16,1210782.0,2407789.98959
公交,20240506,33.16,1.18,1227797.0,2439496.221224
公交,20240507,33.16,1.18,1227760.0,2440382.915497
公交,20240508,33.8,1.2,1251203.0,2473287.527245
公交,20240509,33.64,1.2,1245525.0,2468209.72012
公交,20240510,33.62,1.19,1244771.0,2468108.263623
公交,20240513,32.98,1.17,1221055.0,2424915.098959
公交,20240514,33.43,1.19,1237597.0,2458058.45513
公交,20240515,33.03,1.17,1222762.0,2428196.716472
公交,20240516,33.19,1.18,1228795.0,2434509.755332
公交,20240517,33.56,1.19,1242526.0,2459095.411301
公交,20240520,33.62,1.19,1244635.0,2462905.261785
公交,20240521,33.64,1.2,1245309.0,2462962.728057
公交,20240522,33.55,1.19,1242140.0,2458504.732773
公交,20240523,32.96,1.17,1220189.0,2414372.645604
公交,20240524,32.75,1.16,1212348.0,2401956.893337
公交,20240527,32.81,1.17,1214692.0,2405768.489544
公交,20240528,32.9,1.17,1217960.0,2420145.569953
公交,20240529,32.86,1.17,1216436.0,2414846.029972
公交,20240530,32.44,1.15,1200992.0,2384906.437425
公交,20240531,32.75,1.16,1212645.0,2403600.164972
公交,20240603,32.02,1.14,1185512.0,2343794.871445
公交,20240604,31.95,1.14,1182873.0,2336788.998965
公交,20240605,31.49,1.12,1165685.0,2302808.771004
公交,20240606,30.27,1.08,1120823.0,2213737.725781
公交,20240607,31.37,1.11,1161470.0,2292519.114397
公交,20240611,31.01,1.1,1148119.0,2267146.903967
公交,20240612,31.31,1.11,1159359.0,2290524.376238
公交,20240613,31.18,1.11,1154508.0,2280829.017047
公交,20240614,31.34,1.11,1160269.0,2290099.425768
公交,20240617,31.02,1.1,1148274.0,2266712.676793
公交,20240618,31.53,1.12,1167241.0,2306246.284894
公交,20240619,31.52,1.12,1167061.0,2306720.08877
公交,20240620,70.35,1.1,295154.0,2267733.879126
公交,20240621,31.34,1.11,1160464.0,2290135.185052
公交,20240624,30.27,1.08,1120765.0,2214425.996169
公交,20240625,30.57,1.09,1131668.0,2235383.487891
公交,20240626,30.89,1.1,1143723.0,2260435.571223
公交,20240627,30.68,1.09,1135763.0,2243800.85202
公交,20240628,30.71,1.09,1137066.0,2247755.577696
公交,20240701,30.94,1.1,1145672.0,2263714.174649
公交,20240702,30.99,1.1,1147395.0,2266557.939903
公交,20240703,31.33,1.11,1159992.0,2295899.54172
公交,20240704,30.34,1.08,1123188.0,2222645.255112
公交,20240705,30.44,1.08,1127041.0,2229836.630387
公交,20240708,30.14,1.07,1115975.0,2204423.216805
公交,20240709,31.5,1.12,1166318.0,2297040.317428
公交,20240710,33.13,1.18,1226510.0,2408704.655851
公交,20240711,35.24,1.25,1304534.0,2545054.18677
公交,20240712,36.68,1.31,1357953.0,2639568.263399
公交,20240715,37.93,1.35,1404293.0,2722217.255241
公交,20240716,40.33,1.44,1492960.0,2878677.919666
公交,20240717,40.74,1.45,1508324.0,2911705.579912
公交,20240718,42.11,1.5,1559130.0,2972896.203407
公交,20240719,42.75,1.52,1582794.0,3013316.455006
公交,20240722,44.82,1.6,1659511.0,3143984.940029
公交,20240723,46.55,1.66,1727480.0,3238055.593493
公交,20240724,46.42,1.65,1722602.0,3206774.477441
公交,20240725,50.42,1.79,1871332.0,3474181.684128
公交,20240726,53.06,1.89,1969127.0,3630615.990821
公交,20240729,57.01,2.03,2115872.0,3887550.30053
公交,20240730,59.8,2.13,2219340.0,4047561.280836
公交,20240731,58.39,2.08,2166790.0,3947857.467324
公交,20240801,58.79,2.09,2181696.0,3964556.746352
公交,20240802,58.91,2.1,2186329.0,3948336.709261
公交,20240805,62.49,2.22,2319130.0,4148385.266062
公交,20240806,57.74,2.06,2142791.0,3854855.011113
公交,20240807,56.44,2.01,2094636.0,3757263.632363
公交,20240808,53.52,1.9,1986169.0,3576820.479799
公交,20240809,53.23,1.89,1975266.0,3553471.293478
公交,20240812,53.55,1.91,1987450.0,3567877.346531
公交,20240813,52.39,1.86,1944407.0,3507755.087314
公交,20240814,52.86,1.88,1961625.0,3544799.98592
公交,20240815,52.58,1.87,1951329.0,3535515.238397
公交,20240816,50.52,1.8,1874882.0,3399740.233768
公交,20240819,52.57,1.87,1950888.0,3516866.010781
公交,20240820,52.05,1.86,1931556.0,3491043.679234
公交,20240821,54.6,1.95,2026279.0,3652596.541076
公交,20240822,55.51,1.98,2060075.0,3709527.176374
公交,20240823,51.64,1.84,1916262.0,3477175.971143
公交,20240826,51.14,1.82,1897832.0,3428915.17486
公交,20240827,51.95,1.85,1927828.0,3463816.794413
公交,20240828,52.53,1.87,1949414.0,3486217.855264
公交,20240829,51.12,1.82,1897033.0,3405920.915203
公交,20240830,52.04,1.85,1931465.0,3467889.42589
公交,20240902,55.9,1.83,1912849.0,3436054.608181
公交,20240903,54.93,1.8,1879859.0,3377796.178012
公交,20240904,55.19,1.81,1888662.0,3376968.761326
公交,20240905,59.18,1.94,2025168.0,3602504.864464
公交,20240906,63.43,2.08,2170681.0,3840979.727694
公交,20240909,58.7,1.93,2008869.0,3571252.408369
公交,20240910,55.14,1.81,1886804.0,3380470.897469
公交,20240911,51.9,1.7,1776127.0,3216642.16935
公交,20240912,49.25,1.62,1685246.0,3086785.062664
公交,20240913,46.95,1.54,1606669.0,2979375.02022
公交,20240918,46.5,1.53,1591200.0,2947323.12701
公交,20240919,46.97,1.54,1607253.0,2988272.389921
公交,20240920,46.06,1.51,1576126.0,2944783.599329
公交,20240923,46.85,1.54,1603274.0,2981961.528375
公交,20240924,47.58,1.56,1628189.0,3031470.909925
公交,20240925,48.07,1.58,1644848.0,3063496.487457
公交,20240926,49.52,1.63,1694688.0,3160626.718225
公交,20240927,50.92,1.67,1742422.0,3254935.283201
公交,20240930,55.55,1.82,1900738.0,3545449.087706
公交,20241008,58.96,1.94,2017766.0,3749358.095517
公交,20241009,60.27,1.98,2062433.0,3792249.308913
公交,20241010,58.72,1.93,2009285.0,3712540.253302
公交,20241011,55.08,1.81,1884885.0,3503798.283986
公交,20241014,55.05,1.81,1883656.0,3512552.306451
公交,20241015,53.38,1.75,1826778.0,3417064.312253
公交,20241016,53.97,1.77,1846900.0,3444462.077891
公交,20241017,56.96,1.87,1948995.0,3611629.805537
公交,20241018,57.05,1.87,1952304.0,3623898.237292
公交,20241021,56.89,1.86,1946622.0,3618454.938545
公交,20241022,58.9,1.93,2015637.0,3742754.489227
公交,20241023,56.98,1.87,1949725.0,3640032.833538
公交,20241024,56.81,1.86,1944049.0,3621216.406156
公交,20241025,58.2,1.91,1991448.0,3708691.008184
公交,20241028,62.16,2.04,2127243.0,3941128.036526
公交,20241029,62.55,2.05,2140596.0,3940732.068385
公交,20241030,62.67,2.05,2146745.0,3960810.81911
公交,20241031,65.38,2.14,2239304.0,4118339.076735
公交,20241101,58.51,1.95,2066252.0,3818732.317094
公交,20241104,57.31,1.91,2023857.0,3766993.103379
公交,20241105,58.91,1.97,2080670.0,3874918.645032
公交,20241106,60.92,2.03,2151594.0,3996540.56318
公交,20241107,60.65,2.02,2141942.0,4000606.497081
公交,20241108,60.44,2.02,2134557.0,4000485.281937
公交,20241111,60.75,2.03,2145670.0,4020560.952238
公交,20241112,63.83,2.13,2254283.0,4182495.833327
公交,20241113,62.25,2.08,2198429.0,4103578.903843
公交,20241114,61.09,2.04,2157409.0,4029178.554023
公交,20241115,61.6,2.06,2175709.0,4071104.676426
公交,20241118,57.4,1.92,2027082.0,3811331.305222
