name,trade_date,pe,pb,float_mv,total_mv
公用事业,20240102,19.22,1.49,81591859.0,292091878.165306
公用事业,20240103,19.45,1.51,82568352.0,295681901.9525
公用事业,20240104,19.42,1.51,82435821.0,295466589.716624
公用事业,20240105,19.29,1.5,81873727.0,293721238.214436
公用事业,20240108,19.06,1.48,81281755.0,290799985.40919
公用事业,20240109,19.12,1.48,81529714.0,291374720.722448
公用事业,20240110,19.03,1.48,81148370.0,289992265.923024
公用事业,20240111,18.94,1.47,81118376.0,288688500.634845
公用事业,20240112,19.16,1.49,82042306.0,292321810.578037
公用事业,20240115,19.14,1.49,81946891.0,292251277.385261
公用事业,20240116,19.08,1.48,81694783.0,291750154.261289
公用事业,20240117,18.77,1.46,80406317.0,287509846.99578
公用事业,20240118,18.62,1.45,79730015.0,284931560.795067
公用事业,20240119,18.49,1.44,79203388.0,283364679.048541
公用事业,20240122,17.87,1.39,76523632.0,274546924.547102
公用事业,20240123,18.03,1.4,77231416.0,277295307.034921
公用事业,20240124,18.42,1.43,78857603.0,283422566.850021
公用事业,20240125,18.93,1.47,81042339.0,291099736.512216
公用事业,20240126,19.05,1.48,81574227.0,293143551.235393
公用事业,20240129,19.03,1.48,81509260.0,293956149.151525
公用事业,20240130,18.83,1.46,80643684.0,291156311.415373
公用事业,20240131,18.7,1.45,80098463.0,290935935.697853
公用事业,20240201,18.41,1.43,78865797.0,286569559.427108
公用事业,20240202,18.2,1.42,77927987.0,284762189.794117
公用事业,20240205,17.87,1.39,76502755.0,281505261.909575
公用事业,20240206,18.27,1.42,78198766.0,286785050.02024
公用事业,20240207,18.45,1.43,78375918.0,288417761.467799
公用事业,20240208,18.7,1.45,79421323.0,290894211.817597
公用事业,20240219,19.12,1.48,81193677.0,298439997.002314
公用事业,20240220,19.22,1.49,81589342.0,300258226.880088
公用事业,20240221,19.13,1.48,80978792.0,298670274.662277
公用事业,20240222,19.33,1.5,81814372.0,301710512.021873
公用事业,20240223,19.5,1.51,82523375.0,303666575.370369
公用事业,20240226,19.13,1.48,80967339.0,297221179.279908
公用事业,20240227,19.26,1.49,81492970.0,298686677.375738
公用事业,20240228,19.16,1.48,81092773.0,298394280.80694
公用事业,20240229,19.35,1.5,81967933.0,300832445.059544
公用事业,20240301,19.3,1.5,81890505.0,299127171.893303
公用事业,20240304,19.6,1.52,83157453.0,304809049.052841
公用事业,20240305,19.7,1.53,83612470.0,307241466.600505
公用事业,20240306,19.86,1.54,84300761.0,309528845.910321
公用事业,20240307,19.97,1.55,84662060.0,310822780.435936
公用事业,20240308,20.16,1.56,85476708.0,313885810.705899
公用事业,20240311,20.24,1.57,85800689.0,313771967.08955
公用事业,20240312,19.7,1.53,83555825.0,304353146.211363
公用事业,20240313,19.8,1.53,83971968.0,305617014.730093
公用事业,20240314,19.77,1.53,83867905.0,305344399.832718
公用事业,20240315,19.92,1.54,84415068.0,307359055.364496
公用事业,20240318,20.09,1.56,85115794.0,309680645.849282
公用事业,20240319,19.92,1.54,84372818.0,307016591.19805
公用事业,20240320,20.07,1.55,84793015.0,308602717.572992
公用事业,20240321,20.01,1.55,84549841.0,307573279.242871
公用事业,20240322,19.91,1.54,84130312.0,306210066.791222
公用事业,20240325,19.72,1.54,83966075.0,305822999.258892
公用事业,20240326,19.84,1.55,84464239.0,307898621.747505
公用事业,20240327,19.65,1.53,83601344.0,306002406.747641
公用事业,20240328,19.48,1.54,84064948.0,307647594.64021
公用事业,20240329,19.69,1.56,85186092.0,311929467.593558
公用事业,20240401,19.65,1.56,85069158.0,310577944.033118
公用事业,20240402,19.78,1.57,85644973.0,312357678.542697
公用事业,20240403,19.73,1.56,85460824.0,311823191.608772
公用事业,20240408,20.19,1.6,87458877.0,319676665.041637
公用事业,20240409,20.02,1.59,87065460.0,317778933.044896
公用事业,20240410,20.14,1.6,87608883.0,320571008.265047
公用事业,20240411,20.29,1.61,88240871.0,323181136.121462
公用事业,20240412,20.09,1.59,87395951.0,320257538.677455
公用事业,20240415,20.34,1.61,88164144.0,324176908.074415
公用事业,20240416,19.47,1.57,86227790.0,318430494.023806
公用事业,20240417,19.85,1.6,87839148.0,323758079.185181
公用事业,20240418,19.47,1.58,86569858.0,319160183.112108
公用事业,20240419,19.41,1.58,86402224.0,318807525.118439
公用事业,20240422,19.43,1.57,85741313.0,316675660.406636
公用事业,20240423,19.12,1.54,84534973.0,312057214.71773
公用事业,20240424,19.42,1.56,85594779.0,316202001.953407
公用事业,20240425,19.2,1.55,85351084.0,315045979.155894
公用事业,20240426,19.29,1.55,85413082.0,314407093.182515
公用事业,20240429,19.31,1.54,85516075.0,314539163.616225
公用事业,20240430,18.19,1.53,87222793.0,316898547.6056
公用事业,20240506,17.46,1.55,88285064.0,320217098.543076
公用事业,20240507,17.32,1.53,87601702.0,317507059.802031
公用事业,20240508,17.28,1.53,87356787.0,316694181.997584
公用事业,20240509,17.37,1.54,87836013.0,318036520.67946
公用事业,20240510,17.6,1.56,89013099.0,321999446.657566
公用事业,20240513,17.85,1.58,90247716.0,326499642.875566
公用事业,20240514,17.81,1.58,90036919.0,326023854.472765
公用事业,20240515,17.48,1.55,88391790.0,320275244.741638
公用事业,20240516,17.33,1.53,87595770.0,317157342.068296
公用事业,20240517,17.44,1.54,88168947.0,319372260.714824
公用事业,20240520,17.67,1.56,89333039.0,323755608.333563
公用事业,20240521,17.6,1.56,88944216.0,322896157.12041
公用事业,20240522,17.59,1.56,88904246.0,322336309.388016
公用事业,20240523,17.38,1.54,87854275.0,319370747.277775
公用事业,20240524,17.72,1.57,89571769.0,325382442.884686
公用事业,20240527,17.95,1.59,90741159.0,329697066.469845
公用事业,20240528,18.19,1.61,91956332.0,333838074.656402
公用事业,20240529,18.18,1.61,91894297.0,333791724.379433
公用事业,20240530,17.9,1.59,90475795.0,329162963.622453
公用事业,20240531,17.8,1.58,90002765.0,327992612.283761
公用事业,20240603,17.86,1.58,90274278.0,330296625.912321
公用事业,20240604,18.08,1.6,91406502.0,334338068.386803
公用事业,20240605,18.01,1.6,91065381.0,333634131.09864
公用事业,20240606,18.01,1.6,91019635.0,333956483.807446
公用事业,20240607,18.31,1.62,92543085.0,339648013.298938
公用事业,20240611,18.17,1.61,91857736.0,336700015.895489
公用事业,20240612,18.3,1.62,92670884.0,339198846.104172
公用事业,20240613,18.37,1.63,93006905.0,340906061.026474
公用事业,20240614,18.1,1.6,91657603.0,335000124.162678
公用事业,20240617,17.9,1.59,90715143.0,331520423.299553
公用事业,20240618,17.91,1.59,90726297.0,331578549.056514
公用事业,20240619,17.79,1.58,90157897.0,330121569.116912
公用事业,20240620,85.32,1.57,18738875.0,330870386.095648
公用事业,20240621,17.76,1.57,90009256.0,330677437.554729
公用事业,20240624,17.77,1.57,90015715.0,331443293.435969
公用事业,20240625,17.69,1.57,89610940.0,330019294.741777
公用事业,20240626,17.75,1.57,89915445.0,330576646.295281
公用事业,20240627,17.59,1.56,89123544.0,328275275.755066
公用事业,20240628,17.96,1.59,90915429.0,335135711.21623
公用事业,20240701,18.36,1.63,92936330.0,343267993.673753
公用事业,20240702,18.43,1.63,93343431.0,345007123.15405
公用事业,20240703,18.34,1.62,92899173.0,343333088.517588
公用事业,20240704,18.22,1.61,92300104.0,341821888.186556
公用事业,20240705,18.14,1.61,91956859.0,340398349.8628
公用事业,20240708,18.32,1.63,93344917.0,344417739.977187
公用事业,20240709,18.52,1.64,94374159.0,347962479.41895
公用事业,20240710,18.12,1.61,92353111.0,340238033.646886
公用事业,20240711,18.3,1.62,93256674.0,342764698.012073
公用事业,20240712,18.1,1.61,92216016.0,338639445.826683
公用事业,20240715,18.16,1.61,92535433.0,340869630.440875
公用事业,20240716,18.2,1.62,92760125.0,341855772.051577
公用事业,20240717,17.93,1.59,91376680.0,336708589.948699
公用事业,20240718,18.19,1.61,92695575.0,342085497.79279
公用事业,20240719,18.11,1.61,92292158.0,340220524.957314
公用事业,20240722,17.97,1.59,91592565.0,337088773.68193
公用事业,20240723,17.9,1.59,91211060.0,336042841.636226
公用事业,20240724,18.16,1.61,92575455.0,341783712.73112
公用事业,20240725,18.13,1.61,92392662.0,340382026.557784
公用事业,20240726,18.02,1.6,91845504.0,337333826.998499
公用事业,20240729,18.09,1.6,92177139.0,338470574.160848
公用事业,20240730,17.9,1.59,91219213.0,334187486.782136
公用事业,20240731,17.93,1.57,91861682.0,333905556.469059
公用事业,20240801,17.92,1.57,91778807.0,333925327.288804
公用事业,20240802,17.8,1.56,91198137.0,331978235.863492
公用事业,20240805,17.51,1.54,89705315.0,326852891.918452
公用事业,20240806,17.53,1.54,89687509.0,326677464.062255
公用事业,20240807,17.74,1.56,90768985.0,330939921.224799
公用事业,20240808,17.65,1.55,90290743.0,329017587.964253
公用事业,20240809,17.53,1.54,89703330.0,326705179.279187
公用事业,20240812,17.48,1.53,89468942.0,325660609.534952
公用事业,20240813,17.54,1.54,89724169.0,326735902.208889
