name,trade_date,pe,pb,float_mv,total_mv
其他化学原料,20240102,22.02,2.16,4502568.0,10528053.981039
其他化学原料,20240103,22.49,2.21,4590496.0,10711975.991639
其他化学原料,20240104,22.25,2.18,4536927.0,10592209.931782
其他化学原料,20240105,22.01,2.16,4480200.0,10429623.651001
其他化学原料,20240108,21.69,2.13,4412590.0,10252564.551093
其他化学原料,20240109,21.44,2.1,4365217.0,10174043.5282
其他化学原料,20240110,20.99,2.06,4277211.0,9996555.214688
其他化学原料,20240111,21.11,2.07,4306031.0,10075813.1077
其他化学原料,20240112,21.14,2.07,4312348.0,10106454.838112
其他化学原料,20240115,21.06,2.07,4292916.0,10067887.182269
其他化学原料,20240116,20.77,2.04,4236953.0,9943635.38211
其他化学原料,20240117,20.22,1.98,4121224.0,9664519.197459
其他化学原料,20240118,20.11,1.97,4093969.0,9570083.057899
其他化学原料,20240119,20.04,1.96,4079417.0,9544626.658219
其他化学原料,20240122,18.95,1.88,3849829.0,9069141.592979
其他化学原料,20240123,19.94,1.97,4038141.0,9473550.297334
其他化学原料,20240124,19.83,1.96,4018023.0,9430111.607337
其他化学原料,20240125,20.33,2.01,4121909.0,9669064.789566
其他化学原料,20240126,20.24,2.0,4105052.0,9619270.078994
其他化学原料,20240129,19.71,1.95,3994409.0,9338547.553836
其他化学原料,20240130,19.11,1.89,3870971.0,9054655.124873
其他化学原料,20240131,18.51,1.83,3742197.0,8741421.439377
其他化学原料,20240201,18.42,1.82,3720766.0,8678248.183568
其他化学原料,20240202,17.89,1.77,3610313.0,8400483.30422
其他化学原料,20240205,17.22,1.71,3461097.0,7995650.223602
其他化学原料,20240206,18.06,1.79,3629623.0,8394420.405098
其他化学原料,20240207,18.19,1.8,3648657.0,8425197.970227
其他化学原料,20240208,18.68,1.85,3761766.0,8734754.682747
其他化学原料,20240219,19.63,1.94,3945983.0,9112945.302563
其他化学原料,20240220,19.64,1.95,3949675.0,9122547.94743
其他化学原料,20240221,19.76,1.96,3976550.0,9194232.695697
其他化学原料,20240222,20.23,2.0,4071782.0,9407238.377492
其他化学原料,20240223,20.48,2.03,4124077.0,9534935.126627
其他化学原料,20240226,20.6,2.04,4150561.0,9598864.750312
其他化学原料,20240227,20.91,2.07,4222587.0,9779304.878827
其他化学原料,20240228,20.14,1.99,4055188.0,9361773.349533
其他化学原料,20240229,20.88,2.07,4208558.0,9712886.075175
其他化学原料,20240301,20.93,2.07,4217394.0,9741292.30294
其他化学原料,20240304,21.13,2.09,4252926.0,9799032.263471
其他化学原料,20240305,20.87,2.07,4196345.0,9666951.124403
其他化学原料,20240306,20.98,2.08,4220141.0,9717671.116486
其他化学原料,20240307,20.81,2.06,4185117.0,9637119.399116
其他化学原料,20240308,21.08,2.09,4235795.0,9751434.047588
其他化学原料,20240311,21.25,2.11,4275181.0,9851628.891468
其他化学原料,20240312,21.33,2.11,4293944.0,9899885.341376
其他化学原料,20240313,21.41,2.12,4307477.0,9923441.739995
其他化学原料,20240314,21.22,2.1,4268404.0,9835593.647999
其他化学原料,20240315,21.57,2.14,4340760.0,9999958.134961
其他化学原料,20240318,21.8,2.16,4388154.0,10114153.989431
其他化学原料,20240319,21.99,2.14,4340823.0,10014395.999742
其他化学原料,20240320,22.25,2.16,4392293.0,10134227.16855
