name,trade_date,pe,pb,float_mv,total_mv
其他家居用品,20240102,27.44,3.1,3637863.0,14987555.345092
其他家居用品,20240103,27.44,3.11,3629994.0,14990465.820399
其他家居用品,20240104,27.67,3.13,3658237.0,15007429.245546
其他家居用品,20240105,27.25,3.08,3612373.0,14828114.098189
其他家居用品,20240108,26.78,3.03,3549300.0,14584986.270356
其他家居用品,20240109,27.11,3.06,3597193.0,14667752.744854
其他家居用品,20240110,27.05,3.06,3591030.0,14678473.761212
其他家居用品,20240111,27.05,3.06,3607371.0,14685769.590639
其他家居用品,20240112,26.43,2.99,3546411.0,14511994.198976
其他家居用品,20240115,26.63,3.01,3590499.0,14678075.292605
其他家居用品,20240116,26.66,3.01,3588789.0,14722385.759629
其他家居用品,20240117,26.63,3.01,3611624.0,14797385.98932
其他家居用品,20240118,26.56,3.0,3595116.0,14777046.017643
其他家居用品,20240119,26.92,3.04,3641272.0,14972412.562079
其他家居用品,20240122,25.66,2.9,3455056.0,14362284.357128
其他家居用品,20240123,26.28,2.97,3514099.0,14650152.00168
其他家居用品,20240124,26.84,3.03,3587798.0,14927668.889777
其他家居用品,20240125,27.09,3.06,3627482.0,15027462.076108
其他家居用品,20240126,26.67,3.01,3570028.0,14716949.369627
其他家居用品,20240129,26.16,2.96,3492820.0,14718444.279259
其他家居用品,20240130,25.34,2.86,3387452.0,14267446.676141
其他家居用品,20240131,24.39,2.76,3251214.0,13948001.618544
其他家居用品,20240201,24.04,2.72,3204879.0,13862941.476873
其他家居用品,20240202,23.76,2.69,3151073.0,13737603.271506
其他家居用品,20240205,22.8,2.58,3001848.0,13497248.455373
其他家居用品,20240206,22.79,2.58,3018053.0,13652607.228632
其他家居用品,20240207,22.37,2.53,2946147.0,13489102.683888
其他家居用品,20240208,23.17,2.62,3083792.0,13913772.162673
其他家居用品,20240219,23.7,2.68,3157790.0,14188486.578231
其他家居用品,20240220,23.95,2.71,3189902.0,14329427.25083
其他家居用品,20240221,24.49,2.77,3265360.0,14545311.421123
其他家居用品,20240222,24.89,2.81,3320491.0,14688494.598613
其他家居用品,20240223,25.28,2.86,3371666.0,14744146.129571
其他家居用品,20240226,25.39,2.87,3405607.0,14845316.579458
其他家居用品,20240227,25.7,2.91,3448307.0,14960293.632567
其他家居用品,20240228,24.66,2.79,3285013.0,14568151.036261
其他家居用品,20240229,25.32,2.86,3370800.0,14863188.632763
其他家居用品,20240301,25.26,2.86,3365857.0,14793439.107953
其他家居用品,20240304,25.22,2.85,3375857.0,14882864.198947
其他家居用品,20240305,24.93,2.82,3332438.0,14784940.259649
其他家居用品,20240306,25.19,2.85,3371691.0,14854693.206859
其他家居用品,20240307,25.18,2.85,3360301.0,14839602.990585
其他家居用品,20240308,25.27,2.86,3374270.0,14816128.229184
其他家居用品,20240311,25.66,2.9,3445850.0,15067269.004944
其他家居用品,20240312,26.04,2.94,3503349.0,15306994.851286
其他家居用品,20240313,26.07,2.95,3507584.0,15308067.704437
其他家居用品,20240314,26.23,2.97,3516831.0,15353750.319545
其他家居用品,20240315,26.45,2.99,3547192.0,15466247.812229
其他家居用品,20240318,26.68,3.02,3581718.0,15530507.600643
其他家居用品,20240319,26.66,3.01,3591155.0,15613460.353035
其他家居用品,20240320,26.84,3.04,3615821.0,15661403.482498
其他家居用品,20240321,26.77,3.03,3602218.0,15528056.828977
其他家居用品,20240322,26.42,2.99,3553055.0,15350331.457845
其他家居用品,20240325,26.4,2.99,3553113.0,15438054.635337
其他家居用品,20240326,26.52,3.0,3569948.0,15466889.151194
其他家居用品,20240327,26.5,2.97,3514855.0,15377804.804947
其他家居用品,20240328,26.65,2.98,3543918.0,15426847.083176
其他家居用品,20240329,26.81,3.01,3581601.0,15565417.894718
其他家居用品,20240401,27.32,3.07,3645430.0,15740347.097107
其他家居用品,20240402,26.87,3.08,3689402.0,15943691.915733
其他家居用品,20240403,26.92,3.08,3692046.0,16002849.426883
其他家居用品,20240408,27.0,3.09,3684428.0,16095508.789057
其他家居用品,20240409,27.11,3.1,3691466.0,16080449.37272
其他家居用品,20240410,26.65,3.05,3625174.0,15899381.824783
其他家居用品,20240411,26.55,3.04,3617904.0,15821338.003259
其他家居用品,20240412,26.51,3.03,3618199.0,15842571.279385
其他家居用品,20240415,25.94,2.97,3522758.0,15718112.326398
其他家居用品,20240416,25.06,2.87,3397216.0,15427524.518855
其他家居用品,20240417,26.06,2.99,3529443.0,15892570.36292
其他家居用品,20240418,25.36,2.97,3514766.0,15820017.095133
其他家居用品,20240419,25.45,2.98,3525949.0,15864363.67087
其他家居用品,20240422,25.25,2.95,3508075.0,15794680.26308
其他家居用品,20240423,25.18,2.95,3510785.0,15805466.997347
