name,trade_date,pe,pb,float_mv,total_mv
其他生物制品,20240102,23.01,3.0,22167220.0,43440380.734192
其他生物制品,20240103,22.92,2.99,22129917.0,43301721.287513
其他生物制品,20240104,22.9,2.98,22049443.0,43110639.940875
其他生物制品,20240105,22.15,2.89,21396339.0,41861887.288859
其他生物制品,20240108,21.7,2.83,20905455.0,40912123.23488
其他生物制品,20240109,21.75,2.83,21042494.0,41162073.116434
其他生物制品,20240110,21.58,2.81,20929082.0,40906724.619034
其他生物制品,20240111,21.46,2.8,21002714.0,41209902.731754
其他生物制品,20240112,20.8,2.71,20480400.0,40257472.248362
其他生物制品,20240115,20.62,2.69,20396828.0,40012572.570868
其他生物制品,20240116,20.65,2.69,20570286.0,40062898.128233
其他生物制品,20240117,20.18,2.63,19776940.0,38443367.318913
其他生物制品,20240118,20.28,2.64,19796314.0,38414647.51147
其他生物制品,20240119,20.1,2.62,19650575.0,38211051.349518
其他生物制品,20240122,19.16,2.5,18620996.0,36019801.52936
其他生物制品,20240123,19.23,2.51,18753174.0,36289526.282285
其他生物制品,20240124,19.39,2.53,18786966.0,36317643.916143
其他生物制品,20240125,19.78,2.58,19126761.0,37120697.059104
其他生物制品,20240126,19.46,2.54,18701804.0,36342903.587237
其他生物制品,20240129,19.21,2.5,18417057.0,35732421.714296
其他生物制品,20240130,18.71,2.44,17918053.0,34661624.18646
其他生物制品,20240131,18.0,2.35,17192793.0,40756229.669637
其他生物制品,20240201,18.03,2.35,17227621.0,40704191.660224
其他生物制品,20240202,17.31,2.26,16537514.0,31838540.683894
其他生物制品,20240205,16.78,2.19,15987862.0,30461231.707696
其他生物制品,20240206,18.28,2.38,17593532.0,33570605.973959
其他生物制品,20240207,19.01,2.48,18477012.0,35244009.619772
其他生物制品,20240208,19.32,2.52,18942563.0,36365291.358903
其他生物制品,20240219,19.4,2.53,18795475.0,36187167.602552
其他生物制品,20240220,19.67,2.56,18962946.0,36494453.860459
其他生物制品,20240221,19.67,2.56,19027874.0,36629064.912128
其他生物制品,20240222,19.87,2.59,19127591.0,36834211.665543
其他生物制品,20240223,19.92,2.59,19204471.0,37087811.923819
其他生物制品,20240226,19.97,2.6,19347801.0,37544932.084353
其他生物制品,20240227,20.28,2.64,19696952.0,38188758.125093
其他生物制品,20240228,20.01,2.61,19338742.0,37274305.527629
其他生物制品,20240229,20.44,2.66,19765180.0,38100013.507605
其他生物制品,20240301,20.4,2.65,19687942.0,37992956.316199
其他生物制品,20240304,20.61,2.68,19951221.0,38594398.045559
其他生物制品,20240305,20.37,2.65,19686515.0,37973255.482273
其他生物制品,20240306,20.18,2.62,19604058.0,37744576.208987
其他生物制品,20240307,19.63,2.55,19008525.0,36612673.239081
其他生物制品,20240308,19.75,2.57,19252688.0,36874792.685312
其他生物制品,20240311,20.15,2.62,19843582.0,38005325.227965
其他生物制品,20240312,20.55,2.67,20099691.0,38467323.926031
其他生物制品,20240313,20.4,2.65,20104689.0,38585733.603955
其他生物制品,20240314,20.46,2.65,20454761.0,39252911.387879
其他生物制品,20240315,20.58,2.66,20593436.0,39562540.033655
其他生物制品,20240318,20.92,2.71,20988999.0,40184060.014124
其他生物制品,20240319,20.88,2.7,20772867.0,39787298.306383
其他生物制品,20240320,20.07,2.65,20724887.0,39777912.685783
其他生物制品,20240321,19.89,2.63,20449234.0,39125827.140565
其他生物制品,20240322,19.53,2.58,20016489.0,38174829.00967
其他生物制品,20240325,19.06,2.52,19737178.0,37631368.810341
其他生物制品,20240326,19.03,2.51,19651547.0,37456012.958678
其他生物制品,20240327,18.75,2.48,19434971.0,37023144.594695
其他生物制品,20240328,18.74,2.5,19614955.0,37395056.032534
其他生物制品,20240329,18.32,2.49,19520361.0,37302025.58895
其他生物制品,20240401,19.05,2.6,20032335.0,38256404.329189
其他生物制品,20240402,19.04,2.6,19945666.0,38050794.040595
其他生物制品,20240403,18.96,2.59,19864685.0,37826095.783886
其他生物制品,20240408,18.33,2.5,19472078.0,37109155.132826
其他生物制品,20240409,18.62,2.54,19904369.0,38009391.693428
其他生物制品,20240410,18.31,2.49,19404479.0,37082325.581625
其他生物制品,20240411,18.21,2.48,19274253.0,36909198.330601
其他生物制品,20240412,18.16,2.47,19182508.0,36665484.858505
其他生物制品,20240415,18.31,2.49,19153729.0,36263003.958255
其他生物制品,20240416,17.95,2.44,18671468.0,35224159.21199
其他生物制品,20240417,18.2,2.48,18880248.0,35687589.647051
其他生物制品,20240418,17.97,2.44,18827423.0,35829108.667742
其他生物制品,20240419,17.9,2.43,18601247.0,35437634.912848
其他生物制品,20240422,17.75,2.38,18728246.0,35811975.216087
其他生物制品,20240423,17.97,2.42,18913021.0,36475645.502492
其他生物制品,20240424,17.67,2.39,18857705.0,36373299.494879
其他生物制品,20240425,17.62,2.38,19054683.0,36784009.826415
其他生物制品,20240426,17.89,2.41,19477451.0,37638337.740501
其他生物制品,20240429,18.19,2.44,19749896.0,38185195.177681
其他生物制品,20240430,18.18,2.45,19837063.0,38360664.627983
其他生物制品,20240506,35.07,3.31,20500987.0,39706039.875217
其他生物制品,20240507,34.85,3.29,20400320.0,39598678.332444
其他生物制品,20240508,34.94,3.3,20561231.0,39997670.047046
其他生物制品,20240509,35.35,3.34,20719693.0,40233041.892547
其他生物制品,20240510,34.68,3.28,20320947.0,39519411.259883
其他生物制品,20240513,33.98,3.22,19899348.0,38638294.389063
其他生物制品,20240514,34.11,3.23,19968985.0,38759314.866888
其他生物制品,20240515,33.64,3.19,19687557.0,38111856.651137
其他生物制品,20240516,33.45,3.17,19572048.0,37787731.679882
其他生物制品,20240517,33.64,3.19,19704041.0,38042367.106584
其他生物制品,20240520,33.6,3.19,19679615.0,37967214.074123
其他生物制品,20240521,33.18,3.15,19433883.0,37509386.423451
其他生物制品,20240522,30.75,3.01,18074387.0,36076859.971506
其他生物制品,20240523,29.98,2.93,17603099.0,35094327.110472
其他生物制品,20240524,29.6,2.89,17386708.0,34630165.904409
其他生物制品,20240527,29.58,2.89,17374380.0,34603252.442
其他生物制品,20240528,29.31,2.86,17218239.0,34399235.805999
其他生物制品,20240529,29.18,2.85,17145028.0,34237502.865522
其他生物制品,20240530,28.84,2.82,16950909.0,33912290.660223
其他生物制品,20240531,28.96,2.83,17026934.0,34109586.070341
其他生物制品,20240603,28.74,2.81,16874198.0,33689699.905185
其他生物制品,20240604,29.16,2.85,17110667.0,34085515.42611
