name,trade_date,pe,pb,float_mv,total_mv
其他电源设备Ⅱ,20240102,33.66,1.83,13629154.0,31575012.473537
其他电源设备Ⅱ,20240103,33.68,1.83,13633278.0,31603266.002165
其他电源设备Ⅱ,20240104,33.35,1.82,13502394.0,31319385.640037
其他电源设备Ⅱ,20240105,32.58,1.77,13205214.0,30664434.118535
其他电源设备Ⅱ,20240108,31.86,1.73,12905644.0,29963067.512703
其他电源设备Ⅱ,20240109,32.06,1.75,12978453.0,30104728.508059
其他电源设备Ⅱ,20240110,32.27,1.76,13062356.0,30288495.141817
其他电源设备Ⅱ,20240111,32.9,1.79,13319772.0,30850898.83286
其他电源设备Ⅱ,20240112,32.69,1.78,13236859.0,30681118.357812
其他电源设备Ⅱ,20240115,32.53,1.77,13186023.0,30615172.596282
其他电源设备Ⅱ,20240116,32.5,1.77,13172038.0,30579230.275525
其他电源设备Ⅱ,20240117,31.54,1.72,12800090.0,29711630.940649
其他电源设备Ⅱ,20240118,31.59,1.72,12831614.0,29763535.648999
其他电源设备Ⅱ,20240119,31.15,1.7,12652709.0,29396210.760976
其他电源设备Ⅱ,20240122,29.37,1.6,11933523.0,27763811.420744
其他电源设备Ⅱ,20240123,29.76,1.62,12063947.0,28094912.400693
其他电源设备Ⅱ,20240124,30.26,1.65,12270975.0,28671306.30969
其他电源设备Ⅱ,20240125,31.4,1.71,12744857.0,29877869.898048
其他电源设备Ⅱ,20240126,31.1,1.69,12606465.0,29585632.862286
其他电源设备Ⅱ,20240129,30.26,1.65,12279313.0,28965998.095626
其他电源设备Ⅱ,20240130,29.83,1.62,12079798.0,28477722.492793
其他电源设备Ⅱ,20240131,28.8,1.57,11669903.0,27647096.013563
其他电源设备Ⅱ,20240201,28.4,1.55,11494209.0,27198714.616438
其他电源设备Ⅱ,20240202,27.58,1.5,11161859.0,26508328.220226
其他电源设备Ⅱ,20240205,26.06,1.42,10535635.0,25144380.14012
其他电源设备Ⅱ,20240206,27.23,1.48,11010394.0,26253338.117735
其他电源设备Ⅱ,20240207,28.0,1.52,11276595.0,26897552.486356
其他电源设备Ⅱ,20240208,29.02,1.58,11708400.0,27749772.152451
其他电源设备Ⅱ,20240219,29.73,1.62,12000725.0,28492992.118545
其他电源设备Ⅱ,20240220,29.61,1.61,11955725.0,28377143.411521
其他电源设备Ⅱ,20240221,29.84,1.62,12055881.0,28619454.077706
其他电源设备Ⅱ,20240222,30.31,1.65,12246790.0,29065402.397347
其他电源设备Ⅱ,20240223,30.66,1.67,12387365.0,29316121.392381
其他电源设备Ⅱ,20240226,31.0,1.69,12535664.0,29601457.046474
其他电源设备Ⅱ,20240227,31.73,1.73,12829795.0,30270821.593297
其他电源设备Ⅱ,20240228,30.72,1.67,12421341.0,29415321.339081
其他电源设备Ⅱ,20240229,32.21,1.75,13043030.0,30926244.556717
其他电源设备Ⅱ,20240301,32.89,1.79,13335542.0,31430561.038755
其他电源设备Ⅱ,20240304,33.08,1.8,13404269.0,31576641.145229
其他电源设备Ⅱ,20240305,32.24,1.76,13053867.0,30741743.679333
其他电源设备Ⅱ,20240306,32.74,1.78,13257450.0,31182376.546576
其他电源设备Ⅱ,20240307,32.17,1.75,13021381.0,30644595.765235
其他电源设备Ⅱ,20240308,32.77,1.78,13264055.0,31165762.833994
其他电源设备Ⅱ,20240311,33.65,1.83,13620377.0,31953212.27768
其他电源设备Ⅱ,20240312,33.25,1.81,13461078.0,31530070.878332
其他电源设备Ⅱ,20240313,33.22,1.81,13452230.0,31496980.744833
其他电源设备Ⅱ,20240314,32.82,1.79,13285069.0,31137681.117825
其他电源设备Ⅱ,20240315,32.97,1.8,13346153.0,31262444.511247
其他电源设备Ⅱ,20240318,33.47,1.82,13556797.0,31724864.911494
其他电源设备Ⅱ,20240319,33.18,1.81,13434386.0,31383805.853517
其他电源设备Ⅱ,20240320,33.7,1.82,13554771.0,31619446.463976
其他电源设备Ⅱ,20240321,33.62,1.82,13523764.0,31580821.691213
其他电源设备Ⅱ,20240322,33.38,1.81,13426847.0,31349016.488712
其他电源设备Ⅱ,20240325,32.74,1.77,13155874.0,30706119.665357
其他电源设备Ⅱ,20240326,32.7,1.79,13356045.0,30849668.737249
其他电源设备Ⅱ,20240327,31.37,1.71,12812959.0,29698391.614403
其他电源设备Ⅱ,20240328,31.88,1.74,13028561.0,30165654.598773
其他电源设备Ⅱ,20240329,30.99,1.76,13197179.0,30605831.206697
其他电源设备Ⅱ,20240401,31.95,1.81,13529909.0,31320702.415541
其他电源设备Ⅱ,20240402,31.75,1.79,13442646.0,31159381.210994
其他电源设备Ⅱ,20240403,31.33,1.77,13266313.0,30833416.225216
其他电源设备Ⅱ,20240408,30.86,1.74,13053452.0,30392331.083479
其他电源设备Ⅱ,20240409,31.12,1.76,13158730.0,30585348.420775
其他电源设备Ⅱ,20240410,30.59,1.73,12932973.0,30132463.282226
其他电源设备Ⅱ,20240411,31.13,1.76,13152650.0,30716588.786421
其他电源设备Ⅱ,20240412,30.28,1.74,12982984.0,30331870.138158
其他电源设备Ⅱ,20240415,30.58,1.76,13150057.0,30898228.014678
其他电源设备Ⅱ,20240416,29.47,1.68,12611660.0,29792138.679797
其他电源设备Ⅱ,20240417,30.92,1.77,13242261.0,31218018.831011
其他电源设备Ⅱ,20240418,30.7,1.76,13152089.0,31025193.642351
其他电源设备Ⅱ,20240419,30.42,1.74,13030151.0,30780358.840383
其他电源设备Ⅱ,20240422,30.39,1.72,12864838.0,30335885.516082
其他电源设备Ⅱ,20240423,30.2,1.71,12796901.0,30140773.198432
其他电源设备Ⅱ,20240424,30.34,1.73,12977643.0,30555224.19051
其他电源设备Ⅱ,20240425,31.52,1.72,12930982.0,30494096.042819
其他电源设备Ⅱ,20240426,31.52,1.75,13140632.0,30910910.209882
其他电源设备Ⅱ,20240429,30.69,1.76,13254725.0,31062698.262042
其他电源设备Ⅱ,20240430,30.05,1.71,12922450.0,30252440.118972
其他电源设备Ⅱ,20240506,32.28,1.74,13091580.0,30710223.210213
其他电源设备Ⅱ,20240507,32.18,1.73,13051866.0,30632169.178181
其他电源设备Ⅱ,20240508,31.6,1.7,12814953.0,30155823.28251
其他电源设备Ⅱ,20240509,32.46,1.75,13164249.0,30944117.812743
其他电源设备Ⅱ,20240510,32.48,1.75,13165228.0,30972649.07171
其他电源设备Ⅱ,20240513,32.45,1.75,13156630.0,30975594.451602
其他电源设备Ⅱ,20240514,32.36,1.74,13105434.0,30855788.073786
其他电源设备Ⅱ,20240515,31.9,1.71,12917445.0,30290063.168515
其他电源设备Ⅱ,20240516,31.86,1.71,12903842.0,30232030.980532
其他电源设备Ⅱ,20240517,32.13,1.73,13007322.0,30451139.061772
其他电源设备Ⅱ,20240520,31.94,1.72,12931949.0,30345789.099675
其他电源设备Ⅱ,20240521,31.57,1.7,12787306.0,30000724.323256
其他电源设备Ⅱ,20240522,31.82,1.71,12889158.0,30135057.254771
其他电源设备Ⅱ,20240523,31.53,1.69,12766577.0,29773841.953431
其他电源设备Ⅱ,20240524,31.38,1.69,12709652.0,29756699.908242
其他电源设备Ⅱ,20240527,32.02,1.72,12965025.0,30354604.845861
其他电源设备Ⅱ,20240528,32.15,1.73,13006559.0,30421500.939256
其他电源设备Ⅱ,20240529,31.83,1.71,12878144.0,30183782.101527
其他电源设备Ⅱ,20240530,31.72,1.7,12829119.0,30151185.303485
其他电源设备Ⅱ,20240531,31.51,1.69,12747835.0,29928236.059385
其他电源设备Ⅱ,20240603,30.92,1.66,12518488.0,29345490.805077
其他电源设备Ⅱ,20240604,31.42,1.69,12718456.0,29769127.549228
其他电源设备Ⅱ,20240605,30.71,1.65,12424965.0,29073473.759409
其他电源设备Ⅱ,20240606,30.0,1.61,12128155.0,28430782.555881
其他电源设备Ⅱ,20240607,30.08,1.62,12162567.0,28526068.721731
其他电源设备Ⅱ,20240611,30.06,1.61,12152305.0,28420809.101399
其他电源设备Ⅱ,20240612,30.12,1.62,12188892.0,28526567.360544
其他电源设备Ⅱ,20240613,30.05,1.61,12163390.0,28442955.288749
其他电源设备Ⅱ,20240614,29.96,1.61,12127133.0,28337025.015436
其他电源设备Ⅱ,20240617,29.95,1.61,12122207.0,28376240.256438
其他电源设备Ⅱ,20240618,30.38,1.63,12298811.0,28806407.806777
其他电源设备Ⅱ,20240619,29.69,1.59,12020940.0,28241700.74816
其他电源设备Ⅱ,20240620,80.87,1.57,3477868.0,27783993.501064
其他电源设备Ⅱ,20240621,28.41,1.56,11723531.0,27614338.422717
其他电源设备Ⅱ,20240624,27.58,1.51,11375461.0,26814234.106521
其他电源设备Ⅱ,20240625,27.4,1.5,11302748.0,26655620.132708
其他电源设备Ⅱ,20240626,27.91,1.53,11518172.0,27125645.991773
其他电源设备Ⅱ,20240627,27.33,1.5,11281289.0,26642852.375903
其他电源设备Ⅱ,20240628,27.92,1.53,11521810.0,27234454.108853
其他电源设备Ⅱ,20240701,27.88,1.53,11503773.0,27210168.301984
其他电源设备Ⅱ,20240702,27.57,1.51,11378514.0,26913995.434375
其他电源设备Ⅱ,20240703,27.15,1.49,11201264.0,26482360.563851
其他电源设备Ⅱ,20240704,26.78,1.47,11045712.0,26154793.632528
其他电源设备Ⅱ,20240705,26.76,1.47,11052036.0,26172789.048363
其他电源设备Ⅱ,20240708,26.5,1.45,10939175.0,25874001.167607
其他电源设备Ⅱ,20240709,26.85,1.47,11085465.0,26239991.062403
其他电源设备Ⅱ,20240710,26.29,1.44,10856651.0,25746615.801971
其他电源设备Ⅱ,20240711,27.03,1.48,11163136.0,26462083.668709
其他电源设备Ⅱ,20240712,27.3,1.5,11288996.0,26770839.945004
其他电源设备Ⅱ,20240715,26.87,1.47,11104932.0,26344422.095671
其他电源设备Ⅱ,20240716,27.24,1.49,11252939.0,26647069.087228
其他电源设备Ⅱ,20240717,26.96,1.48,11140443.0,26440870.180403
其他电源设备Ⅱ,20240718,27.31,1.5,11285722.0,26795884.777029
其他电源设备Ⅱ,20240719,27.6,1.51,11404495.0,27067098.369312
其他电源设备Ⅱ,20240722,27.94,1.53,11539882.0,27370316.144451
其他电源设备Ⅱ,20240723,27.18,1.49,11226993.0,26640343.600507
其他电源设备Ⅱ,20240724,27.17,1.49,11223610.0,26679211.912749
其他电源设备Ⅱ,20240725,27.13,1.49,11205148.0,26645979.859293
其他电源设备Ⅱ,20240726,27.53,1.51,11371554.0,27030660.526086
其他电源设备Ⅱ,20240729,27.4,1.5,11317235.0,26880895.936062
其他电源设备Ⅱ,20240730,27.43,1.5,11331940.0,26866072.288868
其他电源设备Ⅱ,20240731,28.78,1.55,11348823.0,26559448.469688
其他电源设备Ⅱ,20240801,28.73,1.55,11329135.0,26548895.746559
其他电源设备Ⅱ,20240802,28.32,1.53,11171091.0,26195120.112295
其他电源设备Ⅱ,20240805,27.49,1.48,10841380.0,25449927.960027
其他电源设备Ⅱ,20240806,27.94,1.51,11016921.0,25828704.512947
其他电源设备Ⅱ,20240807,28.03,1.51,11056309.0,25947723.204476
其他电源设备Ⅱ,20240808,27.64,1.49,10898268.0,25615482.10826
其他电源设备Ⅱ,20240809,27.45,1.48,10824630.0,25416359.294133
其他电源设备Ⅱ,20240812,27.29,1.47,10759961.0,25304151.521168
其他电源设备Ⅱ,20240813,27.57,1.48,10871928.0,25560269.906517
其他电源设备Ⅱ,20240814,26.95,1.45,10635015.0,24915422.805383
其他电源设备Ⅱ,20240815,27.13,1.46,10712013.0,25097099.026334
其他电源设备Ⅱ,20240816,26.98,1.45,10653601.0,24996061.063008
其他电源设备Ⅱ,20240819,26.82,1.45,10583890.0,24810502.804987
其他电源设备Ⅱ,20240820,26.29,1.42,10378347.0,24368298.824818
其他电源设备Ⅱ,20240821,26.18,1.41,10324903.0,24235389.899811
其他电源设备Ⅱ,20240822,25.97,1.4,10238850.0,24064417.859452
其他电源设备Ⅱ,20240823,25.79,1.39,10166960.0,23901692.137133
其他电源设备Ⅱ,20240826,25.73,1.47,10147936.0,23942058.811119
其他电源设备Ⅱ,20240827,25.25,1.45,9953349.0,23465834.687498
其他电源设备Ⅱ,20240828,25.51,1.46,10057074.0,23701945.339609
其他电源设备Ⅱ,20240829,25.93,1.49,10227589.0,24076965.319508
其他电源设备Ⅱ,20240830,26.39,1.52,10408465.0,24394581.586931
其他电源设备Ⅱ,20240902,26.02,1.48,10205843.0,23918125.36192
其他电源设备Ⅱ,20240903,26.54,1.51,10406900.0,24405671.965765
其他电源设备Ⅱ,20240904,26.38,1.5,10343032.0,24234331.31404
其他电源设备Ⅱ,20240905,26.39,1.5,10346723.0,24235564.456832
其他电源设备Ⅱ,20240906,25.99,1.48,10189030.0,23893424.468698
其他电源设备Ⅱ,20240909,25.83,1.47,10134512.0,23762858.970547
