name,trade_date,pe,pb,float_mv,total_mv
其他自动化设备,20240102,81.42,4.03,4303153.0,12777912.771727
其他自动化设备,20240103,79.1,3.92,4192654.0,12448355.784306
其他自动化设备,20240104,77.91,3.86,4148345.0,12328514.457038
其他自动化设备,20240105,75.68,3.75,4057782.0,12093757.505758
其他自动化设备,20240108,74.54,3.69,3968572.0,11796558.997056
其他自动化设备,20240109,75.4,3.73,3995915.0,11854909.579873
其他自动化设备,20240110,73.76,3.65,3910739.0,11599502.172338
其他自动化设备,20240111,75.51,3.74,3984261.0,11801522.739545
其他自动化设备,20240112,73.89,3.66,3901558.0,11543030.192193
其他自动化设备,20240115,73.6,3.64,3882627.0,11485794.925054
其他自动化设备,20240116,73.09,3.62,3852646.0,11392571.774417
其他自动化设备,20240117,71.07,3.52,3730701.0,11018993.769707
其他自动化设备,20240118,72.53,3.59,3757263.0,11082094.795269
其他自动化设备,20240119,69.48,3.44,3662275.0,10850672.065068
其他自动化设备,20240122,65.47,3.24,3438140.0,10186029.670704
其他自动化设备,20240123,65.48,3.24,3443232.0,10200655.685488
其他自动化设备,20240124,65.89,3.26,3459849.0,10248099.132127
其他自动化设备,20240125,68.66,3.4,3588530.0,10595001.102328
其他自动化设备,20240126,67.51,3.34,3513872.0,10353207.812252
其他自动化设备,20240129,64.35,3.19,3376188.0,9970286.278757
其他自动化设备,20240130,62.35,3.09,3266386.0,9648468.692877
其他自动化设备,20240131,58.73,2.91,3078892.0,9114044.509503
其他自动化设备,20240201,59.65,2.95,3088516.0,9109750.781281
其他自动化设备,20240202,58.21,2.88,2958022.0,8676150.259373
其他自动化设备,20240205,54.29,2.69,2728473.0,8004521.798388
其他自动化设备,20240206,60.18,2.9,2961407.0,8931352.311104
其他自动化设备,20240207,58.78,2.84,2945062.0,8913186.716947
其他自动化设备,20240208,65.1,3.14,3227500.0,9692366.707348
其他自动化设备,20240219,70.39,3.4,3388242.0,10050417.037787
其他自动化设备,20240220,75.79,3.66,3553430.0,10449639.151504
其他自动化设备,20240221,76.81,3.71,3583418.0,10530321.050004
其他自动化设备,20240222,81.46,3.93,3728917.0,10857352.329447
其他自动化设备,20240223,86.34,4.17,3920695.0,11394114.671218
其他自动化设备,20240226,92.18,4.45,4169576.0,12073091.307847
