name,trade_date,pe,pb,float_mv,total_mv
其他计算机设备,20240102,71.5,2.88,30593299.0,54421706.615529
其他计算机设备,20240103,70.55,2.84,30230258.0,53897373.684661
其他计算机设备,20240104,70.43,2.84,30169158.0,53809753.908237
其他计算机设备,20240105,68.6,2.77,29401456.0,52562110.579884
其他计算机设备,20240108,67.04,2.7,28742551.0,51344938.057623
其他计算机设备,20240109,66.5,2.68,28501795.0,50942737.657748
其他计算机设备,20240110,65.08,2.62,27940527.0,49953747.22018
其他计算机设备,20240111,67.24,2.71,28864113.0,51665688.353577
其他计算机设备,20240112,66.1,2.66,28412222.0,50943735.586478
其他计算机设备,20240115,65.44,2.64,28143957.0,50533111.439319
其他计算机设备,20240116,65.2,2.63,28046114.0,50340873.416997
其他计算机设备,20240117,63.91,2.58,27463270.0,49194886.697532
其他计算机设备,20240118,64.56,2.6,27726154.0,49514409.75175
其他计算机设备,20240119,63.06,2.54,27097724.0,48354762.620081
其他计算机设备,20240122,59.74,2.41,25708729.0,45853345.91563
其他计算机设备,20240123,61.0,2.46,26197756.0,46584414.721944
其他计算机设备,20240124,61.65,2.49,26486410.0,47126722.310457
其他计算机设备,20240125,64.14,2.59,27507518.0,48863847.869989
其他计算机设备,20240126,63.46,2.56,27232834.0,48406902.661641
其他计算机设备,20240129,61.19,2.47,26264357.0,46684388.299163
其他计算机设备,20240130,59.27,2.39,25498352.0,45376019.658158
其他计算机设备,20240131,56.31,2.27,24305207.0,43366700.25893
其他计算机设备,20240201,56.41,2.27,24335957.0,43326315.820216
其他计算机设备,20240202,53.97,2.17,23306462.0,41509308.011426
其他计算机设备,20240205,50.25,2.02,21858850.0,38938568.890873
其他计算机设备,20240206,53.11,2.14,23202677.0,41362585.82881
其他计算机设备,20240207,53.72,2.16,23467037.0,41759906.607066
其他计算机设备,20240208,56.98,2.3,24754353.0,43949512.436956
其他计算机设备,20240219,60.4,2.43,26090445.0,46178323.421734
其他计算机设备,20240220,60.78,2.45,26246981.0,46449324.310253
其他计算机设备,20240221,60.55,2.44,26152524.0,46333872.756915
其他计算机设备,20240222,63.44,2.56,27308878.0,48219080.913475
其他计算机设备,20240223,64.97,2.62,28244341.0,51544517.920979
其他计算机设备,20240226,66.74,2.69,29015811.0,52966430.312218
其他计算机设备,20240227,70.26,2.84,30511593.0,55286157.054956
其他计算机设备,20240228,66.95,2.7,29085624.0,52484388.042956
其他计算机设备,20240229,70.54,2.85,30590493.0,55091099.522858
其他计算机设备,20240301,74.3,3.0,32099460.0,57565873.691152
其他计算机设备,20240304,75.42,3.05,32558148.0,58274578.508813
其他计算机设备,20240305,74.31,3.0,32134890.0,57652352.835092
其他计算机设备,20240306,74.43,3.01,32148509.0,57547567.809764
其他计算机设备,20240307,72.12,2.91,31193273.0,56007482.938424
其他计算机设备,20240308,74.09,2.99,32002342.0,57384322.687605
其他计算机设备,20240311,75.86,3.06,32785195.0,58777285.012868
其他计算机设备,20240312,75.17,3.04,32547724.0,58545139.306479
其他计算机设备,20240313,74.96,3.03,32428349.0,58439644.880452
其他计算机设备,20240314,74.28,3.0,32127973.0,57863571.462025
其他计算机设备,20240315,74.44,3.03,32530170.0,58779468.653016
其他计算机设备,20240318,76.36,3.11,33307866.0,60115555.006253
其他计算机设备,20240319,75.6,3.08,33002718.0,59695490.036859
其他计算机设备,20240320,76.39,3.11,33298735.0,60149427.580868
其他计算机设备,20240321,75.87,3.09,33036416.0,59714427.606335
其他计算机设备,20240322,75.9,3.09,33019230.0,59523842.062517
