name,trade_date,pe,pb,float_mv,total_mv
其他通用设备,20240102,29.27,2.26,11528276.0,25218266.456196
其他通用设备,20240103,28.92,2.23,11399154.0,24825009.370101
其他通用设备,20240104,28.89,2.23,11394501.0,24789478.144618
其他通用设备,20240105,28.33,2.19,11196302.0,24331059.769394
其他通用设备,20240108,27.67,2.13,10953016.0,23808921.400704
其他通用设备,20240109,28.07,2.17,11094304.0,24099715.739094
其他通用设备,20240110,27.71,2.14,10967525.0,23838292.484482
其他通用设备,20240111,28.22,2.18,11178320.0,24325231.152435
其他通用设备,20240112,28.21,2.18,11101504.0,24139728.091031
其他通用设备,20240115,28.17,2.18,10987447.0,23888634.78466
其他通用设备,20240116,27.94,2.16,10897793.0,23696581.723081
其他通用设备,20240117,27.39,2.11,10607640.0,23049386.756093
其他通用设备,20240118,27.07,2.09,10490072.0,22788486.755365
其他通用设备,20240119,26.77,2.07,10325334.0,22385870.959773
其他通用设备,20240122,25.12,1.94,9674759.0,20945311.177041
其他通用设备,20240123,25.0,1.93,9676795.0,20927959.55031
其他通用设备,20240124,25.39,1.96,9795547.0,21175916.815985
其他通用设备,20240125,26.29,2.03,10148072.0,21966937.941455
其他通用设备,20240126,26.03,2.01,10032024.0,21703629.752678
其他通用设备,20240129,25.22,1.95,9719821.0,21023756.82771
其他通用设备,20240130,24.52,1.89,9440607.0,20401805.433492
其他通用设备,20240131,23.33,1.8,8974090.0,19374945.328642
其他通用设备,20240201,22.97,1.77,8866795.0,19169016.850592
其他通用设备,20240202,22.15,1.71,8522942.0,18394625.572126
其他通用设备,20240205,20.95,1.62,7962496.0,17107304.850622
其他通用设备,20240206,22.04,1.7,8378459.0,18039438.755035
其他通用设备,20240207,22.03,1.7,8348943.0,17889444.05401
其他通用设备,20240208,23.2,1.79,8860368.0,18998800.072928
其他通用设备,20240219,23.56,1.82,8992810.0,19335999.828886
其他通用设备,20240220,23.69,1.83,9049308.0,19511769.985693
其他通用设备,20240221,24.17,1.86,9248733.0,19891574.036271
其他通用设备,20240222,24.53,1.89,9397815.0,20230848.390317
其他通用设备,20240223,25.02,1.92,9611379.0,20720557.503869
其他通用设备,20240226,25.69,1.97,9884116.0,21347134.623474
其他通用设备,20240227,26.03,2.0,10044009.0,21712856.396544
其他通用设备,20240228,24.53,1.89,9398117.0,20264015.908343
其他通用设备,20240229,25.75,1.98,9870021.0,21262955.025645
其他通用设备,20240301,26.14,2.0,9852446.0,21434758.04256
其他通用设备,20240304,26.17,2.01,9849053.0,21428075.809945
其他通用设备,20240305,25.95,1.99,9742261.0,21174010.049341
其他通用设备,20240306,26.54,2.03,9937730.0,21611628.845834
其他通用设备,20240307,26.86,2.06,10020191.0,21796159.853809
其他通用设备,20240308,27.37,2.1,10185026.0,22118338.945333
其他通用设备,20240311,27.83,2.13,10349467.0,22415968.35944
其他通用设备,20240312,28.0,2.15,10441804.0,22634510.70377
其他通用设备,20240313,28.09,2.15,10475512.0,22688558.588004
其他通用设备,20240314,27.95,2.14,10423118.0,22546915.886496
其他通用设备,20240315,28.31,2.17,10564990.0,22879331.610846
其他通用设备,20240318,28.81,2.21,10763971.0,23319240.722133
其他通用设备,20240319,27.9,2.19,10695752.0,23232984.322127
其他通用设备,20240320,27.95,2.2,10742721.0,23338522.85129
其他通用设备,20240321,28.22,2.22,10831394.0,23606895.013584
其他通用设备,20240322,28.15,2.21,10809835.0,23541559.113653
其他通用设备,20240325,27.3,2.15,10477578.0,22710477.443727
其他通用设备,20240326,27.43,2.15,10473124.0,22682587.825089
其他通用设备,20240327,26.52,2.08,10114596.0,21842389.323727
其他通用设备,20240328,27.17,2.13,10383610.0,22448966.578512
其他通用设备,20240329,27.81,2.18,10585582.0,22849436.042813
其他通用设备,20240401,28.66,2.24,10857331.0,23468706.927024
其他通用设备,20240402,28.67,2.24,10848579.0,23463495.387791
其他通用设备,20240403,28.57,2.23,10767451.0,23254124.763172
其他通用设备,20240408,27.78,2.17,10434413.0,22501357.405215
其他通用设备,20240409,28.02,2.18,10516803.0,22697700.112851
其他通用设备,20240410,27.76,2.16,10402047.0,22414077.767759
其他通用设备,20240411,27.72,2.16,10410499.0,22448303.707098
其他通用设备,20240412,27.63,2.16,10350292.0,22287486.542942
其他通用设备,20240415,27.13,2.12,10122689.0,21782960.27483
其他通用设备,20240416,25.59,2.0,9524312.0,20461393.718214
其他通用设备,20240417,26.98,2.11,10100731.0,21726986.432396
其他通用设备,20240418,26.68,2.12,10121873.0,21759927.31587
其他通用设备,20240419,26.79,2.13,10171297.0,21834852.810777
其他通用设备,20240422,26.77,2.12,10150770.0,21766416.319317
其他通用设备,20240423,26.74,2.11,10144075.0,21778605.777981
其他通用设备,20240424,26.93,2.15,10329603.0,22181763.768068
其他通用设备,20240425,26.37,2.11,10239200.0,22033136.136177
其他通用设备,20240426,27.02,2.16,10490818.0,22514951.075407
其他通用设备,20240429,28.04,2.23,10843596.0,23211544.505695
其他通用设备,20240430,27.62,2.19,10684554.0,22887155.491083
其他通用设备,20240506,30.6,2.27,10855490.0,23247543.341229
其他通用设备,20240507,31.19,2.32,11051539.0,23658672.024594
其他通用设备,20240508,30.75,2.28,10894542.0,23274926.778571
其他通用设备,20240509,31.29,2.32,11080651.0,23653813.354958
其他通用设备,20240510,31.0,2.3,10974246.0,23396154.580442
其他通用设备,20240513,30.68,2.28,10858318.0,23139893.703956
其他通用设备,20240514,30.68,2.28,10877838.0,23189794.004469
