name,trade_date,pe,pb,float_mv,total_mv
其他金属新材料,20240102,32.1,2.56,3773569.0,7955246.423891
其他金属新材料,20240103,31.36,2.5,3702016.0,7800705.671304
其他金属新材料,20240104,31.09,2.48,3667112.0,7723908.973066
其他金属新材料,20240105,30.47,2.43,3581179.0,7554993.063131
其他金属新材料,20240108,30.02,2.39,3513132.0,7415799.839805
其他金属新材料,20240109,30.41,2.42,3541552.0,7438793.059503
其他金属新材料,20240110,30.42,2.42,3536673.0,7442730.543602
其他金属新材料,20240111,30.89,2.46,3590795.0,7541991.993157
其他金属新材料,20240112,30.48,2.43,3545786.0,7447199.342916
其他金属新材料,20240115,30.03,2.39,3502112.0,7354199.914272
其他金属新材料,20240116,29.86,2.38,3488916.0,7329368.989139
其他金属新材料,20240117,28.65,2.28,3358003.0,7058930.766765
其他金属新材料,20240118,28.5,2.27,3347317.0,7050662.646905
其他金属新材料,20240119,28.35,2.26,3322485.0,6995647.687413
其他金属新材料,20240122,26.34,2.1,3092298.0,6517695.06048
其他金属新材料,20240123,26.54,2.11,3112802.0,6553206.839343
其他金属新材料,20240124,26.79,2.13,3136547.0,6572385.667453
其他金属新材料,20240125,27.68,2.21,3267233.0,6851282.870595
其他金属新材料,20240126,27.43,2.19,3229503.0,6754991.400044
其他金属新材料,20240129,26.85,2.14,3165797.0,6628806.468742
其他金属新材料,20240130,25.86,2.06,3054591.0,6402790.891226
其他金属新材料,20240131,24.78,1.97,2919736.0,6113017.737416
其他金属新材料,20240201,24.49,1.95,2883464.0,6050894.488987
其他金属新材料,20240202,23.2,1.85,2736518.0,5743992.803534
其他金属新材料,20240205,21.43,1.71,2515586.0,5289864.178362
其他金属新材料,20240206,22.36,1.78,2636819.0,5562603.79262
其他金属新材料,20240207,22.75,1.81,2673622.0,5622754.496484
其他金属新材料,20240208,24.15,1.92,2863158.0,6027664.174921
其他金属新材料,20240219,24.5,1.95,2909502.0,6123343.073406
其他金属新材料,20240220,24.41,1.95,2888242.0,6077985.194127
其他金属新材料,20240221,24.84,1.98,2937319.0,6186705.423899
其他金属新材料,20240222,25.13,2.0,2972111.0,6257498.127985
其他金属新材料,20240223,25.77,2.05,3045449.0,6411795.95295
其他金属新材料,20240226,26.16,2.08,3095276.0,6523602.396199
其他金属新材料,20240227,26.79,2.13,3171707.0,6684108.277316
其他金属新材料,20240228,25.17,2.01,2966577.0,6241906.081753
其他金属新材料,20240229,26.14,2.08,3078573.0,6475856.564538
其他金属新材料,20240301,26.38,2.1,3116996.0,6561725.44886
其他金属新材料,20240304,26.3,2.1,3144039.0,6657187.108854
其他金属新材料,20240305,26.05,2.08,3101970.0,6569743.937633
其他金属新材料,20240306,26.27,2.09,3133367.0,6638644.51414
其他金属新材料,20240307,26.27,2.09,3135798.0,6643358.922536
其他金属新材料,20240308,26.36,2.1,3150797.0,6674068.373423
其他金属新材料,20240311,27.0,2.15,3229284.0,6839548.541168
其他金属新材料,20240312,27.44,2.19,3269206.0,6913858.819603
其他金属新材料,20240313,27.58,2.2,3308993.0,7027243.496775
其他金属新材料,20240314,27.38,2.18,3291259.0,6979444.509393
其他金属新材料,20240315,28.03,2.23,3344737.0,7069744.531011
其他金属新材料,20240318,28.53,2.27,3415829.0,7219012.430529
其他金属新材料,20240319,28.78,2.29,3433825.0,7252927.437037
其他金属新材料,20240320,29.46,2.35,3505426.0,7363664.943269
其他金属新材料,20240321,30.3,2.41,3580404.0,7513739.531569
其他金属新材料,20240322,31.02,2.47,3629788.0,7591617.916833
其他金属新材料,20240325,29.51,2.35,3468713.0,7285772.391085
其他金属新材料,20240326,29.18,2.33,3432882.0,7221628.784548
其他金属新材料,20240327,27.76,2.21,3280263.0,6920104.572187
其他金属新材料,20240328,29.01,2.31,3406876.0,7168039.453367
其他金属新材料,20240329,29.53,2.35,3477138.0,7337522.1352
其他金属新材料,20240401,29.75,2.38,3515492.0,7420087.386914
其他金属新材料,20240402,30.06,2.4,3539506.0,7470195.824005
其他金属新材料,20240403,30.3,2.42,3547603.0,7440827.216355
其他金属新材料,20240408,29.53,2.36,3480261.0,7317010.866868
其他金属新材料,20240409,29.83,2.39,3525277.0,7408345.991612
其他金属新材料,20240410,29.09,2.33,3441747.0,7241169.940256
其他金属新材料,20240411,28.99,2.32,3448571.0,7273415.262833
其他金属新材料,20240412,29.07,2.33,3441951.0,7260754.73037
其他金属新材料,20240415,27.85,2.23,3296335.0,6952813.504998
其他金属新材料,20240416,26.14,2.09,3102426.0,6561794.942409
其他金属新材料,20240417,27.66,2.21,3274942.0,6939092.40825
其他金属新材料,20240418,27.82,2.22,3299078.0,6998368.806047
其他金属新材料,20240419,27.09,2.2,3289696.0,6966045.829691
其他金属新材料,20240422,26.9,2.17,3255973.0,6917793.154041
其他金属新材料,20240423,24.0,2.12,3238066.0,6887170.004207
其他金属新材料,20240424,24.65,2.18,3309593.0,7025718.730535
其他金属新材料,20240425,24.86,2.2,3327962.0,7052940.737562
其他金属新材料,20240426,25.43,2.23,3389856.0,7168205.760301
其他金属新材料,20240429,26.14,2.29,3510435.0,7410496.038018
其他金属新材料,20240430,25.41,2.2,3428512.0,7235463.108113
其他金属新材料,20240506,33.27,2.42,3497866.0,7360595.782692
其他金属新材料,20240507,33.73,2.45,3546184.0,7482169.135031
其他金属新材料,20240508,32.97,2.4,3466151.0,7311917.037129
其他金属新材料,20240509,34.14,2.48,3590115.0,7572528.881623
其他金属新材料,20240510,33.94,2.47,3569131.0,7530950.559265
其他金属新材料,20240513,33.6,2.44,3533430.0,7467244.356176
其他金属新材料,20240514,33.47,2.43,3519751.0,7432336.530927
其他金属新材料,20240515,33.69,2.45,3542438.0,7493207.832337
其他金属新材料,20240516,33.19,2.41,3489285.0,7360903.27549
其他金属新材料,20240517,33.21,2.41,3492392.0,7367587.370996
其他金属新材料,20240520,33.67,2.45,3539991.0,7455098.008803
其他金属新材料,20240521,33.47,2.43,3518726.0,7406698.508108
