name,trade_date,pe,pb,float_mv,total_mv
养殖业,20240102,57.22,3.14,30253603.0,59181410.523098
养殖业,20240103,56.65,3.11,29952257.0,58690197.880783
养殖业,20240104,56.23,3.08,29728481.0,58237215.189879
养殖业,20240105,55.67,3.05,29431446.0,57546821.535491
养殖业,20240108,54.59,2.98,28857667.0,55949055.717004
养殖业,20240109,54.54,2.97,28836654.0,55932246.233752
养殖业,20240110,53.51,2.91,28295879.0,54719997.632145
养殖业,20240111,54.53,2.97,28831082.0,55750962.818456
养殖业,20240112,55.33,3.02,29255496.0,56591221.211513
养殖业,20240115,54.3,2.96,28709400.0,55608655.624781
养殖业,20240116,54.85,2.99,28998895.0,56172725.508614
养殖业,20240117,53.64,2.93,28357887.0,54925972.985378
养殖业,20240118,53.84,2.94,28457181.0,55157699.578207
养殖业,20240119,53.21,2.9,28126019.0,54540080.798215
养殖业,20240122,51.56,2.81,27249546.0,52678883.81017
养殖业,20240123,51.59,2.81,27266111.0,52699458.118379
养殖业,20240124,51.69,2.82,27319492.0,52845766.297791
养殖业,20240125,52.3,2.85,27644205.0,53453779.161531
养殖业,20240126,52.64,2.87,27800239.0,53652670.843433
养殖业,20240129,52.31,2.84,27622704.0,53395608.225685
养殖业,20240130,51.73,2.81,27313814.0,52660413.745453
养殖业,20240131,50.98,2.77,26912380.0,51833074.092104
养殖业,20240201,51.28,2.79,27065470.0,52047732.220593
养殖业,20240202,51.37,2.8,27111653.0,52073297.614361
养殖业,20240205,51.13,2.79,26972806.0,51580086.639608
养殖业,20240206,52.0,2.82,27429993.0,52578415.771786
养殖业,20240207,52.87,2.87,27883038.0,53368929.059996
养殖业,20240208,53.47,2.9,28203227.0,54031858.017079
养殖业,20240219,52.54,2.85,27719486.0,53200760.730698
养殖业,20240220,53.72,2.92,28341866.0,54421250.80592
养殖业,20240221,53.8,2.92,28384786.0,54544562.464487
养殖业,20240222,53.9,2.93,28437038.0,54688722.127558
养殖业,20240223,53.8,2.92,28389150.0,54636875.838797
养殖业,20240226,53.94,2.92,28460400.0,54830017.271898
养殖业,20240227,54.99,2.98,29019264.0,55939878.515287
养殖业,20240228,53.78,2.92,28374983.0,54600203.728962
养殖业,20240229,53.84,2.92,28409886.0,54851011.840552
养殖业,20240301,53.16,2.88,28048126.0,54198915.237307
养殖业,20240304,53.01,2.87,27970507.0,53944805.189449
养殖业,20240305,53.89,2.95,28431969.0,55161166.607659
养殖业,20240306,53.77,2.94,28371643.0,55038403.319064
养殖业,20240307,54.97,2.94,28497854.0,55242377.935243
养殖业,20240308,54.28,2.9,28142782.0,54616780.703364
养殖业,20240311,54.88,2.93,28456193.0,55381135.740245
养殖业,20240312,55.27,2.95,28661936.0,55812744.065114
养殖业,20240313,53.89,2.88,27945018.0,54426096.191204
养殖业,20240314,53.07,2.83,27518436.0,53626216.009156
养殖业,20240315,52.95,2.82,27459261.0,53634347.034864
养殖业,20240318,53.27,2.84,27628899.0,54038548.059174
养殖业,20240319,55.3,2.96,28677510.0,56163764.656475
养殖业,20240320,55.84,2.99,28956746.0,56743366.474439
养殖业,20240321,58.06,3.11,30107791.0,59128908.019451
养殖业,20240322,57.17,3.06,29644685.0,58298457.670772
养殖业,20240325,56.61,3.03,29351173.0,57620972.271404
养殖业,20240326,56.69,3.03,29391976.0,57731897.537899
养殖业,20240327,56.03,3.0,29074373.0,57180233.413011
养殖业,20240328,57.06,2.98,28912480.0,56898087.830957
养殖业,20240329,58.6,3.06,29694700.0,58577611.32715
养殖业,20240401,60.11,3.14,30460070.0,60188222.920406
养殖业,20240402,59.47,3.11,30133746.0,59525272.296369
养殖业,20240403,60.82,3.18,30819102.0,60812971.288599
养殖业,20240408,60.44,3.15,30630195.0,60421377.557819
养殖业,20240409,60.02,3.12,30420155.0,60110719.595589
养殖业,20240410,58.89,3.07,29844354.0,59028917.832975
养殖业,20240411,57.72,3.01,29248112.0,57833731.005997
养殖业,20240412,56.51,2.94,28635370.0,56637675.900192
养殖业,20240415,56.51,2.94,28593712.0,56526268.419608
养殖业,20240416,56.29,2.94,28471548.0,56209633.073203
养殖业,20240417,56.66,2.95,28667592.0,56676301.813414
养殖业,20240418,57.04,2.97,28855549.0,57098957.402474
养殖业,20240419,56.52,2.95,28592199.0,56683744.419162
养殖业,20240422,58.75,3.08,29720676.0,59059789.373903
养殖业,20240423,59.03,3.07,29655963.0,58797355.229713
养殖业,20240424,58.59,3.04,29437940.0,58240018.576175
养殖业,20240425,58.54,3.05,29411056.0,58144964.822636
养殖业,20240426,58.74,3.06,29510528.0,58215455.478727
养殖业,20240429,419.57,3.18,29509064.0,58173149.026548
养殖业,20240430,54.29,3.16,29454528.0,58053938.748809
养殖业,20240506,51.75,3.16,29533683.0,58482804.116391
养殖业,20240507,52.13,3.18,29746086.0,58929201.593274
养殖业,20240508,53.99,3.3,30806997.0,61046233.185624
养殖业,20240509,54.47,3.33,31090545.0,61395557.670597
养殖业,20240510,54.95,3.35,31363352.0,61806856.825469
养殖业,20240513,55.64,3.4,31754204.0,62563398.381525
养殖业,20240514,55.76,3.4,31825950.0,62709868.304153
养殖业,20240515,54.72,3.34,31233201.0,61542569.697449
养殖业,20240516,54.99,3.36,31386675.0,61829075.622024
养殖业,20240517,55.9,3.41,31900306.0,62849090.336224
养殖业,20240520,57.72,3.52,32943174.0,65063362.853219
养殖业,20240521,57.89,3.53,33036797.0,65151103.853121
养殖业,20240522,57.62,3.52,32886258.0,64789541.908492
养殖业,20240523,56.88,3.47,32465617.0,63884309.203898
养殖业,20240524,57.38,3.5,32754672.0,64455673.307848
养殖业,20240527,57.8,3.53,32980994.0,64782726.901987
养殖业,20240528,57.01,3.48,32529328.0,63974807.62245
养殖业,20240529,57.1,3.49,32584940.0,64138686.733264
养殖业,20240530,56.41,3.44,32187021.0,63317663.694291
养殖业,20240531,56.06,3.42,31989765.0,62930801.341991
养殖业,20240603,56.97,3.48,32505579.0,64060883.178683
养殖业,20240604,57.25,3.5,32663215.0,64349484.178004
养殖业,20240605,56.51,3.45,32241290.0,63430783.821383
养殖业,20240606,55.83,3.41,31846652.0,62555341.424134
养殖业,20240607,56.08,3.42,31994777.0,62842878.599853
养殖业,20240611,55.69,3.39,31775200.0,62460815.131122
养殖业,20240612,55.49,3.38,31660738.0,62155118.485217
养殖业,20240613,53.44,3.26,30493366.0,59883670.980588
养殖业,20240614,54.04,3.29,30835775.0,60472506.312974
养殖业,20240617,53.44,3.27,30489906.0,60240686.457199
养殖业,20240618,52.83,3.24,30256931.0,59698071.177512
养殖业,20240619,52.0,3.19,29784568.0,58773840.926284
养殖业,20240620,52.27,3.19,17107032.0,58726608.231086
养殖业,20240621,51.99,3.19,29775763.0,58646216.676797
养殖业,20240624,50.81,3.12,29097845.0,57310593.739421
养殖业,20240625,50.61,3.1,28985453.0,57063275.809604
养殖业,20240626,50.6,3.1,28983070.0,56962434.372857
养殖业,20240627,50.97,3.1,29194055.0,56790884.292559
养殖业,20240628,50.83,3.09,29112667.0,56723149.313448
养殖业,20240701,52.31,3.18,29961406.0,58406761.430373
养殖业,20240702,51.53,3.13,29512927.0,57438764.678998
养殖业,20240703,51.24,3.11,29352386.0,57033426.341902
养殖业,20240704,50.54,3.07,28948862.0,56209682.424139
养殖业,20240705,50.67,3.07,29023259.0,56382109.965855
养殖业,20240708,50.98,3.09,29201365.0,56724742.155278
养殖业,20240709,49.47,3.0,28339648.0,55094653.885865
养殖业,20240710,50.15,3.04,28726215.0,55879422.551302
养殖业,20240711,50.31,3.05,28823198.0,56138018.638339
养殖业,20240712,49.56,3.01,28391109.0,55263069.0143
养殖业,20240715,51.69,3.12,29608652.0,57311743.911669
养殖业,20240716,52.14,3.15,29867913.0,57815946.382269
养殖业,20240717,52.53,3.17,30089821.0,58264564.192624
养殖业,20240718,52.52,3.17,30086955.0,58323963.837768
养殖业,20240719,52.87,3.19,30289493.0,58673000.098142
养殖业,20240722,52.3,3.16,29963772.0,58022506.170333
养殖业,20240723,50.9,3.07,29158590.0,56474813.852604
养殖业,20240724,50.11,3.02,28704864.0,55590419.763805
养殖业,20240725,50.16,3.03,28739688.0,55646676.700298
养殖业,20240726,49.99,3.02,28639937.0,55471655.155385
养殖业,20240729,49.19,2.97,28182499.0,54573489.429461
养殖业,20240730,50.05,3.02,28673553.0,55510838.250511
养殖业,20240731,51.05,3.08,29248362.0,56659217.241794
养殖业,20240801,50.74,3.06,29069826.0,56295249.738411
养殖业,20240802,51.66,3.11,29599104.0,57283177.380085
养殖业,20240805,51.81,3.08,29677754.0,57446075.272357
养殖业,20240806,51.85,3.08,29708703.0,57580820.013254
养殖业,20240807,50.99,3.0,29232078.0,56092910.350564
养殖业,20240808,51.46,3.03,29503353.0,56621059.522864
养殖业,20240809,50.9,2.99,29183436.0,55946272.829505
养殖业,20240812,51.48,3.03,29516063.0,56695774.311388
养殖业,20240813,51.87,3.05,29739078.0,57031008.202419
养殖业,20240814,51.13,3.01,29312649.0,56215617.142717
养殖业,20240815,51.21,3.01,29356379.0,56228605.910355
养殖业,20240816,50.14,2.95,28744175.0,55000540.342875
养殖业,20240819,49.25,2.9,28236543.0,54006341.202089
养殖业,20240820,47.8,2.81,27406699.0,52502349.460527
养殖业,20240821,46.49,2.74,26659958.0,51108662.609983
养殖业,20240822,46.04,2.71,26399612.0,50687539.463089
养殖业,20240823,45.62,2.68,26157631.0,50169552.194071
养殖业,20240826,45.98,2.7,26366147.0,50594816.460383
养殖业,20240827,44.48,2.57,25505826.0,49069701.070285
养殖业,20240828,44.85,2.59,25722332.0,49465660.594518
养殖业,20240829,44.85,2.59,25719353.0,49438436.062713
养殖业,20240830,45.26,2.67,25958137.0,49961217.697039
养殖业,20240902,36.64,2.64,25747382.0,49533071.264671
养殖业,20240903,37.06,2.67,26039570.0,50134499.47846
养殖业,20240904,36.25,2.61,25475495.0,49055269.48895
养殖业,20240905,36.47,2.63,25632880.0,49313484.297593
养殖业,20240906,36.21,2.61,25449379.0,48980533.500747
养殖业,20240909,36.3,2.62,25514207.0,49188087.665322
养殖业,20240910,36.09,2.6,25364512.0,48896657.169124
养殖业,20240911,35.77,2.58,25137428.0,48510028.702843
养殖业,20240912,35.13,2.53,24692648.0,47641476.863058
养殖业,20240913,34.88,2.51,24516841.0,47315033.986398
养殖业,20240918,33.84,2.44,23785423.0,45956520.210794
养殖业,20240919,34.62,2.5,24332455.0,46913864.000139
养殖业,20240920,34.32,2.47,24126283.0,46449625.884852
养殖业,20240923,34.04,2.45,23926622.0,46071255.643931
养殖业,20240924,36.06,2.6,25345402.0,48837546.491499
养殖业,20240925,36.19,2.61,25433151.0,48925176.778443
养殖业,20240926,37.83,2.73,26585876.0,51165674.022944
养殖业,20240927,40.16,2.89,28221681.0,54398204.595566
养殖业,20240930,43.65,3.15,30678138.0,59088793.059654
养殖业,20241008,44.53,3.21,31299130.0,59766020.54306
养殖业,20241009,40.26,2.9,28297244.0,54375171.97365
养殖业,20241010,41.74,3.01,29337319.0,56407388.046936
养殖业,20241011,40.22,2.9,28271280.0,54325029.86089
养殖业,20241014,40.88,2.95,28731474.0,55292651.692555
养殖业,20241015,39.78,2.87,27963975.0,53894259.70346
养殖业,20241016,39.62,2.86,27845622.0,53647079.359531
养殖业,20241017,38.91,2.8,27348311.0,52713640.307174
养殖业,20241018,39.95,2.88,28084276.0,54036476.045377
养殖业,20241021,40.77,2.94,28660059.0,55074423.195585
养殖业,20241022,41.5,2.99,29169090.0,56054349.953574
养殖业,20241023,41.54,2.88,29195287.0,56062757.418443
养殖业,20241024,40.75,2.82,28644671.0,55123724.483345
养殖业,20241025,41.05,2.84,28857761.0,55510178.531798
养殖业,20241028,41.78,2.89,29369294.0,56527287.213648
养殖业,20241029,41.06,2.83,28860478.0,55628455.278603
养殖业,20241030,41.76,2.78,29353859.0,56672323.217956
养殖业,20241031,41.46,2.75,29142028.0,56145698.14654
养殖业,20241101,18.26,2.72,29178194.0,56192152.397418
养殖业,20241104,18.44,2.74,29472475.0,56775749.719147
养殖业,20241105,18.69,2.78,29885179.0,57487144.369665
养殖业,20241106,18.81,2.8,30073692.0,57857583.404118
养殖业,20241107,19.37,2.88,30971654.0,59618250.976808
养殖业,20241108,19.08,2.84,30509563.0,58646992.00613
养殖业,20241111,18.92,2.81,30251071.0,58159269.600679
养殖业,20241112,18.81,2.8,30062899.0,57850982.643982
养殖业,20241113,18.68,2.78,29863031.0,57462654.99584
养殖业,20241114,18.23,2.71,29139146.0,56071175.859698
养殖业,20241115,17.89,2.66,28592147.0,54990334.222813
养殖业,20241118,17.74,2.64,28360063.0,54557109.364492
养殖业,20241119,17.85,2.66,28537973.0,54926151.053108
养殖业,20241120,17.89,2.66,28589592.0,55051122.763316
养殖业,20241121,17.97,2.68,28724094.0,55313163.818138
养殖业,20241122,17.32,2.58,27674721.0,53328357.98098
