name,trade_date,pe,pb,float_mv,total_mv
农商行Ⅱ,20240102,4.75,0.48,10645084.0,17789091.990848
农商行Ⅱ,20240103,4.77,0.48,10704400.0,17894934.258954
农商行Ⅱ,20240104,4.78,0.48,10712297.0,17925081.899546
农商行Ⅱ,20240105,4.85,0.49,10885336.0,18249753.291592
农商行Ⅱ,20240108,4.81,0.49,10775022.0,18063275.505821
农商行Ⅱ,20240109,4.85,0.49,10882144.0,18239215.670599
农商行Ⅱ,20240110,4.84,0.49,10851223.0,18190635.801089
农商行Ⅱ,20240111,4.88,0.5,10951322.0,18396440.576886
农商行Ⅱ,20240112,4.95,0.5,11100003.0,18652343.113931
农商行Ⅱ,20240115,4.98,0.51,11171701.0,18791617.533791
农商行Ⅱ,20240116,5.06,0.51,11355773.0,19213313.954813
农商行Ⅱ,20240117,5.0,0.51,11203636.0,18885487.936908
农商行Ⅱ,20240118,4.95,0.5,11097294.0,18711335.344022
农商行Ⅱ,20240119,4.92,0.5,11032606.0,18608351.691992
农商行Ⅱ,20240122,4.8,0.49,10745656.0,18125445.552116
农商行Ⅱ,20240123,4.82,0.49,10796162.0,18217680.229483
农商行Ⅱ,20240124,4.92,0.5,11024351.0,18580403.770922
农商行Ⅱ,20240125,4.97,0.5,11123550.0,18751448.668844
农商行Ⅱ,20240126,5.05,0.51,11321579.0,19070401.234491
农商行Ⅱ,20240129,5.07,0.51,11358606.0,19162977.385685
农商行Ⅱ,20240130,4.99,0.51,11115419.0,18915328.766961
农商行Ⅱ,20240131,4.96,0.5,11048159.0,18791041.940424
农商行Ⅱ,20240201,4.93,0.5,10976332.0,18687637.854441
农商行Ⅱ,20240202,4.89,0.5,10876739.0,18500275.958524
农商行Ⅱ,20240205,4.84,0.49,10774316.0,18307130.109799
农商行Ⅱ,20240206,4.98,0.51,11088695.0,18816036.998248
农商行Ⅱ,20240207,5.03,0.51,11186851.0,18883449.489465
农商行Ⅱ,20240208,5.02,0.51,11176994.0,18894002.172681
农商行Ⅱ,20240219,5.08,0.52,11309059.0,19205296.965036
农商行Ⅱ,20240220,5.1,0.52,11350863.0,19262282.893798
农商行Ⅱ,20240221,5.16,0.52,11484742.0,19502192.159554
农商行Ⅱ,20240222,5.17,0.52,11508931.0,19561308.477269
农商行Ⅱ,20240223,5.19,0.53,11546658.0,19626127.730207
农商行Ⅱ,20240226,5.08,0.52,11301406.0,19213712.628686
农商行Ⅱ,20240227,5.09,0.52,11332819.0,19253845.579108
农商行Ⅱ,20240228,5.05,0.51,11232588.0,19080656.778446
农商行Ⅱ,20240229,5.13,0.52,11407144.0,19404956.830918
农商行Ⅱ,20240301,5.1,0.52,11340503.0,19287429.134857
农商行Ⅱ,20240304,5.06,0.51,11264308.0,19150823.80895
农商行Ⅱ,20240305,5.11,0.52,11377885.0,19346649.595299
农商行Ⅱ,20240306,5.08,0.52,11311191.0,19225819.999482
农商行Ⅱ,20240307,5.11,0.52,11357804.0,19323915.154379
农商行Ⅱ,20240308,5.13,0.52,11408231.0,19404632.696679
农商行Ⅱ,20240311,5.14,0.52,11425010.0,19396132.2985
农商行Ⅱ,20240312,5.06,0.51,11252001.0,19135454.787698
农商行Ⅱ,20240313,5.0,0.51,11130795.0,18919638.299073
农商行Ⅱ,20240314,5.02,0.51,11160631.0,18989547.670116
农商行Ⅱ,20240315,5.06,0.51,11259789.0,19156237.597307
农商行Ⅱ,20240318,5.06,0.51,11260515.0,19155080.143067
农商行Ⅱ,20240319,5.03,0.51,11199553.0,19054973.653114
农商行Ⅱ,20240320,5.07,0.51,11277246.0,19206854.887001
