name,trade_date,pe,pb,float_mv,total_mv
动物保健Ⅱ,20240102,32.63,2.34,3745835.0,6886742.71692
动物保健Ⅱ,20240103,32.55,2.33,3735194.0,6866295.85435
动物保健Ⅱ,20240104,32.33,2.32,3711729.0,6825330.667525
动物保健Ⅱ,20240105,31.75,2.28,3641861.0,6687662.541049
动物保健Ⅱ,20240108,30.73,2.2,3529336.0,6488874.268858
动物保健Ⅱ,20240109,30.74,2.2,3530522.0,6491620.599034
动物保健Ⅱ,20240110,30.33,2.17,3483777.0,6417807.702564
动物保健Ⅱ,20240111,31.11,2.23,3571020.0,6580950.142312
动物保健Ⅱ,20240112,30.82,2.21,3540367.0,6546918.764503
动物保健Ⅱ,20240115,30.93,2.22,3549110.0,6577445.498245
动物保健Ⅱ,20240116,30.91,2.22,3545090.0,6569303.490026
动物保健Ⅱ,20240117,29.9,2.14,3429819.0,6347727.607247
动物保健Ⅱ,20240118,29.36,2.1,3364084.0,6201075.537034
动物保健Ⅱ,20240119,28.78,2.06,3294137.0,6056992.05343
动物保健Ⅱ,20240122,26.79,1.92,3071688.0,5660741.84597
动物保健Ⅱ,20240123,26.71,1.91,3063240.0,5646582.201374
动物保健Ⅱ,20240124,26.9,1.93,3087145.0,5698937.357105
动物保健Ⅱ,20240125,27.53,1.97,3168458.0,5856295.971815
动物保健Ⅱ,20240126,27.11,1.94,3116902.0,5761298.547607
动物保健Ⅱ,20240129,26.68,1.91,3065433.0,5652880.988605
动物保健Ⅱ,20240130,25.8,1.85,2965820.0,5470008.470577
动物保健Ⅱ,20240131,24.76,1.77,2846745.0,5244452.139963
动物保健Ⅱ,20240201,24.49,1.76,2811838.0,5193121.661827
动物保健Ⅱ,20240202,23.25,1.67,2672950.0,4931580.517511
动物保健Ⅱ,20240205,21.74,1.56,2499296.0,4610141.579465
动物保健Ⅱ,20240206,23.1,1.66,2652047.0,4880800.990422
动物保健Ⅱ,20240207,24.14,1.73,2761766.0,5045861.321196
动物保健Ⅱ,20240208,25.42,1.82,2909398.0,5331381.091505
动物保健Ⅱ,20240219,24.92,1.79,2854146.0,5249940.577225
动物保健Ⅱ,20240220,25.04,1.79,2867928.0,5281418.994027
动物保健Ⅱ,20240221,25.25,1.81,2892212.0,5323940.197074
动物保健Ⅱ,20240222,25.39,1.82,2910710.0,5364351.070158
动物保健Ⅱ,20240223,25.78,1.85,2955169.0,5455175.418121
动物保健Ⅱ,20240226,26.38,1.89,3022226.0,5557602.055052
动物保健Ⅱ,20240227,26.72,1.92,3059884.0,5628747.391732
动物保健Ⅱ,20240228,25.57,1.83,2925176.0,5378736.57421
动物保健Ⅱ,20240229,26.1,1.87,2988706.0,5501259.653581
动物保健Ⅱ,20240301,25.98,1.86,2977965.0,5478178.286667
动物保健Ⅱ,20240304,26.0,1.86,2978363.0,5493732.610178
动物保健Ⅱ,20240305,25.69,1.84,2941373.0,5414913.925119
动物保健Ⅱ,20240306,25.53,1.83,2923225.0,5387590.149083
动物保健Ⅱ,20240307,25.12,1.8,2877108.0,5300338.699096
动物保健Ⅱ,20240308,25.16,1.8,2880889.0,5307971.465534
动物保健Ⅱ,20240311,25.67,1.84,2940325.0,5429407.543907
动物保健Ⅱ,20240312,26.15,1.87,2995127.0,5524016.374658
动物保健Ⅱ,20240313,26.03,1.87,2980916.0,5496138.279121
动物保健Ⅱ,20240314,25.88,1.86,2961360.0,5454785.998673
动物保健Ⅱ,20240315,26.13,1.87,2989954.0,5502509.255597
动物保健Ⅱ,20240318,26.36,1.89,3021673.0,5566804.815711
动物保健Ⅱ,20240319,26.47,1.9,3038866.0,5612303.047626
动物保健Ⅱ,20240320,26.86,1.92,3094433.0,5736349.022691
动物保健Ⅱ,20240321,27.54,1.97,3166512.0,5877405.293316
动物保健Ⅱ,20240322,26.89,1.93,3090143.0,5737621.276814
动物保健Ⅱ,20240325,26.39,1.89,3027105.0,5606870.933278
动物保健Ⅱ,20240326,26.58,1.91,3049214.0,5659344.646534
动物保健Ⅱ,20240327,26.28,1.88,3016177.0,5602446.5693
动物保健Ⅱ,20240328,26.22,1.88,3014144.0,5593474.348171
动物保健Ⅱ,20240329,26.69,1.91,3064269.0,5677796.633407
动物保健Ⅱ,20240401,26.8,1.98,3195376.0,5932155.833823
动物保健Ⅱ,20240402,27.1,2.0,3239313.0,6004189.03314
动物保健Ⅱ,20240403,27.47,2.03,3281894.0,6075160.00201
动物保健Ⅱ,20240408,27.2,2.01,3244959.0,5998454.889196
动物保健Ⅱ,20240409,27.5,2.03,3282810.0,6084651.967561
动物保健Ⅱ,20240410,28.3,1.95,3149822.0,5828835.167407
动物保健Ⅱ,20240411,27.82,1.92,3095690.0,5723059.744205
动物保健Ⅱ,20240412,27.65,1.9,3069494.0,5660672.869021
动物保健Ⅱ,20240415,27.13,1.87,3001256.0,5503130.530423
动物保健Ⅱ,20240416,26.07,1.79,2856836.0,5235538.00054
动物保健Ⅱ,20240417,26.96,1.86,2956235.0,5432423.11819
动物保健Ⅱ,20240418,26.82,1.85,2938845.0,5392477.220561
动物保健Ⅱ,20240419,26.92,1.85,2946824.0,5403822.680316
动物保健Ⅱ,20240422,27.56,1.9,3026338.0,5560959.09312
动物保健Ⅱ,20240423,27.69,1.91,3037142.0,5574326.726949
动物保健Ⅱ,20240424,27.69,1.91,3040728.0,5586452.02111
动物保健Ⅱ,20240425,27.93,1.9,3037668.0,5583932.433546
动物保健Ⅱ,20240426,28.43,1.85,2986832.0,5503774.546382
动物保健Ⅱ,20240429,28.74,1.88,3043808.0,5623772.656961
动物保健Ⅱ,20240430,30.52,1.91,3092523.0,5705835.554424
动物保健Ⅱ,20240506,37.48,1.94,3150657.0,5825951.817582
动物保健Ⅱ,20240507,37.57,1.94,3158305.0,5845443.874489
动物保健Ⅱ,20240508,38.72,2.0,3255037.0,6011068.498272
动物保健Ⅱ,20240509,39.46,2.04,3317419.0,6124663.936777
动物保健Ⅱ,20240510,39.3,2.03,3303675.0,6080728.324638
动物保健Ⅱ,20240513,39.76,2.06,3342076.0,6115693.401713
动物保健Ⅱ,20240514,39.58,2.05,3326756.0,6084309.168266
动物保健Ⅱ,20240515,39.18,2.03,3293884.0,6019067.640006
动物保健Ⅱ,20240516,39.51,2.04,3320907.0,6045884.275622
动物保健Ⅱ,20240517,41.17,2.13,3460641.0,6300428.925404
动物保健Ⅱ,20240520,41.75,2.16,3509446.0,6382609.725154
动物保健Ⅱ,20240521,42.02,2.17,3532190.0,6400930.21867
动物保健Ⅱ,20240522,41.45,2.14,3484716.0,6322276.495626
动物保健Ⅱ,20240523,40.41,2.09,3396696.0,6152849.766633
动物保健Ⅱ,20240524,39.9,2.06,3353880.0,6068606.831437
动物保健Ⅱ,20240527,38.85,2.01,3265936.0,5925393.760007
动物保健Ⅱ,20240528,37.39,1.93,3143112.0,5725131.989987
动物保健Ⅱ,20240529,36.91,1.91,3102997.0,5655256.116241
动物保健Ⅱ,20240530,36.05,1.86,3030753.0,5546037.405421
动物保健Ⅱ,20240531,35.59,1.84,2991979.0,5492739.744794
动物保健Ⅱ,20240603,33.57,1.74,2822261.0,5228462.331261
动物保健Ⅱ,20240604,33.58,1.74,2822687.0,5227215.236603
动物保健Ⅱ,20240605,32.85,1.7,2761367.0,5119056.657235
动物保健Ⅱ,20240606,32.07,1.66,2695751.0,4972639.868859
动物保健Ⅱ,20240607,32.38,1.67,2722010.0,5019020.626608
动物保健Ⅱ,20240611,32.32,1.67,2716663.0,5017600.513119
动物保健Ⅱ,20240612,32.5,1.68,2732188.0,5067820.370532
动物保健Ⅱ,20240613,31.97,1.65,2687691.0,4989836.711956
动物保健Ⅱ,20240614,31.59,1.63,2655267.0,4930733.784654
动物保健Ⅱ,20240617,31.37,1.62,2637016.0,4889214.610923
动物保健Ⅱ,20240618,31.78,1.64,2671054.0,4953105.499842
动物保健Ⅱ,20240619,31.16,1.61,2618950.0,4857319.885624
动物保健Ⅱ,20240620,510.5,1.58,217760.0,4764518.065477
动物保健Ⅱ,20240621,27.57,1.6,2585530.0,4803427.950099
动物保健Ⅱ,20240624,26.61,1.54,2496970.0,4627139.230811
动物保健Ⅱ,20240625,26.57,1.54,2493798.0,4625435.203875
动物保健Ⅱ,20240626,27.22,1.58,2554644.0,4737036.925375
动物保健Ⅱ,20240627,26.45,1.53,2481825.0,4602214.91291
动物保健Ⅱ,20240628,26.37,1.53,2474853.0,4587746.06612
动物保健Ⅱ,20240701,26.79,1.55,2513896.0,4659849.669805
动物保健Ⅱ,20240702,26.39,1.53,2476557.0,4586227.418715
动物保健Ⅱ,20240703,26.05,1.51,2444561.0,4526398.811574
动物保健Ⅱ,20240704,25.22,1.46,2366555.0,4382478.055051
动物保健Ⅱ,20240705,25.63,1.49,2405179.0,4458753.667085
动物保健Ⅱ,20240708,24.81,1.44,2328710.0,4319277.507068
动物保健Ⅱ,20240709,24.8,1.44,2327822.0,4308379.178088
动物保健Ⅱ,20240710,24.41,1.42,2290877.0,4237243.730998
动物保健Ⅱ,20240711,25.19,1.46,2364121.0,4376879.619911
动物保健Ⅱ,20240712,24.9,1.44,2337161.0,4331642.117821
动物保健Ⅱ,20240715,24.51,1.42,2299753.0,4264912.893454
动物保健Ⅱ,20240716,24.54,1.42,2303072.0,4266934.663649
动物保健Ⅱ,20240717,24.82,1.44,2329298.0,4313866.76032
动物保健Ⅱ,20240718,24.99,1.45,2345160.0,4347255.042182
动物保健Ⅱ,20240719,24.98,1.45,2344063.0,4343632.151942
动物保健Ⅱ,20240722,24.89,1.44,2336036.0,4328930.389246
动物保健Ⅱ,20240723,24.19,1.4,2269757.0,4211586.472087
动物保健Ⅱ,20240724,23.55,1.37,2211261.0,4100339.784249
动物保健Ⅱ,20240725,23.89,1.38,2242486.0,4161920.670664
动物保健Ⅱ,20240726,24.17,1.4,2268830.0,4205954.799873
动物保健Ⅱ,20240729,23.85,1.38,2239077.0,4156340.947046
动物保健Ⅱ,20240730,24.06,1.39,2258618.0,4191902.52636
动物保健Ⅱ,20240731,26.03,1.45,2443843.0,4518614.397422
动物保健Ⅱ,20240801,25.98,1.45,2438665.0,4515184.212692
动物保健Ⅱ,20240802,26.18,1.46,2457824.0,4542342.104287
动物保健Ⅱ,20240805,25.72,1.44,2415025.0,4466905.693191
动物保健Ⅱ,20240806,26.39,1.47,2477315.0,4587323.509106
动物保健Ⅱ,20240807,26.1,1.46,2450463.0,4544670.791003
动物保健Ⅱ,20240808,26.41,1.47,2479509.0,4592177.494092
动物保健Ⅱ,20240809,26.0,1.45,2441148.0,4521455.899242
动物保健Ⅱ,20240812,26.15,1.46,2454597.0,4544412.792995
动物保健Ⅱ,20240813,26.13,1.46,2453230.0,4543280.453767
动物保健Ⅱ,20240814,25.75,1.44,2417170.0,4486407.329519
动物保健Ⅱ,20240815,25.85,1.44,2426405.0,4483465.637223
动物保健Ⅱ,20240816,25.45,1.42,2388940.0,4426697.295285
动物保健Ⅱ,20240819,25.13,1.4,2359576.0,4362088.165979
动物保健Ⅱ,20240820,24.6,1.37,2309050.0,4253447.033861
动物保健Ⅱ,20240821,24.21,1.35,2273040.0,4181247.940502
动物保健Ⅱ,20240822,23.86,1.33,2240370.0,4128423.245242
动物保健Ⅱ,20240823,23.77,1.33,2231208.0,4102190.480299
动物保健Ⅱ,20240826,23.98,1.35,2251226.0,4147268.897774
动物保健Ⅱ,20240827,24.05,1.35,2257785.0,4153975.173769
动物保健Ⅱ,20240828,24.14,1.36,2265872.0,4174003.367229
动物保健Ⅱ,20240829,24.43,1.38,2293359.0,4228758.231362
动物保健Ⅱ,20240830,24.66,1.4,2314806.0,4256828.813518
动物保健Ⅱ,20240902,28.23,1.38,2263133.0,4168804.810008
动物保健Ⅱ,20240903,28.34,1.38,2272045.0,4185533.07477
动物保健Ⅱ,20240904,28.05,1.37,2248195.0,4134801.145245
动物保健Ⅱ,20240905,28.33,1.38,2271285.0,4179620.170016
动物保健Ⅱ,20240906,27.8,1.36,2228627.0,4094316.551849
动物保健Ⅱ,20240909,27.81,1.36,2229512.0,4100617.005149
动物保健Ⅱ,20240910,27.52,1.34,2206920.0,4063257.966124
动物保健Ⅱ,20240911,27.35,1.33,2193422.0,4038496.340366
动物保健Ⅱ,20240912,27.24,1.33,2184207.0,4021153.018689
动物保健Ⅱ,20240913,26.88,1.31,2155626.0,3965402.477028
动物保健Ⅱ,20240918,26.4,1.29,2117008.0,3893060.900962
动物保健Ⅱ,20240919,27.18,1.33,2179709.0,4008317.719049
动物保健Ⅱ,20240920,26.8,1.31,2149209.0,3948303.144806
动物保健Ⅱ,20240923,26.74,1.3,2143943.0,3942828.039169
动物保健Ⅱ,20240924,27.89,1.36,2236161.0,4107994.363899
动物保健Ⅱ,20240925,28.3,1.38,2269233.0,4172969.118917
动物保健Ⅱ,20240926,29.44,1.44,2361042.0,4336801.92737
动物保健Ⅱ,20240927,30.96,1.51,2482543.0,4567061.623572
动物保健Ⅱ,20240930,33.87,1.65,2715973.0,5014498.907678
动物保健Ⅱ,20241008,35.46,1.73,2843346.0,5263676.783463
动物保健Ⅱ,20241009,32.23,1.57,2584061.0,4747209.472698
动物保健Ⅱ,20241010,32.32,1.57,2591302.0,4746855.27821
动物保健Ⅱ,20241011,30.94,1.5,2481133.0,4536450.114309
动物保健Ⅱ,20241014,31.24,1.52,2505360.0,4596725.338929
动物保健Ⅱ,20241015,30.45,1.48,2453853.0,4480595.098307
动物保健Ⅱ,20241016,30.4,1.48,2450182.0,4469399.630804
动物保健Ⅱ,20241017,29.99,1.46,2417057.0,4411916.920374
动物保健Ⅱ,20241018,30.88,1.51,2488606.0,4557630.578467
动物保健Ⅱ,20241021,31.03,1.51,2500895.0,4590717.776284
动物保健Ⅱ,20241022,32.19,1.57,2594233.0,4744884.49882
动物保健Ⅱ,20241023,32.4,1.58,2611131.0,4769163.694069
动物保健Ⅱ,20241024,32.8,1.59,2642968.0,4813854.542589
动物保健Ⅱ,20241025,33.39,1.62,2690847.0,4908562.362222
动物保健Ⅱ,20241028,34.94,1.7,2815779.0,5128782.397476
动物保健Ⅱ,20241029,33.68,1.64,2714115.0,4941457.327799
动物保健Ⅱ,20241030,33.43,1.62,2693674.0,4903589.981749
动物保健Ⅱ,20241031,34.41,1.67,2773090.0,5064191.570057
动物保健Ⅱ,20241101,42.87,1.65,2737929.0,5000107.852924
动物保健Ⅱ,20241104,43.47,1.67,2776198.0,5074710.771955
动物保健Ⅱ,20241105,44.4,1.7,2835646.0,5184684.377587
动物保健Ⅱ,20241106,45.48,1.75,2904229.0,5313833.576985
动物保健Ⅱ,20241107,46.5,1.78,2969487.0,5435632.307029
动物保健Ⅱ,20241108,45.92,1.76,2932492.0,5366145.970712
动物保健Ⅱ,20241111,46.37,1.78,2960951.0,5426021.305179
动物保健Ⅱ,20241112,46.23,1.77,2952237.0,5409271.318141
动物保健Ⅱ,20241113,45.69,1.75,2918045.0,5347479.210007
动物保健Ⅱ,20241114,44.55,1.71,2844815.0,5211269.872304
动物保健Ⅱ,20241115,44.44,1.71,2837804.0,5191269.838679
动物保健Ⅱ,20241118,43.71,1.68,2791289.0,5103269.141548
动物保健Ⅱ,20241119,44.64,1.71,2850661.0,5208203.090436
动物保健Ⅱ,20241120,45.43,1.74,2901195.0,5297512.515818
动物保健Ⅱ,20241121,45.37,1.74,2897236.0,5290276.879423
动物保健Ⅱ,20241122,43.36,1.66,2768780.0,5050962.468764
动物保健Ⅱ,20241125,44.06,1.69,2813774.0,5144114.428331
动物保健Ⅱ,20241126,44.5,1.71,2841859.0,5193076.698064
动物保健Ⅱ,20241127,45.12,1.73,2881527.0,5272033.01713
动物保健Ⅱ,20241128,45.03,1.73,2875541.0,5266819.400183
动物保健Ⅱ,20241129,45.96,1.76,2934994.0,5367534.931083
动物保健Ⅱ,20241202,46.41,1.78,2963812.0,5422493.368738
动物保健Ⅱ,20241203,46.59,1.79,2975159.0,5443176.103633
动物保健Ⅱ,20241204,46.14,1.77,2946266.0,5390920.1389
动物保健Ⅱ,20241205,46.12,1.77,2945027.0,5393398.369544
动物保健Ⅱ,20241206,46.35,1.78,2960080.0,5423745.068582
动物保健Ⅱ,20241209,46.58,1.79,2974603.0,5450907.278774
动物保健Ⅱ,20241210,47.02,1.8,3002528.0,5478593.663999
动物保健Ⅱ,20241211,47.84,1.84,3055338.0,5574938.911069
动物保健Ⅱ,20241212,48.52,1.86,3098229.0,5657136.472108
动物保健Ⅱ,20241213,48.67,1.87,3108225.0,5638703.357976
动物保健Ⅱ,20241216,47.74,1.83,3048790.0,5548712.840133
动物保健Ⅱ,20241217,46.17,1.77,2948240.0,5365079.461951
动物保健Ⅱ,20241218,45.76,1.76,2922326.0,5318504.982206
动物保健Ⅱ,20241219,45.91,1.76,2931645.0,5326797.983626
动物保健Ⅱ,20241220,45.92,1.76,2932281.0,5333126.206512
动物保健Ⅱ,20241223,44.17,1.7,2820779.0,5126400.558982
动物保健Ⅱ,20241224,44.23,1.7,2824786.0,5130494.570607
动物保健Ⅱ,20241225,43.55,1.67,2781060.0,5044198.599094
动物保健Ⅱ,20241226,44.11,1.69,2816869.0,5100372.359445
动物保健Ⅱ,20241227,45.05,1.73,2876693.0,5226027.55794
动物保健Ⅱ,20241230,44.69,1.72,2853755.0,5192853.564591
动物保健Ⅱ,20241231,43.78,1.68,2795510.0,5100299.614051
动物保健Ⅱ,20250102,42.98,1.65,2744871.0,4992330.736815
动物保健Ⅱ,20250103,42.11,1.6,2689462.0,4843738.336192
动物保健Ⅱ,20250106,41.99,1.6,2681446.0,4822683.99597
动物保健Ⅱ,20250107,41.97,1.6,2680397.0,4820117.938248
动物保健Ⅱ,20250108,41.28,1.57,2635873.0,4739927.230268
动物保健Ⅱ,20250109,41.46,1.58,2647749.0,4756741.7567
动物保健Ⅱ,20250110,40.2,1.53,2566898.0,4609757.22232
动物保健Ⅱ,20250113,40.21,1.53,2567635.0,4619016.323173
动物保健Ⅱ,20250114,41.44,1.58,2646375.0,4764593.414698
动物保健Ⅱ,20250115,41.7,1.59,2662682.0,4778846.918674
动物保健Ⅱ,20250116,41.59,1.58,2655820.0,4770340.047864
动物保健Ⅱ,20250117,42.31,1.61,2701771.0,4864745.884707
动物保健Ⅱ,20250120,42.47,1.62,2712145.0,4889998.209017
动物保健Ⅱ,20250121,41.34,1.58,2639961.0,4763351.154231
动物保健Ⅱ,20250122,41.42,1.58,2645334.0,4760713.566259
动物保健Ⅱ,20250123,41.37,1.58,2641768.0,4764109.914607
动物保健Ⅱ,20250124,42.01,1.6,2682962.0,4838109.798489
动物保健Ⅱ,20250127,42.48,1.62,2712822.0,4883577.943058
动物保健Ⅱ,20250205,42.23,1.61,2697106.0,4871830.354465
动物保健Ⅱ,20250206,42.09,1.6,2687919.0,4854819.143176
动物保健Ⅱ,20250207,42.18,1.61,2693917.0,4868635.557276
动物保健Ⅱ,20250210,42.53,1.62,2716057.0,4918687.0
动物保健Ⅱ,20250211,42.24,1.61,2697713.0,4885974.0
动物保健Ⅱ,20250212,42.13,1.61,2690248.0,4867837.0
动物保健Ⅱ,20250213,42.3,1.61,2701519.0,4883298.0
动物保健Ⅱ,20250214,43.52,1.66,2779471.0,5022665.0
