name,trade_date,pe,pb,float_mv,total_mv
包装印刷,20240102,37.43,2.03,9782738.0,20501961.218512
包装印刷,20240103,37.23,2.02,9727033.0,20415621.887017
包装印刷,20240104,37.28,2.02,9736624.0,20474219.627015
包装印刷,20240105,36.94,2.0,9648709.0,20295156.430279
包装印刷,20240108,36.05,1.96,9420180.0,19827044.630423
包装印刷,20240109,36.22,1.97,9466908.0,19917127.351837
包装印刷,20240110,36.11,1.96,9437856.0,19867839.70732
包装印刷,20240111,36.71,1.99,9592570.0,20195814.205198
包装印刷,20240112,36.42,1.98,9532405.0,20099499.031055
包装印刷,20240115,36.42,1.98,9533948.0,20083761.885699
包装印刷,20240116,36.12,1.96,9452979.0,19952664.037586
包装印刷,20240117,35.19,1.91,9211930.0,19438510.512414
包装印刷,20240118,35.01,1.9,9160748.0,19287454.784569
包装印刷,20240119,34.73,1.88,9085423.0,19150636.380568
包装印刷,20240122,32.8,1.78,8572665.0,18062894.949732
包装印刷,20240123,33.2,1.8,8674222.0,18237972.316092
包装印刷,20240124,33.53,1.82,8757198.0,18382888.360306
包装印刷,20240125,34.76,1.89,9085078.0,19000415.743952
包装印刷,20240126,34.83,1.89,9111207.0,19061462.63624
包装印刷,20240129,33.76,1.83,8808656.0,18527087.01489
包装印刷,20240130,32.57,1.76,8496092.0,17828641.303076
包装印刷,20240131,30.97,1.67,8070592.0,17000904.580245
包装印刷,20240201,30.27,1.63,7889871.0,16618222.067879
包装印刷,20240202,28.97,1.56,7568108.0,15951651.793146
包装印刷,20240205,26.82,1.45,6981001.0,14750899.046733
包装印刷,20240206,27.48,1.48,7141501.0,15109761.228356
包装印刷,20240207,27.36,1.48,7095423.0,15037838.035252
包装印刷,20240208,28.64,1.55,7443899.0,15761015.867275
包装印刷,20240219,29.51,1.59,7666994.0,16187674.395719
包装印刷,20240220,30.3,1.64,7866114.0,16586492.77517
包装印刷,20240221,30.61,1.65,7948544.0,16762105.454149
包装印刷,20240222,31.32,1.69,8085743.0,17066130.289812
包装印刷,20240223,32.11,1.73,8299078.0,17516099.421952
包装印刷,20240226,32.96,1.77,8589073.0,17793798.861454
包装印刷,20240227,33.93,1.82,8843794.0,18267908.96511
包装印刷,20240228,31.99,1.72,8323393.0,17227801.515966
包装印刷,20240229,33.01,1.77,8588001.0,17781554.679554
包装印刷,20240301,33.15,1.78,8631390.0,17844907.181993
包装印刷,20240304,32.93,1.76,8572014.0,17710233.173634
包装印刷,20240305,32.4,1.74,8427928.0,17427747.531872
包装印刷,20240306,33.01,1.77,8590588.0,17750380.953437
包装印刷,20240307,32.88,1.76,8563752.0,17700978.046464
包装印刷,20240308,33.21,1.78,8644708.0,17867152.143328
包装印刷,20240311,33.65,1.8,8757587.0,18126455.843265
包装印刷,20240312,34.31,1.84,8929380.0,18456308.290265
包装印刷,20240313,34.22,1.83,8902879.0,18425314.110981
包装印刷,20240314,34.52,1.85,8975197.0,18513585.825549
包装印刷,20240315,34.8,1.86,9053125.0,18690347.398316
包装印刷,20240318,35.21,1.89,9169922.0,18930554.417565
包装印刷,20240319,35.01,1.88,9115151.0,18822704.291386
包装印刷,20240320,35.22,1.89,9188316.0,18987875.567502
包装印刷,20240321,35.5,1.9,9251257.0,19117360.804885
包装印刷,20240322,35.55,1.9,9280557.0,19219200.945146
包装印刷,20240325,34.96,1.87,9116722.0,18946508.005994
包装印刷,20240326,34.77,1.87,9098964.0,18942680.232852
包装印刷,20240327,33.41,1.8,8744115.0,18247423.664825
包装印刷,20240328,34.18,1.84,8942169.0,18607016.010323
包装印刷,20240329,34.47,1.85,9016362.0,18799502.469974
包装印刷,20240401,35.68,1.87,9166323.0,19095356.216281
包装印刷,20240402,36.07,1.89,9266173.0,19321790.092783
包装印刷,20240403,35.72,1.88,9178722.0,19161160.686561
包装印刷,20240408,34.93,1.83,8973098.0,18728161.272276
包装印刷,20240409,35.86,1.88,9211658.0,19214283.526518
包装印刷,20240410,35.3,1.85,9063203.0,18895572.699969
包装印刷,20240411,35.05,1.84,9016435.0,18842859.649133
包装印刷,20240412,34.19,1.8,8817593.0,18451075.375169
包装印刷,20240415,32.89,1.73,8474816.0,17769723.562907
包装印刷,20240416,30.7,1.61,7907407.0,16640936.307106
包装印刷,20240417,32.29,1.7,8318600.0,17467028.725697
包装印刷,20240418,32.3,1.69,8284038.0,17416866.945393
包装印刷,20240419,32.2,1.68,8256693.0,17361504.275621
包装印刷,20240422,31.08,1.66,8101907.0,17072403.085493
包装印刷,20240423,31.63,1.66,8088544.0,17083096.307216
包装印刷,20240424,32.28,1.7,8252933.0,17398161.689643
包装印刷,20240425,32.63,1.71,8340557.0,17581567.882737
包装印刷,20240426,33.03,1.73,8418574.0,17745238.972531
包装印刷,20240429,33.83,1.77,8650007.0,18212376.546331
包装印刷,20240430,32.98,1.75,8683806.0,18324598.622174
包装印刷,20240506,33.04,1.79,8875150.0,18748097.375062
包装印刷,20240507,32.89,1.78,8842006.0,18704774.346002
包装印刷,20240508,32.44,1.76,8730135.0,18485824.991319
包装印刷,20240509,32.8,1.78,8833183.0,18701791.519149
包装印刷,20240510,32.36,1.75,8720667.0,18488557.730093
包装印刷,20240513,31.71,1.72,8540597.0,18162834.045556
包装印刷,20240514,32.38,1.75,8715075.0,18505991.336463
包装印刷,20240515,32.32,1.75,8696457.0,18451008.592353
包装印刷,20240516,32.3,1.75,8688012.0,18430577.065341
包装印刷,20240517,32.63,1.77,8779372.0,18632272.776021
包装印刷,20240520,32.48,1.76,8743907.0,18558098.528014
包装印刷,20240521,32.04,1.74,8629577.0,18360003.605768
包装印刷,20240522,31.89,1.73,8594245.0,18261880.983447
包装印刷,20240523,31.23,1.69,8410973.0,17865277.273434
包装印刷,20240524,31.13,1.69,8381584.0,17786139.695204
包装印刷,20240527,30.92,1.67,8334527.0,17749103.314764
包装印刷,20240528,30.29,1.64,8168148.0,17414955.009306
包装印刷,20240529,30.19,1.64,8149757.0,17341989.554803
包装印刷,20240530,29.78,1.61,8042475.0,17122842.097338
包装印刷,20240531,29.89,1.62,8075204.0,17207844.854497
