name,trade_date,pe,pb,float_mv,total_mv
化妆品,20240102,31.87,3.36,5327836.0,14858732.798169
化妆品,20240103,31.84,3.35,5321373.0,14887889.738896
化妆品,20240104,31.58,3.33,5286612.0,14851789.134425
化妆品,20240105,31.03,3.27,5192061.0,14608858.181824
化妆品,20240108,30.63,3.23,5134567.0,14525263.866888
化妆品,20240109,30.99,3.26,5191544.0,14659277.754643
化妆品,20240110,32.0,3.37,5359993.0,15174033.354414
化妆品,20240111,32.17,3.39,5385197.0,15260806.605964
化妆品,20240112,31.68,3.34,5299707.0,15012584.872004
化妆品,20240115,31.69,3.34,5301447.0,15034233.598192
化妆品,20240116,31.62,3.33,5285731.0,14941149.074673
化妆品,20240117,30.98,3.26,5175718.0,14587113.838272
化妆品,20240118,30.9,3.26,5164046.0,14603692.777076
化妆品,20240119,30.65,3.23,5118424.0,14420299.580732
化妆品,20240122,28.81,3.04,4809857.0,13568507.027245
化妆品,20240123,29.1,3.07,4857364.0,13785343.339596
化妆品,20240124,29.41,3.1,4910114.0,13913159.686089
化妆品,20240125,29.82,3.14,4978050.0,14073619.98743
化妆品,20240126,29.19,3.08,4874906.0,13760877.535194
化妆品,20240129,28.12,2.96,4697251.0,13296018.693708
化妆品,20240130,27.09,2.85,4523912.0,12803045.963631
化妆品,20240131,27.16,2.86,4528807.0,12786424.516303
化妆品,20240201,26.53,2.79,4424529.0,12551290.919532
化妆品,20240202,25.78,2.72,4305324.0,12167198.896482
化妆品,20240205,24.76,2.61,4130203.0,11663648.828561
化妆品,20240206,27.39,2.68,4724538.0,13244924.05733
化妆品,20240207,27.93,2.73,4815884.0,13504188.468028
化妆品,20240208,28.59,2.8,4932974.0,13820772.814117
化妆品,20240219,29.17,2.86,5032537.0,14025818.312927
化妆品,20240220,29.85,2.92,5147233.0,14281173.971997
化妆品,20240221,30.25,2.96,5216011.0,14514691.466234
化妆品,20240222,30.98,3.03,5340512.0,14783156.739299
化妆品,20240223,31.83,3.12,5487119.0,15096234.445149
化妆品,20240226,31.86,3.12,5492310.0,15096700.506413
化妆品,20240227,32.15,3.15,5544952.0,15274532.080489
化妆品,20240228,31.27,3.06,5389502.0,14825534.099126
化妆品,20240229,32.6,3.19,5617525.0,15451202.294491
化妆品,20240301,32.14,3.15,5539958.0,15297281.497138
化妆品,20240304,32.02,3.14,5518908.0,15297019.168744
化妆品,20240305,31.44,3.08,5418549.0,15011309.485022
化妆品,20240306,31.58,3.09,5443701.0,15095988.493504
化妆品,20240307,31.18,3.05,5375555.0,14895899.064016
化妆品,20240308,31.29,3.06,5392568.0,14909180.841882
化妆品,20240311,32.21,3.15,5551713.0,15377085.583618
化妆品,20240312,32.89,3.22,5671511.0,15763513.955902
化妆品,20240313,32.61,3.19,5623553.0,15649796.134475
化妆品,20240314,32.43,3.18,5590908.0,15550030.170593
