name,trade_date,pe,pb,float_mv,total_mv
化妆品制造及其他,20240102,29.89,2.02,1447494.0,3126176.874258
化妆品制造及其他,20240103,30.31,2.05,1467893.0,3186279.65347
化妆品制造及其他,20240104,30.42,2.05,1472807.0,3206085.017939
化妆品制造及其他,20240105,30.24,2.04,1464434.0,3197594.705138
化妆品制造及其他,20240108,29.6,2.0,1433542.0,3125027.676036
化妆品制造及其他,20240109,29.87,2.02,1446299.0,3152081.720183
化妆品制造及其他,20240110,30.11,2.03,1458240.0,3187042.716048
化妆品制造及其他,20240111,30.91,2.09,1496800.0,3288390.03376
化妆品制造及其他,20240112,30.4,2.05,1472072.0,3229891.129858
化妆品制造及其他,20240115,30.11,2.03,1458254.0,3187004.138067
化妆品制造及其他,20240116,30.0,2.03,1452536.0,3183261.509368
化妆品制造及其他,20240117,29.35,1.98,1421323.0,3111790.636719
化妆品制造及其他,20240118,29.11,1.97,1409401.0,3090921.928806
化妆品制造及其他,20240119,28.78,1.94,1393786.0,3046061.973589
化妆品制造及其他,20240122,26.84,1.81,1299560.0,2842932.37215
化妆品制造及其他,20240123,27.07,1.83,1310979.0,2889063.872445
化妆品制造及其他,20240124,27.59,1.86,1336141.0,2943183.765866
化妆品制造及其他,20240125,28.1,1.9,1360705.0,2993093.632632
化妆品制造及其他,20240126,27.96,1.89,1353791.0,2964356.970706
化妆品制造及其他,20240129,27.15,1.83,1314471.0,2888920.707724
化妆品制造及其他,20240130,26.22,1.77,1269499.0,2790464.304273
化妆品制造及其他,20240131,25.19,1.7,1219838.0,2690999.271426
化妆品制造及其他,20240201,24.46,1.65,1184188.0,2611050.118893
化妆品制造及其他,20240202,23.37,1.58,1131783.0,2504659.749832
化妆品制造及其他,20240205,21.2,1.43,1026486.0,2293119.079137
化妆品制造及其他,20240206,22.27,1.5,1078602.0,2430399.159731
化妆品制造及其他,20240207,22.03,1.49,1066761.0,2426239.761448
化妆品制造及其他,20240208,23.37,1.58,1131761.0,2560120.262049
化妆品制造及其他,20240219,23.68,1.6,1146658.0,2578927.291233
化妆品制造及其他,20240220,24.09,1.63,1166319.0,2618456.015909
化妆品制造及其他,20240221,24.41,1.65,1182208.0,2650520.278603
化妆品制造及其他,20240222,24.89,1.68,1205033.0,2696895.072485
化妆品制造及其他,20240223,25.59,1.73,1239110.0,2748832.022319
化妆品制造及其他,20240226,25.73,1.74,1246125.0,2766420.239427
化妆品制造及其他,20240227,26.32,1.78,1274727.0,2833068.249308
化妆品制造及其他,20240228,24.74,1.67,1197753.0,2675624.518263
化妆品制造及其他,20240229,25.79,1.74,1248789.0,2789584.759388
化妆品制造及其他,20240301,26.21,1.77,1269293.0,2843393.911688
化妆品制造及其他,20240304,26.6,1.8,1287989.0,2901004.254145
化妆品制造及其他,20240305,26.79,1.81,1297067.0,2927110.111364
化妆品制造及其他,20240306,27.76,1.87,1344168.0,3048608.430355
化妆品制造及其他,20240307,27.79,1.88,1345629.0,3047177.34332
化妆品制造及其他,20240308,27.73,1.87,1342831.0,3043525.193467
化妆品制造及其他,20240311,27.95,1.89,1353297.0,3072609.298562
化妆品制造及其他,20240312,28.02,1.89,1357023.0,3069155.758599
化妆品制造及其他,20240313,28.11,1.9,1361046.0,3083174.660845
化妆品制造及其他,20240314,27.85,1.88,1348685.0,3059491.312254
化妆品制造及其他,20240315,28.42,1.92,1376302.0,3127233.82338
化妆品制造及其他,20240318,28.78,1.94,1393489.0,3162776.752067
化妆品制造及其他,20240319,28.66,1.94,1387784.0,3150396.91243
化妆品制造及其他,20240320,29.02,1.96,1405148.0,3179615.354974
化妆品制造及其他,20240321,28.82,1.95,1395681.0,3146363.266063
化妆品制造及其他,20240322,28.61,1.93,1385247.0,3129641.130029
化妆品制造及其他,20240325,28.24,1.91,1367602.0,3104357.63041
化妆品制造及其他,20240326,28.43,1.91,1396114.0,3115289.121597
化妆品制造及其他,20240327,33.56,1.82,1338205.0,2998391.236146
化妆品制造及其他,20240328,33.9,1.83,1351502.0,3018085.593371
化妆品制造及其他,20240329,34.27,1.86,1366524.0,3045363.340275
化妆品制造及其他,20240401,35.46,1.92,1413619.0,3164956.376057
化妆品制造及其他,20240402,35.14,1.9,1401057.0,3119786.366788
化妆品制造及其他,20240403,35.07,1.9,1398204.0,3121950.139927
化妆品制造及其他,20240408,34.07,1.84,1358494.0,3041659.54837
化妆品制造及其他,20240409,34.81,1.89,1372566.0,3093651.872725
化妆品制造及其他,20240410,34.07,1.85,1343226.0,3033854.223055
化妆品制造及其他,20240411,34.29,1.86,1351804.0,3059309.17258
化妆品制造及其他,20240412,34.66,1.88,1366609.0,3107913.55571
化妆品制造及其他,20240415,33.32,1.81,1313845.0,3018902.142425
化妆品制造及其他,20240416,32.14,1.74,1267041.0,2950588.348239
化妆品制造及其他,20240417,31.43,1.76,1305062.0,2991199.010997
化妆品制造及其他,20240418,30.94,1.74,1284738.0,2947332.914588
化妆品制造及其他,20240419,30.28,1.7,1257348.0,2877422.531702
化妆品制造及其他,20240422,29.86,1.7,1255687.0,2874763.879425
化妆品制造及其他,20240423,30.21,1.72,1270375.0,2902087.48805
化妆品制造及其他,20240424,30.53,1.74,1284003.0,2928285.302696
化妆品制造及其他,20240425,30.68,1.75,1290059.0,2943335.185512
化妆品制造及其他,20240426,30.63,1.75,1288239.0,2944961.964116
化妆品制造及其他,20240429,31.23,1.8,1313440.0,2981019.873016
化妆品制造及其他,20240430,31.23,1.79,1313133.0,2980211.223478
化妆品制造及其他,20240506,35.22,1.87,1368682.0,3116974.533193
化妆品制造及其他,20240507,35.37,1.88,1374483.0,3127278.420405
化妆品制造及其他,20240508,34.97,1.86,1358949.0,3087275.556101
化妆品制造及其他,20240509,36.65,1.95,1424029.0,3205627.706832
化妆品制造及其他,20240510,35.57,1.89,1382345.0,3133836.884587
化妆品制造及其他,20240513,34.42,1.83,1337653.0,3047467.030783
化妆品制造及其他,20240514,35.14,1.9,1400539.0,3162552.549417
化妆品制造及其他,20240515,34.32,1.86,1367825.0,3082519.506459
化妆品制造及其他,20240516,33.67,1.82,1342047.0,2999062.069152
化妆品制造及其他,20240517,33.94,1.84,1352699.0,3021609.917229
化妆品制造及其他,20240520,33.64,1.82,1340801.0,2988872.187035
化妆品制造及其他,20240521,33.43,1.81,1332390.0,2981814.553791
化妆品制造及其他,20240522,33.05,1.79,1317119.0,2934542.567083
化妆品制造及其他,20240523,32.12,1.74,1280182.0,2852371.333885
化妆品制造及其他,20240524,31.64,1.71,1261196.0,2806268.908145
化妆品制造及其他,20240527,31.95,1.73,1273350.0,2833225.451084
化妆品制造及其他,20240528,31.1,1.69,1239349.0,2759254.943022
化妆品制造及其他,20240529,31.37,1.7,1250274.0,2788523.466706
化妆品制造及其他,20240530,30.94,1.68,1233101.0,2747282.397456
化妆品制造及其他,20240531,31.09,1.69,1239329.0,2760458.267
化妆品制造及其他,20240603,30.39,1.65,1211254.0,2709683.623304
化妆品制造及其他,20240604,30.29,1.64,1207372.0,2713197.912171
化妆品制造及其他,20240605,29.95,1.62,1193816.0,2686375.826437
化妆品制造及其他,20240606,29.64,1.61,1181454.0,2688897.532352
化妆品制造及其他,20240607,29.85,1.63,1189609.0,2690483.817658
化妆品制造及其他,20240611,29.66,1.62,1182027.0,2673282.913859
化妆品制造及其他,20240612,30.18,1.65,1202673.0,2722915.489832
化妆品制造及其他,20240613,29.43,1.61,1173064.0,2652756.401933
化妆品制造及其他,20240614,28.97,1.58,1154716.0,2602366.355871
化妆品制造及其他,20240617,28.98,1.58,1154843.0,2617741.028604
化妆品制造及其他,20240618,29.24,1.6,1165249.0,2633948.489996
化妆品制造及其他,20240619,28.98,1.58,1155084.0,2605959.326946
化妆品制造及其他,20240620,103.12,1.6,432446.0,2635604.402329
化妆品制造及其他,20240621,30.03,1.64,1196747.0,2697496.860177
化妆品制造及其他,20240624,28.49,1.56,1135706.0,2564866.685144
化妆品制造及其他,20240625,28.17,1.54,1122771.0,2529727.092897
化妆品制造及其他,20240626,28.43,1.55,1132981.0,2544791.950287
化妆品制造及其他,20240627,28.16,1.54,1122295.0,2515449.959333
化妆品制造及其他,20240628,27.95,1.53,1114003.0,2498098.73632
化妆品制造及其他,20240701,28.39,1.55,1131351.0,2541876.927764
化妆品制造及其他,20240702,28.08,1.53,1119099.0,2499986.164055
化妆品制造及其他,20240703,28.03,1.53,1117227.0,2489786.164599
化妆品制造及其他,20240704,27.12,1.48,1080891.0,2418787.038383
化妆品制造及其他,20240705,27.93,1.52,1113207.0,2487041.876695
化妆品制造及其他,20240708,27.45,1.5,1093799.0,2434026.723917
化妆品制造及其他,20240709,27.92,1.52,1112713.0,2490313.789316
化妆品制造及其他,20240710,28.01,1.53,1116078.0,2497290.560384
化妆品制造及其他,20240711,28.78,1.57,1146823.0,2559926.222875
化妆品制造及其他,20240712,28.68,1.57,1143005.0,2548350.833185
化妆品制造及其他,20240715,28.04,1.53,1117438.0,2494008.605149
化妆品制造及其他,20240716,27.66,1.51,1102247.0,2455482.856294
化妆品制造及其他,20240717,27.5,1.5,1095805.0,2445939.508556
化妆品制造及其他,20240718,27.73,1.51,1105174.0,2477599.202716
化妆品制造及其他,20240719,27.83,1.52,1112713.0,2487227.202502
化妆品制造及其他,20240722,27.96,1.53,1117822.0,2493885.181392
化妆品制造及其他,20240723,27.15,1.49,1085400.0,2414566.520915
化妆品制造及其他,20240724,26.63,1.46,1064764.0,2366747.465746
化妆品制造及其他,20240725,26.83,1.47,1072901.0,2384395.810897
化妆品制造及其他,20240726,27.03,1.48,1080784.0,2396125.060719
化妆品制造及其他,20240729,27.0,1.48,1079621.0,2385846.63687
化妆品制造及其他,20240730,27.6,1.51,1103720.0,2451044.823738
化妆品制造及其他,20240731,29.18,1.6,1166911.0,2599114.399453
化妆品制造及其他,20240801,29.0,1.59,1159650.0,2584291.130223
化妆品制造及其他,20240802,28.65,1.57,1145350.0,2549291.387305
化妆品制造及其他,20240805,28.23,1.54,1128689.0,2497971.514603
化妆品制造及其他,20240806,28.46,1.56,1138081.0,2518584.402148
化妆品制造及其他,20240807,28.45,1.56,1137450.0,2522476.502506
化妆品制造及其他,20240808,29.42,1.61,1176354.0,2618136.942859
化妆品制造及其他,20240809,28.67,1.57,1146500.0,2549754.383461
化妆品制造及其他,20240812,28.24,1.55,1128998.0,2512147.320662
化妆品制造及其他,20240813,28.4,1.55,1135473.0,2525299.414505
化妆品制造及其他,20240814,27.77,1.52,1110542.0,2454422.671248
化妆品制造及其他,20240815,27.88,1.53,1114588.0,2451395.894076
化妆品制造及其他,20240816,28.49,1.56,1139099.0,2510072.072063
化妆品制造及其他,20240819,27.72,1.52,1108474.0,2407765.481126
化妆品制造及其他,20240820,27.14,1.49,1085132.0,2360706.22868
化妆品制造及其他,20240821,26.72,1.47,1068304.0,2324356.003457
化妆品制造及其他,20240822,26.35,1.44,1053444.0,2301718.992833
化妆品制造及其他,20240823,26.65,1.46,1065665.0,2324370.103221
化妆品制造及其他,20240826,26.82,1.47,1072326.0,2332751.388982
化妆品制造及其他,20240827,26.47,1.45,1058454.0,2310750.398495
化妆品制造及其他,20240828,26.96,1.47,1077980.0,2351051.740323
化妆品制造及其他,20240829,27.66,1.51,1105834.0,2411742.578431
化妆品制造及其他,20240830,27.87,1.52,1114273.0,2427326.104693
化妆品制造及其他,20240902,27.65,1.47,1083095.0,2351584.232608
化妆品制造及其他,20240903,27.92,1.49,1093674.0,2376213.52462
化妆品制造及其他,20240904,27.57,1.47,1079917.0,2345446.097577
化妆品制造及其他,20240905,28.01,1.49,1097204.0,2378569.167678
化妆品制造及其他,20240906,27.55,1.47,1079175.0,2338392.198425
化妆品制造及其他,20240909,27.21,1.45,1065912.0,2302021.685518
化妆品制造及其他,20240910,27.29,1.45,1069034.0,2307010.925687
化妆品制造及其他,20240911,27.1,1.44,1061517.0,2292253.315327
