name,trade_date,pe,pb,float_mv,total_mv
化学制剂,20240102,34.73,2.91,68247200.0,142486394.771858
化学制剂,20240103,34.78,2.91,68305101.0,142507759.239089
化学制剂,20240104,34.53,2.89,67854121.0,141376220.027144
化学制剂,20240105,33.55,2.81,65916903.0,137176453.031227
化学制剂,20240108,32.84,2.75,64761201.0,134209442.785347
化学制剂,20240109,33.09,2.76,64825702.0,134939027.830969
化学制剂,20240110,32.94,2.75,64491170.0,134215463.155129
化学制剂,20240111,33.12,2.77,64891220.0,135019246.945918
化学制剂,20240112,32.79,2.74,64261083.0,133732592.801461
化学制剂,20240115,32.97,2.75,64600350.0,134504201.301818
化学制剂,20240116,32.86,2.74,64406204.0,134212787.875838
化学制剂,20240117,31.84,2.67,62289105.0,129979902.274659
化学制剂,20240118,31.89,2.67,62372432.0,130239859.10528
化学制剂,20240119,31.68,2.66,61923936.0,129264037.119808
化学制剂,20240122,30.21,2.53,58832848.0,122732251.70709
化学制剂,20240123,30.35,2.55,59184540.0,123625285.944747
化学制剂,20240124,30.61,2.57,59622439.0,124490742.931849
化学制剂,20240125,31.42,2.64,61228738.0,127664020.137526
化学制剂,20240126,30.91,2.59,60181904.0,125458560.912439
化学制剂,20240129,30.31,2.54,59004250.0,123026272.115953
化学制剂,20240130,29.55,2.48,57554614.0,119885731.298153
化学制剂,20240131,28.3,2.37,55101260.0,114955390.140785
化学制剂,20240201,28.09,2.36,54662880.0,114054253.593471
化学制剂,20240202,27.12,2.27,52678150.0,109899311.22212
化学制剂,20240205,26.68,2.24,51325655.0,107052648.945914
化学制剂,20240206,28.86,2.42,55649715.0,116380542.868459
化学制剂,20240207,29.61,2.48,56954590.0,119125419.097022
化学制剂,20240208,30.08,2.52,58203247.0,121590571.193143
化学制剂,20240219,30.27,2.54,58655183.0,122528526.293926
化学制剂,20240220,30.61,2.57,59288280.0,123828574.694472
化学制剂,20240221,30.57,2.56,59203250.0,123525108.409538
化学制剂,20240222,30.81,2.58,59678339.0,124463801.646666
化学制剂,20240223,30.92,2.59,60053006.0,125406175.183986
化学制剂,20240226,31.09,2.61,60467081.0,126301774.873289
化学制剂,20240227,31.51,2.64,61342084.0,128037312.948174
化学制剂,20240228,30.77,2.58,59753254.0,125043172.593701
化学制剂,20240229,31.43,2.64,61176091.0,127896923.608948
化学制剂,20240301,31.46,2.64,61215298.0,127717067.230061
化学制剂,20240304,32.19,2.7,62612674.0,130491283.134701
化学制剂,20240305,31.98,2.68,62073843.0,129321679.632799
化学制剂,20240306,31.71,2.66,61560783.0,128163452.219372
化学制剂,20240307,30.71,2.58,59653348.0,124069906.731138
化学制剂,20240308,30.93,2.59,60138907.0,125191513.851965
化学制剂,20240311,31.76,2.66,61744936.0,128466690.72882
化学制剂,20240312,32.3,2.71,62740429.0,130369370.597268
化学制剂,20240313,32.25,2.7,62843523.0,130744463.613746
化学制剂,20240314,32.89,2.75,64343516.0,134425143.189925
化学制剂,20240315,33.05,2.77,64727802.0,135426679.557446
化学制剂,20240318,33.34,2.8,65500985.0,136882579.53589
化学制剂,20240319,32.87,2.76,64668586.0,135055508.258685
化学制剂,20240320,32.92,2.77,64820107.0,135352528.891034
化学制剂,20240321,32.84,2.76,64537247.0,134472060.017803
化学制剂,20240322,32.4,2.73,63747322.0,132595003.078566
化学制剂,20240325,32.04,2.7,62994102.0,131049285.529682
化学制剂,20240326,31.93,2.69,62817407.0,130790541.791565
化学制剂,20240327,32.61,2.66,62146522.0,129589103.255349
化学制剂,20240328,32.91,2.68,62680355.0,130661820.196812
化学制剂,20240329,32.82,2.68,62844527.0,131037293.478409
化学制剂,20240401,33.47,2.72,63672577.0,132377021.094804
化学制剂,20240402,33.09,2.69,62971054.0,131107100.281776
化学制剂,20240403,33.11,2.68,62943595.0,131124808.840374
化学制剂,20240408,32.55,2.64,61973914.0,129428741.603345
化学制剂,20240409,33.09,2.68,63021643.0,131631394.125979
化学制剂,20240410,32.66,2.64,62144393.0,129809525.591966
化学制剂,20240411,32.69,2.63,61833952.0,129317888.686708
化学制剂,20240412,32.33,2.61,61309787.0,128240599.657923
化学制剂,20240415,32.36,2.61,61088476.0,127805347.226689
化学制剂,20240416,31.62,2.55,59543209.0,124589314.723369
化学制剂,20240417,32.26,2.6,60760007.0,126936898.333672
化学制剂,20240418,31.5,2.54,59807663.0,125005895.647743
化学制剂,20240419,31.16,2.52,59362354.0,124074934.262636
化学制剂,20240422,31.51,2.55,60073850.0,125763537.396478
化学制剂,20240423,32.18,2.61,61598416.0,129327370.0094
化学制剂,20240424,32.37,2.62,61962860.0,129981486.894153
化学制剂,20240425,32.87,2.64,63166866.0,132643539.790971
化学制剂,20240426,33.75,2.67,64435975.0,135321472.518976
化学制剂,20240429,34.98,2.72,65496326.0,137924461.38074
化学制剂,20240430,36.57,2.74,66145477.0,139645141.719985
化学制剂,20240506,42.15,2.94,67971922.0,144349094.836674
化学制剂,20240507,42.29,2.94,68249160.0,144882229.479155
化学制剂,20240508,42.08,2.93,67959232.0,144538913.132087
化学制剂,20240509,42.6,2.97,68780410.0,146005269.341217
化学制剂,20240510,42.17,2.94,68058724.0,144762171.52602
化学制剂,20240513,41.66,2.9,67235882.0,142968490.040781
化学制剂,20240514,41.68,2.9,67286895.0,143295021.667041
化学制剂,20240515,41.09,2.86,66283690.0,141362191.694221
化学制剂,20240516,40.92,2.85,66012613.0,140473835.632864
化学制剂,20240517,40.95,2.85,66067626.0,140733466.356647
化学制剂,20240520,40.86,2.85,65935414.0,139947747.151355
化学制剂,20240521,40.57,2.83,65458614.0,139175280.369156
化学制剂,20240522,41.21,2.85,66452094.0,139761435.882431
化学制剂,20240523,40.51,2.8,65308146.0,137389015.752259
化学制剂,20240524,40.17,2.77,64762361.0,136180664.217868
化学制剂,20240527,40.5,2.8,65280686.0,137167432.81239
化学制剂,20240528,40.26,2.78,64889979.0,136272422.403228
化学制剂,20240529,40.15,2.77,64720750.0,135893974.743956
化学制剂,20240530,40.1,2.77,64607821.0,144025582.093786
化学制剂,20240531,40.2,2.78,64768597.0,144383831.489333
化学制剂,20240603,39.64,2.74,63876948.0,134526978.242332
化学制剂,20240604,40.43,2.8,65138934.0,137396580.75129
化学制剂,20240605,40.23,2.78,64832074.0,137147772.714676
化学制剂,20240606,39.52,2.74,63673438.0,134985974.281318
化学制剂,20240607,39.36,2.72,63428377.0,134293106.13938
化学制剂,20240611,39.73,2.76,64729356.0,135953427.716274
化学制剂,20240612,39.62,2.76,64566528.0,135644294.630131
化学制剂,20240613,39.55,2.75,64475307.0,135649843.510937
化学制剂,20240614,39.32,2.74,64110549.0,134603671.090205
化学制剂,20240617,39.44,2.74,64271480.0,135037060.310546
化学制剂,20240618,39.2,2.73,63914023.0,134135983.586209
化学制剂,20240619,38.7,2.69,63106936.0,132605955.670354
化学制剂,20240620,85.49,2.65,18630547.0,130636464.072843
化学制剂,20240621,34.69,2.66,62437493.0,131264386.54305
化学制剂,20240624,34.01,2.61,61173320.0,128670012.279414
化学制剂,20240625,33.76,2.59,60742848.0,127521044.371461
化学制剂,20240626,34.37,2.64,61864030.0,129843088.637978
化学制剂,20240627,33.6,2.58,60473940.0,126987930.094656
化学制剂,20240628,33.24,2.55,59837580.0,125571240.087467
化学制剂,20240701,33.44,2.57,60209488.0,126574865.263337
化学制剂,20240702,33.12,2.54,59642380.0,125220148.64571
化学制剂,20240703,32.98,2.53,59349316.0,124325465.940404
化学制剂,20240704,32.29,2.48,58218345.0,121945765.06235
化学制剂,20240705,33.69,2.59,60724709.0,127259017.303963
化学制剂,20240708,33.07,2.52,59094365.0,123726868.18432
化学制剂,20240709,33.03,2.52,59043378.0,123617834.43546
化学制剂,20240710,33.02,2.52,59018278.0,123579475.38539
化学制剂,20240711,33.75,2.58,60335874.0,125858288.493224
化学制剂,20240712,34.21,2.61,61376667.0,127863484.943058
化学制剂,20240715,33.72,2.57,60471430.0,125827737.35145
化学制剂,20240716,33.62,2.56,60298548.0,125445132.324356
化学制剂,20240717,33.97,2.59,60903165.0,126591485.667759
化学制剂,20240718,34.26,2.61,61417668.0,127666464.340195
化学制剂,20240719,34.29,2.61,61475524.0,127728553.946151
化学制剂,20240722,34.6,2.64,62037232.0,128968498.314408
化学制剂,20240723,33.48,2.55,60021638.0,124649138.787542
化学制剂,20240724,33.06,2.52,59281991.0,123154398.394352
化学制剂,20240725,33.03,2.52,59232400.0,123113430.408173
化学制剂,20240726,33.02,2.52,59209399.0,123057647.254527
化学制剂,20240729,32.75,2.5,58730293.0,122095268.378029
化学制剂,20240730,32.5,2.48,58497698.0,121351370.804089
化学制剂,20240731,34.57,2.57,61025416.0,125152980.443424
化学制剂,20240801,34.51,2.57,60933736.0,124934195.413569
化学制剂,20240802,34.87,2.6,61562176.0,126364869.337494
化学制剂,20240805,34.75,2.59,61348769.0,125980745.324061
化学制剂,20240806,35.36,2.63,62463030.0,128136436.647719
化学制剂,20240807,35.02,2.61,61883066.0,127005738.547958
化学制剂,20240808,35.29,2.63,62379036.0,127930072.306642
化学制剂,20240809,34.86,2.59,61620020.0,126393474.256301
化学制剂,20240812,35.39,2.64,62540931.0,128252577.46976
化学制剂,20240813,35.08,2.61,61987556.0,127125220.154791
化学制剂,20240814,34.81,2.59,61512774.0,126176259.311096
化学制剂,20240815,35.05,2.63,61916576.0,127169784.429364
化学制剂,20240816,35.43,2.66,62578274.0,128750946.849241
化学制剂,20240819,34.98,2.63,61788469.0,127082028.869738
化学制剂,20240820,34.61,2.6,61130261.0,125621735.039087
化学制剂,20240821,34.38,2.58,60742306.0,124737639.62468
化学制剂,20240822,34.51,2.58,60965981.0,125302670.271929
化学制剂,20240823,34.28,2.57,60514216.0,124469258.644216
化学制剂,20240826,34.26,2.57,60495751.0,124135521.379174
化学制剂,20240827,34.51,2.59,60935709.0,125011094.615452
化学制剂,20240828,34.58,2.59,61273267.0,124922110.332375
化学制剂,20240829,34.89,2.62,61821411.0,125982678.042364
化学制剂,20240830,34.86,2.62,61768947.0,125941702.187785
化学制剂,20240902,32.99,2.6,61373232.0,125269669.45913
化学制剂,20240903,33.23,2.62,61848363.0,126140144.273572
化学制剂,20240904,33.21,2.62,61836150.0,125973334.717481
化学制剂,20240905,33.47,2.64,62409817.0,127104477.058342
化学制剂,20240906,32.93,2.59,61403677.0,125024482.700799
化学制剂,20240909,32.9,2.59,61363408.0,124885059.164382
化学制剂,20240910,32.73,2.58,61102308.0,124337721.922821
化学制剂,20240911,33.17,2.61,61918610.0,126181781.290142
化学制剂,20240912,32.75,2.58,61132899.0,124782964.589731
化学制剂,20240913,32.48,2.56,60627639.0,123861837.842125
化学制剂,20240918,32.41,2.55,60488372.0,123621377.489827
化学制剂,20240919,32.45,2.56,60567306.0,123631312.114485
化学制剂,20240920,31.59,2.49,58974880.0,120390995.452671
化学制剂,20240923,31.38,2.47,58589748.0,119579894.413163
化学制剂,20240924,32.17,2.53,60060692.0,122158049.512483
化学制剂,20240925,32.59,2.57,60841321.0,123508177.467524
化学制剂,20240926,33.87,2.67,63214269.0,128322683.578231
化学制剂,20240927,35.55,2.81,66345673.0,134715777.546604
化学制剂,20240930,39.04,3.08,72871402.0,148336668.756089
化学制剂,20241008,41.92,3.31,78253907.0,159554157.85735
化学制剂,20241009,38.72,3.06,72252096.0,147521136.951405
化学制剂,20241010,38.78,3.06,72385712.0,147624026.15029
化学制剂,20241011,37.12,2.93,69283457.0,141325408.671828
化学制剂,20241014,37.9,2.99,70731351.0,144645671.57602
化学制剂,20241015,37.36,2.95,69804593.0,142099998.035351
化学制剂,20241016,37.11,2.93,69341099.0,141050832.749959
化学制剂,20241017,37.09,2.93,69308254.0,141078912.212015
化学制剂,20241018,38.27,3.02,71511147.0,145541592.816725
化学制剂,20241021,38.81,3.06,72514896.0,147214180.989241
化学制剂,20241022,39.13,3.08,73107952.0,148233927.440484
化学制剂,20241023,38.83,3.06,72552757.0,147169852.944984
化学制剂,20241024,38.47,3.03,71886867.0,145671979.792268
化学制剂,20241025,38.72,3.03,72350255.0,146458493.952445
化学制剂,20241028,39.34,3.08,73532568.0,148609888.842779
化学制剂,20241029,38.57,3.01,72080351.0,145716911.968947
化学制剂,20241030,38.15,2.97,71309840.0,144136443.197576
化学制剂,20241031,38.09,2.96,71190564.0,143921382.719813
化学制剂,20241101,37.12,2.95,71019633.0,155719449.61082
化学制剂,20241104,37.57,2.98,71873723.0,145642224.545921
化学制剂,20241105,38.05,3.02,72848341.0,147394592.859825
化学制剂,20241106,38.08,3.03,72920673.0,147532571.350975
化学制剂,20241107,38.94,3.1,74573718.0,150810584.792962
化学制剂,20241108,38.79,3.08,74276880.0,150264739.273607
化学制剂,20241111,38.98,3.1,74645169.0,150725047.732512
化学制剂,20241112,39.21,3.12,75099837.0,151636634.435396
化学制剂,20241113,38.83,3.08,74359449.0,150109295.521068
化学制剂,20241114,37.8,3.0,72395165.0,146273973.630978
化学制剂,20241115,37.2,2.95,71237655.0,143909168.922192
化学制剂,20241118,36.48,2.9,69856778.0,141183958.094585
化学制剂,20241119,36.93,2.93,70718959.0,142985953.837035
化学制剂,20241120,38.53,3.06,73774110.0,149601324.912932
化学制剂,20241121,38.62,3.07,73956635.0,150008759.259482
化学制剂,20241122,36.86,2.93,70586380.0,143219689.564359
化学制剂,20241125,36.94,2.93,70738365.0,143732969.293053
化学制剂,20241126,37.35,2.97,71521784.0,145245709.352759
化学制剂,20241127,38.35,3.05,73430385.0,149476756.84051
化学制剂,20241128,38.23,3.04,73199479.0,148982813.888374
化学制剂,20241129,38.83,3.08,74346493.0,151268454.557579
化学制剂,20241202,39.44,3.13,75521728.0,153792509.054091
化学制剂,20241203,39.19,3.11,75059284.0,152997649.851564
化学制剂,20241204,38.57,3.06,73868589.0,150482714.144954
化学制剂,20241205,38.55,3.06,73849909.0,150045462.887478
化学制剂,20241206,39.03,3.1,74750993.0,151704382.751273
化学制剂,20241209,38.98,3.09,74686322.0,151640315.684367
化学制剂,20241210,38.76,3.08,74250533.0,150476516.949089
化学制剂,20241211,39.01,3.09,74744324.0,151070966.495116
化学制剂,20241212,39.26,3.11,75229311.0,152055440.385469
化学制剂,20241213,38.45,3.05,73623222.0,148919109.277749
化学制剂,20241216,38.05,3.02,72870486.0,147491948.399344
化学制剂,20241217,37.5,2.97,71802143.0,145582160.26644
化学制剂,20241218,37.43,2.97,71620971.0,145243522.178823
化学制剂,20241219,37.35,2.96,71471796.0,144795510.263019
化学制剂,20241220,37.45,2.97,71676847.0,145019870.942044
化学制剂,20241223,36.7,2.91,70283497.0,142027764.505887
化学制剂,20241224,37.09,2.94,71019896.0,143453899.474593
化学制剂,20241225,36.75,2.91,70369044.0,142086040.677418
化学制剂,20241226,36.53,2.89,69951491.0,141185774.917646
化学制剂,20241227,36.82,2.92,70517091.0,142522946.575414
化学制剂,20241230,36.68,2.91,70237619.0,141876394.424052
化学制剂,20241231,36.08,2.86,69098065.0,139603354.907414
化学制剂,20250102,35.36,2.8,67724079.0,136933490.579661
化学制剂,20250103,35.08,2.78,67111181.0,135699045.97604
