name,trade_date,pe,pb,float_mv,total_mv
化学制药,20240102,34.06,2.73,84271283.0,178196805.937611
化学制药,20240103,34.09,2.74,84309563.0,178145195.253991
化学制药,20240104,33.87,2.72,83795956.0,176895735.361508
化学制药,20240105,32.98,2.65,81587475.0,172141244.775084
化学制药,20240108,32.29,2.59,80049684.0,168317476.791649
化学制药,20240109,32.53,2.61,80228380.0,169310156.164231
化学制药,20240110,32.35,2.59,79748422.0,168221182.709609
化学制药,20240111,32.53,2.61,80270130.0,169293036.05615
化学制药,20240112,32.21,2.58,79496926.0,167704687.803012
化学制药,20240115,32.37,2.59,79855879.0,168514847.21557
化学制药,20240116,32.25,2.58,79585615.0,168057132.992805
化学制药,20240117,31.28,2.51,77062765.0,162988578.947918
化学制药,20240118,31.27,2.51,77036767.0,162985101.150022
化学制药,20240119,31.05,2.5,76427368.0,161666450.767342
化学制药,20240122,29.57,2.38,72544895.0,153469845.163547
化学制药,20240123,29.7,2.39,72937342.0,154471095.387777
化学制药,20240124,29.96,2.41,73478680.0,155535277.319533
化学制药,20240125,30.77,2.47,75499440.0,159454814.28118
化学制药,20240126,30.31,2.44,74278014.0,156875247.340866
化学制药,20240129,29.62,2.38,72605788.0,153171377.740129
化学制药,20240130,28.85,2.32,70784793.0,149154657.685253
化学制药,20240131,27.65,2.22,67774650.0,142974006.343109
化学制药,20240201,27.42,2.2,67231015.0,141917121.840493
化学制药,20240202,26.45,2.12,64730357.0,136583946.133173
化学制药,20240205,25.85,2.08,62687540.0,132207862.05489
化学制药,20240206,27.86,2.24,67768003.0,143379261.587238
化学制药,20240207,28.52,2.29,69261053.0,146414684.924478
化学制药,20240208,29.11,2.34,71028708.0,150035380.267328
化学制药,20240219,29.36,2.36,71727733.0,151558141.477548
化学制药,20240220,29.69,2.38,72570642.0,153353146.326784
化学制药,20240221,29.67,2.38,72492610.0,152998779.169432
化学制药,20240222,29.92,2.4,73113022.0,154275960.6784
化学制药,20240223,30.05,2.41,73616753.0,155511807.036176
化学制药,20240226,30.25,2.43,74170004.0,156770295.333738
化学制药,20240227,30.7,2.47,75377196.0,159306741.404271
化学制药,20240228,29.93,2.4,73345050.0,155226614.399436
化学制药,20240229,30.61,2.46,75153214.0,158983902.928935
化学制药,20240301,30.63,2.46,75177580.0,158799848.221946
