name,trade_date,pe,pb,float_mv,total_mv
化学工程,20240102,9.72,0.95,2943851.0,6548625.038232
化学工程,20240103,9.84,0.97,2980271.0,6638963.871123
化学工程,20240104,9.84,0.97,2979629.0,6648031.491191
化学工程,20240105,9.69,0.95,2935689.0,6549774.621199
化学工程,20240108,9.47,0.93,2868664.0,6386855.770943
化学工程,20240109,9.51,0.93,2879730.0,6393623.075847
化学工程,20240110,9.41,0.92,2851189.0,6339931.901858
化学工程,20240111,9.45,0.93,2862911.0,6359759.117103
化学工程,20240112,9.44,0.93,2859300.0,6397883.198312
化学工程,20240115,9.49,0.93,2873755.0,6483246.204102
化学工程,20240116,9.42,0.92,2852487.0,6418930.913917
化学工程,20240117,9.17,0.9,2778285.0,6242069.26993
化学工程,20240118,9.11,0.89,2760299.0,6202302.437507
化学工程,20240119,9.2,0.9,2786179.0,6255250.987873
化学工程,20240122,8.75,0.86,2650939.0,5927165.304367
化学工程,20240123,8.86,0.87,2683664.0,5976506.187541
化学工程,20240124,9.21,0.9,2790512.0,6216819.120184
化学工程,20240125,9.67,0.95,2927185.0,6503494.934617
化学工程,20240126,9.7,0.95,2936399.0,6517234.106058
化学工程,20240129,9.65,0.95,2922914.0,6474118.232721
化学工程,20240130,9.61,0.94,2983172.0,6327408.853206
化学工程,20240131,9.26,0.91,2875972.0,6104755.297795
化学工程,20240201,8.92,0.87,2769536.0,5882237.759769
化学工程,20240202,8.66,0.85,2690841.0,5720475.287499
化学工程,20240205,8.14,0.8,2527875.0,5376803.290005
化学工程,20240206,8.43,0.82,2617073.0,5585318.612204
化学工程,20240207,8.42,0.82,2614974.0,5589937.844144
化学工程,20240208,8.73,0.85,2710612.0,5790288.051195
化学工程,20240219,8.96,0.88,2781464.0,5931583.113185
化学工程,20240220,9.04,0.88,2808672.0,5993157.379041
化学工程,20240221,9.14,0.89,2839871.0,6060755.577435
化学工程,20240222,9.34,0.91,2900624.0,6187308.261276
化学工程,20240223,9.57,0.94,2972476.0,6340435.282255
化学工程,20240226,9.48,0.93,2944302.0,6279242.776153
化学工程,20240227,9.7,0.95,3012681.0,6423015.7254
化学工程,20240228,9.33,0.91,2896715.0,6179456.192208
化学工程,20240229,9.67,0.95,3004361.0,6413909.2211
化学工程,20240301,9.87,0.97,3066942.0,6562943.295672
化学工程,20240304,9.72,0.95,3018454.0,6460825.975793
化学工程,20240305,9.66,0.94,3000505.0,6430744.750194
化学工程,20240306,9.81,0.96,3046976.0,6528856.395431
化学工程,20240307,9.65,0.94,2998287.0,6421925.476933
化学工程,20240308,9.72,0.95,3018590.0,6462830.439903
化学工程,20240311,9.74,0.95,3026366.0,6476873.549795
化学工程,20240312,9.69,0.95,3008772.0,6437222.098528
化学工程,20240313,9.65,0.94,2995901.0,6411152.095279
化学工程,20240314,9.64,0.94,2995090.0,6404345.73296
化学工程,20240315,9.75,0.95,3027140.0,6473719.279877
化学工程,20240318,9.82,0.96,3048817.0,6520907.028998
化学工程,20240319,9.7,0.95,3011177.0,6438024.20282
化学工程,20240320,9.74,0.95,3025078.0,6468997.711306
化学工程,20240321,9.77,0.96,3034445.0,6491940.294555
化学工程,20240322,9.63,0.94,2948826.0,6383049.431122
化学工程,20240325,9.48,0.93,2903743.0,6281683.573131
化学工程,20240326,9.55,0.93,2925241.0,6321622.779543
化学工程,20240327,9.31,0.91,2849300.0,6149984.392199
化学工程,20240328,9.47,0.93,2897996.0,6268164.397598
化学工程,20240329,9.64,0.94,2947683.0,6373220.945529
化学工程,20240401,9.75,0.95,2984839.0,6450717.571948
化学工程,20240402,9.76,0.95,2987947.0,6451609.318951
化学工程,20240403,9.77,0.95,2991804.0,6453956.339672
化学工程,20240408,9.54,0.93,2919534.0,6300570.651621
化学工程,20240409,9.55,0.93,2923012.0,6303692.0753
化学工程,20240410,9.4,0.92,2879583.0,6206064.79627
化学工程,20240411,9.55,0.93,2922963.0,6299996.680578
化学工程,20240412,9.4,0.92,2879456.0,6201939.830385
化学工程,20240415,9.71,0.95,2972863.0,6413005.051024
化学工程,20240416,9.35,0.91,2863353.0,6177101.069921
化学工程,20240417,9.7,0.95,2970693.0,6412333.123494
化学工程,20240418,9.67,0.94,2960557.0,6391788.877135
化学工程,20240419,9.76,0.95,2990056.0,6454645.08265
化学工程,20240422,9.67,0.94,2960502.0,6394214.078041
化学工程,20240423,9.5,0.93,2910749.0,6284316.158765
化学工程,20240424,9.7,0.94,2969270.0,6407988.452213
化学工程,20240425,9.67,0.94,2968206.0,6412053.497917
化学工程,20240426,9.68,0.94,2960659.0,6412665.460411
化学工程,20240429,9.71,0.9,2970781.0,6432072.349038
化学工程,20240430,9.68,0.9,2961860.0,6421417.013522
化学工程,20240506,9.81,0.94,3071225.0,6663111.541535
化学工程,20240507,9.87,0.94,3089128.0,6702548.420148
化学工程,20240508,9.86,0.94,3088139.0,6703942.231262
化学工程,20240509,10.13,0.97,3172136.0,6887752.032111
化学工程,20240510,10.13,0.97,3170793.0,6887965.096786
化学工程,20240513,10.34,0.99,3239217.0,7036375.102337
化学工程,20240514,10.39,0.99,3253822.0,7064327.745263
化学工程,20240515,10.22,0.97,3199050.0,6949660.593844
化学工程,20240516,10.39,0.99,3252116.0,7068085.140017
化学工程,20240517,10.23,0.98,3204034.0,6962502.656941
化学工程,20240520,10.26,0.98,3212094.0,6981438.171242
化学工程,20240521,10.36,0.99,3244276.0,7053677.858265
化学工程,20240522,10.38,0.99,3251531.0,7074081.780483
化学工程,20240523,10.32,0.98,3229851.0,7025232.577058
化学工程,20240524,10.32,0.98,3230080.0,7026639.844626
化学工程,20240527,10.49,1.0,3283837.0,7140657.429762
化学工程,20240528,10.65,1.02,3333336.0,7257302.102688
化学工程,20240529,10.7,1.02,3351749.0,7287151.206074
化学工程,20240530,10.54,1.0,3299557.0,7174975.290994
化学工程,20240531,10.45,1.0,3273196.0,7117488.372333
化学工程,20240603,10.56,1.01,3307976.0,7193387.290413
化学工程,20240604,10.77,1.03,3372840.0,7340213.101933
化学工程,20240605,10.61,1.01,3320973.0,7225276.174604
化学工程,20240606,10.44,1.0,3269297.0,7114859.76751
化学工程,20240607,10.53,1.0,3297690.0,7170310.994985
化学工程,20240611,10.11,0.96,3166287.0,6886427.471445
化学工程,20240612,10.13,0.97,3171124.0,6891039.861866
化学工程,20240613,10.13,0.97,3171771.0,6893092.481405
化学工程,20240614,10.14,0.97,3174850.0,6896883.426579
化学工程,20240617,9.95,0.95,3114176.0,6765784.629529
化学工程,20240618,10.19,0.97,3192186.0,6935910.653182
化学工程,20240619,10.26,0.98,3213227.0,6983242.483401
化学工程,20240620,93.87,0.97,446442.0,6908964.891724
化学工程,20240621,10.23,0.98,3202343.0,6965064.908793
化学工程,20240624,9.96,0.95,3119230.0,6786864.925515
化学工程,20240625,9.95,0.95,3114211.0,6773294.919437
化学工程,20240626,10.07,0.96,3153786.0,6860269.152054
化学工程,20240627,10.03,0.96,3001714.0,6785638.707178
化学工程,20240628,10.25,0.98,3067770.0,6940210.374204
化学工程,20240701,10.28,0.98,3077291.0,6960277.451728
化学工程,20240702,9.97,0.95,2986423.0,6746775.11335
化学工程,20240703,9.96,0.95,2981322.0,6727746.191248
化学工程,20240704,9.76,0.93,2923453.0,6600538.486598
化学工程,20240705,9.82,0.94,2941453.0,6641900.891715
化学工程,20240708,9.65,0.92,2888543.0,6523708.466168
化学工程,20240709,9.63,0.92,2883950.0,6514395.187922
化学工程,20240710,9.52,0.91,2850242.0,6439954.233557
化学工程,20240711,9.78,0.93,2928911.0,6621750.217416
化学工程,20240712,9.45,0.9,2829264.0,6390515.692712
化学工程,20240715,9.41,0.9,2817041.0,6365418.270319
化学工程,20240716,9.41,0.9,2817598.0,6368047.600287
化学工程,20240717,9.45,0.9,2828452.0,6390722.408858
化学工程,20240718,9.44,0.9,2827251.0,6388161.274807
化学工程,20240719,9.58,0.91,2867305.0,6486465.598894
化学工程,20240722,9.4,0.9,2815439.0,6367100.51801
化学工程,20240723,9.19,0.88,2750959.0,6223706.236955
化学工程,20240724,9.2,0.88,2754593.0,6233375.770823
化学工程,20240725,9.25,0.88,2769691.0,6273114.7724
化学工程,20240726,9.33,0.89,2795930.0,6316255.109713
化学工程,20240729,9.32,0.89,2793963.0,6313573.823446
化学工程,20240730,9.48,0.91,2842486.0,6421938.502071
化学工程,20240731,9.49,0.91,2844659.0,6421746.171244
化学工程,20240801,9.57,0.91,2868180.0,6473357.815399
化学工程,20240802,9.39,0.9,2814570.0,6351407.379283
化学工程,20240805,9.12,0.87,2732717.0,6162134.216631
化学工程,20240806,9.28,0.89,2780432.0,6269920.64963
化学工程,20240807,9.16,0.87,2746147.0,6190069.039102
化学工程,20240808,9.14,0.87,2739922.0,6171248.568035
化学工程,20240809,9.16,0.87,2746267.0,6184046.086899
化学工程,20240812,9.1,0.87,2727464.0,6138988.237545
化学工程,20240813,9.22,0.88,2764886.0,6225073.249214
化学工程,20240814,9.16,0.87,2744791.0,6178980.577563
化学工程,20240815,9.25,0.88,2772140.0,6242664.215208
化学工程,20240816,9.07,0.87,2719112.0,6120006.095838
化学工程,20240819,9.15,0.87,2743558.0,6175543.98977
化学工程,20240820,8.85,0.84,2998163.0,6063657.93859
化学工程,20240821,8.76,0.83,2968413.0,6002458.508483
化学工程,20240822,8.67,0.83,2938646.0,5940550.405045
化学工程,20240823,8.69,0.83,2944362.0,5959462.624344
化学工程,20240826,8.72,0.83,2953365.0,5986458.595092
化学工程,20240827,8.64,0.83,2926256.0,5930143.206282
化学工程,20240828,8.58,0.82,2908168.0,5894534.883405
化学工程,20240829,8.53,0.82,2890893.0,5862772.768941
化学工程,20240830,8.74,0.84,2962037.0,6009783.077279
化学工程,20240902,8.7,0.78,2838489.0,5759325.336695
化学工程,20240903,8.77,0.79,2860264.0,5805438.750939
化学工程,20240904,8.67,0.78,2828142.0,5739603.110774
化学工程,20240905,8.73,0.78,2848888.0,5782904.802403
化学工程,20240906,8.55,0.77,2787994.0,5662814.646568
化学工程,20240909,8.46,0.76,2759409.0,5603881.508946
化学工程,20240910,8.52,0.77,2778978.0,5643432.045762
化学工程,20240911,8.5,0.76,2772088.0,5627981.407485
化学工程,20240912,8.54,0.77,2784803.0,5654828.19589
化学工程,20240913,8.41,0.76,2741884.0,5568327.209734
化学工程,20240918,8.45,0.76,2755776.0,5596214.165556
化学工程,20240919,8.68,0.78,2830545.0,5748715.126055
化学工程,20240920,8.51,0.76,2776384.0,5637743.181655
化学工程,20240923,8.67,0.78,2827380.0,5738734.059302
化学工程,20240924,9.11,0.82,2970421.0,6027731.714694
化学工程,20240925,9.34,0.84,3045739.0,6178406.192655
化学工程,20240926,9.67,0.87,3154830.0,6396754.520518
化学工程,20240927,10.05,0.9,3278192.0,6650352.086896
化学工程,20240930,10.84,0.97,3534915.0,7179818.710625
化学工程,20241008,11.43,1.03,3728461.0,7581289.49301
化学工程,20241009,10.3,0.93,3359770.0,6830276.258791
化学工程,20241010,10.82,0.97,3528742.0,7169414.029429
化学工程,20241011,10.37,0.93,3382718.0,6866668.265029
化学工程,20241014,10.64,0.96,3469324.0,7042576.679843
化学工程,20241015,10.42,0.94,3397740.0,6894320.549499
化学工程,20241016,10.43,0.94,3401628.0,6901248.832814
化学工程,20241017,10.28,0.92,3354534.0,6807522.081831
化学工程,20241018,10.63,0.96,3466821.0,7036222.381028
化学工程,20241021,10.8,0.97,3522995.0,7150792.438709
化学工程,20241022,10.82,0.97,3530235.0,7169257.110196
化学工程,20241023,10.82,0.97,3529346.0,7165588.802829
化学工程,20241024,10.77,0.97,3514766.0,7137101.147731
化学工程,20241025,10.9,0.98,3556028.0,7220733.704339
化学工程,20241028,10.99,0.99,3584497.0,7283900.575038
化学工程,20241029,10.82,0.97,3529494.0,7174258.432464
化学工程,20241030,10.77,0.97,3512420.0,7139779.747794
化学工程,20241031,10.77,0.97,3511753.0,7142338.527138
化学工程,20241101,10.42,0.97,3529785.0,7169945.354476
化学工程,20241104,10.48,0.98,3547637.0,7207138.285236
化学工程,20241105,10.72,1.0,3629657.0,7315439.311405
化学工程,20241106,10.65,0.99,3607229.0,7271096.67851
化学工程,20241107,11.06,1.03,3744351.0,7557918.476651
化学工程,20241108,10.82,1.01,3662892.0,7389442.010446
化学工程,20241111,10.9,1.01,3702663.0,7446623.488916
化学工程,20241112,10.76,1.0,3653661.0,7335545.531748
化学工程,20241113,11.18,1.04,3796083.0,7629398.744684
化学工程,20241114,11.27,1.05,3828368.0,7692224.876629
化学工程,20241115,11.31,1.05,3840898.0,7688509.77281
化学工程,20241118,11.71,1.09,3976400.0,7963248.640252
化学工程,20241119,11.6,1.08,3939219.0,7892821.796877
化学工程,20241120,11.88,1.1,4035658.0,8069327.848715
化学工程,20241121,11.84,1.1,4020779.0,7981647.695582
化学工程,20241122,11.72,1.09,3981644.0,7866731.435625
化学工程,20241125,11.72,1.09,3981996.0,7839158.854749
化学工程,20241126,11.47,1.07,3894614.0,7689882.624051
化学工程,20241127,11.41,1.06,3874650.0,7698020.482131
化学工程,20241128,11.21,1.04,3805921.0,7585172.085346
化学工程,20241129,11.19,1.04,3799078.0,7601071.364375
化学工程,20241202,11.3,1.05,3838440.0,7676613.627283
化学工程,20241203,11.54,1.07,3919227.0,7840362.834359
化学工程,20241204,11.31,1.05,3840173.0,7682580.387541
化学工程,20241205,11.25,1.05,3821593.0,7642408.406393
化学工程,20241206,11.38,1.06,3864587.0,7732035.519077
化学工程,20241209,11.27,1.05,3827596.0,7674386.036565
化学工程,20241210,11.25,1.05,3820754.0,7658091.892454
化学工程,20241211,11.34,1.05,3850357.0,7718160.155925
化学工程,20241212,11.45,1.06,3887062.0,7795717.393595
化学工程,20241213,11.2,1.04,3804722.0,7632711.56607
化学工程,20241216,11.26,1.05,3822534.0,7643604.126252
化学工程,20241217,11.01,1.02,3738115.0,7492813.510604
化学工程,20241218,11.09,1.03,3767008.0,7546537.795339
化学工程,20241219,11.16,1.04,3789008.0,7592548.022106
化学工程,20241220,11.11,1.03,3771971.0,7551723.739827
化学工程,20241223,11.18,1.04,3797101.0,7596773.481086
