name,trade_date,pe,pb,float_mv,total_mv
化学纤维,20240102,26.18,1.5,7020225.0,17921770.702864
化学纤维,20240103,26.26,1.5,7036732.0,17976127.912096
化学纤维,20240104,26.05,1.49,6981768.0,17862169.35063
化学纤维,20240105,25.64,1.47,6872597.0,17615258.042285
化学纤维,20240108,25.06,1.44,6716815.0,17213025.140215
化学纤维,20240109,25.18,1.44,6738503.0,17201952.587947
化学纤维,20240110,25.03,1.43,6700082.0,17105497.456951
化学纤维,20240111,25.13,1.44,6733274.0,17129464.308651
化学纤维,20240112,25.05,1.43,6711924.0,17094548.422906
化学纤维,20240115,25.08,1.44,6713251.0,17096894.416187
化学纤维,20240116,25.08,1.44,6709095.0,17100160.77609
化学纤维,20240117,24.48,1.4,6543452.0,16640368.12735
化学纤维,20240118,24.21,1.39,6471056.0,16439256.470233
化学纤维,20240119,24.09,1.38,6435520.0,16318755.919972
化学纤维,20240122,22.74,1.3,6074896.0,15461609.334908
化学纤维,20240123,23.05,1.32,6151748.0,15629171.702144
化学纤维,20240124,23.43,1.34,6250614.0,15848920.248209
化学纤维,20240125,24.1,1.38,6441405.0,16369888.740626
化学纤维,20240126,24.05,1.38,6422237.0,16284925.086947
化学纤维,20240129,23.32,1.34,6237085.0,16013397.923545
化学纤维,20240130,22.53,1.3,6021659.0,15429846.576602
化学纤维,20240131,21.62,1.25,5773173.0,14812447.853231
化学纤维,20240201,21.44,1.23,5719015.0,14654143.891753
化学纤维,20240202,20.63,1.19,5501738.0,14131749.240404
化学纤维,20240205,19.38,1.12,5180262.0,13480264.50084
化学纤维,20240206,20.53,1.18,5486781.0,14320274.798427
化学纤维,20240207,21.39,1.23,5714228.0,14974734.577824
化学纤维,20240208,22.19,1.28,5929464.0,15428575.647634
化学纤维,20240219,22.34,1.29,5964698.0,15434702.306937
化学纤维,20240220,22.33,1.29,5962169.0,15410454.669067
化学纤维,20240221,22.5,1.3,6009018.0,15519087.862515
化学纤维,20240222,22.86,1.32,6101456.0,15707903.979236
化学纤维,20240223,23.04,1.33,6147766.0,15788637.970668
化学纤维,20240226,23.29,1.34,6210411.0,15872494.635455
化学纤维,20240227,23.66,1.36,6315215.0,16156501.274462
化学纤维,20240228,22.74,1.31,6060465.0,15564034.098129
化学纤维,20240229,23.42,1.35,6243238.0,16019651.729945
化学纤维,20240301,23.55,1.36,6272018.0,16057101.83376
化学纤维,20240304,23.58,1.36,6276460.0,16060033.963606
化学纤维,20240305,23.26,1.34,6183902.0,15828988.674526
化学纤维,20240306,23.5,1.35,6249302.0,15975227.668478
化学纤维,20240307,23.42,1.35,6224412.0,15902494.502019
化学纤维,20240308,23.66,1.36,6283928.0,16015902.902443
化学纤维,20240311,24.06,1.39,6395084.0,16304931.451707
化学纤维,20240312,24.48,1.41,6511876.0,16565627.808731
化学纤维,20240313,24.22,1.39,6454429.0,16528558.911716
化学纤维,20240314,24.04,1.38,6390868.0,16338807.600477
化学纤维,20240315,24.31,1.4,6462850.0,16507726.717862
化学纤维,20240318,24.76,1.43,6586096.0,16812074.197724
化学纤维,20240319,24.49,1.41,6535931.0,16659502.399851
化学纤维,20240320,24.16,1.41,6560668.0,16700609.337731
化学纤维,20240321,24.21,1.42,6575609.0,16700911.446767
化学纤维,20240322,24.22,1.42,6584335.0,16746082.609109
化学纤维,20240325,23.81,1.39,6494401.0,16676491.704917
化学纤维,20240326,21.55,1.38,6446873.0,16534229.504162
化学纤维,20240327,20.97,1.34,6263899.0,16081235.816643
化学纤维,20240328,21.49,1.38,6438668.0,16568485.70944
化学纤维,20240329,22.07,1.41,6582372.0,16930004.742417
化学纤维,20240401,22.94,1.47,6823199.0,17433396.631724
化学纤维,20240402,23.2,1.48,6891482.0,17567224.689216
化学纤维,20240403,23.17,1.48,6870059.0,17506915.450523
化学纤维,20240408,22.78,1.46,6756544.0,17155310.582391
化学纤维,20240409,22.99,1.47,6822986.0,17307062.371363
化学纤维,20240410,23.17,1.48,6862676.0,17370471.212801
化学纤维,20240411,23.04,1.47,6817717.0,17266340.472664
化学纤维,20240412,23.11,1.48,6825103.0,17194098.196392
化学纤维,20240415,22.3,1.43,6630399.0,16807965.780893
化学纤维,20240416,21.93,1.36,6311492.0,16047011.299592
化学纤维,20240417,22.75,1.41,6552259.0,16587015.983336
化学纤维,20240418,22.89,1.42,6596970.0,16703024.736263
化学纤维,20240419,23.32,1.45,6717044.0,16995738.666104
化学纤维,20240422,22.56,1.41,6594315.0,16706912.758593
化学纤维,20240423,22.25,1.39,6500169.0,16449394.206886
化学纤维,20240424,22.67,1.41,6628755.0,16792875.998373
化学纤维,20240425,22.85,1.43,6678517.0,16950721.049745
化学纤维,20240426,23.0,1.43,6732119.0,17126816.242028
化学纤维,20240429,28.37,1.44,6849298.0,17383893.488528
化学纤维,20240430,28.73,1.43,6778582.0,17223712.382723
化学纤维,20240506,31.82,1.54,7094369.0,18009126.706248
化学纤维,20240507,32.02,1.55,7137377.0,18116528.534985
化学纤维,20240508,31.71,1.54,7068923.0,17926572.588089
化学纤维,20240509,31.64,1.53,7055236.0,17917696.072093
化学纤维,20240510,31.55,1.53,7036516.0,17860853.639487
化学纤维,20240513,30.84,1.49,6868441.0,17426418.658256
化学纤维,20240514,30.91,1.5,6884559.0,17453427.028763
化学纤维,20240515,31.16,1.51,6944418.0,17576225.702247
化学纤维,20240516,31.12,1.51,6939353.0,17541636.892598
化学纤维,20240517,32.24,1.56,7210249.0,18150124.93442
化学纤维,20240520,31.84,1.54,7116807.0,17947135.5807
化学纤维,20240521,31.31,1.52,6997176.0,17617528.825623
化学纤维,20240522,31.23,1.51,6978504.0,17573329.656686
化学纤维,20240523,30.97,1.5,6918132.0,17420142.275869
化学纤维,20240524,30.44,1.47,6801134.0,17129137.586241
化学纤维,20240527,30.4,1.47,6793054.0,17125046.675061
化学纤维,20240528,29.83,1.45,6665228.0,16832092.221673
化学纤维,20240529,28.45,1.48,6665873.0,16927253.107893
化学纤维,20240530,29.57,1.43,6607278.0,16812270.961522
化学纤维,20240531,29.53,1.43,6598499.0,16759235.183228
化学纤维,20240603,28.79,1.4,6447512.0,16290603.944327
化学纤维,20240604,28.92,1.4,6475307.0,16387384.468505
化学纤维,20240605,28.44,1.38,6366375.0,16120083.352311
化学纤维,20240606,27.75,1.35,6210994.0,15729932.379304
化学纤维,20240607,28.1,1.37,6291382.0,15908891.833813
化学纤维,20240611,27.89,1.36,6244327.0,15771574.781635
化学纤维,20240612,28.31,1.38,6339315.0,15986537.008897
化学纤维,20240613,27.82,1.35,6230657.0,15725235.763542
化学纤维,20240614,27.93,1.36,6253786.0,15812652.248635
化学纤维,20240617,27.75,1.35,6211144.0,15650493.821886
化学纤维,20240618,28.3,1.38,6335068.0,15874035.627624
化学纤维,20240619,28.17,1.37,6308767.0,15791433.609937
化学纤维,20240620,44.15,1.34,3683931.0,15495809.751225
化学纤维,20240621,26.82,1.35,6211834.0,15586019.565898
化学纤维,20240624,26.0,1.31,6021253.0,15162984.074868
化学纤维,20240625,26.38,1.33,6109516.0,15374472.775728
化学纤维,20240626,26.79,1.35,6207336.0,15622480.488993
化学纤维,20240627,26.07,1.31,6039582.0,15188362.533863
化学纤维,20240628,26.08,1.32,6043390.0,15193483.625367
化学纤维,20240701,26.56,1.34,6153211.0,15477098.478443
化学纤维,20240702,26.08,1.31,6042919.0,15193295.319422
