name,trade_date,pe,pb,float_mv,total_mv
医疗设备,20240102,28.39,5.04,33481848.0,79746785.923197
医疗设备,20240103,28.15,5.0,33338922.0,79377085.438069
医疗设备,20240104,27.89,4.95,33233668.0,79060496.441687
医疗设备,20240105,27.53,4.89,32497807.0,77424394.181688
医疗设备,20240108,27.01,4.8,31883848.0,75950744.160682
医疗设备,20240109,27.31,4.85,32301210.0,76858288.641496
医疗设备,20240110,27.05,4.8,31812894.0,75686941.353186
医疗设备,20240111,27.36,4.86,32126382.0,76396285.876825
医疗设备,20240112,27.06,4.81,31761712.0,75534903.163127
医疗设备,20240115,27.12,4.82,31760277.0,75579924.383238
医疗设备,20240116,26.85,4.77,31588604.0,75149200.327578
医疗设备,20240117,26.14,4.64,30729038.0,73185826.972614
医疗设备,20240118,26.29,4.67,30824365.0,73520656.785127
医疗设备,20240119,26.48,4.7,31086230.0,74209706.497389
医疗设备,20240122,25.7,4.56,30153014.0,72234180.592272
医疗设备,20240123,25.82,4.58,30224609.0,72380895.073911
医疗设备,20240124,26.35,4.68,30763933.0,73718959.439682
医疗设备,20240125,26.71,4.74,31296427.0,74872757.309162
医疗设备,20240126,26.51,4.71,30950327.0,74223592.030988
医疗设备,20240129,25.38,4.51,29759042.0,71205052.621809
医疗设备,20240130,25.07,4.45,29290426.0,70145540.302489
医疗设备,20240131,24.66,4.38,28814132.0,69184605.344902
医疗设备,20240201,24.98,4.43,29053879.0,69783712.814841
医疗设备,20240202,24.25,4.31,28451791.0,68335431.40561
医疗设备,20240205,24.83,4.41,28984395.0,69937902.772401
医疗设备,20240206,26.14,4.64,30348531.0,72954762.78868
医疗设备,20240207,26.98,4.79,31492258.0,75612821.113903
医疗设备,20240208,27.02,4.8,31490356.0,75554298.224258
医疗设备,20240219,27.01,4.8,31305589.0,75195078.498395
医疗设备,20240220,27.16,4.82,31364790.0,75296281.097418
医疗设备,20240221,27.25,4.84,31529192.0,75707295.868136
医疗设备,20240222,26.92,4.78,31136905.0,74688472.595276
医疗设备,20240223,26.76,4.75,31153167.0,74545118.404538
医疗设备,20240226,26.92,4.78,31276912.0,74769749.857751
医疗设备,20240227,27.18,4.83,31551747.0,75409588.080208
医疗设备,20240228,26.55,4.71,30873432.0,73866992.622882
医疗设备,20240229,26.89,4.77,31290870.0,74770440.545785
医疗设备,20240301,26.98,4.79,31123296.0,74432649.038813
医疗设备,20240304,27.19,4.83,31349787.0,74919333.886242
医疗设备,20240305,27.5,4.88,31623453.0,75640903.10292
医疗设备,20240306,27.45,4.87,31493926.0,75366863.475247
医疗设备,20240307,27.1,4.81,31057274.0,74407588.212873
医疗设备,20240308,26.98,4.79,30874652.0,73891905.983474
医疗设备,20240311,27.89,4.95,31802146.0,76213584.164958
医疗设备,20240312,28.06,4.98,32052276.0,76741205.16502
医疗设备,20240313,27.67,4.91,31697732.0,75806967.568426
医疗设备,20240314,27.66,4.91,31757894.0,75849684.199527
医疗设备,20240315,27.63,4.91,31717930.0,75637291.680403
医疗设备,20240318,27.94,4.96,32006164.0,76146744.344543
医疗设备,20240319,27.8,4.93,31787616.0,75661845.593272
医疗设备,20240320,27.77,4.93,31817700.0,75742382.900433
医疗设备,20240321,27.59,4.9,31472519.0,74899094.065159
医疗设备,20240322,27.27,4.84,30993912.0,73876574.580886
医疗设备,20240325,26.89,4.77,30554233.0,72881774.835051
医疗设备,20240326,26.65,4.74,30445536.0,72609153.16256
医疗设备,20240327,26.34,4.68,29989575.0,71533842.897492
医疗设备,20240328,26.21,4.66,29912868.0,71299319.867781
医疗设备,20240329,26.46,4.68,29970049.0,71458396.744379
医疗设备,20240401,26.65,4.71,30130367.0,71856089.371294
医疗设备,20240402,26.44,4.67,29879036.0,71299056.313598
医疗设备,20240403,26.43,4.67,29820553.0,71189914.367285
医疗设备,20240408,25.72,4.55,29025895.0,69370562.709271
医疗设备,20240409,26.14,4.62,29509635.0,70491875.600879
医疗设备,20240410,25.66,4.54,29021127.0,69329325.528346
医疗设备,20240411,25.61,4.53,28872275.0,68883577.399937
医疗设备,20240412,25.53,4.51,28742223.0,68527965.942676
医疗设备,20240415,25.93,4.58,29051493.0,69378874.773791
医疗设备,20240416,25.06,4.42,27940718.0,66712291.8156
医疗设备,20240417,25.52,4.5,28487944.0,68082543.001709
医疗设备,20240418,25.52,4.5,28444263.0,67924956.631078
医疗设备,20240419,25.48,4.49,28269327.0,67513040.350735
医疗设备,20240422,26.13,4.61,28904852.0,69040068.451078
医疗设备,20240423,26.71,4.71,29535383.0,70510504.2436
医疗设备,20240424,26.81,4.73,29624116.0,70736703.950602
医疗设备,20240425,27.56,4.72,29703127.0,70926326.03011
医疗设备,20240426,28.07,4.77,30048391.0,71750396.194246
医疗设备,20240429,29.23,4.89,31073190.0,74366218.561935
医疗设备,20240430,29.54,4.94,31226127.0,74779877.76808
医疗设备,20240506,43.68,4.77,31873182.0,76301813.419001
医疗设备,20240507,43.99,4.8,32114332.0,76772937.453622
医疗设备,20240508,43.36,4.73,31648563.0,75596163.25107
医疗设备,20240509,43.46,4.74,31726629.0,75743220.976732
医疗设备,20240510,43.29,4.72,31589353.0,75456959.625041
医疗设备,20240513,43.45,4.74,31691003.0,75715891.049971
医疗设备,20240514,43.81,4.78,31961273.0,76332828.118168
医疗设备,20240515,43.47,4.75,31709819.0,75822114.927666
医疗设备,20240516,43.31,4.73,31601790.0,75674909.047655
医疗设备,20240517,42.99,4.69,31370110.0,75045891.65226
医疗设备,20240520,42.85,4.68,31284454.0,74822744.774017
医疗设备,20240521,42.64,4.65,31139264.0,74478597.238071
医疗设备,20240522,42.52,4.64,31075377.0,74375801.389967
医疗设备,20240523,42.58,4.65,31097659.0,74547750.800653
医疗设备,20240524,42.01,4.58,30669551.0,73440118.720476
医疗设备,20240527,41.89,4.57,30580113.0,73211522.728822
医疗设备,20240528,41.53,4.53,30311779.0,72560060.476435
医疗设备,20240529,41.39,4.52,30215978.0,72406132.354865
医疗设备,20240530,41.39,4.52,30206580.0,72347327.47835
医疗设备,20240531,41.33,4.49,30180009.0,71714942.003106
医疗设备,20240603,41.55,4.52,30329716.0,72134515.630352
医疗设备,20240604,41.82,4.55,30537223.0,72577181.430661
医疗设备,20240605,41.94,4.56,30624050.0,72956231.272087
医疗设备,20240606,41.72,4.52,30443585.0,72416474.350196
医疗设备,20240607,41.46,4.49,30256257.0,71859466.258636
医疗设备,20240611,41.94,4.54,30606951.0,72672095.13777
医疗设备,20240612,41.36,4.48,30215020.0,71705329.887713
医疗设备,20240613,41.18,4.46,30097782.0,71424911.611578
医疗设备,20240614,41.24,4.47,30131878.0,71598471.407246
医疗设备,20240617,40.95,4.44,29935740.0,71093147.91423
医疗设备,20240618,40.69,4.4,29754160.0,70604124.378822
医疗设备,20240619,40.64,4.4,29720201.0,70586263.99226
