name,trade_date,pe,pb,float_mv,total_mv
医药商业,20240102,18.2,1.64,14707239.0,36447607.88585
医药商业,20240103,18.25,1.65,14768854.0,36591010.493431
医药商业,20240104,18.35,1.66,14850790.0,36760082.863124
医药商业,20240105,18.07,1.63,14620735.0,36190349.971546
医药商业,20240108,17.79,1.6,14379074.0,35568230.259429
医药商业,20240109,17.83,1.61,14419916.0,35703488.59678
医药商业,20240110,17.68,1.59,14299220.0,35433351.727991
医药商业,20240111,17.66,1.59,14290309.0,35383310.955415
医药商业,20240112,17.53,1.58,14178631.0,35145685.140697
医药商业,20240115,17.69,1.59,14308918.0,35436831.777585
医药商业,20240116,17.6,1.59,14237624.0,35302019.826092
医药商业,20240117,17.35,1.56,14029148.0,34803229.573886
医药商业,20240118,17.22,1.55,13927026.0,34527555.91185
医药商业,20240119,17.02,1.53,13766746.0,34193309.265695
医药商业,20240122,16.25,1.46,13127740.0,32628667.378875
医药商业,20240123,16.36,1.47,13208214.0,32841928.918492
医药商业,20240124,16.55,1.49,13370337.0,33276084.76777
医药商业,20240125,17.22,1.55,13909585.0,34631311.377264
医药商业,20240126,17.19,1.55,13874261.0,34542709.829617
医药商业,20240129,17.11,1.54,13793059.0,34393281.015019
医药商业,20240130,16.6,1.5,13381209.0,33454534.302983
医药商业,20240131,16.19,1.46,13032248.0,32632980.067805
医药商业,20240201,16.11,1.45,12979917.0,32453253.880269
医药商业,20240202,15.77,1.42,12698357.0,31778033.877438
医药商业,20240205,15.53,1.4,12465629.0,31293756.498172
医药商业,20240206,16.32,1.47,13107931.0,32911578.01848
医药商业,20240207,16.88,1.52,13531029.0,33937167.911845
医药商业,20240208,17.02,1.53,13666642.0,34264551.720481
医药商业,20240219,16.88,1.52,13571303.0,34005930.847237
医药商业,20240220,16.98,1.53,13668295.0,34241160.623468
医药商业,20240221,16.99,1.53,13689041.0,34298966.546544
医药商业,20240222,17.19,1.55,13861219.0,34572873.708901
医药商业,20240223,17.23,1.55,13891172.0,34595756.160611
医药商业,20240226,17.18,1.55,13887415.0,34613419.455707
医药商业,20240227,17.34,1.56,14023808.0,34941896.854126
医药商业,20240228,16.94,1.53,13670077.0,34111237.46828
医药商业,20240229,17.27,1.56,13953036.0,34799638.900642
医药商业,20240301,17.29,1.56,13966915.0,34787382.599299
医药商业,20240304,17.33,1.56,14014377.0,34890830.848684
医药商业,20240305,17.18,1.55,13883207.0,34604501.286916
医药商业,20240306,17.07,1.54,13797271.0,34368197.265562
医药商业,20240307,16.85,1.52,13629154.0,33929103.682118
医药商业,20240308,17.17,1.55,13871160.0,34528545.605375
医药商业,20240311,17.48,1.58,14116191.0,35021708.430224
医药商业,20240312,17.63,1.59,14252359.0,35353064.077848
医药商业,20240313,17.5,1.58,14161804.0,35111621.670577
医药商业,20240314,17.47,1.58,14134776.0,34975076.609432
医药商业,20240315,17.54,1.58,14203629.0,35175360.542859
医药商业,20240318,17.78,1.6,14401381.0,35565303.742132
医药商业,20240319,17.47,1.58,14153689.0,34978266.772207
医药商业,20240320,17.5,1.58,14177969.0,34974591.91119
医药商业,20240321,17.35,1.57,14170284.0,34951839.5512
医药商业,20240322,17.12,1.55,13949133.0,34370098.148742
医药商业,20240325,17.01,1.54,13819536.0,34084501.147459
医药商业,20240326,16.98,1.54,13796091.0,34024013.417198
医药商业,20240327,16.88,1.53,13705347.0,33845197.612121
医药商业,20240328,17.02,1.54,13839091.0,34117815.770896
医药商业,20240329,17.63,1.56,14041978.0,34530784.691559
医药商业,20240401,17.9,1.58,14240195.0,35077051.233669
医药商业,20240402,17.86,1.58,14204378.0,34987253.407075
医药商业,20240403,17.92,1.58,14244186.0,35075764.472956
医药商业,20240408,17.58,1.55,13969348.0,34391252.4306
医药商业,20240409,17.86,1.57,14186550.0,34881584.369949
医药商业,20240410,17.66,1.56,13997486.0,34394470.364778
医药商业,20240411,17.75,1.56,14059190.0,34534460.026072
医药商业,20240412,17.67,1.56,13979766.0,34350757.553122
医药商业,20240415,17.94,1.58,14188378.0,35017830.282418
医药商业,20240416,17.63,1.55,13935513.0,34477685.185746
医药商业,20240417,17.95,1.58,14197787.0,35106925.447894
医药商业,20240418,18.05,1.59,14273007.0,35262324.115307
医药商业,20240419,18.1,1.59,14302721.0,35369109.09973
医药商业,20240422,18.0,1.59,14270405.0,35347822.090388
医药商业,20240423,17.78,1.57,14071585.0,34691525.007458
医药商业,20240424,17.91,1.58,14165113.0,34915082.655126
医药商业,20240425,17.95,1.58,14212642.0,35079413.819066
医药商业,20240426,17.98,1.58,14303069.0,35264189.274213
医药商业,20240429,18.69,1.57,14481173.0,35726097.402704
医药商业,20240430,18.7,1.59,14560890.0,35952160.261073
医药商业,20240506,19.34,1.63,14955914.0,36867442.768539
医药商业,20240507,19.37,1.63,14988156.0,36922434.573244
医药商业,20240508,19.39,1.63,14885180.0,36666895.885196
医药商业,20240509,19.81,1.66,15221533.0,37461918.888328
医药商业,20240510,19.64,1.65,15071577.0,37086731.126814
医药商业,20240513,19.71,1.66,15108222.0,37220162.595893
医药商业,20240514,19.94,1.67,15288344.0,37746252.536504
医药商业,20240515,19.66,1.65,15073086.0,37234009.294821
医药商业,20240516,19.53,1.64,14972767.0,36968741.468913
医药商业,20240517,19.44,1.63,14914861.0,36853002.964864
医药商业,20240520,19.41,1.63,14894024.0,36792024.710903
医药商业,20240521,19.41,1.63,14892831.0,36767118.643962
医药商业,20240522,19.18,1.61,14743900.0,36441157.480989
医药商业,20240523,19.0,1.6,14589097.0,36052792.315755
医药商业,20240524,18.92,1.59,14514528.0,35896539.174939
医药商业,20240527,19.08,1.6,14634813.0,36204988.530741
医药商业,20240528,18.73,1.57,14364514.0,35523998.726614
医药商业,20240529,18.67,1.57,14321333.0,35408312.060816
医药商业,20240530,18.6,1.56,14274449.0,35295518.971259
医药商业,20240531,18.63,1.56,14291601.0,35337511.317317
医药商业,20240603,18.3,1.54,14044193.0,34819258.73692
医药商业,20240604,18.49,1.55,14184154.0,35175675.003926
医药商业,20240605,18.22,1.53,13999850.0,34713298.818835
