name,trade_date,pe,pb,float_mv,total_mv
医药生物,20240102,28.26,2.76,310981873.0,654573568.75357
医药生物,20240103,28.25,2.75,310769710.0,653643728.370108
医药生物,20240104,28.06,2.74,309056095.0,649870908.45862
医药生物,20240105,27.53,2.68,302783022.0,636926612.578529
医药生物,20240108,27.04,2.64,297302725.0,625412461.791122
医药生物,20240109,27.09,2.64,298008205.0,627247822.364412
医药生物,20240110,26.86,2.62,295434619.0,621091116.795963
医药生物,20240111,27.09,2.64,298232428.0,626090212.737453
医药生物,20240112,26.77,2.61,294706820.0,618890664.762001
医药生物,20240115,26.85,2.62,295385404.0,620135087.950551
医药生物,20240116,26.75,2.61,294626738.0,618263539.413441
医药生物,20240117,26.07,2.54,286506135.0,601670556.71872
医药生物,20240118,26.14,2.55,287007297.0,602499093.978024
医药生物,20240119,26.0,2.54,285546145.0,599587841.879815
医药生物,20240122,24.95,2.43,273193068.0,573447781.084916
医药生物,20240123,25.1,2.45,275010027.0,577650085.616442
医药生物,20240124,25.3,2.47,276981063.0,581990412.377064
医药生物,20240125,25.83,2.52,283284543.0,595132231.754315
医药生物,20240126,25.35,2.47,277764775.0,585402346.783409
医药生物,20240129,24.77,2.42,271470206.0,572243395.567829
医药生物,20240130,24.16,2.36,264819704.0,557658923.771015
医药生物,20240131,23.22,2.26,254366931.0,544348286.135203
医药生物,20240201,23.24,2.27,254485317.0,544143464.081987
医药生物,20240202,22.39,2.18,245373506.0,518464886.470555
医药生物,20240205,22.08,2.15,240956237.0,509996904.440672
医药生物,20240206,23.69,2.31,258684309.0,547159798.052272
医药生物,20240207,24.41,2.38,266617531.0,563140866.048969
医药生物,20240208,24.67,2.41,270673101.0,571925043.867598
医药生物,20240219,24.68,2.41,270476624.0,572196185.333346
医药生物,20240220,24.96,2.43,273327600.0,577813305.384363
医药生物,20240221,25.02,2.44,274112869.0,579010109.292279
医药生物,20240222,25.17,2.45,275465042.0,581838910.339463
医药生物,20240223,25.22,2.46,276502590.0,584346014.579497
医药生物,20240226,25.33,2.47,278024666.0,587779944.933874
医药生物,20240227,25.67,2.5,281946085.0,596222890.621936
医药生物,20240228,25.08,2.45,275002392.0,581706093.668479
医药生物,20240229,25.63,2.5,281291904.0,594596137.435278
医药生物,20240301,25.66,2.5,281280000.0,594164278.247927
医药生物,20240304,26.15,2.55,286366621.0,603705225.736033
医药生物,20240305,25.89,2.52,283346956.0,598013752.595652
医药生物,20240306,25.73,2.51,281644019.0,594009292.013237
医药生物,20240307,25.0,2.44,273721942.0,578208453.702808
医药生物,20240308,25.14,2.45,275164538.0,581312254.348186
医药生物,20240311,25.76,2.51,282263936.0,595591932.473874
医药生物,20240312,26.26,2.56,287292998.0,605466413.99244
医药生物,20240313,26.1,2.55,286110515.0,603292025.344566
医药生物,20240314,26.15,2.55,287406198.0,606607641.068401
医药生物,20240315,26.18,2.55,287810723.0,607882581.875114
医药生物,20240318,26.52,2.58,291853204.0,615306157.160837
医药生物,20240319,26.17,2.54,288143233.0,607851521.471044
医药生物,20240320,26.16,2.55,288911612.0,609111992.91429
医药生物,20240321,25.98,2.53,286573807.0,603789850.539976
医药生物,20240322,25.53,2.49,281776952.0,593515756.715898
医药生物,20240325,25.21,2.46,277896675.0,584368656.206438
医药生物,20240326,25.09,2.45,276796716.0,582295892.285086
医药生物,20240327,24.96,2.42,273446146.0,575665943.844415
医药生物,20240328,25.05,2.43,274776699.0,578143452.695235
医药生物,20240329,25.44,2.43,275307555.0,579210542.066373
医药生物,20240401,26.2,2.48,280126004.0,588833482.941718
医药生物,20240402,25.94,2.45,277403561.0,583191279.001322
医药生物,20240403,25.92,2.45,276938136.0,582194145.100336
医药生物,20240408,25.36,2.39,271103883.0,570570250.841233
医药生物,20240409,25.85,2.44,276471619.0,581736692.286177
医药生物,20240410,25.44,2.4,271950507.0,572365764.899852
医药生物,20240411,25.35,2.39,270594163.0,570208629.753668
医药生物,20240412,25.18,2.37,268783678.0,566536694.604192
医药生物,20240415,25.19,2.38,268462651.0,565963160.394695
医药生物,20240416,24.63,2.32,261598774.0,551673106.04747
医药生物,20240417,25.32,2.37,267391098.0,563607921.311914
医药生物,20240418,25.12,2.35,265893118.0,560546254.249467
医药生物,20240419,24.93,2.34,264258657.0,557587322.731517
医药生物,20240422,25.07,2.35,266391593.0,562566768.843219
医药生物,20240423,25.31,2.36,268853044.0,568051576.140153
医药生物,20240424,25.34,2.36,269131386.0,568556066.050588
医药生物,20240425,25.55,2.37,271638065.0,573811132.008324
医药生物,20240426,26.06,2.4,276108451.0,582897609.707306
医药生物,20240429,27.02,2.45,281707671.0,595423650.685274
医药生物,20240430,27.16,2.46,282937423.0,598624913.726312
医药生物,20240506,34.06,2.66,291105393.0,616449344.72683
医药生物,20240507,34.19,2.67,292153060.0,618969729.131945
医药生物,20240508,34.04,2.65,290899898.0,616501408.073954
医药生物,20240509,34.37,2.68,293601619.0,621476053.138758
医药生物,20240510,33.98,2.65,290140789.0,614479223.475331
医药生物,20240513,33.75,2.63,288061011.0,610270587.123291
医药生物,20240514,34.0,2.65,290664267.0,614960020.365515
医药生物,20240515,33.47,2.61,286241496.0,605800486.630474
医药生物,20240516,33.3,2.6,284793335.0,602363064.696073
医药生物,20240517,33.28,2.6,284665528.0,601965733.570273
医药生物,20240520,33.31,2.6,285014642.0,602077653.218728
医药生物,20240521,33.02,2.57,282520472.0,597178671.299953
医药生物,20240522,32.84,2.56,281144090.0,593921744.812565
医药生物,20240523,32.33,2.52,276683990.0,585049566.505046
医药生物,20240524,32.04,2.5,274131245.0,579546739.169353
医药生物,20240527,32.23,2.51,275711283.0,582942457.922457
医药生物,20240528,31.92,2.49,272985348.0,577272393.483076
医药生物,20240529,31.81,2.48,272116908.0,575664477.538005
医药生物,20240530,31.7,2.47,271038045.0,582093891.22866
医药生物,20240531,31.78,2.48,271830237.0,582966359.253698
医药生物,20240603,31.46,2.46,269057175.0,569343843.197136
医药生物,20240604,31.89,2.49,272703171.0,576653078.282494
医药生物,20240605,31.74,2.48,271362861.0,574408672.45828
医药生物,20240606,31.25,2.44,267058291.0,565398809.587791
医药生物,20240607,31.18,2.44,266521376.0,563876405.260666
医药生物,20240611,31.5,2.46,269741187.0,569598853.170828
医药生物,20240612,31.51,2.46,269966713.0,569202656.383838
医药生物,20240613,31.21,2.44,267382310.0,564188815.022042
医药生物,20240614,30.93,2.42,265015682.0,558985506.384877
医药生物,20240617,30.93,2.42,264979713.0,558673041.681623
医药生物,20240618,30.79,2.41,263759085.0,555869536.443333
医药生物,20240619,30.42,2.38,260661240.0,549578688.571165
医药生物,20240620,87.09,2.34,65557359.0,542294567.972181
医药生物,20240621,27.53,2.35,257977232.0,544104973.526536
医药生物,20240624,26.93,2.3,252362339.0,532117623.043005
医药生物,20240625,26.81,2.29,251217628.0,529376716.653815
医药生物,20240626,27.34,2.34,256356281.0,540199561.683975
医药生物,20240627,26.79,2.29,251094840.0,529381414.960038
医药生物,20240628,26.59,2.27,249205009.0,524897267.554104
医药生物,20240701,26.77,2.29,250975089.0,528689079.03828
医药生物,20240702,26.58,2.27,249257717.0,524577933.375367
医药生物,20240703,26.32,2.25,246877072.0,519233647.870141
医药生物,20240704,25.82,2.21,242173008.0,509544946.965729
医药生物,20240705,26.62,2.28,249704347.0,525314050.239262
医药生物,20240708,25.92,2.21,242770421.0,510793525.978573
医药生物,20240709,25.97,2.22,243234586.0,511650628.798892
医药生物,20240710,25.89,2.21,242557953.0,510149692.74596
医药生物,20240711,26.55,2.27,248742699.0,522433726.688896
医药生物,20240712,26.65,2.27,249923171.0,524635974.062739
医药生物,20240715,26.33,2.25,246927483.0,518519795.103845
医药生物,20240716,26.3,2.24,246680771.0,517770941.538859
医药生物,20240717,26.66,2.27,249977173.0,525068826.504737
医药生物,20240718,26.91,2.3,252367796.0,530217789.270726
医药生物,20240719,27.02,2.31,253357822.0,532345857.943413
医药生物,20240722,27.19,2.32,254962484.0,535294835.255475
医药生物,20240723,26.3,2.24,246693438.0,517672056.482322
医药生物,20240724,25.92,2.21,243115354.0,510368596.434956
医药生物,20240725,25.89,2.21,242830077.0,509310038.632055
医药生物,20240726,25.93,2.21,243216536.0,510017996.547497
医药生物,20240729,25.59,2.18,240056771.0,503134103.417396
医药生物,20240730,25.51,2.18,239571791.0,501154040.731941
医药生物,20240731,26.78,2.28,247761951.0,518120654.182625
医药生物,20240801,26.6,2.26,246112776.0,514473364.548926
医药生物,20240802,26.82,2.28,248144842.0,518980101.674994
医药生物,20240805,26.67,2.27,246701333.0,516039499.755297
医药生物,20240806,27.16,2.31,251357775.0,525494746.310496
医药生物,20240807,26.97,2.29,249566900.0,521763673.214091
医药生物,20240808,27.14,2.31,251119310.0,524901202.387851
医药生物,20240809,26.72,2.27,247192399.0,516770100.630709
医药生物,20240812,27.08,2.3,250569249.0,523561951.158599
医药生物,20240813,26.87,2.29,248647328.0,519571622.101801
医药生物,20240814,26.49,2.25,245094817.0,512307367.551044
医药生物,20240815,26.62,2.27,246246387.0,514999578.104551
医药生物,20240816,26.73,2.28,247337776.0,517634343.97833
医药生物,20240819,26.46,2.26,244587461.0,512102053.618558
医药生物,20240820,26.02,2.22,240539984.0,503691696.543547
医药生物,20240821,25.77,2.2,238247928.0,499162749.453322
医药生物,20240822,25.57,2.18,235888660.0,495714256.68069
医药生物,20240823,25.42,2.17,234431860.0,492683135.982737
医药生物,20240826,25.31,2.16,233477231.0,489925388.192058
医药生物,20240827,25.33,2.16,233647870.0,490277327.01409
医药生物,20240828,25.34,2.17,234003938.0,489854071.599181
医药生物,20240829,25.7,2.2,237128316.0,496296401.572298
医药生物,20240830,25.95,2.22,239499362.0,502197409.295825
医药生物,20240902,26.2,2.18,235225017.0,493070992.812367
医药生物,20240903,26.37,2.2,236788672.0,496182968.313316
医药生物,20240904,26.41,2.2,237253454.0,496843205.602002
医药生物,20240905,26.69,2.22,239894872.0,502101702.516171
医药生物,20240906,26.18,2.18,235260193.0,492476171.546617
医药生物,20240909,26.2,2.18,235535881.0,492360350.535221
医药生物,20240910,25.97,2.16,233457083.0,488553808.90436
医药生物,20240911,26.07,2.17,234350637.0,490128149.612533
医药生物,20240912,25.79,2.15,231899023.0,484663065.016838
医药生物,20240913,25.52,2.12,229406067.0,479533289.606633
医药生物,20240918,25.36,2.11,227935175.0,476442704.305562
医药生物,20240919,25.66,2.14,230633465.0,481777102.131338
医药生物,20240920,25.32,2.11,227562027.0,475583182.328773
医药生物,20240923,25.16,2.1,226216102.0,472135937.135931
