name,trade_date,pe,pb,float_mv,total_mv
医院,20240102,64.37,5.41,14227916.0,29361111.991351
医院,20240103,63.97,5.37,14123629.0,29119717.671694
医院,20240104,63.08,5.3,13943882.0,28740875.826844
医院,20240105,61.76,5.19,13650890.0,28128138.899896
医院,20240108,61.59,5.17,13592849.0,28022599.007628
医院,20240109,61.24,5.14,13544799.0,27958956.306408
医院,20240110,62.35,5.24,13769001.0,28423755.300762
医院,20240111,62.45,5.25,13815852.0,28547246.307977
医院,20240112,61.62,5.18,13642793.0,28185225.359967
医院,20240115,61.12,5.13,13556237.0,28021250.918434
医院,20240116,60.7,5.1,13484245.0,27879317.043353
医院,20240117,58.99,4.96,13043553.0,26939360.653626
医院,20240118,59.82,5.02,13212425.0,27283801.274366
医院,20240119,59.11,4.97,13069763.0,27027763.210791
医院,20240122,56.7,4.76,12506008.0,25877442.496429
医院,20240123,57.3,4.81,12661720.0,26256999.710288
医院,20240124,57.62,4.84,12716642.0,26331134.149353
医院,20240125,58.13,4.88,12870860.0,26637226.921071
医院,20240126,57.53,4.83,12748160.0,26417259.455841
医院,20240129,56.03,4.71,12421649.0,25737619.188414
医院,20240130,54.96,4.62,12191152.0,25294295.974068
医院,20240131,52.98,4.45,11727244.0,24317827.48428
医院,20240201,53.52,4.5,11873690.0,24724928.609002
医院,20240202,51.36,4.31,11376965.0,23698376.872977
医院,20240205,51.7,4.34,11396648.0,23869359.369497
医院,20240206,55.6,4.67,12256513.0,25659404.972142
医院,20240207,55.2,4.63,12151314.0,25390037.226034
医院,20240208,56.42,4.74,12446778.0,26001718.071728
医院,20240219,56.77,4.77,12495952.0,26090138.492401
医院,20240220,56.89,4.78,12554564.0,26224167.086648
医院,20240221,58.05,4.87,12811952.0,26761992.019604
医院,20240222,58.35,4.9,12871795.0,26873162.429159
医院,20240223,58.41,4.9,12895526.0,26906674.72048
医院,20240226,58.4,4.9,12921019.0,26952847.927689
医院,20240227,59.21,4.97,13103038.0,27316428.100305
医院,20240228,57.76,4.85,12738394.0,26548437.277784
医院,20240229,59.17,4.97,13054713.0,27187915.628991
医院,20240301,58.83,4.94,12985887.0,27027912.073351
医院,20240304,59.1,4.96,13067146.0,27201727.275917
医院,20240305,58.08,4.88,12834293.0,26769315.385117
医院,20240306,57.54,4.83,12718508.0,26527318.741683
医院,20240307,56.04,4.7,12365588.0,25761578.334414
医院,20240308,55.72,4.68,12326576.0,25699954.658808
医院,20240311,57.42,4.82,12696726.0,26452781.232927
医院,20240312,58.85,4.94,12996724.0,27068843.689506
医院,20240313,58.32,4.9,12892906.0,26848973.92229
医院,20240314,57.75,4.85,12756023.0,26556594.080573
医院,20240315,57.67,4.84,12739121.0,26489197.619462
医院,20240318,58.35,4.9,12878155.0,26751971.942738
医院,20240319,57.45,4.82,12676774.0,26337864.65954
医院,20240320,57.79,4.85,12743469.0,26435114.402117
医院,20240321,57.33,4.81,12656410.0,26272771.43766
医院,20240322,55.68,4.67,12295851.0,25525724.839215
医院,20240325,54.29,4.56,11977160.0,24859908.271991
医院,20240326,54.24,4.55,11973131.0,24876087.981531
医院,20240327,53.11,4.46,11718475.0,24339422.914168
医院,20240328,53.44,4.49,11786285.0,24480540.151974
医院,20240329,53.34,4.48,11767570.0,24438873.663496
医院,20240401,54.58,4.58,12068673.0,25082459.307155
医院,20240402,53.9,4.52,11906528.0,24739942.533462
医院,20240403,53.6,4.5,11847935.0,24626733.870134
医院,20240408,52.33,4.35,11551950.0,23977792.958162
医院,20240409,53.55,4.46,11818768.0,24536062.50962
医院,20240410,52.11,4.34,11509846.0,23901033.55626
医院,20240411,51.64,4.3,11407682.0,23696628.986123
医院,20240412,50.83,4.23,11217482.0,23282631.844291
医院,20240415,50.55,4.21,11144355.0,23160919.520592
医院,20240416,49.03,4.08,10782980.0,22443825.08968
医院,20240417,50.24,4.19,11071463.0,23049023.666549
医院,20240418,50.46,4.16,11008798.0,22926406.568421
医院,20240419,49.48,4.08,10804431.0,22521653.681463
医院,20240422,47.78,4.04,10759026.0,22451536.036609
医院,20240423,48.53,4.11,10931565.0,22787468.819764
医院,20240424,48.42,4.1,10869564.0,22631566.237689
医院,20240425,43.33,4.18,11083956.0,23070954.164685
医院,20240426,45.15,4.24,11375066.0,23643380.528749
医院,20240429,45.85,4.39,11726426.0,24397393.077096
医院,20240430,44.93,4.33,11510644.0,23982939.029211
医院,20240506,47.59,4.51,11983916.0,24916037.429203
医院,20240507,47.54,4.51,11977977.0,24883615.408994
医院,20240508,46.91,4.45,11839733.0,24592503.873008
医院,20240509,47.35,4.49,11940902.0,24769845.543764
医院,20240510,46.53,4.41,11708789.0,24268046.02664
医院,20240513,46.2,4.38,11596090.0,24010666.67746
医院,20240514,46.46,4.4,12145263.0,24099516.971292
医院,20240515,45.67,4.33,11949660.0,23709730.061107
医院,20240516,45.59,4.32,11923091.0,23654046.283403
医院,20240517,46.29,4.39,12080875.0,24008374.014266
医院,20240520,46.78,4.43,12216953.0,24279445.096139
医院,20240521,46.05,4.37,12017870.0,23885411.954907
医院,20240522,46.01,4.36,12018473.0,23875282.610421
医院,20240523,44.54,4.24,11641775.0,23201387.022277
医院,20240524,43.75,4.16,11442961.0,22818418.285565
医院,20240527,43.92,4.18,11465361.0,22864196.989813
医院,20240528,43.17,4.13,11273980.0,22546968.22057
医院,20240529,43.17,4.13,11269325.0,22529851.900173
医院,20240530,42.98,4.11,11231490.0,22465592.236379
医院,20240531,43.02,4.12,11278901.0,22549174.429009
