name,trade_date,pe,pb,float_mv,total_mv
半导体材料,20240102,67.94,3.12,9982980.0,22494058.225663
半导体材料,20240103,66.88,3.07,9859631.0,22154164.61566
半导体材料,20240104,65.54,3.01,9664498.0,21768617.502656
半导体材料,20240105,63.52,2.91,9438250.0,21247461.761845
半导体材料,20240108,61.32,2.81,8911104.0,20510206.630298
半导体材料,20240109,61.49,2.82,8935487.0,20545390.491759
半导体材料,20240110,60.91,2.79,8890763.0,20452388.866175
半导体材料,20240111,62.03,2.84,8998242.0,20694021.485706
半导体材料,20240112,61.3,2.81,8896134.0,20419245.560945
半导体材料,20240115,61.33,2.81,8911567.0,20460702.80549
半导体材料,20240116,60.83,2.79,8877658.0,20376069.259471
半导体材料,20240117,58.68,2.69,8579340.0,19676657.481777
半导体材料,20240118,59.14,2.71,8623650.0,19736875.66512
半导体材料,20240119,58.44,2.68,8529367.0,19536793.165064
半导体材料,20240122,55.0,2.52,8056402.0,18436560.118032
半导体材料,20240123,56.09,2.57,8172839.0,18707966.768811
半导体材料,20240124,56.09,2.57,8194259.0,18756191.553856
半导体材料,20240125,58.06,2.66,8462510.0,19461269.451437
半导体材料,20240126,56.51,2.59,8274481.0,19004046.304467
半导体材料,20240129,54.6,2.5,8082312.0,18695725.742491
半导体材料,20240130,52.35,2.4,7705006.0,17765117.097519
半导体材料,20240131,49.71,2.28,7354066.0,16963765.37262
半导体材料,20240201,49.55,2.27,7294897.0,16800110.90408
半导体材料,20240202,46.87,2.15,6920138.0,15946214.973271
半导体材料,20240205,43.39,1.99,6554318.0,15019326.41909
半导体材料,20240206,46.62,2.14,6967008.0,15984336.496062
半导体材料,20240207,50.27,2.31,7339171.0,16688510.286977
半导体材料,20240208,52.75,2.42,7689274.0,17523186.174471
半导体材料,20240219,53.45,2.45,7770842.0,17770426.940994
半导体材料,20240220,53.34,2.45,7760282.0,17753974.935907
半导体材料,20240221,53.72,2.46,7805632.0,17849597.350144
半导体材料,20240222,55.28,2.53,7950818.0,18158328.85954
半导体材料,20240223,55.78,2.56,8186380.0,19844662.667644
半导体材料,20240226,56.63,2.6,8301300.0,20054592.041245
半导体材料,20240227,58.65,2.69,8602820.0,20793109.476016
半导体材料,20240228,55.19,2.53,8081358.0,19469639.497161
半导体材料,20240229,58.74,2.69,8555181.0,20590363.463349
半导体材料,20240301,59.84,2.74,8716542.0,20896067.334867
半导体材料,20240304,60.61,2.78,8764359.0,21014401.510932
半导体材料,20240305,59.75,2.74,8634724.0,20699087.642856
半导体材料,20240306,59.3,2.72,8580217.0,20602327.384132
半导体材料,20240307,58.68,2.69,8454372.0,20319333.915915
半导体材料,20240308,60.41,2.77,8645652.0,20752466.866447
半导体材料,20240311,61.14,2.8,8742583.0,20982409.543669
半导体材料,20240312,61.44,2.82,8797979.0,21100222.50159
半导体材料,20240313,61.31,2.81,8774075.0,21016889.64935
半导体材料,20240314,60.52,2.78,8620483.0,20621906.827677
半导体材料,20240315,61.16,2.8,8688565.0,20771957.815071
半导体材料,20240318,62.51,2.87,8869870.0,21228969.226909
半导体材料,20240319,61.8,2.83,8783984.0,21022464.414093
半导体材料,20240320,62.35,2.86,8809207.0,21091304.961593
半导体材料,20240321,62.93,2.89,8815842.0,21081899.35203
半导体材料,20240322,63.27,2.9,8746927.0,20880292.353413
半导体材料,20240325,60.29,2.76,8334947.0,20003775.628343
半导体材料,20240326,59.34,2.75,8275089.0,19784830.410776
半导体材料,20240327,56.31,2.61,7874360.0,18819474.124104
半导体材料,20240328,57.34,2.66,7984112.0,19097349.870904
