name,trade_date,pe,pb,float_mv,total_mv
印刷,20240102,180.61,4.66,1815975.0,2687648.758257
印刷,20240103,176.94,4.57,1779098.0,2636076.714738
印刷,20240104,175.87,4.54,1768300.0,2623078.047794
印刷,20240105,174.67,4.51,1756232.0,2607989.689773
印刷,20240108,169.26,4.37,1701835.0,2526372.01049
印刷,20240109,170.71,4.41,1716387.0,2545528.598748
印刷,20240110,167.42,4.32,1683294.0,2494655.092819
印刷,20240111,173.15,4.47,1740941.0,2584007.592333
印刷,20240112,168.01,4.34,1689234.0,2508464.490769
印刷,20240115,168.01,4.34,1689224.0,2508524.295854
印刷,20240116,164.06,4.24,1649599.0,2449567.695473
印刷,20240117,158.44,4.09,1593035.0,2366108.664167
印刷,20240118,161.1,4.16,1619835.0,2402565.764338
印刷,20240119,158.35,4.09,1592136.0,2361276.997656
印刷,20240122,149.76,3.87,1505739.0,2231779.580998
印刷,20240123,153.21,3.96,1540438.0,2280172.320083
印刷,20240124,154.5,3.99,1553398.0,2298170.968068
印刷,20240125,165.65,4.28,1665540.0,2460834.454759
印刷,20240126,163.82,4.23,1647118.0,2432446.015398
印刷,20240129,152.7,3.94,1535338.0,2268826.699153
印刷,20240130,146.36,3.78,1471544.0,2175803.98358
印刷,20240131,136.37,3.52,1371102.0,2028152.748345
印刷,20240201,134.09,3.46,1348263.0,1995952.655563
印刷,20240202,126.97,3.28,1276676.0,1891347.903023
印刷,20240205,114.44,2.96,1150690.0,1704708.999279
印刷,20240206,116.84,3.02,1174760.0,1738073.888503
印刷,20240207,112.65,2.91,1132653.0,1676415.841011
印刷,20240208,119.15,3.08,1197952.0,1775704.011839
印刷,20240219,129.63,3.34,1303365.0,1924343.821035
印刷,20240220,139.52,3.6,1402846.0,2070574.714248
印刷,20240221,139.96,3.61,1407233.0,2077353.201259
印刷,20240222,146.09,3.77,1468850.0,2170890.874526
印刷,20240223,152.38,3.93,1532088.0,2264553.529145
印刷,20240226,161.02,4.15,1618963.0,2390839.464829
印刷,20240227,169.1,4.36,1700227.0,2510562.393989
印刷,20240228,154.59,3.99,1554300.0,2294798.921316
印刷,20240229,159.21,4.11,1600746.0,2364896.058331
印刷,20240301,162.69,4.2,1635746.0,2416754.013913
印刷,20240304,164.71,4.25,1656094.0,2448302.274269
印刷,20240305,161.62,4.17,1625053.0,2405245.778309
印刷,20240306,168.93,4.36,1698511.0,2512514.566815
印刷,20240307,162.95,4.2,1638340.0,2423000.562953
印刷,20240308,167.94,4.33,1688547.0,2500564.257775
印刷,20240311,168.45,4.35,1693715.0,2513909.019569
印刷,20240312,174.54,4.5,1754944.0,2604565.331899
印刷,20240313,174.8,4.51,1757570.0,2610226.881142
印刷,20240314,183.25,4.73,1842465.0,2730432.274849
印刷,20240315,182.56,4.71,1835549.0,2722737.895541
印刷,20240318,186.04,4.8,1870556.0,2772470.190708
印刷,20240319,183.44,4.73,1844434.0,2732782.355237
印刷,20240320,182.68,4.71,1836772.0,2721872.837445
印刷,20240321,183.6,4.74,1846007.0,2734740.049428
印刷,20240322,186.09,4.81,1871006.0,2771555.334759
印刷,20240325,177.46,4.59,1784286.0,2643853.028993
印刷,20240326,158.6,4.43,1730348.0,2563712.771717
印刷,20240327,148.25,4.14,1617355.0,2396561.472496
印刷,20240328,154.43,4.31,1684843.0,2499924.291685
印刷,20240329,153.15,4.27,1670815.0,2478592.406754
印刷,20240401,156.68,4.37,1709373.0,2534325.306771
印刷,20240402,153.02,4.27,1669486.0,2475630.973693
印刷,20240403,148.14,4.13,1616196.0,2396923.192507
印刷,20240408,143.04,3.99,1560572.0,2314821.318537
印刷,20240409,144.28,4.03,1574103.0,2333768.97585
印刷,20240410,140.0,3.91,1527441.0,2264292.029707
印刷,20240411,138.93,3.88,1515735.0,2247639.632174
印刷,20240412,138.44,3.86,1510324.0,2239989.312421
印刷,20240415,127.22,3.55,1387964.0,2060118.669079
印刷,20240416,116.16,3.24,1267254.0,1880333.826927
印刷,20240417,120.88,3.37,1318822.0,1959675.3264
印刷,20240418,117.85,3.29,1285767.0,1913648.247369
印刷,20240419,115.48,3.22,1259895.0,1875039.089985
印刷,20240422,111.91,3.12,1220946.0,1817494.507255
印刷,20240423,110.66,3.15,1207282.0,1828674.491086
印刷,20240424,115.67,3.29,1261993.0,1910138.416109
印刷,20240425,118.08,3.36,1288287.0,1946341.127861
印刷,20240426,119.29,3.39,1301419.0,1967569.978398
印刷,20240429,120.12,3.48,1339026.0,2027219.056265
印刷,20240430,117.9,3.46,1314276.0,1990507.84399
印刷,20240506,107.84,3.46,1313594.0,1990410.717387
印刷,20240507,106.46,3.42,1296765.0,1966376.478884
印刷,20240508,103.47,3.32,1260369.0,1911639.281037
印刷,20240509,104.19,3.35,1269127.0,1927469.079104
印刷,20240510,101.27,3.25,1233540.0,1873446.749377
印刷,20240513,97.37,3.13,1186063.0,1803617.254187
印刷,20240514,103.48,3.32,1260482.0,1916907.545752
印刷,20240515,104.54,3.36,1273393.0,1935885.168369
印刷,20240516,102.89,3.3,1253325.0,1903025.235681
印刷,20240517,101.59,3.26,1237430.0,1880101.566372
印刷,20240520,102.47,3.29,1248205.0,1897042.508284
印刷,20240521,98.73,3.17,1202572.0,1829252.295045
印刷,20240522,98.37,3.16,1198204.0,1823838.766301
印刷,20240523,98.17,3.15,1195821.0,1816541.08784
印刷,20240524,100.02,3.21,1218290.0,1848353.966843
印刷,20240527,94.43,3.03,1150202.0,1750350.083646
印刷,20240528,91.15,2.93,1110338.0,1690683.768273
印刷,20240529,92.39,2.97,1125345.0,1712424.499356
印刷,20240530,90.48,2.9,1102149.0,1681112.016389
印刷,20240531,89.81,2.88,1093932.0,1667565.13551
印刷,20240603,88.08,2.83,1072856.0,1637180.349311
印刷,20240604,86.52,2.78,1053926.0,1608963.071604
印刷,20240605,84.41,2.71,1028226.0,1571987.025938
印刷,20240606,80.62,2.59,982034.0,1501002.109566
印刷,20240607,82.68,2.65,1007059.0,1538539.827714
印刷,20240611,78.91,2.53,961212.0,1472703.240905
印刷,20240612,80.98,2.6,986364.0,1510435.152929
印刷,20240613,79.37,2.55,966733.0,1481684.163309
印刷,20240614,79.9,2.57,972605.0,1495891.605412
印刷,20240617,77.65,2.49,945213.0,1454365.405469
印刷,20240618,82.1,2.64,999400.0,1534439.274409
印刷,20240619,82.49,2.65,1004189.0,1541727.547954
印刷,20240620,78.82,2.53,937675.0,1474700.099597
印刷,20240621,77.21,2.48,939830.0,1445519.020381
印刷,20240624,73.36,2.36,893058.0,1374966.428472
印刷,20240625,73.24,2.35,891572.0,1373067.352256
印刷,20240626,75.74,2.43,921990.0,1419344.541298
印刷,20240627,75.12,2.41,914408.0,1408014.960731
印刷,20240628,75.55,2.43,919710.0,1416006.088367
印刷,20240701,75.54,2.43,919496.0,1416021.180977
印刷,20240702,76.62,2.46,932650.0,1435711.141614
印刷,20240703,75.01,2.41,913114.0,1406966.401667
印刷,20240704,73.87,2.37,899193.0,1389285.385323
印刷,20240705,71.47,2.91,891764.0,1376922.819958
印刷,20240708,68.25,2.78,852644.0,1316118.848433
印刷,20240709,68.97,2.81,861434.0,1329663.266631
印刷,20240710,67.98,2.77,849360.0,1310365.845944
印刷,20240711,71.23,2.9,867036.0,1339109.360434
印刷,20240712,71.5,2.91,870381.0,1343380.194355
印刷,20240715,70.82,2.89,862090.0,1333500.607241
印刷,20240716,71.29,2.9,867791.0,1341730.85441
印刷,20240717,70.42,2.87,857219.0,1326352.248672
印刷,20240718,70.59,2.88,859319.0,1331704.54397
印刷,20240719,71.16,2.9,866252.0,1343038.955628
印刷,20240722,71.56,2.92,871124.0,1350109.066949
印刷,20240723,70.0,2.85,852130.0,1321348.243478
印刷,20240724,68.13,2.78,829280.0,1285740.81207
印刷,20240725,67.93,2.77,826893.0,1282300.987796
印刷,20240726,68.96,2.81,839494.0,1302072.696861
印刷,20240729,68.76,2.8,837020.0,1298134.924714
印刷,20240730,69.82,2.84,849904.0,1317247.497806
印刷,20240731,64.6,2.66,767832.0,1167608.647629
印刷,20240801,64.79,2.67,770138.0,1171214.784832
印刷,20240802,62.88,2.59,747366.0,1137252.969314
印刷,20240805,61.23,2.53,727833.0,1109534.706723
印刷,20240806,63.08,2.6,749749.0,1143366.363406
印刷,20240807,63.13,2.6,750421.0,1143961.391622
印刷,20240808,61.52,2.54,731268.0,1114738.600735
印刷,20240809,59.97,2.47,712873.0,1086970.444117
印刷,20240812,58.93,2.43,700410.0,1068217.766754
印刷,20240813,59.11,2.44,702571.0,1071310.556352
印刷,20240814,59.03,2.43,701613.0,1069870.925425
印刷,20240815,60.39,2.49,717872.0,1094727.501373
印刷,20240816,59.95,2.47,712623.0,1087417.386948
印刷,20240819,59.68,2.46,709376.0,1082773.279128
印刷,20240820,59.68,2.46,709344.0,1085800.80726
印刷,20240821,59.52,2.45,707457.0,1082748.416182
印刷,20240822,56.27,2.41,668815.0,1023019.979646
印刷,20240823,55.47,2.37,659312.0,1007530.376741
印刷,20240826,55.92,2.39,664717.0,1015085.18166
印刷,20240827,54.46,2.33,647390.0,989309.246028
印刷,20240828,54.84,2.34,651890.0,996323.268527
印刷,20240829,55.99,2.39,665564.0,1016814.785602
印刷,20240830,57.08,2.44,678424.0,1036964.655735
印刷,20240902,61.07,2.4,663057.0,1013808.288121
印刷,20240903,64.22,2.53,697285.0,1064366.394067
印刷,20240904,63.18,2.49,685963.0,1047173.11463
印刷,20240905,64.15,2.53,696483.0,1063171.453634
印刷,20240906,62.63,2.47,679984.0,1038235.236712
印刷,20240909,63.0,2.48,684074.0,1045011.492355
