name,trade_date,pe,pb,float_mv,total_mv
印刷包装机械,20240102,29.76,1.85,1422898.0,3273992.964953
印刷包装机械,20240103,29.54,1.84,1412351.0,3248650.978178
印刷包装机械,20240104,29.65,1.85,1416993.0,3265696.449635
印刷包装机械,20240105,28.98,1.81,1386027.0,3194706.795453
印刷包装机械,20240108,28.44,1.77,1360077.0,3137897.971507
印刷包装机械,20240109,29.84,1.86,1422921.0,3262643.237096
印刷包装机械,20240110,29.39,1.83,1401841.0,3222000.066869
印刷包装机械,20240111,29.67,1.85,1414906.0,3245597.069595
印刷包装机械,20240112,28.82,1.8,1376947.0,3167956.771319
印刷包装机械,20240115,28.89,1.8,1378369.0,3163640.161674
印刷包装机械,20240116,28.71,1.79,1368583.0,3138496.141155
印刷包装机械,20240117,27.87,1.74,1329769.0,3053634.215504
印刷包装机械,20240118,27.29,1.7,1301727.0,2988276.860109
印刷包装机械,20240119,27.2,1.7,1295662.0,2964012.370361
印刷包装机械,20240122,25.45,1.59,1212034.0,2768692.359179
印刷包装机械,20240123,25.0,1.56,1190656.0,2715456.006886
印刷包装机械,20240124,25.25,1.57,1202777.0,2745748.064642
印刷包装机械,20240125,26.34,1.64,1257182.0,2878214.146667
印刷包装机械,20240126,26.2,1.63,1250855.0,2868778.614604
印刷包装机械,20240129,25.06,1.56,1195949.0,2745599.541746
印刷包装机械,20240130,24.21,1.51,1155140.0,2650353.891428
印刷包装机械,20240131,22.73,1.42,1084282.0,2487348.968493
印刷包装机械,20240201,22.27,1.39,1062704.0,2431132.081933
印刷包装机械,20240202,21.94,1.37,1041148.0,2364641.552161
印刷包装机械,20240205,19.91,1.24,938392.0,2114669.592691
印刷包装机械,20240206,20.03,1.25,942706.0,2115997.409887
印刷包装机械,20240207,19.58,1.22,914794.0,2038931.852346
印刷包装机械,20240208,21.31,1.33,998172.0,2228542.559534
印刷包装机械,20240219,21.81,1.36,1030728.0,2293684.067433
印刷包装机械,20240220,22.1,1.38,1045119.0,2327497.938336
印刷包装机械,20240221,22.34,1.39,1058425.0,2364515.058126
印刷包装机械,20240222,23.12,1.44,1097633.0,2454070.272232
印刷包装机械,20240223,24.66,1.54,1169984.0,2608943.030795
印刷包装机械,20240226,26.3,1.64,1255482.0,2821856.178425
印刷包装机械,20240227,27.78,1.73,1336017.0,3014431.211488
印刷包装机械,20240228,27.18,1.7,1323573.0,2980925.625104
印刷包装机械,20240229,29.12,1.82,1404553.0,3124288.646534
印刷包装机械,20240301,30.59,1.91,1460753.0,3200108.228341
印刷包装机械,20240304,29.13,1.82,1393018.0,3069820.642874
印刷包装机械,20240305,29.42,1.84,1403650.0,3072380.565704
印刷包装机械,20240306,30.3,1.89,1447361.0,3174230.745171
印刷包装机械,20240307,31.89,1.99,1510517.0,3276237.183161
印刷包装机械,20240308,30.89,1.92,1455660.0,3211542.152131
印刷包装机械,20240311,30.32,1.88,1429850.0,3162108.705959
印刷包装机械,20240312,30.69,1.91,1450362.0,3213844.90348
