name,trade_date,pe,pb,float_mv,total_mv
原料药,20240102,31.42,2.17,16024083.0,35710411.165753
原料药,20240103,31.38,2.17,16004461.0,35637436.014902
原料药,20240104,31.26,2.16,15941835.0,35519515.334364
原料药,20240105,30.75,2.12,15670571.0,34964791.743857
原料药,20240108,30.08,2.08,15288483.0,34108034.006302
原料药,20240109,30.33,2.09,15402679.0,34371128.333262
原料药,20240110,30.04,2.07,15257252.0,34005719.55448
原料药,20240111,30.19,2.08,15378910.0,34273789.110232
原料药,20240112,29.94,2.07,15235844.0,33972095.001551
原料药,20240115,30.02,2.07,15255530.0,34010645.913752
原料药,20240116,29.86,2.06,15179412.0,33844345.116967
原料药,20240117,29.11,2.01,14773661.0,33008676.673259
原料药,20240118,28.87,1.99,14664335.0,32745242.044743
原料药,20240119,28.57,1.97,14503432.0,32402413.647534
原料药,20240122,27.07,1.87,13712047.0,30737593.456457
原料药,20240123,27.15,1.87,13752802.0,30845809.44303
原料药,20240124,27.41,1.89,13856241.0,31044534.387684
原料药,20240125,28.2,1.95,14270702.0,31790794.143654
原料药,20240126,27.94,1.93,14096110.0,31416686.428427
原料药,20240129,26.9,1.86,13601538.0,30145105.624176
原料药,20240130,26.12,1.8,13230179.0,29268926.3871
原料药,20240131,25.07,1.73,12673390.0,28018616.202324
原料药,20240201,24.78,1.71,12568135.0,27862868.247022
原料药,20240202,23.84,1.64,12052207.0,26684634.911053
原料药,20240205,22.59,1.56,11361885.0,25155213.108976
原料药,20240206,23.95,1.65,12118288.0,26998718.718779
原料药,20240207,24.25,1.67,12306464.0,27289265.827456
原料药,20240208,25.28,1.74,12825461.0,28444809.074185
原料药,20240219,25.76,1.78,13072550.0,29029615.183622
原料药,20240220,26.06,1.8,13282363.0,29524571.632312
原料药,20240221,26.16,1.8,13289360.0,29473670.759894
原料药,20240222,26.43,1.82,13434683.0,29812159.031734
原料药,20240223,26.67,1.84,13563747.0,30105631.85219
原料药,20240226,26.96,1.86,13702924.0,30468520.460449
原料药,20240227,27.55,1.9,14035112.0,31269428.456097
原料药,20240228,26.61,1.83,13591796.0,30183441.805735
原料药,20240229,27.37,1.89,13977122.0,31086979.319987
原料药,20240301,27.38,1.89,13962282.0,31082780.991885
原料药,20240304,27.7,1.91,14164589.0,31585378.121112
原料药,20240305,27.16,1.87,13861455.0,30885594.797786
原料药,20240306,26.99,1.86,13751720.0,30682340.321791
原料药,20240307,26.49,1.83,13461410.0,29979908.320924
原料药,20240308,27.08,1.84,13566874.0,30283326.981371
原料药,20240311,27.47,1.86,13818520.0,30821286.797078
原料药,20240312,27.92,1.89,14020265.0,31331145.009475
原料药,20240313,27.86,1.89,14011593.0,31363583.286231
原料药,20240314,27.95,1.89,14096740.0,31603487.443019
原料药,20240315,28.58,1.93,14282990.0,32130068.671782
原料药,20240318,28.79,1.94,14422933.0,32403323.117623
原料药,20240319,28.49,1.92,14298740.0,32093452.371081
原料药,20240320,28.63,1.93,14403528.0,32242656.106992
原料药,20240321,28.56,1.93,14344818.0,32118970.675749
原料药,20240322,27.92,1.88,13989916.0,31284385.409023
原料药,20240325,27.38,1.84,13850006.0,30537513.172602
原料药,20240326,27.15,1.83,13754654.0,30268447.438072
原料药,20240327,27.03,1.82,13628097.0,30018990.269152
原料药,20240328,27.21,1.83,13727675.0,30278907.320278
原料药,20240329,27.53,1.84,13719193.0,30197948.030323
原料药,20240401,28.34,1.89,14115219.0,31065208.968918
原料药,20240402,28.43,1.9,14147871.0,31035790.290496
原料药,20240403,28.4,1.89,14108160.0,30948847.941261
原料药,20240408,27.7,1.85,13741080.0,30140542.208863
原料药,20240409,28.14,1.88,14033598.0,30797006.41766
原料药,20240410,28.02,1.87,13968837.0,30527776.233967
原料药,20240411,28.14,1.87,14025924.0,30583431.044489
原料药,20240412,28.48,1.89,14123718.0,30744803.758892
原料药,20240415,27.88,1.85,13777098.0,30069382.635272
原料药,20240416,27.39,1.81,13400067.0,29253809.365531
原料药,20240417,28.19,1.86,13826187.0,30166400.488203
原料药,20240418,27.87,1.84,13672914.0,29876318.825501
原料药,20240419,27.38,1.85,13669315.0,29814434.741288
