name,trade_date,pe,pb,float_mv,total_mv
厨房小家电,20240102,22.17,2.85,2552194.0,9103600.827878
厨房小家电,20240103,22.13,2.85,2547033.0,9095233.823468
厨房小家电,20240104,22.26,2.86,2562410.0,9174830.309123
厨房小家电,20240105,22.46,2.89,2585070.0,9272968.366159
厨房小家电,20240108,22.39,2.88,2576569.0,9237183.416935
厨房小家电,20240109,22.62,2.9,2606248.0,9289066.492553
厨房小家电,20240110,22.8,2.93,2627363.0,9345150.666854
厨房小家电,20240111,22.54,2.89,2597492.0,9195176.195267
厨房小家电,20240112,22.3,2.86,2568908.0,9127247.843476
厨房小家电,20240115,22.32,2.86,2554678.0,9130935.625746
厨房小家电,20240116,22.35,2.86,2557507.0,9142106.886797
厨房小家电,20240117,22.0,2.82,2517205.0,9018797.870039
厨房小家电,20240118,21.67,2.77,2479597.0,8900588.564444
厨房小家电,20240119,21.6,2.77,2472202.0,8902119.6633
厨房小家电,20240122,20.57,2.63,2353439.0,8511381.150407
厨房小家电,20240123,20.58,2.64,2355624.0,8508444.516019
厨房小家电,20240124,20.93,2.68,2394989.0,8640686.022163
厨房小家电,20240125,21.35,2.73,2442900.0,8807038.102077
厨房小家电,20240126,21.21,2.72,2426962.0,8757042.988216
厨房小家电,20240129,20.83,2.67,2382833.0,8664515.067858
厨房小家电,20240130,20.19,2.59,2309849.0,8399955.629865
厨房小家电,20240131,19.7,2.52,2253414.0,8280553.241785
厨房小家电,20240201,19.43,2.49,2223023.0,8157956.120198
厨房小家电,20240202,18.99,2.43,2172272.0,8040734.261248
厨房小家电,20240205,18.52,2.37,2118746.0,8034510.453748
厨房小家电,20240206,19.41,2.49,2224492.0,8414778.229287
厨房小家电,20240207,20.08,2.57,2300907.0,8791710.612093
厨房小家电,20240208,20.68,2.65,2370335.0,8981986.842033
厨房小家电,20240219,20.38,2.61,2335539.0,8713887.517085
厨房小家电,20240220,20.36,2.61,2333646.0,8697123.82812
厨房小家电,20240221,20.35,2.62,2331603.0,8693648.631724
厨房小家电,20240222,20.51,2.64,2350266.0,8766293.610501
厨房小家电,20240223,20.57,2.65,2356799.0,8738777.932525
厨房小家电,20240226,21.22,2.73,2432124.0,8993493.704202
厨房小家电,20240227,21.46,2.76,2459666.0,9054224.30743
厨房小家电,20240228,20.6,2.65,2360979.0,8783372.470666
厨房小家电,20240229,21.37,2.75,2449365.0,9099979.053681
厨房小家电,20240301,21.38,2.75,2449746.0,9054340.740462
厨房小家电,20240304,21.5,2.77,2463310.0,9124942.724736
厨房小家电,20240305,21.45,2.76,2457599.0,9137884.659342
厨房小家电,20240306,21.57,2.78,2471523.0,9187502.263613
厨房小家电,20240307,21.45,2.76,2457780.0,9206607.150463
厨房小家电,20240308,21.62,2.78,2477950.0,9297229.421773
厨房小家电,20240311,21.75,2.8,2492859.0,9337536.913188
厨房小家电,20240312,22.21,2.86,2545387.0,9467603.512551
厨房小家电,20240313,22.17,2.85,2540767.0,9481576.07717
厨房小家电,20240314,22.41,2.88,2567925.0,9543748.513446
厨房小家电,20240315,22.48,2.89,2575652.0,9571395.674839
厨房小家电,20240318,22.34,2.88,2560583.0,9459511.883334
厨房小家电,20240319,22.23,2.86,2547594.0,9409156.806446
厨房小家电,20240320,22.25,2.86,2549614.0,9392316.840413
厨房小家电,20240321,21.86,2.81,2505364.0,9208158.123991
厨房小家电,20240322,21.76,2.8,2493717.0,9170006.581904
厨房小家电,20240325,21.64,2.79,2479586.0,9132364.010331
厨房小家电,20240326,21.79,2.8,2496838.0,9210164.90726
厨房小家电,20240327,21.67,2.79,2483497.0,9224441.981476
厨房小家电,20240328,22.1,2.85,2532764.0,9387513.446486
厨房小家电,20240329,22.15,2.85,2537200.0,9441774.301847
厨房小家电,20240401,22.61,2.89,2612812.0,9656828.387666
厨房小家电,20240402,22.52,2.88,2602488.0,9589109.775697
厨房小家电,20240403,22.42,2.86,2591026.0,9550344.02141
厨房小家电,20240408,22.12,2.82,2556171.0,9400027.926987
厨房小家电,20240409,22.23,2.81,2555746.0,9390328.005316
厨房小家电,20240410,21.92,2.77,2519387.0,9291697.325455
厨房小家电,20240411,21.8,2.76,2506519.0,9256946.801194
厨房小家电,20240412,22.72,2.88,2611701.0,9611463.523887
厨房小家电,20240415,22.58,2.86,2595816.0,9671054.459205
厨房小家电,20240416,22.35,2.83,2569495.0,9666016.799152
厨房小家电,20240417,22.91,2.9,2633026.0,9834134.311727
厨房小家电,20240418,23.2,2.92,2667444.0,9970258.959006
厨房小家电,20240419,23.0,2.9,2643376.0,9902013.741918
厨房小家电,20240422,22.82,2.87,2623252.0,9840850.372193
厨房小家电,20240423,22.53,2.83,2599896.0,9737470.840089
厨房小家电,20240424,22.64,2.84,2612588.0,9759563.630929
厨房小家电,20240425,22.54,2.8,2584096.0,9674357.530712
厨房小家电,20240426,22.31,2.75,2557821.0,9560685.107786
厨房小家电,20240429,21.54,2.81,2555035.0,9547007.647753
厨房小家电,20240430,21.75,2.84,2579368.0,9623845.808706
厨房小家电,20240506,22.22,2.93,2657757.0,9878175.507542
厨房小家电,20240507,21.97,2.89,2628236.0,9734506.222165
厨房小家电,20240508,21.96,2.89,2627247.0,9662945.082293
厨房小家电,20240509,22.57,2.97,2700059.0,9831855.535805
厨房小家电,20240510,22.37,2.95,2675347.0,9808979.004473
厨房小家电,20240513,22.76,2.98,2699306.0,10026079.711211
厨房小家电,20240514,22.63,2.97,2683170.0,9962854.057081
厨房小家电,20240515,22.89,3.0,2714907.0,10069327.550904
厨房小家电,20240516,22.47,2.95,2664473.0,9871008.787637
厨房小家电,20240517,22.31,2.93,2645942.0,9801590.394096
厨房小家电,20240520,22.1,2.9,2620645.0,9707860.940538
厨房小家电,20240521,22.16,2.91,2627386.0,9750269.751411
厨房小家电,20240522,21.67,2.89,2391647.0,9289373.884807
厨房小家电,20240523,21.45,2.86,2366888.0,9233424.130891
厨房小家电,20240524,21.15,2.82,2333698.0,9096396.91397
厨房小家电,20240527,21.47,2.86,2369852.0,9246118.555948
厨房小家电,20240528,20.74,2.76,2288752.0,8859594.87281
厨房小家电,20240529,20.62,2.75,2275244.0,8791381.61904
厨房小家电,20240530,20.57,2.74,2263483.0,8805056.174137
厨房小家电,20240531,20.38,2.71,2242782.0,8713148.219821
厨房小家电,20240603,20.22,2.69,2224750.0,8662325.91686
厨房小家电,20240604,20.35,2.71,2239090.0,8723092.542549
厨房小家电,20240605,19.99,2.66,2200324.0,8613026.250513
厨房小家电,20240606,19.69,2.62,2166979.0,8522997.693634
厨房小家电,20240607,19.6,2.61,2157396.0,8439000.689239
厨房小家电,20240611,19.62,2.61,2159239.0,8434280.173357
厨房小家电,20240612,19.71,2.62,2169228.0,8471475.156611
厨房小家电,20240613,19.56,2.61,2153005.0,8430201.798635
厨房小家电,20240614,19.81,2.64,2180448.0,8566420.683457
厨房小家电,20240617,19.52,2.6,2148185.0,8415400.311243
厨房小家电,20240618,19.48,2.59,2143218.0,8380807.104577
厨房小家电,20240619,19.11,2.55,2103027.0,8240772.44515
厨房小家电,20240620,20.45,2.5,1886672.0,8144856.786691
厨房小家电,20240621,18.7,2.49,2057551.0,8089727.786248
厨房小家电,20240624,18.39,2.45,2023785.0,7973500.486333
厨房小家电,20240625,18.56,2.47,2042414.0,8034580.853055
厨房小家电,20240626,18.83,2.51,2072252.0,8118228.993953
厨房小家电,20240627,18.53,2.47,2039289.0,7987312.621895
厨房小家电,20240628,18.46,2.46,2031382.0,7939553.542194
厨房小家电,20240701,18.59,2.48,2045671.0,7986087.514863
厨房小家电,20240702,18.15,2.42,1997848.0,7787067.417243
厨房小家电,20240703,17.9,2.38,1970237.0,7678545.235116
厨房小家电,20240704,17.68,2.36,1946014.0,7578799.71921
厨房小家电,20240705,17.69,2.36,1947250.0,7605360.093051
厨房小家电,20240708,17.31,2.31,1905361.0,7460834.591829
厨房小家电,20240709,17.44,2.33,1919558.0,7509545.995945
厨房小家电,20240710,17.46,2.33,1921837.0,7515376.911737
厨房小家电,20240711,17.93,2.39,1973680.0,7722139.051343
厨房小家电,20240712,17.87,2.38,1966227.0,7706326.080491
厨房小家电,20240715,17.76,2.37,1954233.0,7680633.165474
厨房小家电,20240716,17.65,2.35,1942639.0,7630568.110333
厨房小家电,20240717,17.62,2.35,1938818.0,7624270.788468
厨房小家电,20240718,17.82,2.38,1961001.0,7712114.317212
厨房小家电,20240719,17.79,2.37,1957818.0,7681791.713033
厨房小家电,20240722,17.8,2.37,1959134.0,7702302.106101
厨房小家电,20240723,17.23,2.3,1896112.0,7423850.669837
厨房小家电,20240724,17.03,2.27,1873672.0,7330603.665173
厨房小家电,20240725,17.43,2.33,1918511.0,7551550.309685
厨房小家电,20240726,18.15,2.42,1997033.0,7866557.671301
厨房小家电,20240729,17.93,2.39,1973421.0,7760986.108221
厨房小家电,20240730,17.84,2.38,1963119.0,7672196.252197
厨房小家电,20240731,18.69,2.6,1953343.0,7795260.867612
厨房小家电,20240801,18.47,2.57,1930481.0,7696687.424756
厨房小家电,20240802,18.34,2.55,1916749.0,7638739.66929
厨房小家电,20240805,18.04,2.51,1885387.0,7527411.773313
厨房小家电,20240806,18.25,2.54,1907724.0,7596404.815186
厨房小家电,20240807,18.18,2.53,1900115.0,7591966.458924
厨房小家电,20240808,18.36,2.56,1919121.0,7671236.873611
厨房小家电,20240809,18.03,2.51,1884352.0,7527841.694981
厨房小家电,20240812,17.98,2.51,1879135.0,7509584.402269
厨房小家电,20240813,17.93,2.5,1874006.0,7478591.653576
厨房小家电,20240814,17.88,2.5,1869174.0,7486987.120957
厨房小家电,20240815,17.96,2.51,1876535.0,7501209.03706
厨房小家电,20240816,17.98,2.52,1879106.0,7526106.665455
厨房小家电,20240819,18.07,2.53,1888500.0,7576040.823858
厨房小家电,20240820,18.01,2.52,1882409.0,7568961.752916
厨房小家电,20240821,17.92,2.51,1873250.0,7514898.462213
厨房小家电,20240822,18.1,2.54,1891337.0,7598723.033687
厨房小家电,20240823,18.36,2.57,1919193.0,7750616.274195
厨房小家电,20240826,18.12,2.54,1894054.0,7631578.210762
厨房小家电,20240827,17.95,2.52,1875815.0,7585937.338415
厨房小家电,20240828,17.89,2.52,1869703.0,7534700.266608
厨房小家电,20240829,17.86,2.53,1867051.0,7529960.806831
厨房小家电,20240830,17.78,2.63,1859465.0,7471618.798306
厨房小家电,20240902,18.32,2.59,1831429.0,7364824.080755
厨房小家电,20240903,18.54,2.62,1853332.0,7461731.660897
厨房小家电,20240904,18.54,2.62,1863716.0,7479763.980068
厨房小家电,20240905,18.77,2.65,1886324.0,7584252.406701
