name,trade_date,pe,pb,float_mv,total_mv
厨房电器,20240102,14.72,2.03,2017398.0,4556470.27377
厨房电器,20240103,14.81,2.05,2051392.0,4562141.178136
厨房电器,20240104,14.74,2.04,2041354.0,4539400.864433
厨房电器,20240105,14.76,2.05,2044694.0,4546011.743354
厨房电器,20240108,14.43,2.0,1998413.0,4440176.305972
厨房电器,20240109,14.6,2.02,2022422.0,4493421.589768
厨房电器,20240110,14.57,2.02,2019024.0,4485301.631712
厨房电器,20240111,14.73,2.04,2040854.0,4536331.395197
厨房电器,20240112,14.74,2.04,2042197.0,4536043.941326
厨房电器,20240115,14.67,2.03,2032266.0,4512233.986618
厨房电器,20240116,14.7,2.04,2036213.0,4525258.618075
厨房电器,20240117,14.52,2.01,2011254.0,4470013.967604
厨房电器,20240118,14.28,1.98,1978512.0,4393608.067892
厨房电器,20240119,14.12,1.96,1955840.0,4340364.571005
厨房电器,20240122,13.32,1.85,1845221.0,4092913.358458
厨房电器,20240123,13.19,1.83,1827192.0,4050636.727991
厨房电器,20240124,13.66,1.89,1892310.0,4192429.264555
厨房电器,20240125,14.08,1.95,1950265.0,4322038.696155
厨房电器,20240126,14.2,1.97,1966972.0,4357065.186097
厨房电器,20240129,14.18,1.97,1964697.0,4346856.74906
厨房电器,20240130,13.8,1.91,1911214.0,4222714.056185
厨房电器,20240131,13.58,1.88,1881967.0,4148018.625202
厨房电器,20240201,13.61,1.89,1885075.0,4146865.179381
厨房电器,20240202,13.31,1.84,1843584.0,4049129.410483
厨房电器,20240205,12.96,1.8,1795689.0,3940255.059908
厨房电器,20240206,13.45,1.86,1863275.0,4086369.750925
厨房电器,20240207,13.78,1.91,1908950.0,4193077.377636
厨房电器,20240208,14.01,1.94,1941450.0,4272155.401724
厨房电器,20240219,14.01,1.94,1940893.0,4266403.910905
厨房电器,20240220,14.18,1.97,1964548.0,4319873.925313
厨房电器,20240221,14.48,2.01,2005431.0,4410147.17093
厨房电器,20240222,14.5,2.01,2009122.0,4422464.88034
厨房电器,20240223,14.45,2.0,2001950.0,4412699.19636
厨房电器,20240226,14.89,2.06,2063096.0,4549554.701177
厨房电器,20240227,15.08,2.09,2089399.0,4607803.185257
厨房电器,20240228,14.71,2.04,2037250.0,4485062.31429
厨房电器,20240229,14.93,2.07,2068474.0,4555729.952338
厨房电器,20240301,14.94,2.07,2070179.0,4562019.748875
厨房电器,20240304,15.1,2.09,2092000.0,4604526.751428
厨房电器,20240305,14.8,2.05,2050493.0,4514775.092553
厨房电器,20240306,14.86,2.06,2059127.0,4530989.083043
厨房电器,20240307,14.75,2.04,2042674.0,4491738.683964
厨房电器,20240308,14.8,2.05,2049953.0,4511184.217265
厨房电器,20240311,14.81,2.05,2051787.0,4517453.25772
厨房电器,20240312,15.07,2.09,2086950.0,4595607.129378
厨房电器,20240313,15.14,2.1,2097125.0,4621084.094728
厨房电器,20240314,15.22,2.11,2107719.0,4634105.561154
厨房电器,20240315,15.25,2.11,2112809.0,4646336.270022
厨房电器,20240318,15.24,2.11,2110780.0,4644605.00854
厨房电器,20240319,15.11,2.09,2093066.0,4606532.678231
厨房电器,20240320,15.15,2.1,2099061.0,4619845.051607
厨房电器,20240321,14.91,2.07,2065561.0,4545598.799941
厨房电器,20240322,14.7,2.04,2035951.0,4475092.383027
厨房电器,20240325,14.64,2.03,2027464.0,4454469.612336
厨房电器,20240326,14.55,2.02,2015203.0,4426619.790744
厨房电器,20240327,14.42,2.0,1997753.0,4379282.503267
厨房电器,20240328,14.53,2.01,2012123.0,4414174.089836
厨房电器,20240329,14.63,2.03,2025969.0,4443652.031735
厨房电器,20240401,14.99,2.08,2076093.0,4565557.948315
厨房电器,20240402,14.92,2.07,2066306.0,4544961.732974
厨房电器,20240403,14.86,2.06,2058659.0,4525600.391464
厨房电器,20240408,14.46,2.0,2002831.0,4385553.833938
厨房电器,20240409,14.64,2.03,2027395.0,4443201.37234
厨房电器,20240410,14.35,1.99,1987804.0,4351404.824571
厨房电器,20240411,14.35,1.99,1987316.0,4350713.125861
厨房电器,20240412,14.94,2.07,2068871.0,4545142.826329
厨房电器,20240415,14.9,2.07,2063938.0,4525337.83087
厨房电器,20240416,15.24,2.11,2110865.0,4684507.732129
厨房电器,20240417,15.9,2.2,2202451.0,4891739.678605
厨房电器,20240418,15.99,2.22,2215419.0,4894641.599992
厨房电器,20240419,15.88,2.2,2211425.0,4882636.443326
厨房电器,20240422,15.76,2.14,2154872.0,4750524.171182
厨房电器,20240423,15.69,2.13,2140339.0,4715264.510786
厨房电器,20240424,15.58,2.08,2097365.0,4612545.422268
厨房电器,20240425,14.96,1.98,2028922.0,4468308.601844
厨房电器,20240426,13.7,2.01,2078143.0,4545927.15022
厨房电器,20240429,14.17,2.08,2149282.0,4700432.167237
厨房电器,20240430,14.27,2.1,2164091.0,4735539.014358
厨房电器,20240506,15.08,2.21,2278697.0,4960660.114029
厨房电器,20240507,14.95,2.19,2259140.0,4913340.123819
厨房电器,20240508,14.54,2.13,2197449.0,4776796.530705
厨房电器,20240509,14.84,2.17,2243364.0,4874716.891361
厨房电器,20240510,14.96,2.19,2260651.0,4908931.975802
厨房电器,20240513,15.31,2.24,2314763.0,5024205.638988
厨房电器,20240514,15.15,2.22,2290093.0,4972312.236794
厨房电器,20240515,15.78,2.31,2384918.0,5187281.16628
厨房电器,20240516,15.9,2.33,2403027.0,5247496.390335
厨房电器,20240517,16.22,2.38,2452391.0,5355031.51323
厨房电器,20240520,16.31,2.39,2465535.0,5350336.360857
厨房电器,20240521,16.28,2.39,2461593.0,5354233.336489
厨房电器,20240522,15.88,2.33,2400568.0,5224604.24865
厨房电器,20240523,15.61,2.29,2360324.0,5131819.340954
厨房电器,20240524,15.19,2.23,2296443.0,4981526.53603
厨房电器,20240527,15.46,2.26,2336946.0,5066389.758093
厨房电器,20240528,15.05,2.2,2274428.0,4909379.823989
厨房电器,20240529,14.78,2.16,2234221.0,4830694.438522
厨房电器,20240530,14.77,2.16,2233430.0,4826882.482022
厨房电器,20240531,14.54,2.13,2198272.0,4757376.528052
厨房电器,20240603,14.47,2.12,2187679.0,4729332.667851
厨房电器,20240604,14.8,2.17,2237937.0,4834531.777387
厨房电器,20240605,14.36,2.1,2170645.0,4699711.318108
厨房电器,20240606,14.16,2.07,2141009.0,4627115.346099
厨房电器,20240607,14.08,2.06,2128877.0,4602349.090003
厨房电器,20240611,14.2,2.08,2147180.0,4642155.129469
厨房电器,20240612,14.29,2.09,2159848.0,4672417.589232
厨房电器,20240613,14.06,2.06,2125121.0,4601542.406128
厨房电器,20240614,14.24,2.09,2152058.0,4659292.650527
厨房电器,20240617,13.93,2.04,2106410.0,4565374.70388
厨房电器,20240618,13.75,2.01,2079292.0,4506592.347566
厨房电器,20240619,13.56,1.99,2050086.0,4444814.81394
厨房电器,20240620,15.28,1.95,1613598.0,4361496.193653
厨房电器,20240621,13.29,1.95,2008719.0,4355286.295751
厨房电器,20240624,12.99,1.9,1963422.0,4257370.068579
厨房电器,20240625,13.26,1.94,2004703.0,4348725.76934
厨房电器,20240626,13.25,1.94,2003161.0,4365432.778986
厨房电器,20240627,12.99,1.9,1964160.0,4284373.901177
厨房电器,20240628,12.83,1.88,1940103.0,4232806.237321
厨房电器,20240701,13.13,1.92,1984447.0,4324083.063422
厨房电器,20240702,12.86,1.88,1944957.0,4244231.303758
厨房电器,20240703,12.79,1.87,1933177.0,4217059.26283
厨房电器,20240704,12.59,1.84,1903538.0,4150004.706323
厨房电器,20240705,12.7,1.86,1919897.0,4172340.592103
厨房电器,20240708,12.39,1.82,1873658.0,4073515.563564
厨房电器,20240709,12.48,1.83,1886740.0,4101149.876588
厨房电器,20240710,12.31,1.8,1861345.0,4046673.856751
厨房电器,20240711,12.56,1.84,1897326.0,4137356.250995
厨房电器,20240712,12.63,1.85,1907406.0,4156170.338691
厨房电器,20240715,12.32,1.8,1861152.0,4051917.341488
厨房电器,20240716,12.16,1.78,1836216.0,3994276.722854
厨房电器,20240717,12.15,1.78,1834534.0,3986685.445118
厨房电器,20240718,12.23,1.79,1847447.0,4012959.874061
厨房电器,20240719,12.22,1.79,1845772.0,4017058.545066
厨房电器,20240722,12.1,1.77,1828385.0,3980193.239174
厨房电器,20240723,11.83,1.73,1786634.0,3888688.719703
厨房电器,20240724,11.56,1.69,1746672.0,3798117.96697
厨房电器,20240725,11.56,1.69,1746769.0,3800531.936682
厨房电器,20240726,12.56,1.84,1897458.0,4132446.681058
厨房电器,20240729,12.26,1.8,1851918.0,4041058.728387
厨房电器,20240730,12.05,1.76,1820249.0,3969705.537987
厨房电器,20240731,12.73,1.86,1922775.0,4179319.935246
厨房电器,20240801,12.66,1.85,1911830.0,4154568.968383
厨房电器,20240802,12.43,1.82,1877923.0,4079471.254026
厨房电器,20240805,12.26,1.8,1851711.0,4022498.5996
厨房电器,20240806,12.44,1.82,1879086.0,4082569.025451
厨房电器,20240807,12.36,1.81,1867615.0,4055293.713798
厨房电器,20240808,12.42,1.82,1875399.0,4069252.076132
厨房电器,20240809,12.37,1.81,1868844.0,4050207.951613
厨房电器,20240812,12.23,1.79,1848013.0,4001861.438028
厨房电器,20240813,12.13,1.78,1831662.0,3967410.193004
厨房电器,20240814,11.94,1.75,1803842.0,3911063.985001
厨房电器,20240815,12.0,1.76,1812088.0,3928900.483716
厨房电器,20240816,11.82,1.73,1785317.0,3872415.870313
厨房电器,20240819,11.9,1.74,1796780.0,3894072.418318
厨房电器,20240820,11.62,1.7,1754989.0,3805990.17358
厨房电器,20240821,11.53,1.69,1742326.0,3780058.404986
厨房电器,20240822,11.28,1.65,1703409.0,3696641.948563
厨房电器,20240823,11.42,1.67,1724745.0,3735878.873763
厨房电器,20240826,11.49,1.68,1735421.0,3759748.573746
厨房电器,20240827,11.01,1.62,1663199.0,3610722.260963
厨房电器,20240828,10.9,1.6,1646324.0,3577700.318471
厨房电器,20240829,10.97,1.63,1657046.0,3592420.916407
厨房电器,20240830,11.22,1.71,1695138.0,3663260.477989
厨房电器,20240902,12.07,1.67,1650416.0,3568404.378146
厨房电器,20240903,12.34,1.71,1688526.0,3644670.485467
厨房电器,20240904,12.33,1.7,1686322.0,3640950.616548
厨房电器,20240905,12.22,1.69,1673246.0,3608732.075938
厨房电器,20240906,12.07,1.67,1651635.0,3561764.267462
厨房电器,20240909,11.96,1.65,1637413.0,3527309.082411
厨房电器,20240910,12.06,1.67,1650456.0,3554642.594183
厨房电器,20240911,12.08,1.67,1653970.0,3563125.4875
厨房电器,20240912,11.97,1.65,1638796.0,3529792.516981
厨房电器,20240913,11.89,1.64,1626872.0,3504478.203963
厨房电器,20240918,12.03,1.66,1647043.0,3539280.870263
厨房电器,20240919,12.37,1.71,1693735.0,3640100.00524
厨房电器,20240920,12.48,1.73,1708796.0,3668365.538717
厨房电器,20240923,12.47,1.72,1707186.0,3662058.895999
厨房电器,20240924,12.99,1.8,1777794.0,3814766.894816
厨房电器,20240925,13.07,1.81,1788380.0,3835399.524518
厨房电器,20240926,13.85,1.91,1895131.0,4062790.601291
厨房电器,20240927,14.25,1.97,1950910.0,4189465.390339
厨房电器,20240930,15.55,2.15,2128322.0,4580327.210201
厨房电器,20241008,15.91,2.2,2177297.0,4712611.068186
厨房电器,20241009,14.28,1.97,1953954.0,4211262.656857
厨房电器,20241010,14.53,2.01,1988865.0,4288187.637352
厨房电器,20241011,14.25,1.97,1950774.0,4205530.890162
厨房电器,20241014,14.77,2.04,2021291.0,4349454.791315
厨房电器,20241015,14.61,2.02,1999968.0,4303645.679948
厨房电器,20241016,14.68,2.03,2009379.0,4319106.066437
厨房电器,20241017,14.57,2.01,1994673.0,4285180.263926
厨房电器,20241018,14.91,2.06,2040543.0,4382902.256886
厨房电器,20241021,14.87,2.06,2035715.0,4382270.902681
厨房电器,20241022,15.35,2.12,2101397.0,4511996.133956
厨房电器,20241023,15.23,2.11,2085092.0,4470521.705484
厨房电器,20241024,15.11,2.09,2067774.0,4435170.976947
厨房电器,20241025,15.31,2.12,2094903.0,4491142.553495
厨房电器,20241028,15.75,2.18,2156654.0,4615884.663263
厨房电器,20241029,15.72,2.18,2152252.0,4589460.059912
厨房电器,20241030,15.47,2.14,2117222.0,4513873.606847
厨房电器,20241031,15.42,2.14,2111153.0,4509668.685789
厨房电器,20241101,17.28,2.09,2075624.0,4426518.794109
厨房电器,20241104,17.36,2.1,2085512.0,4455786.131561
厨房电器,20241105,17.55,2.12,2108739.0,4504646.38358
厨房电器,20241106,17.44,2.11,2095210.0,4485333.922137
厨房电器,20241107,18.16,2.19,2180940.0,4661112.433158
厨房电器,20241108,18.2,2.2,2186153.0,4671713.743647
厨房电器,20241111,17.93,2.17,2154337.0,4611874.964962
厨房电器,20241112,18.08,2.18,2171688.0,4647919.790917
厨房电器,20241113,17.95,2.17,2155877.0,4620197.367423
厨房电器,20241114,17.75,2.14,2132026.0,4565511.331461
厨房电器,20241115,17.35,2.09,2084653.0,4467260.827405
厨房电器,20241118,17.13,2.07,2057301.0,4406521.528246
厨房电器,20241119,17.26,2.08,2073405.0,4445808.920971
厨房电器,20241120,17.3,2.09,2077692.0,4462735.861765
厨房电器,20241121,17.29,2.09,2076877.0,4466500.623581
厨房电器,20241122,16.75,2.02,2012359.0,4325512.598824
厨房电器,20241125,16.87,2.04,2026176.0,4362384.591452
厨房电器,20241126,16.81,2.03,2019006.0,4340163.655476
厨房电器,20241127,17.75,2.14,2132260.0,4598239.848224
厨房电器,20241128,17.61,2.13,2114946.0,4561438.286717
厨房电器,20241129,17.99,2.17,2160866.0,4660187.65914
厨房电器,20241202,18.01,2.17,2163232.0,4662993.229804
厨房电器,20241203,17.77,2.15,2135214.0,4605785.031612
厨房电器,20241204,17.62,2.13,2116965.0,4572670.523619
厨房电器,20241205,17.72,2.14,2128614.0,4613402.113973
厨房电器,20241206,17.92,2.16,2153098.0,4657416.839048
厨房电器,20241209,17.84,2.15,2143341.0,4645305.695019
厨房电器,20241210,18.35,2.22,2204635.0,4786946.229122
厨房电器,20241211,18.61,2.25,2235912.0,4858544.678095
厨房电器,20241212,19.21,2.32,2307174.0,5022037.07297
厨房电器,20241213,18.62,2.25,2236227.0,4888155.487579
厨房电器,20241216,18.29,2.21,2196911.0,4788622.420303
厨房电器,20241217,17.82,2.15,2141055.0,4651474.266624
厨房电器,20241218,17.71,2.14,2127301.0,4611383.772483
厨房电器,20241219,17.56,2.12,2109538.0,4571156.810054
厨房电器,20241220,17.35,2.09,2083763.0,4523991.492217
厨房电器,20241223,17.02,2.05,2043976.0,4425278.534868
厨房电器,20241224,17.17,2.07,2062812.0,4461574.248817
厨房电器,20241225,16.89,2.04,2029354.0,4385207.521369
厨房电器,20241226,16.87,2.04,2026604.0,4381557.716596
厨房电器,20241227,16.89,2.04,2028815.0,4384875.981444
厨房电器,20241230,16.75,2.02,2011792.0,4345338.337171
厨房电器,20241231,16.5,1.99,1981769.0,4274837.643818
厨房电器,20250102,16.48,1.99,1979704.0,4269672.796977
厨房电器,20250103,16.13,1.95,1937852.0,4178268.786885
厨房电器,20250106,16.12,1.95,1936010.0,4169165.656851
厨房电器,20250107,16.45,1.99,1975800.0,4261436.808305
厨房电器,20250108,16.61,2.01,1995532.0,4298668.724836
厨房电器,20250109,16.36,1.98,1965554.0,4236369.2718
厨房电器,20250110,15.74,1.9,1890809.0,4073436.541828
厨房电器,20250113,15.76,1.9,1892996.0,4083444.816262
厨房电器,20250114,16.13,1.95,1937093.0,4181940.257712
厨房电器,20250115,15.87,1.92,1906747.0,4117291.545603
厨房电器,20250116,16.92,2.04,2032797.0,4401998.339267
厨房电器,20250117,16.67,2.01,2002788.0,4346457.506379
厨房电器,20250120,16.7,2.02,2005529.0,4343087.573016
厨房电器,20250121,16.53,2.0,1985431.0,4308524.442407
厨房电器,20250122,16.16,1.95,1940834.0,4211013.526663
厨房电器,20250123,16.14,1.95,1938805.0,4209384.353853
厨房电器,20250124,16.24,1.96,1950555.0,4230952.911176
厨房电器,20250127,16.19,1.95,1945057.0,4213176.844372
厨房电器,20250205,16.11,1.94,1935020.0,4201125.082543
厨房电器,20250206,16.27,1.96,1954808.0,4243884.968648
厨房电器,20250207,16.43,1.98,1974183.0,4288512.455134
厨房电器,20250210,16.69,2.02,2005192.0,4361694.0
厨房电器,20250211,16.64,2.01,1999126.0,4345790.0
厨房电器,20250212,16.8,2.03,2017627.0,4393894.0
厨房电器,20250213,17.0,2.05,2041675.0,4449877.0
厨房电器,20250214,16.98,2.05,2039519.0,4445690.0
