name,trade_date,pe,pb,float_mv,total_mv
商业物业经营,20240102,16.04,1.13,5971101.0,15898541.212013
商业物业经营,20240103,16.05,1.13,5975401.0,15907703.673016
商业物业经营,20240104,15.95,1.13,5939372.0,15810463.926433
商业物业经营,20240105,15.8,1.11,5880442.0,15655109.090203
商业物业经营,20240108,15.45,1.09,5751182.0,15314495.283025
商业物业经营,20240109,15.63,1.1,5817412.0,15509275.524208
商业物业经营,20240110,15.75,1.11,5862822.0,15621633.431691
商业物业经营,20240111,15.93,1.12,5930088.0,15797228.240179
商业物业经营,20240112,15.89,1.12,5915494.0,15769787.119667
商业物业经营,20240115,16.17,1.14,6019322.0,16017355.317515
商业物业经营,20240116,16.01,1.13,5889037.0,15934052.721626
商业物业经营,20240117,15.65,1.1,5755894.0,15591182.493498
商业物业经营,20240118,15.44,1.09,5679034.0,15374064.757601
商业物业经营,20240119,15.49,1.09,5697978.0,15473765.160409
商业物业经营,20240122,14.7,1.03,5408703.0,14724758.228127
商业物业经营,20240123,14.7,1.03,5407657.0,14771603.48741
商业物业经营,20240124,15.12,1.06,5562704.0,15210584.706721
商业物业经营,20240125,15.76,1.11,5799034.0,15848805.921052
商业物业经营,20240126,15.72,1.1,5781952.0,15797403.082764
商业物业经营,20240129,15.51,1.09,5703836.0,15592831.010327
商业物业经营,20240130,15.13,1.06,5564844.0,15202008.805908
商业物业经营,20240131,14.76,1.04,5431270.0,14819905.563174
商业物业经营,20240201,14.64,1.03,5385915.0,14715540.521976
商业物业经营,20240202,14.12,0.99,5194958.0,14237774.353538
商业物业经营,20240205,13.54,0.95,4981933.0,13688977.274018
商业物业经营,20240206,14.2,1.0,5221938.0,14373337.829537
商业物业经营,20240207,14.58,1.02,5363282.0,14862670.691336
商业物业经营,20240208,14.96,1.05,5504437.0,15232861.841612
商业物业经营,20240219,14.9,1.05,5482230.0,15116758.589747
商业物业经营,20240220,14.98,1.05,5509988.0,15159341.132609
商业物业经营,20240221,15.12,1.06,5563447.0,15287621.58713
商业物业经营,20240222,15.18,1.07,5583180.0,15335520.376187
商业物业经营,20240223,15.32,1.08,5634306.0,15441910.866705
商业物业经营,20240226,15.26,1.07,5612379.0,15370080.448526
商业物业经营,20240227,15.52,1.09,5707909.0,15646315.371668
商业物业经营,20240228,15.03,1.06,5528534.0,15196725.222118
商业物业经营,20240229,15.44,1.08,5678072.0,15606099.033896
商业物业经营,20240301,15.62,1.1,5745503.0,15779988.252588
商业物业经营,20240304,15.6,1.1,5739960.0,15747654.756655
商业物业经营,20240305,15.37,1.08,5669202.0,15566360.329461
商业物业经营,20240306,15.47,1.09,5704688.0,15640746.14363
商业物业经营,20240307,15.35,1.08,5661107.0,15528939.102242
商业物业经营,20240308,15.45,1.09,5697563.0,15624289.000136
商业物业经营,20240311,15.71,1.11,5836481.0,16017607.35837
商业物业经营,20240312,15.82,1.12,5876982.0,16124098.099784
商业物业经营,20240313,15.72,1.12,5839156.0,16025778.210767
商业物业经营,20240314,15.68,1.11,5824794.0,15989284.271977
商业物业经营,20240315,15.92,1.13,5916027.0,16235572.130422
商业物业经营,20240318,16.1,1.14,5981631.0,16401449.797832
商业物业经营,20240319,15.9,1.13,5908355.0,16203108.249116
商业物业经营,20240320,15.99,1.13,5939827.0,16279093.826155
商业物业经营,20240321,16.03,1.14,5956385.0,16316539.084902
商业物业经营,20240322,21.1,1.12,5861344.0,16026609.982366
商业物业经营,20240325,20.57,1.09,5713641.0,15640808.125263
商业物业经营,20240326,20.66,1.1,5739203.0,15701485.428346
商业物业经营,20240327,20.26,1.07,5628005.0,15412063.240527
商业物业经营,20240328,20.47,1.09,5686165.0,15554671.156372
商业物业经营,20240329,20.65,1.11,5718838.0,15650109.512716
商业物业经营,20240401,21.1,1.13,5837827.0,15972654.628952
商业物业经营,20240402,21.2,1.13,5864616.0,16032568.689173
商业物业经营,20240403,21.33,1.14,5889821.0,16123211.205142
商业物业经营,20240408,20.96,1.12,5788888.0,15842219.436266
商业物业经营,20240409,21.18,1.13,5848384.0,16005620.645288
商业物业经营,20240410,20.94,1.12,5782125.0,15845190.359366
商业物业经营,20240411,23.71,1.12,5787286.0,15858215.491612
商业物业经营,20240412,23.62,1.11,5764785.0,15800174.429044
商业物业经营,20240415,23.33,1.1,5693106.0,15639272.365973
商业物业经营,20240416,22.43,1.06,5473021.0,15067082.676325
商业物业经营,20240417,20.14,1.07,5593326.0,15423127.489706
商业物业经营,20240418,19.89,1.07,5584996.0,15415841.759542
商业物业经营,20240419,19.7,1.06,5531907.0,15281062.304648
商业物业经营,20240422,19.4,1.04,5447417.0,15045544.867487
商业物业经营,20240423,19.12,1.03,5388677.0,14885320.90418
商业物业经营,20240424,19.18,1.04,5406568.0,14913012.080321
商业物业经营,20240425,19.35,1.05,5454089.0,15036904.416528
商业物业经营,20240426,19.65,1.06,5563281.0,15317794.188682
商业物业经营,20240429,20.23,1.1,5755063.0,15818925.406102
商业物业经营,20240430,20.2,1.09,5745709.0,15774740.553957
商业物业经营,20240506,22.54,1.1,5787356.0,15892582.499573
商业物业经营,20240507,22.57,1.1,5795112.0,15916120.576928
商业物业经营,20240508,21.96,1.07,5637165.0,15494669.223322
商业物业经营,20240509,22.43,1.1,5757286.0,15807466.202895
商业物业经营,20240510,22.53,1.1,5784093.0,15868692.403033
商业物业经营,20240513,22.22,1.09,5704749.0,15670365.381718
商业物业经营,20240514,22.19,1.08,5696356.0,15627558.976429
商业物业经营,20240515,22.24,1.09,5709106.0,15660584.013677
商业物业经营,20240516,22.43,1.1,5757933.0,15772840.492732
商业物业经营,20240517,22.88,1.12,5872997.0,16088548.298114
商业物业经营,20240520,22.58,1.1,5795647.0,15882361.109055
商业物业经营,20240521,22.5,1.1,5774783.0,15828227.575732
商业物业经营,20240522,22.65,1.11,5815070.0,15901531.600032
商业物业经营,20240523,22.19,1.08,5697506.0,15547225.65034
商业物业经营,20240524,21.96,1.07,5637046.0,15384531.782047
商业物业经营,20240527,22.03,1.08,5656055.0,15434881.620729
商业物业经营,20240528,21.51,1.05,5520978.0,15076506.634488
商业物业经营,20240529,21.43,1.05,5502092.0,15033803.771144
商业物业经营,20240530,21.38,1.04,5487774.0,15005066.998542
商业物业经营,20240531,21.24,1.04,5453653.0,14926143.001852
商业物业经营,20240603,21.2,1.04,5443030.0,14892495.636541
商业物业经营,20240604,21.39,1.04,5489833.0,15029312.548909
商业物业经营,20240605,21.04,1.03,5400920.0,14778160.753715
商业物业经营,20240606,20.49,1.0,5261110.0,14429339.520452
商业物业经营,20240607,21.03,1.03,5398375.0,14802451.327783
商业物业经营,20240611,21.0,1.03,5391146.0,14773705.260178
商业物业经营,20240612,21.06,1.03,5407180.0,14796910.77511
商业物业经营,20240613,20.66,1.01,5302722.0,14498435.852476
