name,trade_date,pe,pb,float_mv,total_mv
国际工程,20240102,11.76,1.21,2071943.0,5485264.607253
国际工程,20240103,11.89,1.23,2094170.0,5542874.0646
国际工程,20240104,12.01,1.24,2116410.0,5597373.033585
国际工程,20240105,11.95,1.23,2104544.0,5564968.368843
国际工程,20240108,11.72,1.21,2065245.0,5457555.149707
国际工程,20240109,11.73,1.21,2066792.0,5462930.836141
国际工程,20240110,11.72,1.21,2064770.0,5453437.988756
国际工程,20240111,11.69,1.21,2060033.0,5441758.911869
国际工程,20240112,11.73,1.21,2066437.0,5458134.889517
国际工程,20240115,11.91,1.23,2098662.0,5543903.924699
国际工程,20240116,11.83,1.22,2084998.0,5503785.260644
国际工程,20240117,11.66,1.2,2053531.0,5419738.401766
国际工程,20240118,11.64,1.2,2051146.0,5411055.121561
国际工程,20240119,11.44,1.18,2016318.0,5318182.497216
国际工程,20240122,11.02,1.14,1941796.0,5117980.135715
国际工程,20240123,11.18,1.15,1969663.0,5194007.992867
国际工程,20240124,11.87,1.23,2091637.0,5511625.660236
国际工程,20240125,12.92,1.33,2276970.0,6002582.836152
国际工程,20240126,12.89,1.33,2270950.0,5992230.134327
国际工程,20240129,13.15,1.36,2316067.0,6111020.503478
国际工程,20240130,12.97,1.34,2285409.0,6028734.046353
国际工程,20240131,13.05,1.35,2299008.0,6059200.711785
国际工程,20240201,12.47,1.29,2196633.0,5798301.485964
国际工程,20240202,12.1,1.25,2132622.0,5620612.784086
国际工程,20240205,11.49,1.19,2024500.0,5324066.373016
国际工程,20240206,11.85,1.22,2087728.0,5487201.366447
国际工程,20240207,12.48,1.29,2198632.0,5780969.012055
国际工程,20240208,12.52,1.29,2204865.0,5801202.39321
国际工程,20240219,12.59,1.3,2217910.0,5838784.004232
国际工程,20240220,12.81,1.32,2256423.0,5937031.50731
国际工程,20240221,12.87,1.33,2266530.0,5966892.852151
国际工程,20240222,12.92,1.33,2276603.0,5995796.205916
国际工程,20240223,12.91,1.33,2274885.0,5993837.905552
国际工程,20240226,12.66,1.31,2230731.0,5880470.652637
国际工程,20240227,12.83,1.32,2261052.0,5961152.705533
国际工程,20240228,12.68,1.31,2233133.0,5884299.85053
国际工程,20240229,12.96,1.34,2283612.0,6020280.746907
国际工程,20240301,13.01,1.34,2292312.0,6042057.835444
国际工程,20240304,12.97,1.34,2284161.0,6020386.305689
国际工程,20240305,13.25,1.37,2333684.0,6146948.542583
国际工程,20240306,13.18,1.36,2321764.0,6117445.085114
国际工程,20240307,13.08,1.35,2304039.0,6073782.255447
国际工程,20240308,13.2,1.36,2326164.0,6129429.972115
国际工程,20240311,13.05,1.35,2298517.0,6059150.575226
国际工程,20240312,12.86,1.33,2265932.0,5975802.038871
国际工程,20240313,12.72,1.31,2240910.0,5910626.391521
国际工程,20240314,12.77,1.32,2249300.0,5933128.020238
国际工程,20240315,12.8,1.32,2254802.0,5950699.509507
国际工程,20240318,13.15,1.36,2317218.0,6115248.537614
国际工程,20240319,12.86,1.33,2265913.0,5979117.586367
国际工程,20240320,12.83,1.32,2260731.0,5965791.027679
国际工程,20240321,12.73,1.31,2242868.0,5918585.261821
国际工程,20240322,12.43,1.28,2190096.0,5780232.5664
国际工程,20240325,12.44,1.28,2190903.0,5778045.228097
国际工程,20240326,12.47,1.29,2196274.0,5791804.443052
国际工程,20240327,11.7,1.26,2193374.0,5775247.643761
国际工程,20240328,11.89,1.28,2228945.0,5869389.334524
国际工程,20240329,11.88,1.28,2225871.0,5862445.551735
国际工程,20240401,12.16,1.32,2316437.0,6104728.86257
国际工程,20240402,12.17,1.33,2318933.0,6112236.069817
国际工程,20240403,12.13,1.32,2309718.0,6088238.640981
国际工程,20240408,12.03,1.31,2293846.0,6041828.632639
国际工程,20240409,11.99,1.31,2286060.0,6020653.935144
国际工程,20240410,11.92,1.3,2273642.0,5985045.596544
国际工程,20240411,12.13,1.32,2304158.0,6088611.343435
国际工程,20240412,11.93,1.3,2266539.0,5987921.307762
国际工程,20240415,12.71,1.38,2415313.0,6378841.136302
国际工程,20240416,12.69,1.38,2411915.0,6373770.061421
国际工程,20240417,13.31,1.45,2529469.0,6688638.465313
国际工程,20240418,13.27,1.45,2521415.0,6666751.583799
国际工程,20240419,13.36,1.46,2539200.0,6711554.550029
国际工程,20240422,13.11,1.43,2490546.0,6579653.241823
国际工程,20240423,12.77,1.39,2427046.0,6412882.976181
国际工程,20240424,12.85,1.4,2440776.0,6451105.876775
国际工程,20240425,12.73,1.38,2418702.0,6391029.861406
国际工程,20240426,12.93,1.4,2456390.0,6490807.547322
国际工程,20240429,12.92,1.38,2454454.0,6488901.62341
国际工程,20240430,12.68,1.33,2440651.0,6446759.817888
国际工程,20240506,12.61,1.34,2469762.0,6529549.303648
国际工程,20240507,12.8,1.36,2507156.0,6628685.145428
国际工程,20240508,12.61,1.34,2470613.0,6533275.711136
国际工程,20240509,12.79,1.36,2505235.0,6623965.222678
国际工程,20240510,12.81,1.36,2509711.0,6631043.943446
国际工程,20240513,13.17,1.4,2579413.0,6811156.356693
国际工程,20240514,13.13,1.4,2572704.0,6793098.090916
国际工程,20240515,12.85,1.37,2517518.0,6646655.4945
国际工程,20240516,12.86,1.37,2519481.0,6652918.442379
国际工程,20240517,12.95,1.38,2537161.0,6699812.05457
国际工程,20240520,12.78,1.36,2503912.0,6612864.410787
国际工程,20240521,12.74,1.36,2494832.0,6584581.843691
国际工程,20240522,12.6,1.34,2468157.0,6517720.04115
国际工程,20240523,12.38,1.32,2424147.0,6397461.466192
国际工程,20240524,12.3,1.31,2410121.0,6359564.922434
国际工程,20240527,12.48,1.33,2443617.0,6449008.868806
国际工程,20240528,12.23,1.3,2394916.0,6322538.429659
国际工程,20240529,12.31,1.31,2411303.0,6364742.183694
国际工程,20240530,12.33,1.31,2415850.0,6373490.51634
国际工程,20240531,12.29,1.31,2407913.0,6353545.863327
国际工程,20240603,12.18,1.3,2385659.0,6293035.49857
国际工程,20240604,12.55,1.34,2457233.0,6480236.261007
国际工程,20240605,12.1,1.32,2370618.0,6257910.764966
国际工程,20240606,11.9,1.31,2329873.0,6147805.137545
国际工程,20240607,11.95,1.31,2340839.0,6178464.743764
国际工程,20240611,11.78,1.3,2306743.0,6091782.082626
国际工程,20240612,11.91,1.31,2333371.0,6161643.039632
国际工程,20240613,11.84,1.3,2318783.0,6120628.454443
国际工程,20240614,11.9,1.31,2330365.0,6150497.880528
国际工程,20240617,11.67,1.28,2285461.0,6032348.27502
国际工程,20240618,11.8,1.3,2311699.0,6105429.992046
国际工程,20240619,11.63,1.28,2277467.0,6014052.406261
国际工程,20240620,27.93,1.26,992223.0,5921868.94468
国际工程,20240621,11.54,1.27,2260754.0,5963572.294354
国际工程,20240624,11.31,1.24,2215198.0,5841229.604084
国际工程,20240625,11.29,1.24,2211216.0,5831488.712093
