name,trade_date,pe,pb,float_mv,total_mv
地面兵装Ⅱ,20240102,58.34,2.46,4991364.0,10392613.651565
地面兵装Ⅱ,20240103,58.22,2.45,4977442.0,10364536.040824
地面兵装Ⅱ,20240104,57.32,2.41,4903575.0,10230130.508826
地面兵装Ⅱ,20240105,55.13,2.32,4719119.0,9878932.915591
地面兵装Ⅱ,20240108,52.93,2.23,4531142.0,9492218.489895
地面兵装Ⅱ,20240109,53.33,2.25,4561035.0,9531321.864936
地面兵装Ⅱ,20240110,52.87,2.23,4517522.0,9433933.791737
地面兵装Ⅱ,20240111,53.95,2.27,4612446.0,9639185.095249
地面兵装Ⅱ,20240112,54.23,2.28,4638166.0,9702359.545735
地面兵装Ⅱ,20240115,52.69,2.22,4501084.0,9405547.124106
地面兵装Ⅱ,20240116,51.97,2.19,4440111.0,9279167.321287
地面兵装Ⅱ,20240117,50.57,2.13,4317329.0,9019150.678124
地面兵装Ⅱ,20240118,49.72,2.09,4250520.0,8886410.571862
地面兵装Ⅱ,20240119,49.05,2.07,4186175.0,8744330.466599
地面兵装Ⅱ,20240122,45.99,1.94,3926493.0,8203669.097243
地面兵装Ⅱ,20240123,46.38,1.95,3959585.0,8267391.60417
地面兵装Ⅱ,20240124,47.28,1.99,4034740.0,8428864.681725
地面兵装Ⅱ,20240125,49.67,2.09,4233757.0,8842209.18372
地面兵装Ⅱ,20240126,49.65,2.09,4227454.0,8825831.004655
地面兵装Ⅱ,20240129,48.63,2.05,4142485.0,8656221.527994
地面兵装Ⅱ,20240130,47.42,2.0,4035799.0,8424846.685113
地面兵装Ⅱ,20240131,44.95,1.89,3822947.0,7986070.560676
地面兵装Ⅱ,20240201,44.23,1.86,3765997.0,7875875.27511
地面兵装Ⅱ,20240202,42.0,1.77,3573738.0,7468622.048402
地面兵装Ⅱ,20240205,38.7,1.63,3289887.0,6867287.026881
地面兵装Ⅱ,20240206,41.19,1.73,3499970.0,7297187.063057
地面兵装Ⅱ,20240207,43.26,1.82,3666213.0,7614198.034178
地面兵装Ⅱ,20240208,45.56,1.92,3864561.0,8041780.597019
地面兵装Ⅱ,20240219,45.71,1.92,3879536.0,8074546.761502
地面兵装Ⅱ,20240220,45.89,1.93,3895552.0,8102162.414867
地面兵装Ⅱ,20240221,46.07,1.94,3912755.0,8139020.066815
地面兵装Ⅱ,20240222,46.8,1.97,3974634.0,8272830.749461
地面兵装Ⅱ,20240223,47.97,2.02,4078315.0,8485666.218209
地面兵装Ⅱ,20240226,48.53,2.04,4130003.0,8610251.712484
地面兵装Ⅱ,20240227,49.76,2.1,4237447.0,8835419.645005
地面兵装Ⅱ,20240228,47.24,1.99,4020910.0,8388803.866928
地面兵装Ⅱ,20240229,48.9,2.06,4161180.0,8674561.366244
地面兵装Ⅱ,20240301,49.74,2.09,4235469.0,8825754.927642
地面兵装Ⅱ,20240304,49.6,2.09,4225404.0,8803697.180947
地面兵装Ⅱ,20240305,50.04,2.11,4260516.0,8876912.280153
地面兵装Ⅱ,20240306,49.94,2.1,4249777.0,8848992.06942
地面兵装Ⅱ,20240307,49.26,2.07,4189644.0,8722314.064129
地面兵装Ⅱ,20240308,49.48,2.08,4210504.0,8771389.771901
地面兵装Ⅱ,20240311,49.92,2.1,4246894.0,8844146.835018
地面兵装Ⅱ,20240312,50.52,2.13,4302881.0,8966925.054302
地面兵装Ⅱ,20240313,50.74,2.14,4327982.0,9030551.254104
地面兵装Ⅱ,20240314,49.84,2.1,4241892.0,8853798.38165
地面兵装Ⅱ,20240315,50.43,2.12,4293915.0,8961326.912102
地面兵装Ⅱ,20240318,51.08,2.15,4348321.0,9075734.935086
地面兵装Ⅱ,20240319,50.77,2.14,4326899.0,9042586.037811
