name,trade_date,pe,pb,float_mv,total_mv
城商行Ⅱ,20240102,4.23,0.44,39549391.0,78119250.260532
城商行Ⅱ,20240103,4.23,0.44,39600031.0,78224463.955389
城商行Ⅱ,20240104,4.22,0.44,39478890.0,77960898.8199
城商行Ⅱ,20240105,4.29,0.45,40162034.0,79286064.189269
城商行Ⅱ,20240108,4.25,0.44,39740657.0,78384225.190181
城商行Ⅱ,20240109,4.3,0.45,40170916.0,79237089.278136
城商行Ⅱ,20240110,4.29,0.45,40120803.0,79138260.020387
城商行Ⅱ,20240111,4.3,0.45,40193597.0,79313171.284928
城商行Ⅱ,20240112,4.33,0.45,40511737.0,79937631.778858
城商行Ⅱ,20240115,4.37,0.46,40842295.0,80619528.281503
城商行Ⅱ,20240116,4.43,0.46,41414956.0,81737638.818742
城商行Ⅱ,20240117,4.41,0.46,41238149.0,81361502.285836
城商行Ⅱ,20240118,4.41,0.46,41237396.0,81361958.099588
城商行Ⅱ,20240119,4.4,0.46,41167037.0,81209011.873606
城商行Ⅱ,20240122,4.35,0.45,40701135.0,80255362.41751
城商行Ⅱ,20240123,4.36,0.46,40803294.0,80451155.463519
城商行Ⅱ,20240124,4.43,0.46,41436694.0,81714470.029228
城商行Ⅱ,20240125,4.51,0.47,42132066.0,83166786.850312
城商行Ⅱ,20240126,4.59,0.48,42919849.0,84848265.175553
城商行Ⅱ,20240129,4.64,0.48,43351054.0,85605495.656966
城商行Ⅱ,20240130,4.59,0.48,42894546.0,84676878.692181
城商行Ⅱ,20240131,4.6,0.48,43028194.0,84872972.515669
城商行Ⅱ,20240201,4.57,0.48,42623401.0,84185410.115395
城商行Ⅱ,20240202,4.57,0.48,42611324.0,84194826.555038
城商行Ⅱ,20240205,4.6,0.48,43049827.0,84636108.952851
城商行Ⅱ,20240206,4.64,0.48,43440572.0,85446522.93279
城商行Ⅱ,20240207,4.63,0.48,43357619.0,85283579.844555
城商行Ⅱ,20240208,4.58,0.48,42883302.0,84368347.05327
城商行Ⅱ,20240219,4.66,0.49,43652206.0,85912923.500259
城商行Ⅱ,20240220,4.72,0.49,44215812.0,86998254.068488
城商行Ⅱ,20240221,4.86,0.51,45476659.0,89556406.864211
城商行Ⅱ,20240222,4.86,0.51,45537759.0,89655235.678046
城商行Ⅱ,20240223,4.87,0.51,45634097.0,89834014.704506
城商行Ⅱ,20240226,4.76,0.5,44565646.0,87787978.141891
城商行Ⅱ,20240227,4.76,0.5,44569743.0,87830672.722313
城商行Ⅱ,20240228,4.75,0.49,44381982.0,87595237.832144
城商行Ⅱ,20240229,4.77,0.5,44612622.0,88059719.758019
城商行Ⅱ,20240301,4.75,0.49,44413569.0,87630331.49407
城商行Ⅱ,20240304,4.7,0.49,43946832.0,86677190.154899
城商行Ⅱ,20240305,4.78,0.5,44744755.0,88244716.771274
城商行Ⅱ,20240306,4.77,0.5,44621226.0,87977748.462018
城商行Ⅱ,20240307,4.79,0.5,44806201.0,88314619.814853
城商行Ⅱ,20240308,4.81,0.5,44939712.0,88557070.847746
城商行Ⅱ,20240311,4.79,0.5,44800684.0,88317704.293849
城商行Ⅱ,20240312,4.74,0.49,44338517.0,87445207.758312
城商行Ⅱ,20240313,4.72,0.49,44150728.0,87047940.85259
城商行Ⅱ,20240314,4.71,0.49,44044399.0,86801598.996263
城商行Ⅱ,20240315,4.77,0.5,44626276.0,87909859.486757
城商行Ⅱ,20240318,4.76,0.5,44552068.0,87793817.621503
城商行Ⅱ,20240319,4.73,0.49,44203233.0,87066989.994138
城商行Ⅱ,20240320,4.75,0.49,44381220.0,87407719.533047
城商行Ⅱ,20240321,4.8,0.5,44897254.0,88329651.556298
城商行Ⅱ,20240322,4.77,0.5,44604306.0,87706360.319366
城商行Ⅱ,20240325,4.79,0.5,44751326.0,88020050.414452
城商行Ⅱ,20240326,4.83,0.5,45184924.0,88857200.785143
城商行Ⅱ,20240327,4.85,0.51,45344450.0,89171083.854514
城商行Ⅱ,20240328,4.82,0.5,45081542.0,88665882.415639
城商行Ⅱ,20240329,4.82,0.5,45106957.0,88675610.49614
城商行Ⅱ,20240401,4.89,0.51,45788826.0,90095851.472614
城商行Ⅱ,20240402,4.91,0.51,45973119.0,90471466.140629
城商行Ⅱ,20240403,4.88,0.51,45651184.0,89874248.705086
城商行Ⅱ,20240408,4.9,0.51,45896482.0,90369434.720823
城商行Ⅱ,20240409,4.89,0.51,45748460.0,90092312.445828
城商行Ⅱ,20240410,4.85,0.5,45441800.0,89457483.819757
城商行Ⅱ,20240411,4.86,0.51,45540135.0,89707729.580223
城商行Ⅱ,20240412,4.84,0.5,45361844.0,89377069.976957
城商行Ⅱ,20240415,4.9,0.51,45960054.0,90575037.60395
城商行Ⅱ,20240416,4.88,0.51,45742785.0,90146789.563838
城商行Ⅱ,20240417,4.99,0.52,46748546.0,92155731.16289
城商行Ⅱ,20240418,5.04,0.52,47284446.0,93151148.16238
城商行Ⅱ,20240419,5.03,0.52,47189084.0,92987651.558717
城商行Ⅱ,20240422,5.02,0.52,47104723.0,92911350.254071
城商行Ⅱ,20240423,5.0,0.52,46924063.0,92597922.423485
城商行Ⅱ,20240424,4.97,0.51,46615075.0,91992967.921375
城商行Ⅱ,20240425,5.06,0.52,47563355.0,93877709.924314
城商行Ⅱ,20240426,4.94,0.5,45922784.0,90833372.530309
城商行Ⅱ,20240429,5.07,0.5,47036396.0,93078582.873676
城商行Ⅱ,20240430,5.13,0.5,47523232.0,94014413.623194
城商行Ⅱ,20240506,5.03,0.5,47474397.0,93968684.136371
城商行Ⅱ,20240507,5.0,0.49,47192829.0,93358137.237542
城商行Ⅱ,20240508,5.02,0.5,47353194.0,93672808.152806
城商行Ⅱ,20240509,5.05,0.5,47541771.0,94396145.323194
城商行Ⅱ,20240510,5.12,0.51,48179098.0,95733586.994561
城商行Ⅱ,20240513,5.18,0.51,48807522.0,97057124.744285
城商行Ⅱ,20240514,5.18,0.51,48725116.0,96861104.281222
城商行Ⅱ,20240515,5.22,0.52,49112896.0,97698027.287131
城商行Ⅱ,20240516,5.31,0.53,50015732.0,99437879.200691
城商行Ⅱ,20240517,5.35,0.53,50387996.0,100173910.089778
城商行Ⅱ,20240520,5.29,0.52,49824576.0,99091773.322008
城商行Ⅱ,20240521,5.35,0.53,50375553.0,100223998.544305
城商行Ⅱ,20240522,5.38,0.53,50662779.0,100746377.12602
城商行Ⅱ,20240523,5.36,0.53,50484803.0,100404696.123242
城商行Ⅱ,20240524,5.33,0.53,50219656.0,99890823.398984
城商行Ⅱ,20240527,5.4,0.53,50831045.0,101143040.360701
城商行Ⅱ,20240528,5.38,0.53,50613643.0,100713449.283157
城商行Ⅱ,20240529,5.32,0.53,50114534.0,99721729.731676
