name,trade_date,pe,pb,float_mv,total_mv
基建市政工程,20240102,6.09,0.55,23458474.0,64429105.306611
基建市政工程,20240103,6.15,0.55,23674965.0,65041196.239363
基建市政工程,20240104,6.12,0.55,23587440.0,64751738.861337
基建市政工程,20240105,6.13,0.55,23619203.0,64899782.973967
基建市政工程,20240108,6.03,0.54,23154948.0,63778836.205003
基建市政工程,20240109,6.05,0.54,23238327.0,63956205.564785
基建市政工程,20240110,6.0,0.54,23035718.0,63423025.766361
基建市政工程,20240111,5.99,0.54,23009479.0,63284656.77938
基建市政工程,20240112,6.04,0.54,23174883.0,63756598.183753
基建市政工程,20240115,6.06,0.54,23270066.0,64003605.85276
基建市政工程,20240116,6.05,0.54,23219984.0,63881091.638175
基建市政工程,20240117,5.94,0.53,22804557.0,62739309.867718
基建市政工程,20240118,5.9,0.53,22641332.0,62306655.154704
基建市政工程,20240119,5.88,0.53,22573338.0,62171213.41634
基建市政工程,20240122,5.73,0.51,21974531.0,60614695.095434
基建市政工程,20240123,5.73,0.51,21981404.0,60642627.350451
基建市政工程,20240124,6.05,0.54,23198790.0,64122873.358544
基建市政工程,20240125,6.43,0.58,24680097.0,68411217.261018
基建市政工程,20240126,6.48,0.58,24852120.0,68941462.761309
基建市政工程,20240129,6.55,0.59,25116523.0,69964525.347539
基建市政工程,20240130,6.5,0.58,24938840.0,69438916.376075
基建市政工程,20240131,6.37,0.57,24437368.0,68195691.429716
基建市政工程,20240201,6.2,0.56,23803140.0,66459940.332879
基建市政工程,20240202,6.18,0.55,23695742.0,66390285.505318
基建市政工程,20240205,5.94,0.53,22786597.0,63981287.812649
基建市政工程,20240206,6.11,0.55,23441864.0,65799408.143407
基建市政工程,20240207,6.22,0.56,23869083.0,66809905.146139
基建市政工程,20240208,6.26,0.56,24032609.0,67025960.853831
基建市政工程,20240219,6.33,0.57,24317859.0,68011871.393521
基建市政工程,20240220,6.34,0.57,24344647.0,68047591.739838
基建市政工程,20240221,6.44,0.58,24740831.0,69156871.099735
基建市政工程,20240222,6.46,0.58,24824390.0,69339142.850908
基建市政工程,20240223,6.46,0.58,24883653.0,69232801.991723
基建市政工程,20240226,6.33,0.57,24399174.0,67781574.134645
基建市政工程,20240227,6.39,0.57,24624284.0,68352004.879148
基建市政工程,20240228,6.36,0.57,24504515.0,68160045.812545
基建市政工程,20240229,6.43,0.58,24779697.0,68845419.883131
基建市政工程,20240301,6.41,0.57,24707444.0,68500327.589025
基建市政工程,20240304,6.36,0.57,24506938.0,67922828.49807
基建市政工程,20240305,6.42,0.58,24749234.0,68631470.568378
基建市政工程,20240306,6.4,0.57,24680803.0,68434439.915327
基建市政工程,20240307,6.39,0.57,24621217.0,68179369.495895
基建市政工程,20240308,6.47,0.58,24946224.0,68984951.553171
基建市政工程,20240311,6.5,0.58,25046218.0,69149232.318077
基建市政工程,20240312,6.44,0.58,24812093.0,68438653.931247
基建市政工程,20240313,6.36,0.57,24521134.0,67653790.888648
基建市政工程,20240314,6.43,0.58,24763388.0,68360210.622753
基建市政工程,20240315,6.42,0.58,24741446.0,68211273.062037
基建市政工程,20240318,6.57,0.59,25299490.0,69702252.585954
基建市政工程,20240319,6.49,0.58,25020922.0,68911615.525667
基建市政工程,20240320,6.54,0.59,25206373.0,69392447.619528
基建市政工程,20240321,6.53,0.59,25173587.0,69280597.554551
基建市政工程,20240322,6.43,0.58,24791706.0,68191724.263948
基建市政工程,20240325,6.43,0.58,24786763.0,68188628.976475
基建市政工程,20240326,6.48,0.58,24967887.0,68726790.030391
基建市政工程,20240327,6.39,0.57,24647991.0,67903414.14377
基建市政工程,20240328,6.4,0.57,24700993.0,67984148.617604
基建市政工程,20240329,6.36,0.58,25137948.0,69348294.623221
基建市政工程,20240401,6.52,0.59,25741195.0,71001521.113092
基建市政工程,20240402,6.5,0.59,25678301.0,70832451.196729
基建市政工程,20240403,6.5,0.59,25669540.0,70827832.302356
基建市政工程,20240408,6.45,0.58,25493597.0,70448590.151465
基建市政工程,20240409,6.37,0.58,25171372.0,69459963.206721
基建市政工程,20240410,6.28,0.57,24791258.0,68455346.218812
基建市政工程,20240411,6.34,0.57,25044058.0,69138988.76173
基建市政工程,20240412,6.26,0.57,24712199.0,68189612.240711
基建市政工程,20240415,6.58,0.59,25955152.0,71928776.773623
基建市政工程,20240416,6.5,0.58,25513082.0,70964685.402909
基建市政工程,20240417,6.66,0.6,26131599.0,72546125.067558
基建市政工程,20240418,6.62,0.59,25950654.0,72015160.976505
基建市政工程,20240419,6.64,0.59,26014577.0,72180170.791782
基建市政工程,20240422,6.55,0.58,25683095.0,71253563.975848
基建市政工程,20240423,6.55,0.57,25146382.0,69559365.835933
基建市政工程,20240424,6.6,0.58,25357923.0,70150986.289686
基建市政工程,20240425,6.62,0.58,25384709.0,70175804.476522
基建市政工程,20240426,6.61,0.58,25544910.0,70665751.783196
基建市政工程,20240429,6.61,0.58,25532516.0,70545889.158675
基建市政工程,20240430,6.41,0.56,24989226.0,69003416.392497
基建市政工程,20240506,6.52,0.57,25350201.0,69999566.11925
基建市政工程,20240507,6.51,0.56,25295512.0,69833000.917094
基建市政工程,20240508,6.45,0.56,25053991.0,69237533.212967
基建市政工程,20240509,6.53,0.57,25358060.0,70114792.359976
基建市政工程,20240510,6.59,0.57,25601429.0,70833871.189169
基建市政工程,20240513,6.65,0.58,25841097.0,71576816.977263
基建市政工程,20240514,6.63,0.57,25769949.0,71344184.103337
基建市政工程,20240515,6.56,0.57,25487239.0,70514087.896277
基建市政工程,20240516,6.63,0.57,25767197.0,71286150.194837
基建市政工程,20240517,6.71,0.58,26083637.0,72097985.992525
基建市政工程,20240520,6.7,0.58,26021571.0,71890245.701907
基建市政工程,20240521,6.66,0.58,25872282.0,71476167.61769
基建市政工程,20240522,6.72,0.58,26129494.0,72188651.207059
基建市政工程,20240523,6.61,0.57,25678789.0,70924533.973181
基建市政工程,20240524,6.57,0.57,25542551.0,70547418.749066
基建市政工程,20240527,6.61,0.57,25680239.0,70980019.524313
基建市政工程,20240528,6.55,0.57,25445894.0,70375042.389036
基建市政工程,20240529,6.53,0.57,25359129.0,70170328.396009
基建市政工程,20240530,6.49,0.56,25234441.0,69861611.415085
基建市政工程,20240531,6.49,0.56,25215099.0,69915333.158688
基建市政工程,20240603,6.47,0.56,25163044.0,70030700.806297
基建市政工程,20240604,6.53,0.57,25393985.0,70706490.087188
基建市政工程,20240605,6.47,0.56,25150181.0,70100614.828844
基建市政工程,20240606,6.43,0.56,24994882.0,69802479.216567
基建市政工程,20240607,6.48,0.56,25176059.0,70262554.440203
基建市政工程,20240611,6.35,0.55,24665716.0,68864819.285897
基建市政工程,20240612,6.37,0.55,24736898.0,69131904.151325
基建市政工程,20240613,6.3,0.55,24476912.0,68447996.977865
基建市政工程,20240614,6.31,0.55,24525162.0,68400832.331119
基建市政工程,20240617,6.31,0.55,24510799.0,68452006.016245
基建市政工程,20240618,6.45,0.56,25063183.0,69899633.359246
基建市政工程,20240619,6.45,0.56,25052334.0,69850432.492012
基建市政工程,20240620,142.84,0.55,1585684.0,69058654.165626
基建市政工程,20240621,6.43,0.56,25005092.0,69715545.549997
基建市政工程,20240624,6.33,0.55,24582530.0,68602486.670245
基建市政工程,20240625,6.32,0.55,24545013.0,68500033.352714
基建市政工程,20240626,6.32,0.55,24580380.0,68573486.100071
基建市政工程,20240627,6.3,0.55,24490012.0,68339500.577325
基建市政工程,20240628,6.39,0.55,24821186.0,69276010.251674
基建市政工程,20240701,6.47,0.56,25163619.0,70271872.586596
基建市政工程,20240702,6.46,0.56,25096580.0,70014422.698
基建市政工程,20240703,6.43,0.56,24995693.0,69700200.898878
基建市政工程,20240704,6.36,0.55,24713653.0,68957533.685802
基建市政工程,20240705,6.31,0.55,24531594.0,68383548.113043
基建市政工程,20240708,6.17,0.53,23962664.0,66737660.232246
基建市政工程,20240709,6.21,0.54,24142359.0,67262552.504888
基建市政工程,20240710,6.1,0.53,23709217.0,65893008.121612
基建市政工程,20240711,6.2,0.54,24079336.0,66890696.118877
基建市政工程,20240712,6.2,0.54,24081790.0,66884700.574907
基建市政工程,20240715,6.19,0.54,24072976.0,66948322.389979
基建市政工程,20240716,6.18,0.54,24025932.0,66579312.69349
基建市政工程,20240717,6.19,0.54,24048295.0,66670483.062765
基建市政工程,20240718,6.21,0.54,24135925.0,66936621.155362
基建市政工程,20240719,6.2,0.54,24099498.0,66803046.785614
基建市政工程,20240722,6.17,0.53,23979927.0,66345009.967856
基建市政工程,20240723,6.07,0.53,23596396.0,65216584.045668
基建市政工程,20240724,6.11,0.53,23734935.0,65578508.464255
基建市政工程,20240725,6.08,0.53,23628017.0,65238540.495829
基建市政工程,20240726,6.08,0.53,23621253.0,65175400.50293
基建市政工程,20240729,6.16,0.53,23932999.0,66017790.047304
基建市政工程,20240730,6.17,0.53,23979692.0,66048557.962445
基建市政工程,20240731,6.21,0.54,24121511.0,66448824.222335
基建市政工程,20240801,6.27,0.54,24373550.0,67178515.609437
基建市政工程,20240802,6.25,0.54,24288787.0,66936312.543821
基建市政工程,20240805,6.18,0.54,24013119.0,66165708.066025
基建市政工程,20240806,6.16,0.53,23920187.0,65943733.914111
基建市政工程,20240807,6.15,0.53,23899706.0,65964487.458292
基建市政工程,20240808,6.13,0.53,23817772.0,65695511.749462
基建市政工程,20240809,6.14,0.53,23853397.0,65794470.84071
基建市政工程,20240812,6.08,0.53,23620605.0,65172397.173586
基建市政工程,20240813,6.13,0.53,23839058.0,65790593.116697
基建市政工程,20240814,6.15,0.53,23890084.0,65921816.92099
基建市政工程,20240815,6.2,0.54,24077167.0,66447075.975026
基建市政工程,20240816,6.15,0.53,23899688.0,66005979.674162
基建市政工程,20240819,6.21,0.54,24119874.0,66599727.935293
基建市政工程,20240820,6.13,0.53,23840096.0,65812019.7077
基建市政工程,20240821,6.07,0.53,23599598.0,65167131.101675
