name,trade_date,pe,pb,float_mv,total_mv
大众出版,20240102,25.33,1.94,5569195.0,15178443.769554
大众出版,20240103,25.6,1.96,5628964.0,15434521.523163
大众出版,20240104,25.71,1.97,5656947.0,15425483.827601
大众出版,20240105,24.69,1.89,5433779.0,14932714.38941
大众出版,20240108,24.42,1.87,5376959.0,14773424.202071
大众出版,20240109,24.31,1.86,5352450.0,14735555.530586
大众出版,20240110,23.56,1.8,5187310.0,14293475.378585
大众出版,20240111,24.16,1.85,5325096.0,14659964.342577
大众出版,20240112,23.84,1.82,5249406.0,14423945.318693
大众出版,20240115,23.82,1.82,5240253.0,14432763.900221
大众出版,20240116,23.55,1.8,5182327.0,14283386.114306
大众出版,20240117,22.96,1.76,5053515.0,13942596.856226
大众出版,20240118,23.16,1.77,5091996.0,13983864.723781
大众出版,20240119,23.44,1.79,5146272.0,14089058.109767
大众出版,20240122,21.73,1.66,4768910.0,13102826.409503
大众出版,20240123,22.4,1.71,4910071.0,13455673.097352
大众出版,20240124,22.57,1.73,4945126.0,13681425.184492
大众出版,20240125,24.19,1.85,5300991.0,14785430.16488
大众出版,20240126,24.24,1.86,5307293.0,14827100.205432
大众出版,20240129,23.59,1.81,5156861.0,14533124.072063
大众出版,20240130,22.43,1.72,4906242.0,13885011.369852
大众出版,20240131,23.18,1.77,5041189.0,14276329.979438
大众出版,20240201,22.43,1.72,4881818.0,13723020.078806
大众出版,20240202,22.52,1.72,4880758.0,13732421.474654
大众出版,20240205,20.37,1.56,4395040.0,12384347.502164
大众出版,20240206,20.66,1.58,4451313.0,12480947.018852
大众出版,20240207,20.14,1.54,4318074.0,12162284.668018
大众出版,20240208,21.15,1.62,4544738.0,12780837.947253
大众出版,20240219,23.13,1.77,4987079.0,13791519.647112
大众出版,20240220,24.92,1.91,5363932.0,14623109.331343
大众出版,20240221,24.51,1.88,5285479.0,14346026.445908
大众出版,20240222,25.12,1.92,5431479.0,14755666.113076
