name,trade_date,pe,pb,float_mv,total_mv
大宗用纸,20240102,30.41,1.12,5762582.0,10124126.857862
大宗用纸,20240103,30.58,1.13,5795049.0,10181070.053946
大宗用纸,20240104,30.63,1.13,5804303.0,10199205.855852
大宗用纸,20240105,30.45,1.13,5771065.0,10137043.426083
大宗用纸,20240108,29.91,1.11,5667774.0,9961369.211334
大宗用纸,20240109,29.81,1.1,5649188.0,9935693.857978
大宗用纸,20240110,29.76,1.1,5639282.0,9926831.29592
大宗用纸,20240111,29.9,1.11,5666351.0,9962875.282887
大宗用纸,20240112,29.93,1.11,5671634.0,9979535.424825
大宗用纸,20240115,30.05,1.11,5694319.0,10016664.009904
大宗用纸,20240116,29.83,1.1,5653903.0,9950873.543202
大宗用纸,20240117,29.11,1.08,5517566.0,9711369.282586
大宗用纸,20240118,28.72,1.06,5443322.0,9583552.308325
大宗用纸,20240119,28.9,1.07,5476747.0,9621007.997405
大宗用纸,20240122,27.42,1.01,5197179.0,9127383.643965
大宗用纸,20240123,27.64,1.02,5237273.0,9193460.075636
大宗用纸,20240124,28.17,1.04,5338433.0,9370891.852204
大宗用纸,20240125,29.0,1.07,5495178.0,9652432.587718
大宗用纸,20240126,29.36,1.09,5564772.0,9759326.909891
大宗用纸,20240129,28.87,1.07,5470599.0,9603807.108701
大宗用纸,20240130,28.18,1.04,5339650.0,9365840.304214
大宗用纸,20240131,27.38,1.01,5189146.0,9101444.525283
大宗用纸,20240201,27.06,1.0,5127974.0,8998323.518071
大宗用纸,20240202,26.42,0.98,5007366.0,8785899.551074
大宗用纸,20240205,25.27,0.93,4789750.0,8410699.956768
大宗用纸,20240206,26.29,0.97,4981818.0,8752168.080061
大宗用纸,20240207,27.17,1.0,5149062.0,9065580.165053
大宗用纸,20240208,27.99,1.03,5304145.0,9315757.960316
大宗用纸,20240219,28.09,1.04,5324006.0,9351388.38363
大宗用纸,20240220,28.37,1.05,5375227.0,9463559.312955
大宗用纸,20240221,28.29,1.05,5360607.0,9434134.05717
大宗用纸,20240222,28.58,1.06,5414832.0,9523042.245767
大宗用纸,20240223,29.05,1.07,5503662.0,9676257.364287
大宗用纸,20240226,29.45,1.09,5579259.0,9805963.462092
大宗用纸,20240227,29.95,1.11,5673757.0,9973586.255793
大宗用纸,20240228,28.95,1.07,5505284.0,9679610.782806
大宗用纸,20240229,29.75,1.1,5658973.0,9944058.758854
大宗用纸,20240301,29.4,1.09,5592489.0,9828872.669199
大宗用纸,20240304,29.59,1.1,5627778.0,9884759.982209
大宗用纸,20240305,29.55,1.1,5635466.0,9858284.914831
大宗用纸,20240306,29.49,1.1,5624396.0,9840120.855076
大宗用纸,20240307,29.59,1.1,5644105.0,9873544.539889
大宗用纸,20240308,29.83,1.11,5689845.0,9950565.66541
大宗用纸,20240311,29.93,1.11,5708290.0,9987996.329877
大宗用纸,20240312,30.23,1.12,5765434.0,10073624.018577
大宗用纸,20240313,29.81,1.11,5686059.0,9941847.500191
大宗用纸,20240314,29.87,1.11,5697213.0,9965439.493057
大宗用纸,20240315,30.32,1.13,5781765.0,10113800.722423
大宗用纸,20240318,30.76,1.15,5867279.0,10276892.334762
大宗用纸,20240319,30.65,1.14,5845825.0,10232990.885401
大宗用纸,20240320,30.91,1.15,5894309.0,10319975.841142
大宗用纸,20240321,30.8,1.15,5874872.0,10281216.331495
大宗用纸,20240322,30.8,1.15,5874376.0,10288598.300764
大宗用纸,20240325,30.69,1.14,5852624.0,10233388.513778
大宗用纸,20240326,30.23,1.13,5764505.0,10090143.108461
大宗用纸,20240327,29.76,1.11,5676335.0,9956638.728318
大宗用纸,20240328,30.17,1.12,5754431.0,10085577.428549
大宗用纸,20240329,30.7,1.15,5855030.0,10265548.625836
大宗用纸,20240401,31.24,1.17,5957529.0,10442612.588557
大宗用纸,20240402,31.3,1.17,5968936.0,10472942.284994
大宗用纸,20240403,31.47,1.18,6001973.0,10540468.431787
大宗用纸,20240408,33.45,1.16,5913132.0,10371911.75283
大宗用纸,20240409,33.94,1.18,5998252.0,10531422.61866
大宗用纸,20240410,30.14,1.17,5984156.0,10514659.137256
大宗用纸,20240411,30.22,1.17,5999073.0,10541254.763383
大宗用纸,20240412,29.95,1.16,5946022.0,10447962.215596
大宗用纸,20240415,29.44,1.14,5845742.0,10285303.789189
大宗用纸,20240416,28.7,1.11,5698262.0,10039062.209689
大宗用纸,20240417,29.58,1.15,5872556.0,10337223.766834
大宗用纸,20240418,29.58,1.15,5871681.0,10349708.205518
大宗用纸,20240419,29.61,1.15,5877565.0,10361995.426326
大宗用纸,20240422,29.49,1.15,5885491.0,10385801.22715
大宗用纸,20240423,28.63,1.13,5739932.0,10126597.880965
大宗用纸,20240424,27.51,1.13,5793224.0,10215218.626166
大宗用纸,20240425,27.66,1.14,5825125.0,10276854.978496
大宗用纸,20240426,28.05,1.15,5907227.0,10407892.293326
大宗用纸,20240429,27.85,1.16,5963658.0,10508946.379653
大宗用纸,20240430,26.65,1.14,5954579.0,10489306.59274
大宗用纸,20240506,20.16,1.17,6085533.0,10726382.538838
大宗用纸,20240507,20.0,1.16,6036074.0,10614534.690436
大宗用纸,20240508,20.03,1.16,6046113.0,10640750.126703
大宗用纸,20240509,20.21,1.17,6100800.0,10738942.247348
大宗用纸,20240510,20.43,1.19,6167551.0,10852729.977387
大宗用纸,20240513,20.08,1.16,6061093.0,10670583.621386
大宗用纸,20240514,20.45,1.19,6170898.0,10844176.196683
大宗用纸,20240515,20.47,1.19,6176808.0,10848144.879599
大宗用纸,20240516,20.24,1.17,6109851.0,10744694.579699
大宗用纸,20240517,20.39,1.18,6153276.0,10818265.35672
大宗用纸,20240520,20.27,1.18,6117805.0,10774406.072204
大宗用纸,20240521,20.25,1.17,6111647.0,10756023.650784
大宗用纸,20240522,20.19,1.17,6093954.0,10718843.697699
大宗用纸,20240523,19.66,1.14,5932859.0,10441596.909238
大宗用纸,20240524,19.5,1.13,5885202.0,10367298.96222
大宗用纸,20240527,19.71,1.14,5948313.0,10483061.887354
大宗用纸,20240528,19.2,1.11,5794770.0,10230367.755125
大宗用纸,20240529,19.19,1.11,5790605.0,10232147.242992
大宗用纸,20240530,18.95,1.1,5718260.0,10113360.716817
大宗用纸,20240531,18.98,1.1,5729525.0,10123643.863313
大宗用纸,20240603,18.37,1.07,5543715.0,9803083.647259
大宗用纸,20240604,18.32,1.06,5528168.0,9792023.634544
大宗用纸,20240605,17.89,1.04,5399153.0,9576911.119502
大宗用纸,20240606,17.56,1.02,5300691.0,9417136.377059
大宗用纸,20240607,17.65,1.03,5326784.0,9475795.298307
大宗用纸,20240611,17.3,1.01,5222568.0,9298908.150356
大宗用纸,20240612,17.3,1.01,5220607.0,9303850.099064
大宗用纸,20240613,17.09,0.99,5157232.0,9185837.418103
大宗用纸,20240614,17.31,1.01,5223693.0,9296130.644802
大宗用纸,20240617,17.03,0.99,5140821.0,9142399.038031
大宗用纸,20240618,16.97,0.99,5121724.0,9109449.895307
大宗用纸,20240619,16.95,0.99,5116494.0,9104833.760246
大宗用纸,20240620,25.63,0.96,3083731.0,8861969.788943
大宗用纸,20240621,16.34,0.95,4931015.0,8804381.272078
大宗用纸,20240624,16.22,0.94,4893115.0,8724584.97823
大宗用纸,20240625,16.42,0.95,4952075.0,8827912.266137
大宗用纸,20240626,16.66,0.97,5025651.0,8946887.572349
大宗用纸,20240627,16.42,0.95,4952194.0,8810090.588647
大宗用纸,20240628,16.46,0.96,4965022.0,8832990.769341
大宗用纸,20240701,16.7,0.97,5037551.0,8954116.333211
大宗用纸,20240702,16.81,0.98,5070395.0,9017887.204442
大宗用纸,20240703,16.86,0.98,5084988.0,9045350.282094
大宗用纸,20240704,16.59,0.96,5003689.0,8902950.418939
大宗用纸,20240705,16.66,0.97,5025596.0,8944335.852227
大宗用纸,20240708,16.27,0.95,4906281.0,8730366.644506
大宗用纸,20240709,16.37,0.95,4938344.0,8785214.497131
大宗用纸,20240710,16.26,0.95,4905672.0,8731644.465178
大宗用纸,20240711,16.77,0.97,5058213.0,9006324.111545
大宗用纸,20240712,16.59,0.96,5003572.0,8904596.300781
大宗用纸,20240715,16.51,0.96,4979441.0,8863723.871658
大宗用纸,20240716,16.26,0.95,4905971.0,8730228.592362
大宗用纸,20240717,16.12,0.94,4861918.0,8655231.985317
大宗用纸,20240718,16.21,0.94,4890865.0,8708759.458632
大宗用纸,20240719,16.15,0.94,4871900.0,8667143.109621
大宗用纸,20240722,16.09,0.93,4853176.0,8624741.103455
大宗用纸,20240723,15.8,0.92,4766069.0,8456897.863263
大宗用纸,20240724,15.54,0.9,4687600.0,8327288.593143
大宗用纸,20240725,15.6,0.91,4705834.0,8353402.581603
大宗用纸,20240726,15.9,0.92,4794680.0,8510036.956595
大宗用纸,20240729,15.86,0.92,4782857.0,8490465.350016
大宗用纸,20240730,15.94,0.93,4806706.0,8523084.479495
大宗用纸,20240731,15.42,0.92,4651390.0,8269153.265637
大宗用纸,20240801,15.04,0.89,4535560.0,8047493.128721
大宗用纸,20240802,14.95,0.89,4508363.0,7991932.194431
大宗用纸,20240805,14.86,0.88,4483073.0,7944886.993356
大宗用纸,20240806,15.04,0.89,4537855.0,8029993.583203
大宗用纸,20240807,14.98,0.89,4517269.0,7999067.001809
大宗用纸,20240808,15.25,0.91,4601289.0,8138970.736143
大宗用纸,20240809,15.25,0.91,4600691.0,8141781.247972
大宗用纸,20240812,15.23,0.9,4595350.0,8148467.288595
大宗用纸,20240813,15.29,0.91,4611430.0,8163188.202701
大宗用纸,20240814,14.95,0.89,4509425.0,7974623.11378
大宗用纸,20240815,15.0,0.89,4543139.0,8003961.772372
大宗用纸,20240816,14.79,0.88,4478938.0,7894769.660073
大宗用纸,20240819,14.93,0.89,4523297.0,7975077.005287
大宗用纸,20240820,14.75,0.88,4467428.0,7862494.621674
大宗用纸,20240821,14.68,0.87,4446696.0,7825661.890901
大宗用纸,20240822,14.5,0.86,4391752.0,7737281.224463
大宗用纸,20240823,14.42,0.86,4368513.0,7703605.226005
大宗用纸,20240826,14.45,0.86,4378740.0,7716556.893011
大宗用纸,20240827,14.38,0.86,4356340.0,7681748.265063
大宗用纸,20240828,14.42,0.86,4366777.0,7697562.495498
大宗用纸,20240829,14.77,0.87,4474134.0,7889538.475509
大宗用纸,20240830,14.97,0.88,4535993.0,7990241.097451
大宗用纸,20240902,14.53,0.86,4430863.0,7806174.73419
大宗用纸,20240903,14.61,0.87,4454095.0,7850374.518512
大宗用纸,20240904,14.3,0.85,4360844.0,7686224.02228
大宗用纸,20240905,14.46,0.86,4409329.0,7770223.803387
大宗用纸,20240906,14.25,0.85,4344638.0,7653303.848033
大宗用纸,20240909,14.19,0.84,4326352.0,7621300.168017
大宗用纸,20240910,14.11,0.84,4302360.0,7582675.467718
大宗用纸,20240911,14.1,0.84,4300954.0,7582971.915489
大宗用纸,20240912,14.07,0.84,4290476.0,7563713.993385
大宗用纸,20240913,13.9,0.83,4239762.0,7476096.946273
大宗用纸,20240918,14.0,0.83,4268468.0,7526270.748159
大宗用纸,20240919,14.3,0.85,4359760.0,7687954.506827
大宗用纸,20240920,14.22,0.85,4337157.0,7643356.384683
大宗用纸,20240923,14.47,0.86,4412913.0,7778695.444735
大宗用纸,20240924,15.1,0.9,4604395.0,8123768.937151
大宗用纸,20240925,15.42,0.92,4702208.0,8288501.654439
大宗用纸,20240926,16.06,0.96,4899139.0,8642669.440569
大宗用纸,20240927,16.57,0.99,5052829.0,8920057.691461
大宗用纸,20240930,17.81,1.06,5430775.0,9579632.918038
大宗用纸,20241008,17.96,1.07,5478128.0,9655951.796622
大宗用纸,20241009,16.84,1.0,5134576.0,9048465.816736
大宗用纸,20241010,17.07,1.02,5204320.0,9241266.408068
大宗用纸,20241011,16.87,1.0,5144342.0,9144048.228992
大宗用纸,20241014,17.05,1.01,5198111.0,9251973.104621
大宗用纸,20241015,16.56,0.98,5048689.0,8986853.31436
大宗用纸,20241016,16.6,0.99,5059437.0,9007024.022367
大宗用纸,20241017,16.35,0.97,4984054.0,8873036.80923
大宗用纸,20241018,16.54,0.98,5043546.0,8979247.763811
大宗用纸,20241021,16.74,1.0,5103328.0,9076722.961157
大宗用纸,20241022,16.94,1.01,5163230.0,9182886.908605
大宗用纸,20241023,16.98,1.01,5176008.0,9199655.447037
大宗用纸,20241024,16.89,1.0,5150085.0,9146229.143144
大宗用纸,20241025,16.95,1.01,5167194.0,9182603.124182
大宗用纸,20241028,17.41,1.04,5308048.0,9476493.200513
大宗用纸,20241029,17.13,1.02,5223314.0,9316854.93743
大宗用纸,20241030,17.16,1.02,5226139.0,9325471.575812
大宗用纸,20241031,16.86,1.0,5132752.0,9168855.411032
大宗用纸,20241101,19.32,1.0,5109573.0,9142856.437631
大宗用纸,20241104,19.63,1.02,5192539.0,9287028.630114
大宗用纸,20241105,19.91,1.03,5267405.0,9412663.14109
