name,trade_date,pe,pb,float_mv,total_mv
娱乐用品,20240102,66.49,3.04,2091762.0,5458798.877349
娱乐用品,20240103,66.19,3.03,2077556.0,5411508.292721
娱乐用品,20240104,67.52,3.09,2110906.0,5505641.739138
娱乐用品,20240105,67.96,3.11,2116586.0,5477200.496118
娱乐用品,20240108,66.74,3.05,2084295.0,5404357.801319
娱乐用品,20240109,67.3,3.08,2101731.0,5457676.90449
娱乐用品,20240110,66.58,3.05,2076266.0,5406374.175593
娱乐用品,20240111,66.53,3.04,2079945.0,5401117.287122
娱乐用品,20240112,64.82,2.97,2031253.0,5258183.805556
娱乐用品,20240115,65.09,2.98,2037704.0,5276389.765479
娱乐用品,20240116,64.16,2.94,2008364.0,5212042.879294
娱乐用品,20240117,63.1,2.89,1976797.0,5139846.104123
娱乐用品,20240118,62.93,2.88,1968352.0,5104692.746046
娱乐用品,20240119,64.46,2.95,2016386.0,5194873.771667
娱乐用品,20240122,62.41,2.86,1955813.0,4977901.041449
娱乐用品,20240123,62.68,2.87,1948354.0,4924661.728085
娱乐用品,20240124,63.2,2.89,1959784.0,4987477.714091
娱乐用品,20240125,63.94,2.93,1985359.0,5079424.580887
娱乐用品,20240126,63.49,2.9,1971529.0,5046803.555515
娱乐用品,20240129,60.23,2.76,1872578.0,4814805.791124
娱乐用品,20240130,57.39,2.63,1782938.0,4577841.642695
娱乐用品,20240131,53.99,2.47,1672790.0,4292688.54884
娱乐用品,20240201,52.22,2.39,1620602.0,4161211.991927
娱乐用品,20240202,50.02,2.29,1554714.0,3982613.733859
娱乐用品,20240205,44.69,2.04,1384179.0,3551662.307578
娱乐用品,20240206,43.2,1.98,1345698.0,3468024.682481
娱乐用品,20240207,40.26,1.84,1253218.0,3267855.016384
娱乐用品,20240208,43.32,1.98,1356192.0,3526072.764258
娱乐用品,20240219,45.96,2.1,1436591.0,3727238.798035
娱乐用品,20240220,46.93,2.15,1466815.0,3818940.017812
娱乐用品,20240221,49.38,2.26,1536923.0,3962943.809366
娱乐用品,20240222,50.81,2.32,1582105.0,4084522.192612
娱乐用品,20240223,52.04,2.38,1623491.0,4201947.976856
娱乐用品,20240226,53.03,2.42,1652379.0,4258156.690259
娱乐用品,20240227,54.49,2.49,1697549.0,4375515.720661
娱乐用品,20240228,51.41,2.35,1592100.0,4094917.140174
娱乐用品,20240229,52.94,2.42,1640054.0,4215971.065178
娱乐用品,20240301,52.98,2.42,1645811.0,4227730.490464
娱乐用品,20240304,53.51,2.45,1661218.0,4249911.428343
娱乐用品,20240305,52.75,2.41,1633820.0,4150116.74648
娱乐用品,20240306,53.89,2.46,1668459.0,4217770.786936
娱乐用品,20240307,52.75,2.41,1636729.0,4169374.642859
娱乐用品,20240308,54.01,2.47,1671390.0,4204035.46079
娱乐用品,20240311,55.23,2.53,1705013.0,4273672.07535
娱乐用品,20240312,56.4,2.58,1742097.0,4395429.939233
娱乐用品,20240313,55.97,2.56,1732080.0,4400746.365242
娱乐用品,20240314,55.41,2.53,1714796.0,4359994.891649
娱乐用品,20240315,55.91,2.62,1771511.0,4478707.456219
娱乐用品,20240318,56.93,2.66,1805102.0,4573581.981641
娱乐用品,20240319,56.65,2.65,1796938.0,4558417.493657
娱乐用品,20240320,58.1,2.73,1861334.0,4681436.027894
娱乐用品,20240321,59.92,2.82,1910455.0,4746850.78972
娱乐用品,20240322,58.75,2.76,1873602.0,4668686.887267
娱乐用品,20240325,56.73,2.67,1809159.0,4539279.589937
娱乐用品,20240326,57.64,2.66,1801594.0,4542783.495958
娱乐用品,20240327,55.51,2.56,1742521.0,4417111.49334
娱乐用品,20240328,56.94,2.62,1782341.0,4521411.234645
娱乐用品,20240329,57.47,2.64,1796081.0,4559655.974038
娱乐用品,20240401,59.68,2.7,1840094.0,4672312.7666
娱乐用品,20240402,60.26,2.73,1854505.0,4707286.204178
娱乐用品,20240403,60.45,2.74,1857010.0,4693902.721672
娱乐用品,20240408,59.04,2.67,1808613.0,4557277.8374
娱乐用品,20240409,60.27,2.73,1847713.0,4649460.019494
娱乐用品,20240410,58.33,2.64,1789896.0,4507230.358461
娱乐用品,20240411,58.3,2.64,1789981.0,4502504.439498
娱乐用品,20240412,58.29,2.64,1789838.0,4498819.59459
娱乐用品,20240415,53.42,2.42,1645606.0,4165576.795778
娱乐用品,20240416,49.13,2.22,1519774.0,3888345.635274
娱乐用品,20240417,52.56,2.38,1624898.0,4136902.623102
娱乐用品,20240418,52.86,2.39,1631261.0,4164455.189258
娱乐用品,20240419,51.42,2.33,1591934.0,4054031.097018
娱乐用品,20240422,49.54,2.28,1567011.0,4003089.359006
娱乐用品,20240423,50.12,2.31,1584424.0,4052646.84063
娱乐用品,20240424,51.11,2.36,1618681.0,4145880.308467
娱乐用品,20240425,54.95,2.46,1635197.0,4225792.398976
