name,trade_date,pe,pb,float_mv,total_mv
定制家居,20240102,16.38,2.15,3538830.0,10090036.421782
定制家居,20240103,16.34,2.15,3531686.0,10076687.265711
定制家居,20240104,16.28,2.14,3518192.0,10041085.962372
定制家居,20240105,16.3,2.14,3522293.0,10062163.711902
定制家居,20240108,15.86,2.08,3427936.0,9771955.139055
定制家居,20240109,15.94,2.09,3445811.0,9829402.091762
定制家居,20240110,16.03,2.11,3462769.0,9865486.19795
定制家居,20240111,16.19,2.13,3497113.0,9950620.790719
定制家居,20240112,16.14,2.12,3486033.0,9927731.340191
定制家居,20240115,16.24,2.13,3506969.0,9994322.336238
定制家居,20240116,16.37,2.15,3535653.0,10064834.75463
定制家居,20240117,16.02,2.1,3460322.0,9836264.084453
定制家居,20240118,15.89,2.09,3430764.0,9762942.609222
定制家居,20240119,15.83,2.08,3417041.0,9730717.641037
定制家居,20240122,14.91,1.96,3219964.0,9177668.707667
定制家居,20240123,14.93,1.96,3223911.0,9204374.063529
定制家居,20240124,15.15,1.99,3271823.0,9367745.091257
定制家居,20240125,15.69,2.06,3390126.0,9682483.769904
定制家居,20240126,15.92,2.09,3441706.0,9781440.89315
定制家居,20240129,15.77,2.07,3404556.0,9626331.276824
定制家居,20240130,15.35,2.02,3312085.0,9356790.488163
定制家居,20240131,14.68,1.93,3166229.0,8934036.650607
定制家居,20240201,14.45,1.9,3113807.0,8806562.180663
定制家居,20240202,14.08,1.85,3031576.0,8556906.500305
定制家居,20240205,13.48,1.77,2899453.0,8154255.863594
定制家居,20240206,13.88,1.82,2994995.0,8434737.207129
定制家居,20240207,14.08,1.85,3033380.0,8496807.804932
定制家居,20240208,14.83,1.93,3207141.0,8963348.844977
定制家居,20240219,14.76,1.92,3192279.0,8954888.16536
定制家居,20240220,15.08,1.96,3261562.0,9158105.640775
定制家居,20240221,15.62,2.03,3380509.0,9529946.617218
定制家居,20240222,15.52,2.02,3358809.0,9464909.309693
定制家居,20240223,15.52,2.02,3358798.0,9468309.537482
定制家居,20240226,15.71,2.04,3399429.0,9611202.211663
定制家居,20240227,15.81,2.06,3419323.0,9658465.963977
定制家居,20240228,15.2,1.98,3289902.0,9304896.427195
定制家居,20240229,15.55,2.02,3364658.0,9509822.336169
定制家居,20240301,15.54,2.02,3360196.0,9505564.089119
定制家居,20240304,15.38,2.0,3327496.0,9411963.174864
定制家居,20240305,15.08,1.96,3261832.0,9200485.696167
定制家居,20240306,15.04,1.96,3256771.0,9176112.226983
定制家居,20240307,15.03,1.95,3256273.0,9189539.021917
定制家居,20240308,15.06,1.96,3265803.0,9237379.971351
定制家居,20240311,15.18,1.97,3291416.0,9282961.013613
定制家居,20240312,16.18,2.1,3503759.0,9911997.840171
定制家居,20240313,16.1,2.09,3486904.0,9821433.046869
定制家居,20240314,16.14,2.1,3493768.0,9853868.605862
定制家居,20240315,16.08,2.09,3481284.0,9827015.538036
定制家居,20240318,16.07,2.09,3478437.0,9829520.843867
定制家居,20240319,15.97,2.08,3458350.0,9785216.668327
定制家居,20240320,15.88,2.06,3439065.0,9711064.465721
定制家居,20240321,15.69,2.04,3398212.0,9578689.43582
定制家居,20240322,15.17,1.97,3286971.0,9243821.360184
定制家居,20240325,15.34,1.99,3322937.0,9338539.561817
定制家居,20240326,15.29,1.99,3313544.0,9312023.077678
定制家居,20240327,15.02,1.95,3254169.0,9130627.154508
定制家居,20240328,15.36,2.0,3327067.0,9363839.032942
定制家居,20240329,15.2,1.98,3293390.0,9266733.078669
定制家居,20240401,15.95,2.07,3454177.0,9740167.741589
定制家居,20240402,15.77,2.05,3418987.0,9628304.369516
定制家居,20240403,15.83,2.06,3436021.0,9702254.5785
定制家居,20240408,14.93,1.94,3238028.0,9090726.900789
定制家居,20240409,15.04,1.96,3263844.0,9155351.153529
定制家居,20240410,14.65,1.9,3181650.0,8866396.624982
定制家居,20240411,14.53,1.89,3154128.0,8759790.917931
定制家居,20240412,14.34,1.83,3150501.0,8726254.356877
定制家居,20240415,14.03,1.79,3080789.0,8546487.616351
定制家居,20240416,14.05,1.79,3078895.0,8511015.614285
定制家居,20240417,14.34,1.83,3145534.0,8700204.523248
定制家居,20240418,14.35,1.83,3148874.0,8699554.474339
定制家居,20240419,14.17,1.81,3109013.0,8578221.803485
定制家居,20240422,14.11,1.8,3096650.0,8548610.571183
定制家居,20240423,14.1,1.8,3101896.0,8570887.423894
定制家居,20240424,14.05,1.79,3093913.0,8539816.730899
定制家居,20240425,13.39,1.81,3152977.0,8780983.606884
定制家居,20240426,13.49,1.81,3195929.0,8903201.240146
定制家居,20240429,14.33,1.89,3363655.0,9335160.909628
定制家居,20240430,13.89,1.82,3258408.0,9071640.204391
定制家居,20240506,14.35,1.91,3417560.0,9490801.990947
定制家居,20240507,14.43,1.92,3435484.0,9564414.98861
定制家居,20240508,14.12,1.88,3360744.0,9359270.091482
