name,trade_date,pe,pb,float_mv,total_mv
小盘指数,20240102,23.62,1.66,563515034.0,1207195963.32663
小盘指数,20240103,23.55,1.65,561135788.0,1202651736.11238
小盘指数,20240104,23.39,1.64,557173904.0,1195064098.5915
小盘指数,20240105,23.0,1.62,547216330.0,1175196959.30264
小盘指数,20240108,22.49,1.58,535036060.0,1148958859.20989
小盘指数,20240109,22.53,1.58,536176493.0,1151580411.74263
小盘指数,20240110,22.37,1.57,532552641.0,1144114960.5081
小盘指数,20240111,22.74,1.6,541566718.0,1162446327.51344
小盘指数,20240112,22.63,1.59,538154048.0,1156453162.23798
小盘指数,20240115,22.57,1.59,536685304.0,1153736270.14596
小盘指数,20240116,22.51,1.58,535621128.0,1151268749.90893
小盘指数,20240117,21.94,1.54,521054096.0,1121233408.43556
小盘指数,20240118,21.93,1.54,521231817.0,1119270655.22359
小盘指数,20240119,21.69,1.52,515180420.0,1107298614.31561
小盘指数,20240122,20.52,1.44,487345006.0,1048342673.58548
小盘指数,20240123,20.86,1.47,495585887.0,1065571056.10256
小盘指数,20240124,21.16,1.49,501422235.0,1080223382.85309
小盘指数,20240125,21.85,1.54,517105125.0,1115493886.14188
小盘指数,20240126,21.71,1.53,512454062.0,1107642262.35274
小盘指数,20240129,21.19,1.49,499644861.0,1082442245.72487
小盘指数,20240130,20.64,1.45,486169350.0,1052651352.37975
小盘指数,20240131,19.93,1.4,469730159.0,1026134925.67105
小盘指数,20240201,19.8,1.39,467415139.0,1020056051.31547
小盘指数,20240202,19.17,1.35,451999300.0,979870337.021492
小盘指数,20240205,18.25,1.28,431353422.0,934758777.315737
小盘指数,20240206,19.58,1.38,464400326.0,1003804573.1773
小盘指数,20240207,20.65,1.45,489668435.0,1055271452.56086
小盘指数,20240208,21.11,1.48,501053158.0,1080014684.92479
小盘指数,20240219,21.26,1.5,503580058.0,1085022809.86202
小盘指数,20240220,21.34,1.5,505574767.0,1088676218.63846
小盘指数,20240221,21.41,1.51,507280637.0,1093126216.14587
小盘指数,20240222,21.7,1.53,513967977.0,1105751532.03568
小盘指数,20240223,21.92,1.54,519755637.0,1117426432.9373
小盘指数,20240226,21.97,1.55,521260987.0,1121050465.53634
小盘指数,20240227,22.49,1.58,534346039.0,1146511846.54193
小盘指数,20240228,21.71,1.53,514779027.0,1106796493.11241
小盘指数,20240229,22.42,1.58,532948475.0,1143998298.91956
小盘指数,20240301,22.64,1.59,537938892.0,1153472915.56719
小盘指数,20240304,22.75,1.6,540696734.0,1158058602.77808
小盘指数,20240305,22.55,1.59,535868944.0,1147810898.6302
小盘指数,20240306,22.58,1.59,536579919.0,1149572241.93348
小盘指数,20240307,22.27,1.57,528036085.0,1134031723.65714
小盘指数,20240308,22.56,1.59,535043794.0,1147333008.5498
小盘指数,20240311,22.93,1.61,545357616.0,1167619551.89379
小盘指数,20240312,22.97,1.62,546282308.0,1168996066.19925
小盘指数,20240313,23.09,1.62,547493002.0,1171137442.64453
小盘指数,20240314,22.93,1.61,544022358.0,1164661882.60724
小盘指数,20240315,23.2,1.63,549945055.0,1177861197.77257
小盘指数,20240318,23.53,1.65,558752594.0,1195721843.43073
