name,trade_date,pe,pb,float_mv,total_mv
小金属,20240102,23.69,2.45,21959743.0,43686982.455332
小金属,20240103,23.66,2.45,21927535.0,43606314.685878
小金属,20240104,23.34,2.41,21627777.0,43077229.20594
小金属,20240105,23.17,2.4,21470505.0,42795142.960756
小金属,20240108,22.76,2.35,21087568.0,42138829.684946
小金属,20240109,22.9,2.37,21219073.0,42380229.497802
小金属,20240110,22.92,2.37,21252380.0,42371243.918792
小金属,20240111,23.39,2.42,21690231.0,43041958.710346
小金属,20240112,23.24,2.41,21559005.0,42812167.322269
小金属,20240115,22.99,2.38,21324458.0,42423675.128708
小金属,20240116,22.9,2.37,21233691.0,42253910.048314
小金属,20240117,22.23,2.3,20615718.0,41096800.392592
小金属,20240118,22.17,2.29,20560278.0,40935221.569668
小金属,20240119,22.03,2.28,20423047.0,40686270.318465
小金属,20240122,20.92,2.16,19385876.0,38696074.233267
小金属,20240123,21.27,2.2,19718301.0,39345622.91659
小金属,20240124,21.58,2.23,20005840.0,39989000.910207
小金属,20240125,22.34,2.31,20709199.0,41472666.302442
小金属,20240126,22.34,2.31,20718247.0,41507549.539759
小金属,20240129,21.99,2.28,20391989.0,40940875.286337
小金属,20240130,21.4,2.21,19836289.0,39851873.669293
小金属,20240131,20.71,2.14,19199285.0,38773892.056855
小金属,20240201,20.53,2.13,19026853.0,38487991.695103
小金属,20240202,19.82,2.05,18361809.0,37262006.436197
小金属,20240205,18.95,1.96,17547502.0,35840984.548626
小金属,20240206,20.32,2.1,18815284.0,38291200.828745
小金属,20240207,21.41,2.22,19817560.0,40213629.590135
小金属,20240208,21.97,2.27,20343061.0,41202563.155447
小金属,20240219,22.16,2.29,20523509.0,41668586.471697
小金属,20240220,22.11,2.29,20475741.0,41608749.778254
小金属,20240221,22.23,2.3,20584985.0,41766347.533527
小金属,20240222,22.51,2.33,20847448.0,42348963.251984
小金属,20240223,22.79,2.36,21105142.0,42922629.439601
小金属,20240226,22.6,2.34,20942204.0,42469684.573987
小金属,20240227,22.9,2.37,21214666.0,42941043.098973
小金属,20240228,22.43,2.32,20777671.0,42064250.491081
小金属,20240229,23.18,2.4,21470795.0,43334595.917461
小金属,20240301,23.4,2.42,21675471.0,43765827.056723
小金属,20240304,23.4,2.42,21675038.0,43780378.874366
小金属,20240305,23.34,2.42,21620734.0,43788944.227084
小金属,20240306,23.26,2.41,21548782.0,43669165.449503
小金属,20240307,23.9,2.47,22137525.0,44963815.216619
小金属,20240308,24.19,2.5,22404396.0,45531337.301854
小金属,20240311,24.55,2.54,22734535.0,46062944.628874
小金属,20240312,24.04,2.49,22265457.0,44972284.948671
小金属,20240313,24.44,2.53,22637077.0,45866359.79199
小金属,20240314,24.73,2.56,22906139.0,46605546.017471
小金属,20240315,25.96,2.69,24057770.0,48960505.641036
小金属,20240318,26.23,2.71,24306171.0,49527787.471903
小金属,20240319,26.34,2.73,24409492.0,49697890.219753
小金属,20240320,26.17,2.71,24255109.0,49361863.174979
小金属,20240321,26.17,2.71,24251111.0,49454269.70755
小金属,20240322,25.37,2.63,23507740.0,47938344.608152
小金属,20240325,21.71,2.59,23595057.0,48300644.281786
小金属,20240326,21.6,2.58,23471196.0,48014833.562655
小金属,20240327,21.22,2.53,23057112.0,47346337.03887
小金属,20240328,21.71,2.59,23591819.0,48495565.163727
小金属,20240329,22.09,2.64,24048456.0,49430180.569777
小金属,20240401,22.48,2.68,24411273.0,50016953.521177
小金属,20240402,22.95,2.73,24916287.0,50958504.56419
小金属,20240403,23.6,2.83,25891725.0,52981041.005425
小金属,20240408,23.47,2.82,25742441.0,52666269.555735
小金属,20240409,23.95,2.87,26268741.0,53558393.81697
小金属,20240410,23.59,2.83,25869554.0,52964309.162195
小金属,20240411,23.46,2.81,25730249.0,52747660.404693
小金属,20240412,23.11,2.81,25748178.0,52918442.364848
小金属,20240415,23.18,2.82,25807083.0,53177975.461385
小金属,20240416,22.2,2.7,24706492.0,51019002.99299
小金属,20240417,22.78,2.77,25360565.0,52367990.499847
小金属,20240418,23.14,2.8,25737216.0,53248780.575831
小金属,20240419,22.89,2.75,25488826.0,52824078.198817
小金属,20240422,22.42,2.69,24957840.0,51694939.061892
小金属,20240423,21.34,2.56,23764884.0,49161068.830235
