name,trade_date,pe,pb,float_mv,total_mv
工程咨询服务Ⅱ,20240102,22.62,1.62,6798519.0,16880374.243433
工程咨询服务Ⅱ,20240103,22.52,1.61,6765971.0,16778158.30557
工程咨询服务Ⅱ,20240104,22.51,1.61,6763789.0,16824913.971519
工程咨询服务Ⅱ,20240105,22.21,1.59,6669096.0,16617551.813267
工程咨询服务Ⅱ,20240108,22.04,1.58,6619607.0,16529383.763895
工程咨询服务Ⅱ,20240109,22.07,1.58,6627202.0,16508785.201207
工程咨询服务Ⅱ,20240110,21.76,1.56,6533277.0,16198348.873588
工程咨询服务Ⅱ,20240111,22.11,1.58,6657600.0,16576127.356204
工程咨询服务Ⅱ,20240112,22.05,1.58,6632724.0,16532626.825694
工程咨询服务Ⅱ,20240115,22.02,1.58,6608937.0,16467776.101493
工程咨询服务Ⅱ,20240116,21.91,1.57,6580949.0,16364888.205962
工程咨询服务Ⅱ,20240117,21.42,1.53,6423068.0,15955948.996716
工程咨询服务Ⅱ,20240118,21.22,1.52,6359593.0,15786205.517685
工程咨询服务Ⅱ,20240119,21.03,1.5,6289671.0,15599198.364384
工程咨询服务Ⅱ,20240122,20.5,1.44,6331746.0,16376156.806793
工程咨询服务Ⅱ,20240123,20.73,1.46,6394309.0,16613686.181708
工程咨询服务Ⅱ,20240124,21.31,1.5,6600421.0,17189527.127799
工程咨询服务Ⅱ,20240125,22.39,1.57,6949333.0,18122487.410803
工程咨询服务Ⅱ,20240126,22.56,1.59,7000650.0,18238804.844511
工程咨询服务Ⅱ,20240129,22.12,1.55,6872028.0,18010123.839203
工程咨询服务Ⅱ,20240130,21.54,1.51,6677111.0,17463252.706937
工程咨询服务Ⅱ,20240131,20.88,1.47,6451513.0,16938735.315556
工程咨询服务Ⅱ,20240201,20.35,1.43,6274549.0,16460236.833626
工程咨询服务Ⅱ,20240202,19.43,1.37,5976801.0,15726419.883647
工程咨询服务Ⅱ,20240205,17.65,1.24,5385798.0,14213560.183677
工程咨询服务Ⅱ,20240206,17.96,1.26,5465536.0,14387494.750132
工程咨询服务Ⅱ,20240207,17.73,1.25,5356251.0,14134174.261519
工程咨询服务Ⅱ,20240208,18.78,1.32,5697946.0,14933276.684273
工程咨询服务Ⅱ,20240219,19.33,1.36,5887014.0,15543251.164252
工程咨询服务Ⅱ,20240220,19.47,1.37,5941058.0,15702195.908584
工程咨询服务Ⅱ,20240221,19.76,1.39,6037383.0,15954913.663581
工程咨询服务Ⅱ,20240222,20.08,1.41,6143884.0,16227690.125379
工程咨询服务Ⅱ,20240223,20.33,1.43,6237571.0,16398673.192588
工程咨询服务Ⅱ,20240226,20.45,1.44,6286909.0,16580672.798481
工程咨询服务Ⅱ,20240227,20.97,1.47,6442025.0,16994571.810258
工程咨询服务Ⅱ,20240228,19.84,1.39,6077350.0,16121227.429408
工程咨询服务Ⅱ,20240229,20.48,1.44,6272626.0,16643149.855509
工程咨询服务Ⅱ,20240301,20.58,1.45,6303877.0,16721453.90597
