name,trade_date,pe,pb,float_mv,total_mv
工程机械器件,20240102,34.94,4.89,3650384.0,11459143.543262
工程机械器件,20240103,35.1,4.91,3660932.0,11474496.166739
工程机械器件,20240104,34.26,4.79,3582506.0,11239336.281639
工程机械器件,20240105,34.03,4.76,3555747.0,11149718.253767
工程机械器件,20240108,33.33,4.66,3484282.0,10915907.289818
工程机械器件,20240109,34.4,4.81,3591552.0,11243146.017541
工程机械器件,20240110,34.91,4.88,3635911.0,11376507.468652
工程机械器件,20240111,35.04,4.9,3652827.0,11438149.712744
工程机械器件,20240112,34.94,4.89,3640045.0,11392876.424481
工程机械器件,20240115,34.94,4.89,3640208.0,11405761.623617
工程机械器件,20240116,34.92,4.89,3637784.0,11402476.948952
工程机械器件,20240117,34.19,4.78,3559028.0,11140107.318321
工程机械器件,20240118,34.21,4.79,3552332.0,11153888.96992
工程机械器件,20240119,33.89,4.74,3516692.0,11030292.445259
工程机械器件,20240122,33.2,4.64,3429898.0,10771874.782405
工程机械器件,20240123,32.41,4.53,3349723.0,10538634.698477
工程机械器件,20240124,32.94,4.61,3405900.0,10702737.398065
工程机械器件,20240125,32.9,4.6,3429542.0,10770535.545003
工程机械器件,20240126,32.33,4.52,3375099.0,10602963.641996
工程机械器件,20240129,31.53,4.41,3277823.0,10343295.050509
工程机械器件,20240130,30.76,4.3,3191516.0,10054020.354025
工程机械器件,20240131,30.4,4.25,3132200.0,9847233.363771
工程机械器件,20240201,30.16,4.22,3110100.0,9761058.166005
工程机械器件,20240202,30.14,4.22,3094032.0,9701328.635916
工程机械器件,20240205,30.64,4.29,3101737.0,9731447.840856
工程机械器件,20240206,32.33,4.52,3261254.0,10223437.609777
工程机械器件,20240207,32.49,4.55,3259575.0,10209863.727152
工程机械器件,20240208,33.07,4.63,3339091.0,10444897.67411
工程机械器件,20240219,33.77,4.72,3412648.0,10674026.237622
工程机械器件,20240220,32.7,4.57,3313736.0,10377492.455611
工程机械器件,20240221,32.91,4.6,3339231.0,10460717.346272
工程机械器件,20240222,32.82,4.59,3338492.0,10459742.403078
工程机械器件,20240223,32.76,4.58,3343791.0,10479783.433461
工程机械器件,20240226,34.83,4.87,3551456.0,11110801.039828
工程机械器件,20240227,35.07,4.91,3580077.0,11204237.193671
工程机械器件,20240228,33.73,4.72,3424964.0,10716867.992128
工程机械器件,20240229,34.67,4.85,3525687.0,11030458.839987
工程机械器件,20240301,34.72,4.86,3534719.0,11062344.301913
工程机械器件,20240304,34.99,4.9,3556849.0,11125721.666946
工程机械器件,20240305,35.37,4.95,3584362.0,11205986.583287
工程机械器件,20240306,35.26,4.93,3584670.0,11224439.437561
