name,trade_date,pe,pb,float_mv,total_mv
广告营销,20240102,41.63,3.32,16684620.0,26362903.116903
广告营销,20240103,41.87,3.34,16760704.0,26462263.230629
广告营销,20240104,41.46,3.3,16591617.0,26201615.996773
广告营销,20240105,40.9,3.26,16361855.0,25802416.821956
广告营销,20240108,40.99,3.24,16394356.0,25757875.168624
广告营销,20240109,40.7,3.22,16283318.0,25606806.628608
广告营销,20240110,39.72,3.14,15899405.0,24992022.542576
广告营销,20240111,40.66,3.21,16285178.0,25597584.754763
广告营销,20240112,39.91,3.15,15992812.0,25098444.406249
广告营销,20240115,39.96,3.16,16006987.0,25109706.225561
广告营销,20240116,39.44,3.12,15795684.0,24844310.748067
广告营销,20240117,38.32,3.03,15370730.0,24187945.889661
广告营销,20240118,38.61,3.05,15464563.0,24305209.345977
广告营销,20240119,38.37,3.03,15382991.0,24197697.322314
广告营销,20240122,36.25,2.87,14522537.0,22825358.514447
广告营销,20240123,36.92,2.92,14818094.0,23250587.689675
广告营销,20240124,37.76,2.98,15145008.0,23769605.640063
广告营销,20240125,38.64,3.06,15504223.0,24393920.648457
广告营销,20240126,38.38,3.03,15377843.0,24224832.019325
广告营销,20240129,37.05,2.93,14836986.0,23360261.777748
广告营销,20240130,36.07,2.85,14432293.0,22725467.165497
广告营销,20240131,35.03,2.77,14009246.0,22072344.394997
广告营销,20240201,34.58,2.73,13836898.0,21793674.692234
广告营销,20240202,34.07,2.69,13623037.0,21398976.264971
广告营销,20240205,32.01,2.53,12781656.0,20014949.891452
广告营销,20240206,33.19,2.62,13262701.0,20648829.743755
广告营销,20240207,33.38,2.64,13346332.0,20686194.595275
广告营销,20240208,34.58,2.73,13838585.0,21489132.639487
广告营销,20240219,36.67,2.9,14733470.0,22905658.792174
广告营销,20240220,37.27,2.95,14990964.0,23385828.321339
广告营销,20240221,37.64,2.98,15112307.0,23676079.218569
广告营销,20240222,38.54,3.05,15480886.0,24311328.695164
广告营销,20240223,39.9,3.15,16031733.0,25265610.578851
广告营销,20240226,39.85,3.15,15994523.0,25286736.438137
广告营销,20240227,40.96,3.24,16442565.0,26028933.299331
广告营销,20240228,38.95,3.08,15610103.0,24824726.620403
广告营销,20240229,40.2,3.18,16114591.0,25507589.128197
广告营销,20240301,40.35,3.19,16194670.0,25550960.637455
广告营销,20240304,40.67,3.22,16318104.0,25773450.52259
广告营销,20240305,40.11,3.17,16123377.0,25442375.520928
广告营销,20240306,39.69,3.14,15933310.0,25125629.973839
广告营销,20240307,38.92,3.08,15605834.0,24646789.303937
广告营销,20240308,39.4,3.11,15801071.0,24941250.270138
广告营销,20240311,39.9,3.15,15997128.0,25259627.037436
广告营销,20240312,40.72,3.22,16305308.0,25710991.281976
广告营销,20240313,41.16,3.25,16499860.0,26113432.452206
广告营销,20240314,40.53,3.2,16229305.0,25658422.262534
广告营销,20240315,40.56,3.21,16240313.0,25638894.29099
广告营销,20240318,41.86,3.31,16755806.0,26498943.114496
广告营销,20240319,40.92,3.24,16379650.0,25919768.493782
广告营销,20240320,42.63,3.37,17066985.0,27034406.007886
广告营销,20240321,43.32,3.42,17337500.0,27402090.753628
广告营销,20240322,43.88,3.47,17596601.0,27831077.004209
广告营销,20240325,42.32,3.35,16932466.0,26709964.877494
广告营销,20240326,41.8,3.3,16692380.0,26292228.943133
广告营销,20240327,40.2,3.18,16045408.0,25348834.913367
广告营销,20240328,41.5,3.25,16439991.0,25951376.356231
广告营销,20240329,41.0,3.21,16244770.0,25651663.901292
广告营销,20240401,42.25,3.31,16724579.0,26384191.263113
广告营销,20240402,41.45,3.25,16397335.0,25833398.224603
广告营销,20240403,40.76,3.2,16133941.0,25379094.211349
广告营销,20240408,40.22,3.16,15917520.0,25031137.702934
广告营销,20240409,40.67,3.19,16105264.0,25324293.484941
广告营销,20240410,40.01,3.14,15830032.0,24856772.807532
广告营销,20240411,40.68,3.2,16095026.0,25290101.596944
广告营销,20240412,39.96,3.14,15811409.0,24855759.939264
广告营销,20240415,38.74,3.07,15485569.0,24328860.610131
广告营销,20240416,37.03,2.94,14788993.0,23158473.320172
广告营销,20240417,38.68,3.07,15465192.0,24260703.207255
广告营销,20240418,38.28,3.04,15305471.0,24043650.309404
