name,trade_date,pe,pb,float_mv,total_mv
建筑材料,20240102,17.31,1.18,33014063.0,72290366.006939
建筑材料,20240103,17.34,1.19,33331976.0,74321400.861024
建筑材料,20240104,17.18,1.18,33051136.0,73751434.807684
建筑材料,20240105,17.05,1.17,32811393.0,73388248.024363
建筑材料,20240108,16.83,1.15,32397529.0,72373908.993213
建筑材料,20240109,16.94,1.16,32592597.0,72708814.705642
建筑材料,20240110,16.92,1.16,32611381.0,72787143.713006
建筑材料,20240111,17.1,1.17,32961150.0,73519953.023781
建筑材料,20240112,17.24,1.18,33208228.0,74087467.988061
建筑材料,20240115,17.34,1.19,33399006.0,74407270.695905
建筑材料,20240116,17.35,1.19,33405767.0,74451529.609283
建筑材料,20240117,16.86,1.16,32453978.0,72454724.329511
建筑材料,20240118,16.78,1.15,32321108.0,72172465.900234
建筑材料,20240119,16.52,1.13,31807219.0,71113148.863483
建筑材料,20240122,15.62,1.07,29919762.0,66204423.796923
建筑材料,20240123,15.68,1.08,30040058.0,66504617.544117
建筑材料,20240124,15.97,1.1,30604815.0,67836701.913071
建筑材料,20240125,16.53,1.14,31671669.0,70175786.210558
建筑材料,20240126,16.7,1.15,32021169.0,71080865.018547
建筑材料,20240129,16.53,1.14,31684484.0,70365621.618336
建筑材料,20240130,16.05,1.11,30755211.0,68369434.767031
建筑材料,20240131,15.71,1.08,30110624.0,66992910.433481
建筑材料,20240201,15.57,1.07,29830851.0,66371956.298086
建筑材料,20240202,15.23,1.05,29143698.0,64774686.896483
建筑材料,20240205,14.65,1.01,28000316.0,62392884.627422
建筑材料,20240206,15.23,1.05,29101849.0,64741405.234911
建筑材料,20240207,15.45,1.07,29499418.0,65529229.423915
建筑材料,20240208,15.88,1.1,30342722.0,67181698.57352
建筑材料,20240219,15.9,1.1,30392578.0,67318298.759978
建筑材料,20240220,16.03,1.1,29892815.0,67764273.488736
建筑材料,20240221,16.29,1.11,30387268.0,68812743.568857
建筑材料,20240222,16.37,1.12,30531313.0,69034070.830564
建筑材料,20240223,16.4,1.12,30603046.0,69214712.607964
建筑材料,20240226,16.37,1.12,30554837.0,69115425.827841
建筑材料,20240227,16.57,1.13,30924537.0,69976043.727533
建筑材料,20240228,16.14,1.1,30121304.0,68033758.455699
建筑材料,20240229,16.5,1.13,30810958.0,69594595.405286
建筑材料,20240301,16.54,1.13,30881704.0,69683461.876027
建筑材料,20240304,16.38,1.12,30575056.0,68920322.209698
建筑材料,20240305,16.28,1.11,30371239.0,68466793.243025
建筑材料,20240306,16.32,1.12,30469946.0,68646740.829752
建筑材料,20240307,16.27,1.11,30363951.0,68469854.171758
建筑材料,20240308,16.29,1.11,30400167.0,68550663.451258
建筑材料,20240311,16.53,1.13,30855434.0,69593956.339965
建筑材料,20240312,16.87,1.15,31498225.0,70951534.129814
建筑材料,20240313,16.67,1.14,31126260.0,70110106.275454
建筑材料,20240314,16.64,1.14,31065108.0,69939106.211992
建筑材料,20240315,16.77,1.14,31269066.0,70360085.942847
建筑材料,20240318,16.85,1.15,31415992.0,70753795.379678
建筑材料,20240319,16.71,1.14,31158288.0,70210434.810275
建筑材料,20240320,17.66,1.13,31132496.0,70200142.760843
建筑材料,20240321,17.56,1.13,30946153.0,69735538.380157
建筑材料,20240322,17.51,1.11,30458109.0,68558887.329172
建筑材料,20240325,17.58,1.11,30575262.0,68985005.390593
建筑材料,20240326,17.79,1.12,30860564.0,69652051.595944
建筑材料,20240327,17.13,1.09,30053183.0,68122460.471176
建筑材料,20240328,17.11,1.1,30184254.0,68183583.032906
建筑材料,20240329,16.98,1.11,31027330.0,68281026.617143
建筑材料,20240401,17.43,1.14,31908566.0,70229169.095842
建筑材料,20240402,17.5,1.14,31984811.0,70374139.278579
建筑材料,20240403,17.35,1.14,31905819.0,70225585.87278
建筑材料,20240408,16.95,1.11,31172559.0,68745712.26026
建筑材料,20240409,17.16,1.13,31586595.0,69608655.110043
建筑材料,20240410,16.87,1.11,30961585.0,68214449.976853
建筑材料,20240411,16.98,1.11,31152823.0,68641754.017998
建筑材料,20240412,16.68,1.09,30597307.0,67435060.983163
建筑材料,20240415,16.68,1.09,30594261.0,67546383.281134
建筑材料,20240416,16.2,1.06,29681331.0,65475665.488511
建筑材料,20240417,16.79,1.1,30770380.0,67857663.403956
建筑材料,20240418,16.86,1.1,30770157.0,67880788.327471
建筑材料,20240419,17.25,1.1,30740645.0,67808467.047477
建筑材料,20240422,17.35,1.11,30822321.0,67992001.738366
建筑材料,20240423,17.03,1.09,30268517.0,66749847.154135
建筑材料,20240424,17.02,1.09,30232307.0,66712756.049976
建筑材料,20240425,16.78,1.09,30320758.0,66825938.228327
建筑材料,20240426,17.01,1.1,30635059.0,67433334.234282
建筑材料,20240429,17.68,1.14,31825831.0,70035142.612153
建筑材料,20240430,17.46,1.12,31356468.0,68609507.686083
建筑材料,20240506,18.88,1.15,32073606.0,70105379.269339
建筑材料,20240507,19.06,1.16,32393468.0,70711483.20675
建筑材料,20240508,18.75,1.14,31871624.0,69581002.568132
建筑材料,20240509,19.06,1.16,32385922.0,70660009.179035
建筑材料,20240510,19.3,1.17,32786570.0,71413000.558306
建筑材料,20240513,19.17,1.17,32566199.0,70853345.815652
建筑材料,20240514,19.08,1.16,32427081.0,70579446.461342
建筑材料,20240515,19.33,1.18,32836000.0,71446490.022339
建筑材料,20240516,19.83,1.21,33691313.0,73298091.561426
建筑材料,20240517,20.27,1.23,34426903.0,74972494.741695
建筑材料,20240520,20.2,1.23,34335907.0,74789100.547761
建筑材料,20240521,20.06,1.22,34106510.0,74250376.280276
建筑材料,20240522,20.07,1.22,34132385.0,74388760.977307
建筑材料,20240523,19.62,1.19,33367570.0,72725159.035858
建筑材料,20240524,19.4,1.18,32984418.0,71845473.999135
建筑材料,20240527,19.28,1.17,32770616.0,71421770.014451
建筑材料,20240528,18.97,1.15,32242718.0,70299178.13304
建筑材料,20240529,18.97,1.15,32243713.0,70288901.832661
建筑材料,20240530,18.75,1.14,31877147.0,69561668.645849
建筑材料,20240531,18.5,1.13,31458817.0,68663847.498931
建筑材料,20240603,18.3,1.11,31102759.0,67762041.026867
建筑材料,20240604,18.54,1.13,31507679.0,68534527.259834
建筑材料,20240605,18.26,1.11,31031689.0,67496990.356217
建筑材料,20240606,17.9,1.09,30418254.0,66109549.856002
建筑材料,20240607,18.02,1.1,30627506.0,66652511.504005
建筑材料,20240611,17.88,1.09,30386579.0,66065423.870842
建筑材料,20240612,17.9,1.09,30427654.0,66036743.600866
建筑材料,20240613,17.46,1.06,29687770.0,64576538.24261
建筑材料,20240614,17.63,1.07,29983200.0,65073727.089951
建筑材料,20240617,17.43,1.06,29625963.0,64338843.087838
建筑材料,20240618,17.5,1.07,29760656.0,64600177.072902
建筑材料,20240619,17.32,1.05,29441967.0,63851663.880933
建筑材料,20240620,34.11,1.03,13839830.0,62650272.070518
建筑材料,20240621,17.24,1.05,29326525.0,63700293.751174
建筑材料,20240624,16.85,1.03,28654860.0,62314383.81382
建筑材料,20240625,16.98,1.03,28901057.0,62835091.399305
建筑材料,20240626,17.18,1.05,29256430.0,63443181.872638
建筑材料,20240627,16.89,1.03,28744507.0,62324877.637823
建筑材料,20240628,16.8,1.02,28603674.0,62049934.084494
建筑材料,20240701,17.18,1.05,29259771.0,63418792.193567
建筑材料,20240702,17.07,1.04,29072420.0,63047742.086977
建筑材料,20240703,17.02,1.04,28996252.0,62941613.777334
建筑材料,20240704,16.68,1.02,28403118.0,61673014.684767
建筑材料,20240705,16.76,1.02,28538623.0,61899009.277147
建筑材料,20240708,16.47,1.0,28021806.0,60887007.344874
建筑材料,20240709,16.31,0.99,27758860.0,60310641.01791
建筑材料,20240710,16.21,0.99,27571850.0,59943384.270657
建筑材料,20240711,16.56,1.01,28179911.0,61193886.971949
建筑材料,20240712,16.67,1.02,28362873.0,61635799.55315
建筑材料,20240715,16.54,1.01,28149409.0,60226408.119949
建筑材料,20240716,16.43,1.0,27949788.0,59814600.271739
建筑材料,20240717,16.63,1.01,28288063.0,60474588.923301
建筑材料,20240718,16.6,1.01,28237423.0,60424711.838015
建筑材料,20240719,16.49,1.0,28110423.0,60149520.549044
建筑材料,20240722,16.36,0.99,27892907.0,59707272.462659
建筑材料,20240723,16.05,0.97,27367331.0,58576176.21974
建筑材料,20240724,15.91,0.96,27124690.0,58030329.605666
建筑材料,20240725,16.09,0.97,27422448.0,58651440.526006
建筑材料,20240726,16.24,0.98,27690626.0,59187290.801333
建筑材料,20240729,16.0,0.97,27285602.0,58425397.684564
建筑材料,20240730,16.05,0.97,27375918.0,58620343.048781
建筑材料,20240731,16.22,1.0,27571237.0,58903799.891257
建筑材料,20240801,16.03,0.98,27251000.0,58197325.577303
建筑材料,20240802,15.82,0.97,26901014.0,57463127.464927
建筑材料,20240805,15.66,0.96,26632409.0,56906049.492658
建筑材料,20240806,15.87,0.98,26984016.0,57613744.401724
建筑材料,20240807,15.86,0.98,26957804.0,57534995.550253
建筑材料,20240808,16.08,0.99,27336169.0,58318336.052274
建筑材料,20240809,16.03,0.99,27248148.0,58114722.615068
建筑材料,20240812,15.78,0.97,26803985.0,57252087.216733
建筑材料,20240813,15.8,0.97,26841199.0,57370185.627842
建筑材料,20240814,15.62,0.96,26536709.0,56756380.834797
建筑材料,20240815,15.68,0.96,26641479.0,56904826.068663
建筑材料,20240816,15.42,0.95,26191560.0,55925877.331056
建筑材料,20240819,15.36,0.94,26091531.0,55751477.756342
建筑材料,20240820,15.06,0.93,25582892.0,54669060.21035
建筑材料,20240821,14.89,0.91,25273850.0,54084515.432692
建筑材料,20240822,14.68,0.9,24905961.0,53165728.237587
建筑材料,20240823,14.94,0.92,25351309.0,54260579.748759
建筑材料,20240826,15.03,0.93,25508472.0,54456237.052398
建筑材料,20240827,14.82,0.91,25163572.0,53669651.903287
建筑材料,20240828,14.61,0.91,24809575.0,52895607.882438
建筑材料,20240829,14.76,0.92,25067884.0,53403465.455155
建筑材料,20240830,15.14,0.93,25698010.0,54626283.857304
建筑材料,20240902,17.57,0.91,25072345.0,53216690.710208
建筑材料,20240903,17.61,0.91,25122459.0,53272862.793676
建筑材料,20240904,17.4,0.9,24827035.0,52683635.332396
建筑材料,20240905,17.62,0.91,25144413.0,53408666.96676
建筑材料,20240906,17.34,0.9,24740881.0,52554828.326538
建筑材料,20240909,17.16,0.89,24500722.0,52108697.533254
建筑材料,20240910,16.97,0.88,24228918.0,51528792.500462
建筑材料,20240911,17.01,0.88,24278497.0,51613885.622416
建筑材料,20240912,17.0,0.88,24271387.0,51629220.04415
建筑材料,20240913,16.83,0.87,24033272.0,51150111.978077
建筑材料,20240918,16.95,0.88,24200304.0,51429380.840251
建筑材料,20240919,17.31,0.89,24720279.0,52568903.272241
建筑材料,20240920,17.17,0.89,24515511.0,52097358.808688
建筑材料,20240923,17.24,0.89,24617370.0,52220802.773192
建筑材料,20240924,17.99,0.93,25676571.0,54505455.521756
建筑材料,20240925,18.21,0.94,25990874.0,55173223.205158
建筑材料,20240926,19.31,1.0,27545721.0,58587034.810815
建筑材料,20240927,20.37,1.06,29064090.0,61756916.132804
建筑材料,20240930,22.14,1.15,31601428.0,67270973.605123
建筑材料,20241008,22.87,1.19,32669420.0,69742288.533203
建筑材料,20241009,20.84,1.08,29757643.0,63457421.475774
建筑材料,20241010,21.19,1.1,30258823.0,64601086.159766
建筑材料,20241011,20.76,1.08,29630126.0,63126125.347498
建筑材料,20241014,21.6,1.12,30829965.0,65687601.476803
建筑材料,20241015,21.3,1.11,30394789.0,64588734.437651
建筑材料,20241016,21.78,1.13,31097653.0,66155200.713369
建筑材料,20241017,21.08,1.09,30094588.0,64043646.719781
建筑材料,20241018,21.36,1.11,30493722.0,64840236.546186
建筑材料,20241021,21.41,1.11,30568128.0,65086021.213236
建筑材料,20241022,21.8,1.13,31107900.0,66180402.201698
建筑材料,20241023,22.06,1.14,31480774.0,67005490.329788
建筑材料,20241024,21.72,1.13,30998134.0,65968635.66256
建筑材料,20241025,22.31,1.15,31832687.0,67698996.844876
建筑材料,20241028,23.03,1.19,32870973.0,69790055.434356
建筑材料,20241029,22.51,1.16,32122569.0,68154423.172325
建筑材料,20241030,22.83,1.17,32562328.0,69167220.867869
建筑材料,20241031,23.18,1.19,33075351.0,70216451.451367
建筑材料,20241101,26.08,1.17,32545291.0,69174950.403771
建筑材料,20241104,26.18,1.18,32677764.0,69509760.800671
建筑材料,20241105,26.67,1.2,33290376.0,70914604.939673
建筑材料,20241106,26.91,1.21,33598162.0,71591025.783352
建筑材料,20241107,27.69,1.24,34575047.0,73776505.280721
建筑材料,20241108,27.02,1.21,33746273.0,71832677.857629
建筑材料,20241111,26.86,1.21,33543101.0,71376040.558735
建筑材料,20241112,26.64,1.2,33275511.0,70822633.135828
建筑材料,20241113,26.58,1.19,33196776.0,70724976.576345
建筑材料,20241114,26.14,1.17,32636472.0,69574055.413202
建筑材料,20241115,25.61,1.15,31979293.0,68111667.367771
建筑材料,20241118,25.51,1.15,31855183.0,67930354.222826
建筑材料,20241119,25.59,1.15,31962946.0,68214489.536309
建筑材料,20241120,25.81,1.16,32242063.0,68734461.890459
建筑材料,20241121,25.78,1.16,32201428.0,68593009.38879
建筑材料,20241122,25.08,1.13,31331064.0,66508632.673692
建筑材料,20241125,25.33,1.14,31643353.0,67256005.347307
建筑材料,20241126,25.27,1.13,31551498.0,67115735.344196
建筑材料,20241127,25.69,1.15,32085250.0,68306751.583102
建筑材料,20241128,25.76,1.16,32168081.0,68514003.16439
建筑材料,20241129,25.92,1.16,32374087.0,68966822.993224
建筑材料,20241202,26.31,1.18,32863683.0,69985731.45669
建筑材料,20241203,26.44,1.19,33019034.0,70208532.853434
建筑材料,20241204,25.91,1.16,32354403.0,68868509.183071
建筑材料,20241205,25.97,1.17,32442018.0,69105101.282375
建筑材料,20241206,26.4,1.19,32983522.0,70206361.358824
建筑材料,20241209,26.42,1.19,33006632.0,70214765.330172
建筑材料,20241210,26.66,1.2,33304581.0,70896784.159403
建筑材料,20241211,26.84,1.2,33531063.0,71507801.127236
建筑材料,20241212,27.3,1.23,34117098.0,72800815.485353
建筑材料,20241213,26.72,1.2,33394476.0,71148235.73699
建筑材料,20241216,26.11,1.17,32646516.0,69497613.420468
建筑材料,20241217,25.62,1.15,32021354.0,68144107.383548
建筑材料,20241218,25.68,1.15,32109386.0,68353519.205813
建筑材料,20241219,25.53,1.15,31922304.0,67863459.039385
建筑材料,20241220,25.44,1.14,31823451.0,67600881.106117
建筑材料,20241223,25.09,1.13,31355868.0,66571741.547835
建筑材料,20241224,25.49,1.14,31850775.0,67559005.629535
建筑材料,20241225,25.33,1.14,31642237.0,67061323.534656
建筑材料,20241226,25.0,1.12,31247628.0,66233375.275329
建筑材料,20241227,25.32,1.14,31635990.0,66964723.314461
建筑材料,20241230,25.07,1.13,31340327.0,66331662.604739
建筑材料,20241231,24.65,1.11,30819146.0,65133867.389749
建筑材料,20250102,24.31,1.09,30383986.0,64115330.313975
建筑材料,20250103,23.9,1.07,29853652.0,62969018.890127
建筑材料,20250106,23.9,1.07,29852932.0,63004113.006802
建筑材料,20250107,24.1,1.08,30115465.0,63523918.562393
建筑材料,20250108,23.99,1.08,29977667.0,63128080.360612
建筑材料,20250109,23.97,1.08,29951327.0,63151818.843971
建筑材料,20250110,23.52,1.06,29378366.0,61819525.552881
建筑材料,20250113,23.56,1.06,29428999.0,61954248.58626
建筑材料,20250114,24.18,1.09,30215196.0,63536109.47143
建筑材料,20250115,24.17,1.08,30198127.0,63425176.813814
建筑材料,20250116,24.31,1.09,30383345.0,63849189.677252
建筑材料,20250117,24.37,1.09,30448153.0,64038173.744343
建筑材料,20250120,24.19,1.09,30239884.0,63747921.68656
建筑材料,20250121,24.15,1.08,30183661.0,63521038.436252
建筑材料,20250122,23.92,1.07,29884399.0,62901720.539424
建筑材料,20250123,23.94,1.07,29909123.0,63049593.593731
建筑材料,20250124,24.06,1.08,30058785.0,63288462.975119
建筑材料,20250127,24.38,1.09,30457885.0,64092400.105274
建筑材料,20250205,23.86,1.07,29755414.0,62873179.072061
建筑材料,20250206,23.94,1.07,29859117.0,63091952.920164
建筑材料,20250207,24.31,1.09,30306018.0,64073106.575749
建筑材料,20250210,24.5,1.1,30552456.0,64638485.0
建筑材料,20250211,24.38,1.09,30390040.0,64247594.0
建筑材料,20250212,24.44,1.1,30466394.0,64386647.0
建筑材料,20250213,24.58,1.1,30643142.0,64772361.0
建筑材料,20250214,24.36,1.09,30371646.0,64217960.0
