name,trade_date,pe,pb,float_mv,total_mv
建筑装饰,20240102,8.38,0.74,65486403.0,162260685.735257
建筑装饰,20240103,8.42,0.74,65717479.0,162908230.739575
建筑装饰,20240104,8.38,0.74,65471553.0,162302512.651837
建筑装饰,20240105,8.35,0.73,65183899.0,161823233.129803
建筑装饰,20240108,8.23,0.72,64142060.0,159373316.382196
建筑装饰,20240109,8.26,0.73,64406743.0,159728882.265529
建筑装饰,20240110,8.19,0.72,63870788.0,158407651.951062
建筑装饰,20240111,8.25,0.73,64341354.0,159555634.452303
建筑装饰,20240112,8.28,0.73,64542928.0,160119676.012709
建筑装饰,20240115,8.3,0.73,64692649.0,160632978.296282
建筑装饰,20240116,8.29,0.73,64571313.0,160368512.885508
建筑装饰,20240117,8.1,0.71,63109743.0,156746725.297379
建筑装饰,20240118,8.06,0.71,62786155.0,156030836.32006
建筑装饰,20240119,8.0,0.7,62307001.0,154905653.809042
建筑装饰,20240122,7.74,0.68,60312503.0,150886638.75929
建筑装饰,20240123,7.78,0.68,60586895.0,151675790.221221
建筑装饰,20240124,8.11,0.71,63229611.0,158670159.276201
建筑装饰,20240125,8.54,0.75,66599185.0,167605378.731715
建筑装饰,20240126,9.25,0.78,62899929.0,168857806.172126
建筑装饰,20240129,9.19,0.78,62504880.0,168717204.910593
建筑装饰,20240130,9.05,0.76,61567971.0,165953674.98348
建筑装饰,20240131,8.79,0.74,59821121.0,161770638.601091
建筑装饰,20240201,8.56,0.72,58237112.0,157547125.425958
建筑装饰,20240202,8.38,0.71,56944071.0,154869101.397519
建筑装饰,20240205,7.93,0.67,53793437.0,147221696.822349
建筑装饰,20240206,8.1,0.69,54936201.0,150390722.350025
建筑装饰,20240207,8.15,0.69,55240870.0,151306922.844323
建筑装饰,20240208,8.34,0.71,56597846.0,154135026.621782
建筑装饰,20240219,8.49,0.72,57614468.0,157118391.447225
建筑装饰,20240220,8.55,0.72,58023932.0,158072592.331315
建筑装饰,20240221,8.71,0.74,59133876.0,161176871.969571
建筑装饰,20240222,8.8,0.74,59755625.0,162686562.134996
建筑装饰,20240223,8.89,0.75,60542559.0,164346552.02542
建筑装饰,20240226,8.81,0.74,59969527.0,162309871.676195
建筑装饰,20240227,8.95,0.76,60985336.0,164677361.178902
建筑装饰,20240228,8.74,0.74,59499621.0,161456563.883469
建筑装饰,20240229,8.92,0.75,60797203.0,164526206.97677
建筑装饰,20240301,8.92,0.75,60800988.0,164349562.658266
建筑装饰,20240304,8.86,0.75,60425396.0,163267820.41614
建筑装饰,20240305,8.88,0.75,60547523.0,163879810.873782
建筑装饰,20240306,8.9,0.75,60664402.0,163949088.619738
建筑装饰,20240307,8.85,0.75,60354232.0,163115270.317264
建筑装饰,20240308,8.95,0.76,61001186.0,164617856.515633
建筑装饰,20240311,9.04,0.76,61664446.0,166010903.996535
建筑装饰,20240312,9.02,0.76,61553824.0,165518798.005474
建筑装饰,20240313,8.95,0.76,61068240.0,163876348.093734
建筑装饰,20240314,8.98,0.76,61291323.0,164625122.226302
建筑装饰,20240315,9.02,0.76,61559033.0,165094099.585324
建筑装饰,20240318,9.2,0.78,62833442.0,168370224.575562
建筑装饰,20240319,9.12,0.77,62280589.0,166836234.754371
建筑装饰,20240320,9.19,0.78,62772873.0,168025174.995719
建筑装饰,20240321,9.18,0.78,62709200.0,167693448.763891
建筑装饰,20240322,9.04,0.76,61662972.0,165048213.855471
建筑装饰,20240325,8.96,0.76,61144891.0,164035031.396488
建筑装饰,20240326,8.99,0.76,61373623.0,164717090.197706
建筑装饰,20240327,8.74,0.74,60014767.0,161424102.762926
建筑装饰,20240328,8.82,0.75,60752452.0,163154494.68732
建筑装饰,20240329,8.92,0.75,61513864.0,165374728.673632
建筑装饰,20240401,9.11,0.77,62832349.0,168752612.126685
建筑装饰,20240402,9.07,0.77,62606277.0,168011429.321224
建筑装饰,20240403,9.06,0.76,62504137.0,167832604.02262
建筑装饰,20240408,8.92,0.75,61493750.0,165545989.606962
建筑装饰,20240409,8.86,0.75,61094012.0,164126331.205698
建筑装饰,20240410,8.68,0.73,59975824.0,161399097.377092
建筑装饰,20240411,8.76,0.74,60423974.0,162526160.483478
建筑装饰,20240412,8.64,0.73,59615695.0,160324316.407858
