name,trade_date,pe,pb,float_mv,total_mv
快递,20240102,18.79,1.81,9898618.0,28211221.727185
快递,20240103,18.58,1.79,9791618.0,27921511.125373
快递,20240104,18.37,1.77,9678586.0,27605870.883762
快递,20240105,18.32,1.77,9652091.0,27534513.855744
快递,20240108,18.17,1.75,9574132.0,27328030.048107
快递,20240109,18.45,1.78,9723448.0,27737020.329838
快递,20240110,18.53,1.79,9764557.0,27854411.542529
快递,20240111,18.71,1.81,9860643.0,28129718.282307
快递,20240112,18.53,1.79,9765428.0,27852492.562508
快递,20240115,18.53,1.79,9761511.0,27846698.926085
快递,20240116,18.72,1.81,9864632.0,28130842.130473
快递,20240117,18.41,1.78,9701247.0,27662069.266472
快递,20240118,18.48,1.78,9738516.0,27760515.755816
快递,20240119,18.28,1.76,9631385.0,27448822.273957
快递,20240122,17.8,1.72,9381211.0,26734693.330151
快递,20240123,17.74,1.71,9346668.0,26622620.459899
快递,20240124,18.02,1.74,9494671.0,27047159.7676
快递,20240125,18.34,1.77,9663183.0,27539104.959338
快递,20240126,18.05,1.74,9511339.0,27134916.333745
快递,20240129,17.63,1.7,9291160.0,26508798.801388
快递,20240130,16.6,1.6,8746796.0,24960010.332106
快递,20240131,16.85,1.63,8879637.0,25321784.825811
快递,20240201,16.73,1.61,8813418.0,25122958.092204
快递,20240202,16.38,1.58,8629483.0,24597344.985168
快递,20240205,16.41,1.58,8643862.0,24658684.660951
快递,20240206,17.47,1.69,9205760.0,26226386.332134
快递,20240207,17.96,1.73,9463580.0,26978520.779199
快递,20240208,18.15,1.75,9564315.0,27269929.047001
快递,20240219,18.3,1.77,9642658.0,27484170.692569
快递,20240220,18.5,1.78,9749941.0,27771154.042805
快递,20240221,18.86,1.82,9938372.0,28314209.58988
快递,20240222,18.9,1.82,9959115.0,28367005.10834
快递,20240223,19.08,1.84,10054418.0,28617939.310893
快递,20240226,18.94,1.83,9978958.0,28409669.440162
快递,20240227,18.83,1.82,9918959.0,28236079.43496
快递,20240228,18.4,1.78,9697425.0,27611894.753214
快递,20240229,18.65,1.8,9824592.0,27987103.774288
快递,20240301,18.53,1.79,9764267.0,27812568.074571
快递,20240304,18.48,1.78,9739625.0,27729196.087825
快递,20240305,18.46,1.78,9724720.0,27684919.517728
快递,20240306,18.29,1.76,9637558.0,27426706.628488
快递,20240307,18.18,1.75,9580677.0,27307929.969979
快递,20240308,18.19,1.75,9585466.0,27303594.610674
快递,20240311,18.66,1.8,9830897.0,27969414.25254
快递,20240312,19.3,1.86,10170974.0,28936511.116366
快递,20240313,19.54,1.88,10295107.0,29287076.279577
快递,20240314,19.4,1.87,10221438.0,29060241.405474
快递,20240315,19.56,1.89,10306126.0,29285264.619107
快递,20240318,19.54,1.88,10296159.0,29281506.897708
快递,20240319,19.3,1.86,10170337.0,28918874.637307
快递,20240320,19.91,1.92,10491440.0,29829739.543129
快递,20240321,19.67,1.9,10364066.0,29473175.702525
快递,20240322,19.28,1.86,10157226.0,28895566.156818
快递,20240325,19.11,1.84,10067674.0,28639135.049172
快递,20240326,19.19,1.85,10109474.0,28740787.21226
快递,20240327,18.24,1.77,9779855.0,27803621.961838
快递,20240328,18.33,1.78,9827460.0,27934799.981344
快递,20240329,18.48,1.79,9909825.0,28176767.890504
快递,20240401,18.65,1.81,10001360.0,28411211.793155
快递,20240402,18.43,1.79,9884746.0,28089397.233348
快递,20240403,18.28,1.77,9804387.0,27868365.016855
快递,20240408,18.05,1.75,9677658.0,27505429.87423
快递,20240409,18.06,1.75,9686686.0,27529256.598609
快递,20240410,18.04,1.75,9674420.0,27486429.540014
快递,20240411,17.9,1.73,9597254.0,27271711.719405
快递,20240412,17.91,1.74,9604456.0,27312009.668114
快递,20240415,18.18,1.76,9746336.0,27727930.980745
快递,20240416,17.73,1.72,9508729.0,27064482.997525
快递,20240417,18.13,1.76,9721397.0,27659521.472438
快递,20240418,18.17,1.76,9745545.0,27732391.679334
快递,20240419,17.98,1.74,9642182.0,27430999.556436
快递,20240422,18.34,1.78,9833908.0,27996130.974713
快递,20240423,18.23,1.77,9775427.0,27831894.212692
快递,20240424,18.3,1.77,9813406.0,27927483.036254
快递,20240425,18.85,1.82,10140464.0,28835738.256437
快递,20240426,18.79,1.79,10048626.0,28577934.936903
快递,20240429,18.98,1.8,10132461.0,28798112.120046
快递,20240430,19.23,1.79,10059411.0,28596767.601937
快递,20240506,19.15,1.83,10265530.0,29149906.612019
快递,20240507,19.25,1.84,10316954.0,29288106.316975
快递,20240508,18.97,1.81,10168835.0,28873567.432529
快递,20240509,19.38,1.85,10386500.0,29489689.493633
快递,20240510,19.38,1.85,10389715.0,29472758.055329
快递,20240513,19.27,1.84,10331212.0,29287697.835387
快递,20240514,19.57,1.87,10488420.0,29692323.188402
快递,20240515,19.28,1.84,10331457.0,29248786.991853
快递,20240516,19.26,1.84,10325333.0,29226308.991688
快递,20240517,20.06,1.91,10776911.0,30404683.322602
快递,20240520,20.12,1.92,10805075.0,30505671.020993
快递,20240521,20.51,1.96,11017998.0,31110644.194033
快递,20240522,20.26,1.93,10881564.0,30706147.491972
快递,20240523,20.24,1.93,10873308.0,30678173.524562
快递,20240524,20.01,1.91,10746323.0,30301521.121968
快递,20240527,20.01,1.91,10746423.0,30335210.155319
快递,20240528,19.73,1.88,10596960.0,29922111.429122
快递,20240529,19.77,1.89,10617058.0,29964424.889396
快递,20240530,19.4,1.85,10422501.0,29410901.967421
快递,20240531,19.28,1.84,10354613.0,29226291.223572
快递,20240603,19.4,1.85,10420505.0,29396974.784345
快递,20240604,19.68,1.88,10572819.0,29815848.829912
快递,20240605,19.57,1.87,10512851.0,29656122.3709
快递,20240606,19.36,1.85,10401107.0,29355738.494468
快递,20240607,19.47,1.86,10461073.0,29534729.178576
快递,20240611,19.14,1.83,10280721.0,29027049.592606
快递,20240612,19.21,1.83,10318417.0,29125887.439882
快递,20240613,18.69,1.78,10041592.0,28350401.722927
快递,20240614,18.72,1.79,10058374.0,28404713.20762
快递,20240617,18.77,1.79,10084881.0,28463071.060855
快递,20240618,18.61,1.78,9999246.0,28226351.2186
快递,20240619,18.67,1.78,10031793.0,28314927.789034
快递,20240620,26.13,1.76,7594795.0,27983995.235938
快递,20240621,18.36,1.75,9861155.0,27830563.912618
快递,20240624,18.1,1.73,9725555.0,27158378.389902
快递,20240625,18.31,1.75,9837720.0,27458479.808277
快递,20240626,18.42,1.76,9896748.0,27618914.536894
快递,20240627,18.09,1.73,9719648.0,27136037.640106
快递,20240628,18.08,1.73,9527803.0,27454988.164543
快递,20240701,17.91,1.71,9437607.0,27208846.710164
快递,20240702,17.59,1.68,9270655.0,26750514.221362
快递,20240703,17.4,1.66,9170509.0,26444677.874916
快递,20240704,17.29,1.65,9110077.0,26277164.838453
快递,20240705,17.27,1.65,9100538.0,26267134.16646
快递,20240708,17.08,1.63,9001467.0,25997307.866028
快递,20240709,17.27,1.65,9101506.0,26281263.433815
快递,20240710,17.2,1.64,9065837.0,26196615.459278
快递,20240711,17.4,1.66,9171049.0,26509344.69052
快递,20240712,17.36,1.66,9148574.0,26444405.393972
快递,20240715,17.42,1.66,9178615.0,26498405.325149
快递,20240716,17.34,1.66,9139069.0,26389552.373061
快递,20240717,17.7,1.69,9326077.0,26934261.598616
快递,20240718,17.82,1.7,9387969.0,27117494.550352
快递,20240719,17.86,1.71,9413758.0,27193533.827509
快递,20240722,17.79,1.7,9374403.0,27090541.807427
快递,20240723,17.48,1.67,9213739.0,26630664.35799
快递,20240724,17.27,1.65,9098190.0,26296538.008911
快递,20240725,17.29,1.65,9111935.0,26323704.696412
快递,20240726,17.26,1.65,9096331.0,26265973.217985
快递,20240729,16.96,1.62,8938060.0,25814288.761697
快递,20240730,16.86,1.61,8882709.0,25629581.849595
快递,20240731,17.53,1.67,9238642.0,26658289.815927
快递,20240801,17.28,1.65,9105180.0,26271627.600953
快递,20240802,17.15,1.64,9037696.0,26080349.822676
快递,20240805,17.22,1.64,9074119.0,26174757.835648
快递,20240806,17.29,1.65,9113334.0,26295294.464506
快递,20240807,17.38,1.66,9159035.0,26421937.076095
快递,20240808,17.65,1.68,9298635.0,26834722.89648
快递,20240809,17.46,1.67,9200087.0,26554546.870212
快递,20240812,17.28,1.65,9103966.0,26278665.934552
快递,20240813,17.13,1.64,9028791.0,26064129.731863
快递,20240814,16.92,1.62,8914075.0,25745127.947043
快递,20240815,17.13,1.64,9027734.0,26081068.928247
快递,20240816,17.23,1.65,9081214.0,26270978.206359
快递,20240819,17.11,1.63,9013680.0,26066008.356335
快递,20240820,17.08,1.63,9002380.0,26018670.392204
快递,20240821,17.08,1.63,8998765.0,26012360.673489
快递,20240822,16.95,1.62,8932732.0,25814325.982401
快递,20240823,17.18,1.64,9054526.0,26167921.771321
快递,20240826,17.19,1.64,9057298.0,26166661.48776
快递,20240827,16.97,1.62,8941034.0,25826908.353498
快递,20240828,16.81,1.61,8860724.0,25560242.216325
快递,20240829,17.88,1.73,9420135.0,27174727.700288
快递,20240830,18.1,1.76,9537723.0,27540491.282495
快递,20240902,17.35,1.78,9674845.0,27896319.039424
快递,20240903,17.77,1.82,9906733.0,28551188.710143
快递,20240904,17.73,1.82,9978124.0,28443626.586286
快递,20240905,17.66,1.81,9939735.0,28321119.259393
快递,20240906,17.46,1.79,9826936.0,28001154.117357
快递,20240909,17.39,1.78,9788546.0,27886172.478292
快递,20240910,17.35,1.78,9765940.0,27820067.532848
快递,20240911,17.41,1.78,9799233.0,27914829.378495
快递,20240912,17.21,1.76,9684619.0,27595962.927099
快递,20240913,17.15,1.76,9650973.0,27492415.17655
快递,20240918,17.42,1.79,9804588.0,27909766.882465
快递,20240919,17.54,1.8,9869766.0,28120553.612828
快递,20240920,17.81,1.82,10022732.0,28543456.646798
快递,20240923,17.73,1.82,9981843.0,28441506.864233
快递,20240924,18.21,1.87,10250236.0,29229705.355752
快递,20240925,18.19,1.87,10364548.0,29241714.387649
快递,20240926,19.05,1.95,10849438.0,30617789.772882
快递,20240927,19.81,2.03,11286649.0,31878204.223188
快递,20240930,20.97,2.15,11943016.0,33722325.889568
快递,20241008,20.92,2.14,11916154.0,33623534.122461
快递,20241009,19.29,1.98,10988077.0,30999187.845825
快递,20241010,19.73,2.02,11236576.0,31683007.414658
快递,20241011,19.79,2.03,11271611.0,31787309.210367
快递,20241014,20.24,2.07,11529629.0,32536553.755379
快递,20241015,19.73,2.02,11239675.0,31718569.075093
快递,20241016,19.77,2.03,11262860.0,31777049.572075
快递,20241017,19.54,2.0,11131705.0,31409329.634505
快递,20241018,19.87,2.04,11316754.0,31935248.413759
快递,20241021,19.78,2.03,11270122.0,31800035.28388
快递,20241022,20.21,2.07,11510691.0,32486578.790469
快递,20241023,20.35,2.09,11592770.0,32693375.375183
快递,20241024,20.27,2.08,11544207.0,32550147.389093
快递,20241025,20.2,2.07,11508641.0,32472043.752167
快递,20241028,20.09,2.06,11441910.0,32292688.019438
快递,20241029,19.92,2.04,11349512.0,32047647.386569
快递,20241030,20.27,2.03,11545292.0,32619113.121621
快递,20241031,20.3,2.04,11565931.0,32706908.61409
快递,20241101,19.17,2.05,11693831.0,33088900.06573
快递,20241104,19.25,2.06,11743329.0,33241700.819747
快递,20241105,19.34,2.07,11796459.0,33382400.328411
快递,20241106,19.52,2.09,12882404.0,33204317.885505
快递,20241107,19.55,2.09,12896448.0,33249646.129649
快递,20241108,19.55,2.09,12898933.0,33249693.426075
快递,20241111,19.28,2.06,12722789.0,32798128.977019
快递,20241112,19.32,2.07,12749588.0,32858786.324879
快递,20241113,19.44,2.08,12828493.0,33062335.688686
快递,20241114,18.96,2.03,12511183.0,32246709.171418
快递,20241115,18.67,2.0,12321701.0,31771185.539868
快递,20241118,18.47,1.98,12185932.0,31422948.427425
快递,20241119,18.51,1.98,12211765.0,31494111.116283
快递,20241120,18.25,1.95,12042575.0,31057826.762367
快递,20241121,18.14,1.94,11967289.0,30858248.763254
快递,20241122,17.63,1.89,11632917.0,29991929.068529
快递,20241125,17.84,1.91,11774253.0,30347419.992517
快递,20241126,17.91,1.92,11818529.0,30501146.811339
快递,20241127,17.93,1.92,11828355.0,30535458.121893
快递,20241128,17.6,1.88,11613865.0,29973510.320133
快递,20241129,17.7,1.89,11677494.0,30145104.892721
快递,20241202,17.73,1.9,11697734.0,30192985.952404
快递,20241203,17.69,1.89,11670807.0,30122040.551467
快递,20241204,17.44,1.87,11508433.0,29699305.031753
快递,20241205,17.34,1.86,11441805.0,29532482.50916
快递,20241206,17.54,1.88,11576426.0,29876701.97119
快递,20241209,17.61,1.88,11619828.0,29986317.154473
快递,20241210,17.77,1.9,11726654.0,30262047.754819
快递,20241211,17.7,1.89,11681732.0,30150972.758086
快递,20241212,18.12,1.94,11954964.0,30853510.040206
快递,20241213,17.79,1.9,11740983.0,30299142.660603
快递,20241216,17.39,1.86,11473253.0,29617058.785973
快递,20241217,17.4,1.86,11483113.0,29635600.404809
快递,20241218,17.31,1.85,11419916.0,29472046.6198
快递,20241219,17.59,1.88,11606441.0,29943538.685136
快递,20241220,17.31,1.85,11420163.0,29471463.989812
快递,20241223,17.36,1.86,11456157.0,29564441.256568
快递,20241224,17.71,1.9,11685641.0,30164945.008961
快递,20241225,17.59,1.88,11604976.0,29961193.535978
快递,20241226,17.49,1.87,11537207.0,29791908.763851
快递,20241227,17.58,1.88,11602232.0,29955862.18724
快递,20241230,17.57,1.88,11594605.0,29928695.256663
快递,20241231,17.32,1.85,11427070.0,29500771.150076
快递,20250102,16.81,1.8,11091562.0,28632968.268462
快递,20250103,16.96,1.82,11190877.0,28886912.936038
快递,20250106,17.06,1.83,11255572.0,29043987.33146
快递,20250107,17.2,1.84,11350646.0,29288304.339979
快递,20250108,17.08,1.83,11271937.0,29087687.054976
快递,20250109,17.0,1.82,11215359.0,28934363.568458
快递,20250110,16.71,1.79,11026924.0,28449565.222562
快递,20250113,16.8,1.8,11084233.0,28607630.068811
快递,20250114,17.33,1.85,11435403.0,29510303.792786
快递,20250115,17.33,1.85,11433871.0,29500125.451826
快递,20250116,16.96,1.82,11193270.0,28891802.860203
快递,20250117,17.08,1.83,11267511.0,29090254.80826
快递,20250120,17.04,1.82,11247143.0,29038363.543817
快递,20250121,16.84,1.8,11113571.0,28696010.391301
快递,20250122,16.75,1.79,11053291.0,28540696.527995
快递,20250123,16.72,1.79,11035625.0,28498055.896892
快递,20250124,16.73,1.79,11037857.0,28503472.312774
快递,20250127,17.01,1.82,11225623.0,28991828.815305
快递,20250205,16.9,1.81,11154879.0,28797555.194348
快递,20250206,17.19,1.84,11345723.0,29283338.766152
快递,20250207,17.34,1.86,11441987.0,29527398.268522
快递,20250210,17.31,1.85,11421700.0,29469587.0
快递,20250211,17.31,1.85,11424267.0,29485255.0
快递,20250212,17.2,1.84,11351987.0,29302311.0
快递,20250213,17.38,1.86,11443905.0,29604743.0
快递,20250214,17.48,1.87,11511399.0,29769950.0
