name,trade_date,pe,pb,float_mv,total_mv
成品家居,20240102,21.88,2.14,4012963.0,10856136.707652
成品家居,20240103,21.71,2.13,3984911.0,10768938.152633
成品家居,20240104,21.83,2.14,4017943.0,10956855.320791
成品家居,20240105,21.81,2.14,4020535.0,10963815.785597
成品家居,20240108,21.41,2.1,3940057.0,10720157.94173
成品家居,20240109,21.75,2.13,4002030.0,10914915.637585
成品家居,20240110,21.97,2.15,4036617.0,11000774.60644
成品家居,20240111,21.91,2.15,4027067.0,10985033.798927
成品家居,20240112,21.92,2.15,4029515.0,11004165.603842
成品家居,20240115,22.05,2.16,4052964.0,11055815.089755
成品家居,20240116,22.1,2.17,4056893.0,11040845.378038
成品家居,20240117,21.89,2.15,4031406.0,11033143.273368
成品家居,20240118,21.83,2.14,4018420.0,11018967.423457
成品家居,20240119,21.98,2.16,4045762.0,11152712.826687
成品家居,20240122,21.04,2.06,3864528.0,10624052.787526
成品家居,20240123,20.9,2.05,3834089.0,10491461.001261
成品家居,20240124,21.3,2.09,3911735.0,10737076.382538
成品家居,20240125,21.74,2.13,3991820.0,10962805.080195
成品家居,20240126,21.91,2.15,4022770.0,11044850.429422
成品家居,20240129,21.57,2.11,3950569.0,10842607.672215
成品家居,20240130,20.8,2.04,3807946.0,10403596.557761
成品家居,20240131,20.03,1.96,3667506.0,10033569.534057
成品家居,20240201,19.89,1.95,3642451.0,9983309.566065
成品家居,20240202,19.48,1.93,3559572.0,9705769.769111
成品家居,20240205,19.14,1.89,3486912.0,9448698.103487
成品家居,20240206,19.98,1.98,3641687.0,9844276.950219
成品家居,20240207,20.56,2.04,3735340.0,10071141.778181
成品家居,20240208,20.85,2.06,3808336.0,10350592.986399
成品家居,20240219,20.77,2.06,3800610.0,10387194.160795
成品家居,20240220,20.81,2.06,3806375.0,10391234.926523
成品家居,20240221,21.07,2.09,3860668.0,10555656.63684
成品家居,20240222,20.98,2.08,3840790.0,10479323.154946
成品家居,20240223,21.07,2.09,3851757.0,10498673.465467
成品家居,20240226,21.37,2.12,3909493.0,10647358.626102
成品家居,20240227,21.63,2.14,3956145.0,10775151.551393
成品家居,20240228,21.02,2.08,3831944.0,10450665.833932
成品家居,20240229,21.37,2.12,3896679.0,10607952.383488
成品家居,20240301,21.3,2.11,3890359.0,10573364.547912
成品家居,20240304,21.22,2.1,3879823.0,10555356.522183
成品家居,20240305,21.03,2.08,3844988.0,10425499.636868
成品家居,20240306,21.22,2.1,3878345.0,10522589.763375
成品家居,20240307,21.24,2.1,3878328.0,10508751.444797
成品家居,20240308,21.32,2.11,3902581.0,10560072.534425
成品家居,20240311,21.72,2.15,3975567.0,10778605.793309
成品家居,20240312,22.16,2.19,4067536.0,11034713.182667
成品家居,20240313,22.09,2.19,4049485.0,10990594.823035
成品家居,20240314,21.89,2.17,4014694.0,10901650.2829
成品家居,20240315,22.11,2.19,4049511.0,10978414.516267
成品家居,20240318,22.1,2.19,4052356.0,11017120.593557
成品家居,20240319,21.83,2.16,4007406.0,10899475.436161
成品家居,20240320,21.88,2.17,4016130.0,10974658.487515
成品家居,20240321,21.56,2.13,3959333.0,10825752.173763
成品家居,20240322,21.3,2.11,3916236.0,10719457.22268
成品家居,20240325,21.32,2.11,3927643.0,10787833.017876
成品家居,20240326,21.46,2.12,3955533.0,10887650.635547
成品家居,20240327,21.35,2.11,3930880.0,10799330.4111
成品家居,20240328,21.45,2.12,3949110.0,10865104.914318
成品家居,20240329,21.5,2.13,3956496.0,10858551.845549
成品家居,20240401,21.95,2.17,4062551.0,11203176.735435
成品家居,20240402,21.84,2.16,4046054.0,11166881.403805
成品家居,20240403,22.14,2.19,4096237.0,11299348.156847
成品家居,20240408,21.35,2.11,3946629.0,10911418.795342
成品家居,20240409,21.52,2.13,3980192.0,10995026.859024
成品家居,20240410,21.1,2.09,3899770.0,10767420.273878
成品家居,20240411,20.82,2.06,3866981.0,10728897.740028
成品家居,20240412,20.71,2.05,3853930.0,10777674.532951
成品家居,20240415,20.38,2.02,3785444.0,10536296.07022
成品家居,20240416,19.63,1.94,3658321.0,10171341.255897
成品家居,20240417,19.94,1.97,3717854.0,10386012.785778
成品家居,20240418,19.89,1.97,3708444.0,10397578.855322
成品家居,20240419,18.91,1.95,3673306.0,10299161.679172
成品家居,20240422,18.95,1.95,3688524.0,10409664.78849
成品家居,20240423,19.39,1.95,3677275.0,10370985.835408
成品家居,20240424,19.51,1.96,3693763.0,10398984.358851
成品家居,20240425,19.42,1.96,3698198.0,10349993.778116
成品家居,20240426,19.03,2.02,3770281.0,10437133.514438
成品家居,20240429,19.53,2.07,3926616.0,10863242.233236
成品家居,20240430,18.65,1.97,3859228.0,10712697.374714
成品家居,20240506,19.2,2.04,4006673.0,11133222.957845
成品家居,20240507,19.4,2.06,4048670.0,11220961.320118
成品家居,20240508,19.1,2.03,3997662.0,11112849.95043
成品家居,20240509,19.44,2.07,4065818.0,11298689.698196
成品家居,20240510,19.42,2.07,4068386.0,11358816.4255
成品家居,20240513,19.33,2.01,4080504.0,11190401.514392
成品家居,20240514,19.72,2.05,4162074.0,11419741.48687
成品家居,20240515,19.82,2.11,4148714.0,11542427.413177
成品家居,20240516,20.32,2.16,4235773.0,11745683.41947
成品家居,20240517,20.65,2.2,4302926.0,11933437.824834
