name,trade_date,pe,pb,float_mv,total_mv
房地产开发,20240102,12.36,0.68,48593794.0,111233939.646116
房地产开发,20240103,12.43,0.68,48853131.0,111822441.666916
房地产开发,20240104,12.25,0.67,48173892.0,110352915.147217
房地产开发,20240105,12.24,0.67,48119714.0,110170407.353602
房地产开发,20240108,11.93,0.65,46765670.0,108123531.546421
房地产开发,20240109,12.0,0.66,47039229.0,108846191.241641
房地产开发,20240110,11.97,0.66,46894302.0,108584554.054879
房地产开发,20240111,12.06,0.66,47247221.0,109325693.532936
房地产开发,20240112,12.02,0.66,47097465.0,108988465.973558
房地产开发,20240115,12.06,0.66,47285465.0,109489990.208064
房地产开发,20240116,11.94,0.65,46807710.0,108452827.913705
房地产开发,20240117,11.62,0.64,45533153.0,105555063.71808
房地产开发,20240118,11.61,0.64,45494691.0,105331837.573898
房地产开发,20240119,11.58,0.64,45391411.0,105305241.915424
房地产开发,20240122,11.06,0.61,43346492.0,100558065.413531
房地产开发,20240123,11.23,0.62,43984531.0,102310803.960161
房地产开发,20240124,11.63,0.64,45570023.0,106293053.197795
房地产开发,20240125,12.26,0.67,48040570.0,112244942.41022
房地产开发,20240126,12.64,0.7,49508241.0,115728735.143572
房地产开发,20240129,12.42,0.68,48641375.0,113867062.565743
房地产开发,20240130,11.99,0.66,46961140.0,109877319.704194
房地产开发,20240131,11.54,0.63,45202690.0,105676034.301031
房地产开发,20240201,11.27,0.62,44130167.0,103170286.26436
房地产开发,20240202,11.22,0.62,43942546.0,102756811.471137
房地产开发,20240205,10.59,0.58,41461441.0,96938486.066685
房地产开发,20240206,10.76,0.59,42116214.0,98684246.888077
房地产开发,20240207,10.73,0.59,41986837.0,98793163.037892
房地产开发,20240208,11.27,0.62,44096342.0,103575610.592306
房地产开发,20240219,11.31,0.62,44243866.0,103718827.772038
房地产开发,20240220,11.4,0.63,44602565.0,104598082.961361
房地产开发,20240221,11.64,0.64,45481761.0,106660516.444398
房地产开发,20240222,11.65,0.64,45515760.0,106697623.17614
