name,trade_date,pe,pb,float_mv,total_mv
房屋建设Ⅲ,20240102,4.9,0.54,11723822.0,28005023.575313
房屋建设Ⅲ,20240103,4.92,0.54,11776980.0,28133935.252447
房屋建设Ⅲ,20240104,4.87,0.54,11643879.0,27827978.285747
房屋建设Ⅲ,20240105,4.88,0.54,11684449.0,27921426.803019
房屋建设Ⅲ,20240108,4.82,0.53,11539380.0,27570909.16731
房屋建设Ⅲ,20240109,4.87,0.54,11652932.0,27841986.117936
房屋建设Ⅲ,20240110,4.85,0.53,11599785.0,27713480.293896
房屋建设Ⅲ,20240111,4.88,0.54,11679321.0,27888746.593331
房屋建设Ⅲ,20240112,4.86,0.54,11637770.0,27798809.539839
房屋建设Ⅲ,20240115,4.92,0.54,11771848.0,28114116.04035
房屋建设Ⅲ,20240116,4.93,0.54,11795936.0,28168939.401023
房屋建设Ⅲ,20240117,4.83,0.53,11562042.0,27617026.36469
房屋建设Ⅲ,20240118,4.82,0.53,11538923.0,27536402.238437
房屋建设Ⅲ,20240119,4.81,0.53,11499741.0,27427321.940357
房屋建设Ⅲ,20240122,4.68,0.52,11195666.0,26712517.857985
房屋建设Ⅲ,20240123,4.69,0.52,11227857.0,26793456.948439
房屋建设Ⅲ,20240124,4.91,0.54,11759377.0,28078527.415999
房屋建设Ⅲ,20240125,5.14,0.57,12287825.0,29357164.354614
房屋建设Ⅲ,20240126,5.83,0.6,8205121.0,29598372.36551
房屋建设Ⅲ,20240129,5.78,0.6,8136030.0,29516096.354198
房屋建设Ⅲ,20240130,5.7,0.59,8026659.0,29223766.26363
房屋建设Ⅲ,20240131,5.61,0.58,7904719.0,28849370.894132
房屋建设Ⅲ,20240201,5.48,0.56,7717299.0,28191102.827978
房屋建设Ⅲ,20240202,5.45,0.56,7680106.0,28152675.981913
房屋建设Ⅲ,20240205,5.33,0.55,7507123.0,27738119.712899
房屋建设Ⅲ,20240206,5.45,0.56,7681536.0,28279105.441731
房屋建设Ⅲ,20240207,5.53,0.57,7786141.0,28621203.765843
房屋建设Ⅲ,20240208,5.6,0.58,7890151.0,28795713.300554
房屋建设Ⅲ,20240219,5.69,0.59,8010607.0,29190017.800009
房屋建设Ⅲ,20240220,5.74,0.59,8085421.0,29374983.114167
房屋建设Ⅲ,20240221,5.91,0.61,8321498.0,30246495.124647
房屋建设Ⅲ,20240222,5.98,0.62,8418074.0,30477355.544719
房屋建设Ⅲ,20240223,6.14,0.63,8650430.0,31267294.869687
房屋建设Ⅲ,20240226,6.04,0.62,8511590.0,30580351.330245
房屋建设Ⅲ,20240227,6.15,0.63,8658208.0,30927489.72538
房屋建设Ⅲ,20240228,6.06,0.62,8531311.0,30599173.914696
房屋建设Ⅲ,20240229,6.17,0.64,8736480.0,31005887.585735
房屋建设Ⅲ,20240301,6.13,0.63,8690729.0,30844836.179683
房屋建设Ⅲ,20240304,6.15,0.63,8710455.0,30739036.364891
房屋建设Ⅲ,20240305,6.29,0.65,8909227.0,31353109.291785
房屋建设Ⅲ,20240306,6.27,0.65,8888050.0,31203713.481822
房屋建设Ⅲ,20240307,6.22,0.64,8810300.0,31065307.090891
房屋建设Ⅲ,20240308,6.24,0.64,8834858.0,31103615.539902
房屋建设Ⅲ,20240311,6.33,0.65,8971272.0,31424241.712883
房屋建设Ⅲ,20240312,6.3,0.65,8921788.0,31250475.922454
房屋建设Ⅲ,20240313,6.18,0.64,8758688.0,30692191.571091
房屋建设Ⅲ,20240314,6.21,0.64,8789306.0,30810425.538518
房屋建设Ⅲ,20240315,6.21,0.64,8793127.0,30807526.950208
房屋建设Ⅲ,20240318,6.29,0.65,8902395.0,31119252.183992
房屋建设Ⅲ,20240319,6.26,0.65,8864612.0,30927174.821049
房屋建设Ⅲ,20240320,6.28,0.65,8887906.0,31020516.032628
房屋建设Ⅲ,20240321,6.22,0.64,8814296.0,30855509.509792
房屋建设Ⅲ,20240322,6.17,0.64,8731761.0,30585438.192507
房屋建设Ⅲ,20240325,6.16,0.64,8729709.0,30638629.921692
房屋建设Ⅲ,20240326,6.22,0.64,8829677.0,30897914.379571
房屋建设Ⅲ,20240327,6.09,0.63,8638759.0,30452070.259825
房屋建设Ⅲ,20240328,6.08,0.63,8621729.0,30388551.953621
房屋建设Ⅲ,20240329,6.06,0.62,8603213.0,30398692.38212
房屋建设Ⅲ,20240401,6.13,0.63,8692650.0,30674051.071675
房屋建设Ⅲ,20240402,6.04,0.62,8571669.0,30316063.188366
房屋建设Ⅲ,20240403,6.03,0.62,8558336.0,30251815.5239
房屋建设Ⅲ,20240408,5.98,0.62,8479109.0,30051469.32674
房屋建设Ⅲ,20240409,5.85,0.6,8294991.0,29475234.359927
房屋建设Ⅲ,20240410,5.71,0.59,8091964.0,28908774.985637
房屋建设Ⅲ,20240411,5.75,0.59,8153153.0,29142295.075384
房屋建设Ⅲ,20240412,5.69,0.59,8057064.0,28753189.597771
房屋建设Ⅲ,20240415,5.8,0.6,8215874.0,29583288.983592
房屋建设Ⅲ,20240416,5.72,0.59,8100353.0,29337000.013315
房屋建设Ⅲ,20240417,5.92,0.61,8380699.0,30217024.146571
房屋建设Ⅲ,20240418,5.86,0.6,8295803.0,30088279.767496
房屋建设Ⅲ,20240419,5.52,0.58,8204046.0,29857909.956572
房屋建设Ⅲ,20240422,5.44,0.58,8092854.0,29584856.834245
房屋建设Ⅲ,20240423,5.52,0.57,7959016.0,29003586.415182
房屋建设Ⅲ,20240424,5.6,0.58,8081103.0,29394288.308352
房屋建设Ⅲ,20240425,5.63,0.58,8103757.0,29465301.289334
房屋建设Ⅲ,20240426,5.76,0.59,8282660.0,29961950.883279
房屋建设Ⅲ,20240429,5.86,0.6,8423962.0,30485053.563548
房屋建设Ⅲ,20240430,5.69,0.57,8241566.0,29867235.4022
房屋建设Ⅲ,20240506,5.78,0.57,8325976.0,30191845.800639
房屋建设Ⅲ,20240507,5.76,0.57,8307582.0,30122977.525099
