name,trade_date,pe,pb,float_mv,total_mv
摩托车及其他,20240102,26.95,1.94,4895276.0,10589539.824197
摩托车及其他,20240103,26.72,1.92,4853065.0,10527874.983749
摩托车及其他,20240104,26.7,1.92,4850614.0,10515912.489141
摩托车及其他,20240105,26.29,1.89,4777782.0,10365336.602398
摩托车及其他,20240108,25.63,1.84,4661467.0,10121328.115489
摩托车及其他,20240109,25.95,1.86,4713763.0,10220724.235936
摩托车及其他,20240110,25.94,1.86,4705624.0,10201336.873231
摩托车及其他,20240111,26.24,1.89,4763168.0,10332283.544979
摩托车及其他,20240112,26.18,1.88,4757841.0,10343893.502428
摩托车及其他,20240115,26.21,1.88,4758535.0,10335414.48633
摩托车及其他,20240116,26.13,1.88,4745917.0,10313150.560026
摩托车及其他,20240117,25.68,1.84,4662863.0,10162097.545778
摩托车及其他,20240118,25.32,1.82,4605481.0,10073607.249444
摩托车及其他,20240119,25.22,1.81,4584645.0,10013688.984604
摩托车及其他,20240122,23.94,1.72,4348723.0,9528541.541448
摩托车及其他,20240123,24.14,1.73,4380727.0,9572832.192875
摩托车及其他,20240124,24.7,1.78,4485199.0,9811240.928544
摩托车及其他,20240125,25.38,1.82,4601234.0,10024250.487417
摩托车及其他,20240126,25.32,1.82,4584412.0,9965854.687821
摩托车及其他,20240129,24.43,1.76,4418061.0,9638149.931554
摩托车及其他,20240130,24.02,1.73,4339053.0,9572572.381712
摩托车及其他,20240131,23.53,1.69,4248146.0,9373918.548841
摩托车及其他,20240201,22.94,1.65,4144871.0,9139961.827684
摩托车及其他,20240202,21.92,1.58,3962070.0,8777016.196346
摩托车及其他,20240205,20.48,1.47,3710783.0,8296557.002978
摩托车及其他,20240206,21.62,1.55,3917903.0,8748088.39618
摩托车及其他,20240207,22.48,1.62,4066028.0,9082491.474308
摩托车及其他,20240208,23.57,1.69,4272225.0,9496745.009293
摩托车及其他,20240219,23.76,1.71,4304841.0,9566288.094138
摩托车及其他,20240220,23.56,1.69,4267411.0,9493813.11762
摩托车及其他,20240221,24.18,1.74,4375998.0,9697150.869552
