name,trade_date,pe,pb,float_mv,total_mv
改性塑料,20240102,26.16,1.89,4645952.0,9215551.123414
改性塑料,20240103,25.8,1.87,4580581.0,9092235.723553
改性塑料,20240104,25.39,1.84,4508156.0,8955494.84601
改性塑料,20240105,24.98,1.81,4430728.0,8799982.33455
改性塑料,20240108,24.47,1.77,4341049.0,8607759.557707
改性塑料,20240109,24.34,1.76,4322320.0,8557725.893657
改性塑料,20240110,23.92,1.73,4252312.0,8427272.581623
改性塑料,20240111,24.34,1.76,4328234.0,8580917.767343
改性塑料,20240112,24.16,1.75,4298729.0,8519831.839569
改性塑料,20240115,23.83,1.73,4242314.0,8418318.103906
改性塑料,20240116,23.69,1.72,4215586.0,8365565.613011
改性塑料,20240117,23.0,1.67,4092169.0,8116423.947872
改性塑料,20240118,22.8,1.65,4051158.0,8020113.025287
改性塑料,20240119,22.43,1.62,3985005.0,7893229.156669
改性塑料,20240122,21.1,1.53,3742201.0,7397078.570995
改性塑料,20240123,21.16,1.53,3742621.0,7399909.057139
改性塑料,20240124,21.3,1.54,3766242.0,7445629.345792
改性塑料,20240125,21.96,1.59,3894267.0,7712530.143167
改性塑料,20240126,21.9,1.59,3907721.0,7695421.325082
改性塑料,20240129,21.24,1.54,3780685.0,7434512.495272
改性塑料,20240130,20.23,1.47,3609414.0,7118473.876948
改性塑料,20240131,19.33,1.4,3451168.0,6793983.182646
改性塑料,20240201,19.09,1.38,3404616.0,6687394.214937
改性塑料,20240202,18.35,1.33,3261547.0,6391120.152944
改性塑料,20240205,17.4,1.26,3067072.0,5957208.927227
改性塑料,20240206,18.2,1.32,3194462.0,6182182.437876
改性塑料,20240207,18.76,1.36,3267589.0,6282833.666196
改性塑料,20240208,19.64,1.42,3452473.0,6686107.229275
改性塑料,20240219,19.74,1.43,3482421.0,6737011.536687
改性塑料,20240220,19.9,1.44,3511699.0,6802796.129819
改性塑料,20240221,20.04,1.45,3541766.0,6868612.414955
改性塑料,20240222,20.32,1.48,3674964.0,6974128.311525
改性塑料,20240223,20.79,1.52,3765751.0,7158735.700277
改性塑料,20240226,21.0,1.53,3807796.0,7246084.620771
改性塑料,20240227,21.73,1.59,3945206.0,7513909.278611
改性塑料,20240228,20.59,1.5,3712657.0,7052724.203287
改性塑料,20240229,21.27,1.55,3836178.0,7290209.740334
改性塑料,20240301,21.36,1.56,3855496.0,7333341.307338
改性塑料,20240304,21.46,1.55,3869768.0,7267528.555759
改性塑料,20240305,21.04,1.52,3791507.0,7118078.798892
改性塑料,20240306,21.42,1.55,3861630.0,7252291.838392
改性塑料,20240307,21.2,1.53,3823312.0,7181247.252994
改性塑料,20240308,21.29,1.54,3842246.0,7213403.571814
改性塑料,20240311,21.87,1.58,3941583.0,7401197.856255
改性塑料,20240312,22.06,1.6,3982881.0,7488737.10016
改性塑料,20240313,22.02,1.59,3975481.0,7483178.542211
改性塑料,20240314,21.84,1.58,3942403.0,7419406.857438
改性塑料,20240315,22.1,1.6,3992349.0,7513697.657605
改性塑料,20240318,22.72,1.64,4106387.0,7740294.042707
改性塑料,20240319,22.71,1.64,4100059.0,7741077.205175
改性塑料,20240320,22.82,1.65,4120908.0,7786734.680846
改性塑料,20240321,22.77,1.65,4113696.0,7767708.325948
改性塑料,20240322,22.35,1.62,4038682.0,7625819.987379
改性塑料,20240325,21.72,1.57,3921203.0,7412909.143868
改性塑料,20240326,21.94,1.59,3955980.0,7469908.146595
改性塑料,20240327,21.34,1.54,3923232.0,7575183.72802
改性塑料,20240328,21.88,1.58,4025203.0,7767114.480985
改性塑料,20240329,22.27,1.61,4095652.0,7899862.241147
改性塑料,20240401,23.38,1.69,4295553.0,8262564.339587
改性塑料,20240402,23.94,1.74,4398652.0,8452262.565016
改性塑料,20240403,23.69,1.72,4367580.0,8386244.67275
改性塑料,20240408,23.31,1.69,4273665.0,8189616.770333
改性塑料,20240409,23.88,1.73,4375020.0,8382756.166085
改性塑料,20240410,23.41,1.7,4287577.0,8223580.156788
改性塑料,20240411,23.4,1.7,4284748.0,8211230.790512
改性塑料,20240412,23.37,1.7,4281349.0,8202956.884465
改性塑料,20240415,22.51,1.63,4114599.0,7861749.463738
改性塑料,20240416,21.0,1.52,3829418.0,7302160.582996
改性塑料,20240417,22.53,1.64,4116986.0,7854634.430002
改性塑料,20240418,22.56,1.64,4125493.0,7871308.746942
改性塑料,20240419,22.34,1.63,4111187.0,7861951.920765
改性塑料,20240422,22.0,1.6,4047132.0,7763336.530643
改性塑料,20240423,21.91,1.59,4023441.0,7718984.051729
改性塑料,20240424,22.32,1.62,4103176.0,7876743.298235
改性塑料,20240425,22.92,1.67,4208669.0,8070238.802178
改性塑料,20240426,23.23,1.67,4225236.0,8095941.081995
改性塑料,20240429,24.36,1.71,4344210.0,8330152.311943
改性塑料,20240430,41.85,1.71,4350018.0,8351869.588403
改性塑料,20240506,55.58,1.74,4479911.0,8648137.780347
改性塑料,20240507,56.31,1.76,4540715.0,8793414.615882
改性塑料,20240508,55.48,1.73,4484295.0,8701741.25826
改性塑料,20240509,55.76,1.74,4505792.0,8745180.894398
改性塑料,20240510,55.01,1.72,4456564.0,8665982.302335
改性塑料,20240513,54.11,1.69,4387010.0,8525938.440091
改性塑料,20240514,54.06,1.69,4400419.0,8607243.565194
改性塑料,20240515,53.8,1.68,4384710.0,8579478.848902
改性塑料,20240516,53.76,1.68,4403066.0,8679668.755355
改性塑料,20240517,55.0,1.72,4516967.0,8925248.252402
